"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","counterbalance.qny1","Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID_new"
"1",1718631198713,"17/06/2024 13:33:18",1718634798713,1,"17/06/2024 15:33:18",177048,9,"task-vy7n",NA,38331316,11266455,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1280x720","1280x585",NA,NA,0,"BIQ-A",3,"ABHCGDFE","Passed AC2",NA,"spreadsheet_5","Spreadsheet1","Spreadsheet1",NA,"","","",NA,"info","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPSCO66122"
"2",1718631232951,"17/06/2024 13:33:52",1718634832951,1,"17/06/2024 15:33:52",177048,9,"task-vy7n",NA,38331316,11266455,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1280x720","1280x585",NA,NA,0,"BIQ-A",3,"ABHCGDFE","Passed AC2",NA,"spreadsheet_5","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"continue","",34257.7500001907,34247.55,34257.7500001907,34257.7500001907,34247.55,34257.7500001907,1,34257.7500001907,0,0,NA,"Click To Continue","Continue Button",23,"object-48","BIQ",NA,"SUPSCO66122"
"3",1718631232952,"17/06/2024 13:33:52",1718634832952,1,"17/06/2024 15:33:52",177048,9,"task-vy7n",NA,38331316,11266455,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1280x720","1280x585",NA,NA,0,"BIQ-A",3,"ABHCGDFE","Passed AC2",NA,"spreadsheet_5","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","3",18948.85,34247.55,34259.7500001907,18948.85,34247.55,34259.7500001907,1,18948.85,15310.9000001907,0,NA,"Rating Scale","Rating Scale",3,"object-5","BIQ",NA,"SUPSCO66122"
"4",1718631232953,"17/06/2024 13:33:52",1718634832953,1,"17/06/2024 15:33:52",177048,9,"task-vy7n",NA,38331316,11266455,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1280x720","1280x585",NA,NA,0,"BIQ-A",3,"ABHCGDFE","Passed AC2",NA,"spreadsheet_5","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","1",25448.15,34247.55,34259.95,25448.15,34247.55,34259.95,1,25448.15,8811.8,0,NA,"Rating Scale","Rating Scale",10,"object-18","BIQ",NA,"SUPSCO66122"
"5",1718631232953,"17/06/2024 13:33:52",1718634832953,1,"17/06/2024 15:33:52",177048,9,"task-vy7n",NA,38331316,11266455,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1280x720","1280x585",NA,NA,0,"BIQ-A",3,"ABHCGDFE","Passed AC2",NA,"spreadsheet_5","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","4",33564.55,34247.55,34260.1500002861,33564.55,34247.55,34260.1500002861,1,33564.55,695.600000286104,0,NA,"Rating Scale","Rating Scale",17,"object-80","BIQ",NA,"SUPSCO66122"
"6",1718631252700,"17/06/2024 13:34:12",1718634852700,1,"17/06/2024 15:34:12",177048,9,"task-vy7n",NA,38331316,11266455,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1280x720","1280x585",NA,NA,0,"BIQ-A",3,"ABHCGDFE","Passed AC2",NA,"spreadsheet_5","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"continue","",19760.2000001907,19748.7,19760.2000001907,19760.2000001907,19748.7,19760.2000001907,1,19760.2000001907,0,0,NA,"Click To Continue","Continue Button",22,"object-50","BIQ",NA,"SUPSCO66122"
"7",1718631252702,"17/06/2024 13:34:12",1718634852702,1,"17/06/2024 15:34:12",177048,9,"task-vy7n",NA,38331316,11266455,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1280x720","1280x585",NA,NA,0,"BIQ-A",3,"ABHCGDFE","Passed AC2",NA,"spreadsheet_5","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","5",6899.7,19748.7,19761.8000000954,6899.7,19748.7,19761.8000000954,1,6899.7,12862.1000000954,0,NA,"Rating Scale","Rating Scale",2,"object-259","BIQ",NA,"SUPSCO66122"
"8",1718631252702,"17/06/2024 13:34:12",1718634852702,1,"17/06/2024 15:34:12",177048,9,"task-vy7n",NA,38331316,11266455,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1280x720","1280x585",NA,NA,0,"BIQ-A",3,"ABHCGDFE","Passed AC2",NA,"spreadsheet_5","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","6",13166.1,19748.7,19762.1000002861,13166.1,19748.7,19762.1000002861,1,13166.1,6596.00000028611,0,NA,"Rating Scale","Rating Scale",9,"object-36","BIQ",NA,"SUPSCO66122"
"9",1718631252703,"17/06/2024 13:34:12",1718634852703,1,"17/06/2024 15:34:12",177048,9,"task-vy7n",NA,38331316,11266455,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1280x720","1280x585",NA,NA,0,"BIQ-A",3,"ABHCGDFE","Passed AC2",NA,"spreadsheet_5","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","6",18682.2,19748.7,19762.4999999046,18682.2,19748.7,19762.4999999046,1,18682.2,1080.29999990463,0,NA,"Rating Scale","Rating Scale",16,"object-86","BIQ",NA,"SUPSCO66122"
"10",1718631277454,"17/06/2024 13:34:37",1718634877454,1,"17/06/2024 15:34:37",177048,9,"task-vy7n",NA,38331316,11266455,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1280x720","1280x585",NA,NA,0,"BIQ-A",3,"ABHCGDFE","Passed AC2",NA,"spreadsheet_5","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"continue","",24765.0000001907,24748.7,24765.0000001907,24765.0000001907,24748.7,24765.0000001907,1,24765.0000001907,0,0,NA,"Click To Continue","Continue Button",22,"object-73","BIQ",NA,"SUPSCO66122"
