"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","counterbalance.qny1","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day.Quantised","Random_ID_new"
"1",1719848482760,"01/07/2024 15:41:22",1719852082760,1,"01/07/2024 17:41:22",177048,9,"questionnaire-wop8",NA,38655626,11345091,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1920x1080","1920x911",NA,NA,0,"Attention Check 2 (Clone)",1,"FGEHDACB","Passed AC2",NA,"spreadsheet_2","1-0","1","SUPSCO15998"
"1",1719927117476,"02/07/2024 13:31:57",1719930717476,1,"02/07/2024 15:31:57",177048,9,"questionnaire-wop8",NA,38688527,11357255,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1366x768","1366x641",NA,NA,0,"Attention Check 2 (Clone)",1,"GHFAEBDC","Passed AC2",NA,"spreadsheet_3","1-0","1","SUPSCO50909"
"1",1720098919527,"04/07/2024 13:15:19",1720102519527,1,"04/07/2024 15:15:19",177048,9,"questionnaire-wop8",NA,38753358,11372330,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1536x864","1536x738",NA,NA,0,"Attention Check 2 (Clone)",1,"HAGBFCED","Passed AC2",NA,"spreadsheet_5","1-0","1","SUPSCO05151"
"1",1720626449324,"10/07/2024 15:47:29",1720630049324,1,"10/07/2024 17:47:29",177048,9,"questionnaire-wop8",NA,38876954,11404343,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1920x1080","1920x963",NA,NA,0,"Attention Check 2 (Clone)",1,"ABHCGDFE","Passed AC2",NA,"spreadsheet_4","1-0","1","SUPSCO31721"
"1",1720779693867,"12/07/2024 10:21:33",1720783293867,1,"12/07/2024 12:21:33",177048,9,"questionnaire-wop8",NA,38934732,11415867,NA,"complete",NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 125.0.0.0","1470x956","1470x799",NA,NA,0,"Attention Check 2 (Clone)",1,"BCADHEGF","Passed AC2",NA,"spreadsheet","1-0","1","SUPSCO34679"
"1",1721058036762,"15/07/2024 15:40:36",1721061636762,1,"15/07/2024 17:40:36",177048,9,"questionnaire-wop8",NA,38979118,11428727,NA,"complete",NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 126.0.0.0","1440x900","1440x813",NA,NA,0,"Attention Check 2 (Clone)",1,"CDBEAFHG","Passed AC2",NA,"spreadsheet_3","1","2","SUPSCO16544"
"1",1721308885687,"18/07/2024 13:21:25",1721312485687,1,"18/07/2024 15:21:25",177048,9,"questionnaire-wop8",NA,39055108,11454198,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1536x1024","1536x889",NA,NA,0,"Attention Check 2 (Clone)",1,"DECFBGAH","Passed AC2",NA,"spreadsheet_2","1-0","1","SUPSCO96648"
"1",1721643702907,"22/07/2024 10:21:42",1721647302907,1,"22/07/2024 12:21:42",177048,9,"questionnaire-wop8",NA,39121407,11474933,NA,"complete",NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 125.0.0.0","2048x1152","2048x1065",NA,NA,0,"Attention Check 2 (Clone)",1,"EFDGCHBA","Passed AC2",NA,"spreadsheet_3","1","2","SUPSCO14619"
"1",1721816574709,"24/07/2024 10:22:54",1721820174709,1,"24/07/2024 12:22:54",177048,9,"questionnaire-wop8",NA,39164885,11491771,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 127.0.0.0","1280x720","1280x585",NA,NA,0,"Attention Check 2 (Clone)",1,"FGEHDACB","Passed AC2",NA,"spreadsheet_2","1-0","1","SUPSCO14738"
"1",1721817681727,"24/07/2024 10:41:21",1721821281727,1,"24/07/2024 12:41:21",177048,9,"questionnaire-wop8",NA,39168875,11492002,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1920x1080","1920x953",NA,NA,0,"Attention Check 2 (Clone)",1,"GHFAEBDC","Passed AC2",NA,"spreadsheet","1-0","1","SUPSCO45532"
"1",1721824942805,"24/07/2024 12:42:22",1721828542805,1,"24/07/2024 14:42:22",177048,9,"questionnaire-wop8",NA,39179290,11493943,NA,"complete",NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 126.0.0.0","1920x1080","1654x1028",NA,NA,0,"Attention Check 2 (Clone)",1,"HAGBFCED","Passed AC2",NA,"spreadsheet_5","1-0","1","SUPSCO84507"
"1",1721835968956,"24/07/2024 15:46:08",1721839568956,1,"24/07/2024 17:46:08",177048,9,"questionnaire-wop8",NA,39183544,11494997,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 127.0.0.0","3460x1442","3460x1320",NA,NA,0,"Attention Check 2 (Clone)",1,"ABHCGDFE","Passed AC2",NA,"spreadsheet_4","1-0","1","SUPSCO05489"
"1",1721912113368,"25/07/2024 12:55:13",1721915713368,1,"25/07/2024 14:55:13",177048,9,"questionnaire-wop8",NA,39199708,11498723,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1536x864","1536x730",NA,NA,0,"Attention Check 2 (Clone)",1,"CDBEAFHG","Passed AC2",NA,"spreadsheet_2","1-0","1","SUPSCO05791"
"1",1721989066559,"26/07/2024 10:17:46",1721992666559,1,"26/07/2024 12:17:46",177048,9,"questionnaire-wop8",NA,39213856,11503486,NA,"complete",NA,"computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 126.0.0.0","1920x1080","1920x945",NA,NA,0,"Attention Check 2 (Clone)",1,"DECFBGAH","Passed AC2",NA,"spreadsheet","1-0","1","SUPSCO15787"
"1",1722262635592,"29/07/2024 14:17:15",1722266235592,1,"29/07/2024 16:17:15",177048,9,"questionnaire-wop8",NA,39258504,11513960,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1536x864","1536x730",NA,NA,0,"Attention Check 2 (Clone)",1,"EFDGCHBA","Passed AC2",NA,"spreadsheet_5","1","2","SUPSCO97532"
