"","Model","MAE","MSE","LOOIC","WAIC","R2"
"1","model 1","0.320062108574627","0.219274860670937","10335.5952782512","9991.73592954971","0.780686353256334"
"2","model 2","0.311851046216674","0.211480790151019","10036.1319853964","9749.85526255767","0.788481802417585"
"3","model 3","0.309094317734453","0.203568066294577","9988.43966879442","9610.55557083556","0.796395925903158"
"4","model 4","0.314718325170191","0.211172979725539","10174.4001167142","9782.15502055478","0.788789667289604"
"5","model 5","0.351745245158028","0.258028362524856","11460.6555076376","11111.2233847333","0.74192599655304"
"6","model 6","0.314391973516055","0.210652671336299","10176.5396085136","9826.21673985182","0.789310067712737"
"7","model 7","0.301006168687114","0.20226191648689","9622.27554773052","9279.63967525309","0.797702306747003"
"8","model 8","0.283372388915585","0.180006683436366","9036.06380920294","8645.86149220517","0.819961476377786"
