"","Model","MAE","MSE","LOOIC","WAIC","R2"
"1","model 1","0.401559942757965","0.348171016057202","12849.2704510081","12523.3618262133","0.651769519172205"
"2","model 2","0.389760026425879","0.332721487900964","12553.5920898206","12226.8310028739","0.667221685981877"
"3","model 3","0.339114406916074","0.24714275477673","10946.9127607646","10560.7591909379","0.75281503525593"
"4","model 4","0.340129406720037","0.247657431598319","10991.9001041849","10612.7311238323","0.752300270531737"
"5","model 5","0.36050540184904","0.27816562987266","11697.9883050523","11305.3454818464","0.721786861705893"
"6","model 6","0.390572808359147","0.322431548755815","12475.0705325822","12133.5567845233","0.67751338256473"
"7","model 7","0.385296686873417","0.32811482479025","12435.1792532148","12113.8273785442","0.671829135873091"
"8","model 8","0.320179590189285","0.224658343866453","10351.8746978833","9967.06794436348","0.775303286320255"
