"","Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","randomiser.lqqr","randomiser.28m8","randomiser.tf5j","Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Spreadsheet..Index","Spreadsheet..X1","Spreadsheet..X2","Spreadsheet..Display","Spreadsheet..test_response_save","Manipulation..Spreadsheet","Store..test_response_save","Random_ID"
"1",1,1692006519072,"14/08/2023 09:48:39",1692010119072,1,"14/08/2023 11:48:39",140743,17,"task-qhsc",NA,31172743,NA,"complete",NA,"64da000bb77c30175cda1703","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.6","810x1080","1080x707",NA,NA,0,"Feedback Phrases Task - List 2 (Clone with new randomisation)",4,"DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","Feedback Phrases List 2",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"",NA,NA,"","","",NA,NA,NA,"SUPPRF20908"
"2",2,1692006529309,"14/08/2023 09:48:49",1692010129309,1,"14/08/2023 11:48:49",140743,17,"task-qhsc",NA,31172743,NA,"complete",NA,"64da000bb77c30175cda1703","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.6","810x1080","1080x707",NA,NA,0,"Feedback Phrases Task - List 2 (Clone with new randomisation)",4,"DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","Feedback Phrases List 2",1,"Instructions","Screen 3","6w7c99",1,"continue","",10233,10217,10233,10233,10217,10233,1,10233,0,0,NA,"Click To Continue","Continue Button",2,"object-29",NA,NA,"","","Instructions",NA,NA,NA,"SUPPRF20908"
"3",3,1692006535217,"14/08/2023 09:48:55",1692010135217,1,"14/08/2023 11:48:55",140743,17,"task-qhsc",NA,31172743,NA,"complete",NA,"64da000bb77c30175cda1703","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.6","810x1080","1080x707",NA,NA,0,"Feedback Phrases Task - List 2 (Clone with new randomisation)",4,"DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","Feedback Phrases List 2",1,"Instructions","Screen 4","4vof69",2,"continue","",5932,5915,5932,5932,5915,5932,1,5932,0,0,NA,"Click To Continue","Continue Button",2,"object-41",NA,NA,"","","Instructions",NA,NA,NA,"SUPPRF20908"
"4",4,1692006540848,"14/08/2023 09:49:00",1692010140848,1,"14/08/2023 11:49:00",140743,17,"task-qhsc",NA,31172743,NA,"complete",NA,"64da000bb77c30175cda1703","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.6","810x1080","1080x707",NA,NA,0,"Feedback Phrases Task - List 2 (Clone with new randomisation)",4,"DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","Feedback Phrases List 2",1,"Task","Screen 1","113qg5",1,"response","Excellent!",5647,5631,5647,5647,5631,5647,1,5647,0,0,NA,"Click Response","Text_right_X2",3,"object-19",NA,1,"You appear very smart.","Excellent!","Task",NA,NA,NA,"SUPPRF20908"
"5",5,1692006542595,"14/08/2023 09:49:02",1692010142595,1,"14/08/2023 11:49:02",140743,17,"task-qhsc",NA,31172743,NA,"complete",NA,"64da000bb77c30175cda1703","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.6","810x1080","1080x707",NA,NA,0,"Feedback Phrases Task - List 2 (Clone with new randomisation)",4,"DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","Feedback Phrases List 2",1,"Task","Screen 3","izqege",2,"continue","",1766,1766,1766,1766,1766,1766,1,1766,0,0,NA,"Fixation Timing","Fixation Cross",1,"object-48",NA,1,"You appear very smart.","Excellent!","Task",NA,NA,NA,"SUPPRF20908"
"6",6,1692006546712,"14/08/2023 09:49:06",1692010146712,1,"14/08/2023 11:49:06",140743,17,"task-qhsc",NA,31172743,NA,"complete",NA,"64da000bb77c30175cda1703","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.6","810x1080","1080x707",NA,NA,0,"Feedback Phrases Task - List 2 (Clone with new randomisation)",4,"DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","Feedback Phrases List 2",2,"Task","Screen 1","113qg5",1,"response","You said all the right things.",4116,4099,4116,4116,4099,4116,1,4116,0,0,NA,"Click Response","Text_right_X2",3,"object-19",NA,1,"You came across really well.","You said all the right things.","Task",NA,NA,NA,"SUPPRF20908"
"7",7,1692006548457,"14/08/2023 09:49:08",1692010148457,1,"14/08/2023 11:49:08",140743,17,"task-qhsc",NA,31172743,NA,"complete",NA,"64da000bb77c30175cda1703","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.6","810x1080","1080x707",NA,NA,0,"Feedback Phrases Task - List 2 (Clone with new randomisation)",4,"DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","Feedback Phrases List 2",2,"Task","Screen 3","izqege",2,"continue","",1766,1766,1766,1766,1766,1766,1,1766,0,0,NA,"Fixation Timing","Fixation Cross",1,"object-48",NA,1,"You came across really well.","You said all the right things.","Task",NA,NA,NA,"SUPPRF20908"
"8",8,1692006555976,"14/08/2023 09:49:15",1692010155976,1,"14/08/2023 11:49:15",140743,17,"task-qhsc",NA,31172743,NA,"complete",NA,"64da000bb77c30175cda1703","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.6","810x1080","1080x707",NA,NA,0,"Feedback Phrases Task - List 2 (Clone with new randomisation)",4,"DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","Feedback Phrases List 2",3,"Task","Screen 1","113qg5",1,"response","You said all the right things.",7515,7498,7515,7515,7498,7515,1,7515,0,0,NA,"Click Response","Text_right_X2",3,"object-19",NA,1,"You are really engaging when you speak.","You said all the right things.","Task",NA,NA,NA,"SUPPRF20908"
"9",9,1692006557721,"14/08/2023 09:49:17",1692010157721,1,"14/08/2023 11:49:17",140743,17,"task-qhsc",NA,31172743,NA,"complete",NA,"64da000bb77c30175cda1703","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.6","810x1080","1080x707",NA,NA,0,"Feedback Phrases Task - List 2 (Clone with new randomisation)",4,"DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","Feedback Phrases List 2",3,"Task","Screen 3","izqege",2,"continue","",1766,1766,1766,1766,1766,1766,1,1766,0,0,NA,"Fixation Timing","Fixation Cross",1,"object-48",NA,1,"You are really engaging when you speak.","You said all the right things.","Task",NA,NA,NA,"SUPPRF20908"
"10",10,1692006560341,"14/08/2023 09:49:20",1692010160341,1,"14/08/2023 11:49:20",140743,17,"task-qhsc",NA,31172743,NA,"complete",NA,"64da000bb77c30175cda1703","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.6","810x1080","1080x707",NA,NA,0,"Feedback Phrases Task - List 2 (Clone with new randomisation)",4,"DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","Feedback Phrases List 2",4,"Task","Screen 1","113qg5",1,"response","You did what was asked of you.",2616,2599,2616,2616,2599,2616,1,2616,0,0,NA,"Click Response","Text_left_X1",2,"object-18",NA,1,"You did what was asked of you.","You're very articulate.","Task",NA,NA,NA,"SUPPRF20908"
