"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","randomiser.lqqr","randomiser.28m8","randomiser.tf5j","Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID"
"3",1692006632992,"14/08/2023 09:50:32",1692010232992,1,"14/08/2023 11:50:32",140743,17,"task-n9i1",NA,31172782,9241854,NA,"complete",NA,"64da041f0e6d392fff657804","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.5.1","1440x900","1212x795",NA,NA,0,"Pre-Task Notice",2,"HIGJFAEBDC","A (JV first)","study_1 (JV and feedback_list_1)","","Spreadsheet1",NA,"","","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF15001"
"1",1692007139695,"14/08/2023 09:58:59",1692010739695,1,"14/08/2023 11:58:59",140743,17,"task-n9i1",NA,31172926,9241888,NA,"complete",NA,"64da05cb6b98735afb657801","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1366x768","1366x689",NA,NA,0,"Pre-Task Notice",2,"JAIBHCGDFE","","study_2 (video_feedback and feedback_list_2)","VF_1st","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF94218"
"2",1692007143224,"14/08/2023 09:59:03",1692010743224,1,"14/08/2023 11:59:03",140743,17,"task-n9i1",NA,31172926,9241888,NA,"complete",NA,"64da05cb6b98735afb657801","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1366x768","1366x689",NA,NA,0,"Pre-Task Notice",2,"JAIBHCGDFE","","study_2 (video_feedback and feedback_list_2)","VF_1st","Spreadsheet1",1,"Screen","Screen 1","xrjwiw",1,"continue","",3541.53599998212,3533.493,3541.53599998212,3541.53599998212,3533.493,3541.53599998212,1,3541.53599998212,0,0,NA,"Click To Continue","Continue Button",2,"object-4","Screen",NA,"SUPPRF94218"
"3",1692007143228,"14/08/2023 09:59:03",1692010743228,1,"14/08/2023 11:59:03",140743,17,"task-n9i1",NA,31172926,9241888,NA,"complete",NA,"64da05cb6b98735afb657801","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1366x768","1366x689",NA,NA,0,"Pre-Task Notice",2,"JAIBHCGDFE","","study_2 (video_feedback and feedback_list_2)","VF_1st","Spreadsheet1",NA,"","","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF94218"
"1",1692015002701,"14/08/2023 12:10:02",1692018602701,1,"14/08/2023 14:10:02",140743,17,"task-n9i1",NA,31175502,9242434,NA,"complete",NA,"64da237da070b69f2c9aafbb","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.5.2","1440x900","1324x724",NA,NA,0,"Pre-Task Notice",2,"EFDGCHBIAJ","B (Feedback ranking_L1 First)","study_1 (JV and feedback_list_1)","","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF63488"
"2",1692015014596,"14/08/2023 12:10:14",1692018614596,1,"14/08/2023 14:10:14",140743,17,"task-n9i1",NA,31175502,9242434,NA,"complete",NA,"64da237da070b69f2c9aafbb","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.5.2","1440x900","1324x724",NA,NA,0,"Pre-Task Notice",2,"EFDGCHBIAJ","B (Feedback ranking_L1 First)","study_1 (JV and feedback_list_1)","","Spreadsheet1",1,"Screen","Screen 1","xrjwiw",1,"continue","",14635,14621,14635,14635,14621,14635,1,14635,0,0,NA,"Click To Continue","Continue Button",2,"object-4","Screen",NA,"SUPPRF63488"
"3",1692015014600,"14/08/2023 12:10:14",1692018614600,1,"14/08/2023 14:10:14",140743,17,"task-n9i1",NA,31175502,9242434,NA,"complete",NA,"64da237da070b69f2c9aafbb","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.5.2","1440x900","1324x724",NA,NA,0,"Pre-Task Notice",2,"EFDGCHBIAJ","B (Feedback ranking_L1 First)","study_1 (JV and feedback_list_1)","","Spreadsheet1",NA,"","","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF63488"
"1",1692015032015,"14/08/2023 12:10:32",1692018632015,1,"14/08/2023 14:10:32",140743,17,"task-n9i1",NA,31175511,9242435,NA,"complete",NA,"64da244f22c1185dd4ea45ff","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"Pre-Task Notice",2,"FGEHDICJBA","A (JV first)","study_1 (JV and feedback_list_1)","","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF82002"
"2",1692015035277,"14/08/2023 12:10:35",1692018635277,1,"14/08/2023 14:10:35",140743,17,"task-n9i1",NA,31175511,9242435,NA,"complete",NA,"64da244f22c1185dd4ea45ff","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"Pre-Task Notice",2,"FGEHDICJBA","A (JV first)","study_1 (JV and feedback_list_1)","","Spreadsheet1",1,"Screen","Screen 1","xrjwiw",1,"continue","",3305.81,3300.44,3305.81,3305.81,3300.44,3305.81,1,3305.81,0,0,NA,"Click To Continue","Continue Button",2,"object-4","Screen",NA,"SUPPRF82002"
"3",1692015035286,"14/08/2023 12:10:35",1692018635286,1,"14/08/2023 14:10:35",140743,17,"task-n9i1",NA,31175511,9242435,NA,"complete",NA,"64da244f22c1185dd4ea45ff","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"Pre-Task Notice",2,"FGEHDICJBA","A (JV first)","study_1 (JV and feedback_list_1)","","Spreadsheet1",NA,"","","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF82002"
