"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","randomiser.lqqr","randomiser.28m8","randomiser.tf5j","Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Spreadsheet..stimulus","Spreadsheet..P","Spreadsheet..N","Manipulation..Spreadsheet","Random_ID"
"11",1692006057296,"14/08/2023 09:40:57",1692009657296,1,"14/08/2023 11:40:57",140743,17,"task-f6fg",NA,31172533,9241769,NA,"complete",NA,"64d9ff71624435bf2a23761d","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"Video Feedback Task (Clone)",6,"CDBEAFJGIH",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first",1,2,"Positive Feedback","Video","w2ir4b",1,"response","You described the image very well. ",31783.063,42266.471,42283.234,31783.063,42266.471,42283.234,1,31783.063,10500.171,0,NA,"Text Entry","Text Entry",4,"object-19","Positive Feedback","P2_P.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPPRF16300"
"12",1692006057296,"14/08/2023 09:40:57",1692009657296,1,"14/08/2023 11:40:57",140743,17,"task-f6fg",NA,31172533,9241769,NA,"complete",NA,"64d9ff71624435bf2a23761d","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"Video Feedback Task (Clone)",6,"CDBEAFJGIH",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first",1,2,"Positive Feedback","Video","w2ir4b",1,"response","That was excellent. ",9616.62300000001,42266.471,42283.234,9616.62300000001,42266.471,42283.234,1,9616.62300000001,32666.611,0,NA,"Text Entry","Text Entry",5,"object-20","Positive Feedback","P2_P.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPPRF16300"
"13",1692006058243,"14/08/2023 09:40:58",1692009658243,1,"14/08/2023 11:40:58",140743,17,"task-f6fg",NA,31172533,9241769,NA,"complete",NA,"64d9ff71624435bf2a23761d","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"Video Feedback Task (Clone)",6,"CDBEAFJGIH",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first",1,2,"Positive Feedback","Fixation","mtm832",2,"continue","",966.668000000005,966.668000000005,966.668000000005,966.668000000005,966.668000000005,966.668000000005,1,966.668000000005,0,0,NA,"Fixation Timing","Fixation",1,"object-65","Positive Feedback","P2_P.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPPRF16300"
"14",1692006084894,"14/08/2023 09:41:24",1692009684894,1,"14/08/2023 11:41:24",140743,17,"task-f6fg",NA,31172533,9241769,NA,"complete",NA,"64d9ff71624435bf2a23761d","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"Video Feedback Task (Clone)",6,"CDBEAFJGIH",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first",1,2,"Neutral Feedback","Screen 1","3zrml3",1,"continue","",26652.0529999821,26649.8,26652.0529999821,26652.0529999821,26649.8,26652.0529999821,1,26652.0529999821,0,0,NA,"Click To Continue","Continue Button",1,"object-155","Neutral Feedback","P3_N.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPPRF16300"
"15",1692006084897,"14/08/2023 09:41:24",1692009684897,1,"14/08/2023 11:41:24",140743,17,"task-f6fg",NA,31172533,9241769,NA,"complete",NA,"64d9ff71624435bf2a23761d","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"Video Feedback Task (Clone)",6,"CDBEAFJGIH",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first",1,2,"Neutral Feedback","Screen 1","3zrml3",1,"response","It was okay. ",12483.333,26649.8,26654.852999994,12483.333,26649.8,26654.852999994,1,12483.333,14171.5199999941,0,NA,"Text Entry","Text Entry",4,"object-158","Neutral Feedback","P3_N.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPPRF16300"
"16",1692006084897,"14/08/2023 09:41:24",1692009684897,1,"14/08/2023 11:41:24",140743,17,"task-f6fg",NA,31172533,9241769,NA,"complete",NA,"64d9ff71624435bf2a23761d","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"Video Feedback Task (Clone)",6,"CDBEAFJGIH",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first",1,2,"Neutral Feedback","Screen 1","3zrml3",1,"response","Okay explanation. ",8083.367,26649.8,26655.153000006,8083.367,26649.8,26655.153000006,1,8083.367,18571.786000006,0,NA,"Text Entry","Text Entry",5,"object-159","Neutral Feedback","P3_N.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPPRF16300"
"17",1692006085859,"14/08/2023 09:41:25",1692009685859,1,"14/08/2023 11:41:25",140743,17,"task-f6fg",NA,31172533,9241769,NA,"complete",NA,"64d9ff71624435bf2a23761d","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"Video Feedback Task (Clone)",6,"CDBEAFJGIH",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first",1,2,"Neutral Feedback","Screen 2","vv4mhq",2,"continue","",966.665999999997,966.665999999997,966.665999999997,966.665999999997,966.665999999997,966.665999999997,1,966.665999999997,0,0,NA,"Fixation Timing","Fixation",1,"object-153","Neutral Feedback","P3_N.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPPRF16300"
"18",1692006148347,"14/08/2023 09:42:28",1692009748347,1,"14/08/2023 11:42:28",140743,17,"task-f6fg",NA,31172533,9241769,NA,"complete",NA,"64d9ff71624435bf2a23761d","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"Video Feedback Task (Clone)",6,"CDBEAFJGIH",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first",1,3,"Positive Feedback","Video","w2ir4b",1,"continue","",62487.3869999941,62482.968,62487.3869999941,62487.3869999941,62482.968,62487.3869999941,1,62487.3869999941,0,0,NA,"Click To Continue","Continue Button",1,"object-14","Positive Feedback","P1_P.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPPRF16300"
"19",1692006148349,"14/08/2023 09:42:28",1692009748349,1,"14/08/2023 11:42:28",140743,17,"task-f6fg",NA,31172533,9241769,NA,"complete",NA,"64d9ff71624435bf2a23761d","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"Video Feedback Task (Clone)",6,"CDBEAFJGIH",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first",1,3,"Positive Feedback","Video","w2ir4b",1,"response","Described the people very well and can imagine the picture. ",40816.418,62482.968,62489.787,40816.418,62482.968,62489.787,1,40816.418,21673.369,0,NA,"Text Entry","Text Entry",4,"object-19","Positive Feedback","P1_P.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPPRF16300"
"20",1692006148349,"14/08/2023 09:42:28",1692009748349,1,"14/08/2023 11:42:28",140743,17,"task-f6fg",NA,31172533,9241769,NA,"complete",NA,"64d9ff71624435bf2a23761d","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"Video Feedback Task (Clone)",6,"CDBEAFJGIH",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first",1,3,"Positive Feedback","Video","w2ir4b",1,"response","Articulated explanation. ",18749.909,62482.968,62489.9869999881,18749.909,62482.968,62489.9869999881,1,18749.909,43740.0779999881,0,NA,"Text Entry","Text Entry",5,"object-20","Positive Feedback","P1_P.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPPRF16300"
