"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","randomiser.lqqr","randomiser.28m8","randomiser.tf5j","Multiple.Choice.Grid.object.2.Easily.annoyed.by.others","Multiple.Choice.Grid.object.2.Easily.annoyed.by.others.Quantised","Multiple.Choice.Grid.object.2.Often.lose.temper","Multiple.Choice.Grid.object.2.Often.lose.temper.Quantised","Multiple.Choice.Grid.object.2.Stay.angry.for.a.long.time","Multiple.Choice.Grid.object.2.Stay.angry.for.a.long.time.Quantised","Multiple.Choice.Grid.object.2.Angry.most.of.the.time","Multiple.Choice.Grid.object.2.Angry.most.of.the.time.Quantised","Multiple.Choice.Grid.object.2.Get.angry.frequently","Multiple.Choice.Grid.object.2.Get.angry.frequently.Quantised","Multiple.Choice.Grid.object.2.Lose.temper.easily","Multiple.Choice.Grid.object.2.Lose.temper.easily.Quantised","Multiple.Choice.Grid.object.2.Overall..irritability.causes.me.problems","Multiple.Choice.Grid.object.2.Overall..irritability.causes.me.problems.Quantised","Random_ID"
"1",1692005436729,"14/08/2023 09:30:36",1692009036729,1,"14/08/2023 11:30:36",140743,17,"questionnaire-97cc",NA,31172361,9241761,NA,"complete",NA,"64d9ff8d839c19319fab2911","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"ARI",2,"BCADJEIFHG","B (Feedback ranking_L1 First)","study_1 (JV and feedback_list_1)","","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","SUPPRF18538"
"1",1692005521828,"14/08/2023 09:32:01",1692009121828,1,"14/08/2023 11:32:01",140743,17,"questionnaire-97cc",NA,31172396,9241769,NA,"complete",NA,"64d9ff71624435bf2a23761d","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"ARI",2,"CDBEAFJGIH","","study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","Somewhat true","2","Somewhat true","2","Somewhat true","2","Not true","1","Somewhat true","2","Somewhat true","2","Somewhat true","2","SUPPRF16300"
"1",1692005583945,"14/08/2023 09:33:03",1692009183945,1,"14/08/2023 11:33:03",140743,17,"questionnaire-97cc",NA,31172422,9241773,NA,"complete",NA,"64da000bb77c30175cda1703","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.6","810x1080","1080x707",NA,NA,0,"ARI",2,"DECFBGAHJI","","study_2 (video_feedback and feedback_list_2)","VF_1st","Somewhat true","2","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","SUPPRF20908"
"1",1692005667014,"14/08/2023 09:34:27",1692009267014,1,"14/08/2023 11:34:27",140743,17,"questionnaire-97cc",NA,31172457,9241810,NA,"complete",NA,"64da02835a5052b70ee79e36","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 115.0.0.0","1440x900","1440x815",NA,NA,0,"ARI",2,"FGEHDICJBA","A (JV first)","study_1 (JV and feedback_list_1)","","Somewhat true","2","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","SUPPRF98941"
"1",1692005691334,"14/08/2023 09:34:51",1692009291334,1,"14/08/2023 11:34:51",140743,17,"questionnaire-97cc",NA,31172468,9241820,NA,"complete",NA,"64da01617f4e2f7acbe39dd7","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x747",NA,NA,0,"ARI",2,"GHFIEJDACB","","study_2 (video_feedback and feedback_list_2)","VF_1st","Certainly true","3","Not true","1","Somewhat true","2","Not true","1","Somewhat true","2","Not true","1","Somewhat true","2","SUPPRF56705"
"1",1692005687989,"14/08/2023 09:34:47",1692009287989,1,"14/08/2023 11:34:47",140743,17,"questionnaire-97cc",NA,31172469,9241755,NA,"complete",NA,"64d9ff59202825d1e987df74","tablet","Apple iPad","iOS 16.5","Chrome 115.0.5790.160","810x1080","1080x695",NA,NA,0,"ARI",2,"ABJCIDHEGF","","study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","Certainly true","3","Certainly true","3","Somewhat true","2","Not true","1","Somewhat true","2","Certainly true","3","Certainly true","3","SUPPRF13097"
"1",1692006009501,"14/08/2023 09:40:09",1692009609501,1,"14/08/2023 11:40:09",140743,17,"questionnaire-97cc",NA,31172565,9241854,NA,"complete",NA,"64da041f0e6d392fff657804","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.5.1","1440x900","1212x795",NA,NA,0,"ARI",2,"HIGJFAEBDC","A (JV first)","study_1 (JV and feedback_list_1)","","Somewhat true","2","Not true","1","Not true","1","Not true","1","Somewhat true","2","Somewhat true","2","Not true","1","SUPPRF15001"
"1",1692006141817,"14/08/2023 09:42:21",1692009741817,1,"14/08/2023 11:42:21",140743,17,"questionnaire-97cc",NA,31172605,9241865,NA,"complete",NA,"64da04919351a898f9c3ea48","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1920x1080","500x512",NA,NA,0,"ARI",2,"IJHAGBFCED","A (JV first)","study_1 (JV and feedback_list_1)","","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","SUPPRF41746"
"1",1692006238917,"14/08/2023 09:43:58",1692009838917,1,"14/08/2023 11:43:58",140743,17,"questionnaire-97cc",NA,31172651,9241751,NA,"complete",NA,"64d9ff3c7251de5e68eab8bb","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x747",NA,NA,0,"ARI",2,"EFDGCHBIAJ","B (Feedback ranking_L1 First)","study_1 (JV and feedback_list_1)","","Somewhat true","2","Not true","1","Not true","1","Not true","1","Somewhat true","2","Not true","1","Not true","1","SUPPRF73133"
"1",1692006637761,"14/08/2023 09:50:37",1692010237761,1,"14/08/2023 11:50:37",140743,17,"questionnaire-97cc",NA,31172785,9241888,NA,"complete",NA,"64da05cb6b98735afb657801","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1366x768","1366x689",NA,NA,0,"ARI",2,"JAIBHCGDFE","","study_2 (video_feedback and feedback_list_2)","VF_1st","Certainly true","3","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","SUPPRF94218"
