"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","randomiser.lqqr","randomiser.28m8","randomiser.tf5j","Multiple.Choice.Grid.object.2.Easily.annoyed.by.others","Multiple.Choice.Grid.object.2.Easily.annoyed.by.others.Quantised","Multiple.Choice.Grid.object.2.Often.lose.temper","Multiple.Choice.Grid.object.2.Often.lose.temper.Quantised","Multiple.Choice.Grid.object.2.Stay.angry.for.a.long.time","Multiple.Choice.Grid.object.2.Stay.angry.for.a.long.time.Quantised","Multiple.Choice.Grid.object.2.Angry.most.of.the.time","Multiple.Choice.Grid.object.2.Angry.most.of.the.time.Quantised","Multiple.Choice.Grid.object.2.Get.angry.frequently","Multiple.Choice.Grid.object.2.Get.angry.frequently.Quantised","Multiple.Choice.Grid.object.2.Lose.temper.easily","Multiple.Choice.Grid.object.2.Lose.temper.easily.Quantised","Multiple.Choice.Grid.object.2.Overall..irritability.causes.me.problems","Multiple.Choice.Grid.object.2.Overall..irritability.causes.me.problems.Quantised","Random_ID"
"1",1692013995694,"14/08/2023 11:53:15",1692017595694,1,"14/08/2023 13:53:15",140743,17,"questionnaire-97cc",NA,31175105,9242371,NA,"complete",NA,"64da21b55d753010d019b257","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 115.0.0.0","1440x900","1440x789",NA,NA,0,"ARI",2,"ABJCIDHEGF","","study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","Somewhat true","2","Somewhat true","2","Somewhat true","2","Not true","1","Somewhat true","2","Not true","1","Somewhat true","2","SUPPRF71024"
"1",1692014596595,"14/08/2023 12:03:16",1692018196595,1,"14/08/2023 14:03:16",140743,17,"questionnaire-97cc",NA,31175323,9242435,NA,"complete",NA,"64da244f22c1185dd4ea45ff","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"ARI",2,"FGEHDICJBA","A (JV first)","study_1 (JV and feedback_list_1)","","Certainly true","3","Somewhat true","2","Not true","1","Not true","1","Somewhat true","2","Somewhat true","2","Somewhat true","2","SUPPRF82002"
"1",1692014767145,"14/08/2023 12:06:07",1692018367145,1,"14/08/2023 14:06:07",140743,17,"questionnaire-97cc",NA,31175399,9242399,NA,"complete",NA,"64da217fbeca8340a86d1818","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1920x1080","1920x963",NA,NA,0,"ARI",2,"CDBEAFJGIH","","study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","Somewhat true","2","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Somewhat true","2","SUPPRF27407"
"1",1692014828380,"14/08/2023 12:07:08",1692018428380,1,"14/08/2023 14:07:08",140743,17,"questionnaire-97cc",NA,31175424,9242434,NA,"complete",NA,"64da237da070b69f2c9aafbb","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.5.2","1440x900","1324x724",NA,NA,0,"ARI",2,"EFDGCHBIAJ","B (Feedback ranking_L1 First)","study_1 (JV and feedback_list_1)","","Somewhat true","2","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Somewhat true","2","SUPPRF63488"
"1",1692014977067,"14/08/2023 12:09:37",1692018577067,1,"14/08/2023 14:09:37",140743,17,"questionnaire-97cc",NA,31175494,9242405,NA,"complete",NA,"64da234622c1185dd4ea45b0","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","2048x1152","2048x1074",NA,NA,0,"ARI",2,"BCADJEIFHG","B (Feedback ranking_L1 First)","study_1 (JV and feedback_list_1)","","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","SUPPRF26790"
"1",1692015167277,"14/08/2023 12:12:47",1692018767277,1,"14/08/2023 14:12:47",140743,17,"questionnaire-97cc",NA,31175561,9242421,NA,"complete",NA,"64da2331d1c99ce54caf7f00","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1280x720","1280x595",NA,NA,0,"ARI",2,"DECFBGAHJI","","study_2 (video_feedback and feedback_list_2)","VF_1st","Somewhat true","2","Not true","1","Somewhat true","2","Not true","1","Not true","1","Not true","1","Somewhat true","2","SUPPRF01065"
"1",1692015228460,"14/08/2023 12:13:48",1692018828460,1,"14/08/2023 14:13:48",140743,17,"questionnaire-97cc",NA,31175584,9242486,NA,"complete",NA,"64da2810496ece3b2ddf78ff","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1280x720","1280x603",NA,NA,0,"ARI",2,"GHFIEJDACB","A (JV first)","study_1 (JV and feedback_list_1)","","Certainly true","3","Somewhat true","2","Not true","1","Not true","1","Not true","1","Somewhat true","2","Not true","1","SUPPRF83190"
"1",1692015409849,"14/08/2023 12:16:49",1692019009849,1,"14/08/2023 14:16:49",140743,17,"questionnaire-97cc",NA,31175639,9242502,NA,"complete",NA,"64da2735ae3e62b81bdf7946","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1280x720","1280x603",NA,NA,0,"ARI",2,"HIGJFAEBDC","","study_2 (video_feedback and feedback_list_2)","VF_1st","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","SUPPRF05791"
"1",1692016146853,"14/08/2023 12:29:06",1692019746853,1,"14/08/2023 14:29:06",140743,17,"questionnaire-97cc",NA,31175896,9242534,NA,"complete",NA,"64da2b07dffffeb613275ea3","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1287x741",NA,NA,0,"ARI",2,"IJHAGBFCED","","study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","SUPPRF44269"
"1",1692017353912,"14/08/2023 12:49:13",1692020953912,1,"14/08/2023 14:49:13",140743,17,"questionnaire-97cc",NA,31176320,9242601,NA,"complete",NA,"64da2f985a88203d07bbb784","computer","Desktop or Laptop","Windows 10","Firefox 116.0","2560x1440","2560x1307",NA,NA,0,"ARI",2,"JAIBHCGDFE","B (Feedback ranking_L1 First)","study_1 (JV and feedback_list_1)","","Somewhat true","2","Somewhat true","2","Certainly true","3","Not true","1","Not true","1","Somewhat true","2","Somewhat true","2","SUPPRF54733"
"1",1692018990650,"14/08/2023 13:16:30",1692022590650,1,"14/08/2023 15:16:30",140743,17,"questionnaire-97cc",NA,31176900,9242705,NA,"complete",NA,"64da33cb039cd8a237b8ae7e","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1280x720","1280x571",NA,NA,0,"ARI",2,"ABJCIDHEGF","A (JV first)","study_1 (JV and feedback_list_1)","","Somewhat true","2","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","SUPPRF02797"
"1",1692026870852,"14/08/2023 15:27:50",1692030470852,1,"14/08/2023 17:27:50",140743,17,"questionnaire-97cc",NA,31179995,9243586,NA,"complete",NA,"64da54ae60b9358d64ee4f59","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1707x1067","852x900",NA,NA,0,"ARI",2,"BCADJEIFHG","","study_2 (video_feedback and feedback_list_2)","VF_1st","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","SUPPRF59606"
"1",1692027856639,"14/08/2023 15:44:16",1692031456639,1,"14/08/2023 17:44:16",140743,17,"questionnaire-97cc",NA,31180668,9243732,NA,"complete",NA,"64da57bf281e21980598870b","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"ARI",2,"CDBEAFJGIH","B (Feedback ranking_L1 First)","study_1 (JV and feedback_list_1)","","Somewhat true","2","Not true","1","Somewhat true","2","Not true","1","Not true","1","Not true","1","Somewhat true","2","SUPPRF84507"
"1",1692030797126,"14/08/2023 16:33:17",1692034397126,1,"14/08/2023 18:33:17",140743,17,"questionnaire-97cc",NA,31181232,9244017,NA,"complete",NA,"64da50a5b280d5d8e5e9eb1f","computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1280x720","1280x609",NA,NA,0,"ARI",2,"DECFBGAHJI","","study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","Somewhat true","2","Not true","1","Somewhat true","2","Not true","1","Not true","1","Not true","1","Not true","1","SUPPRF53772"
"1",1692033745109,"14/08/2023 17:22:25",1692037345109,1,"14/08/2023 19:22:25",140743,17,"questionnaire-97cc",NA,31181846,9244263,NA,"complete",NA,"64da6f1a5aac95015e309356","computer","Desktop or Laptop","Windows 10","Edge 115.0.1901.200","1366x768","1311x657",NA,NA,0,"ARI",2,"EFDGCHBIAJ","","study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","Somewhat true","2","Somewhat true","2","Certainly true","3","Not true","1","Somewhat true","2","Somewhat true","2","Somewhat true","2","SUPPRF13522"
"1",1692034540644,"14/08/2023 17:35:40",1692038140644,1,"14/08/2023 19:35:40",140743,17,"questionnaire-97cc",NA,31182429,9244459,NA,"complete",NA,"64da722cd7dae2d981f16215","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1707x830",NA,NA,0,"ARI",2,"FGEHDICJBA","B (Feedback ranking_L1 First)","study_1 (JV and feedback_list_1)","","Somewhat true","2","Somewhat true","2","Somewhat true","2","Somewhat true","2","Somewhat true","2","Somewhat true","2","Somewhat true","2","SUPPRF02973"
"1",1692083701470,"15/08/2023 07:15:01",1692087301470,1,"15/08/2023 09:15:01",140743,17,"questionnaire-97cc",NA,31186847,9247022,NA,"complete",NA,"64db3028111b0ff40205a905","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 114.0.0.0","1440x900","1440x690",NA,NA,0,"ARI",2,"GHFIEJDACB","","study_2 (video_feedback and feedback_list_2)","VF_1st","Certainly true","3","Certainly true","3","Not true","1","Somewhat true","2","Somewhat true","2","Somewhat true","2","Certainly true","3","SUPPRF66474"
"1",1692086831544,"15/08/2023 08:07:11",1692090431544,1,"15/08/2023 10:07:11",140743,17,"questionnaire-97cc",NA,31187429,9247180,NA,"complete",NA,"64db3ff30b0051af402a25df","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 115.0.0.0","1440x900","1440x696",NA,NA,0,"ARI",2,"HIGJFAEBDC","A (JV first)","study_1 (JV and feedback_list_1)","","Certainly true","3","Not true","1","Somewhat true","2","Not true","1","Somewhat true","2","Not true","1","Certainly true","3","SUPPRF09311"
"1",1692091252592,"15/08/2023 09:20:52",1692094852592,1,"15/08/2023 11:20:52",140743,17,"questionnaire-97cc",NA,31188433,9247457,NA,"complete",NA,"64db50e8d7831bdd4833328b","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1920x1080","1920x941",NA,NA,0,"ARI",2,"IJHAGBFCED","","study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","Somewhat true","2","Not true","1","Somewhat true","2","Not true","1","Not true","1","Not true","1","Somewhat true","2","SUPPRF42960"
"1",1692099069498,"15/08/2023 11:31:09",1692102669498,1,"15/08/2023 13:31:09",140743,17,"questionnaire-97cc",NA,31190932,9248109,NA,"complete",NA,"64db6ece74bc187ddeca4ef7","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x722",NA,NA,0,"ARI",2,"JAIBHCGDFE","B (Feedback ranking_L1 First)","study_1 (JV and feedback_list_1)","","Somewhat true","2","Somewhat true","2","Somewhat true","2","Somewhat true","2","Somewhat true","2","Somewhat true","2","Somewhat true","2","SUPPRF50626"
"1",1692101143972,"15/08/2023 12:05:43",1692104743972,1,"15/08/2023 14:05:43",140743,17,"questionnaire-97cc",NA,31191615,9248263,NA,"complete",NA,"64db7694cf9ebb92b4a19732","computer","Desktop or Laptop","Windows 10","Edge 114.0.1823.55","1280x720","1280x601",NA,NA,0,"ARI",2,"ABJCIDHEGF","A (JV first)","study_1 (JV and feedback_list_1)","","Not true","1","Not true","1","Somewhat true","2","Not true","1","Not true","1","Not true","1","Not true","1","SUPPRF66122"
"1",1692134004937,"15/08/2023 21:13:24",1692137604937,1,"15/08/2023 23:13:24",140743,17,"questionnaire-97cc",NA,31213355,9252290,NA,"complete",NA,"64dbf4ff504719270ed3ce00","computer","Desktop or Laptop","Windows 10","Edge 115.0.1901.188","1536x864","1536x746",NA,NA,0,"ARI",2,"CDBEAFJGIH","","study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","Somewhat true","2","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","SUPPRF08258"
"1",1692169857823,"16/08/2023 07:10:57",1692173457823,1,"16/08/2023 09:10:57",140743,17,"questionnaire-97cc",NA,31215111,9252727,NA,"complete",NA,"64dc7ddf7404cae9c3a1d3e9","computer","Desktop or Laptop","Windows 10","Opera 100.0.0.0","1080x1920","1039x1779",NA,NA,0,"ARI",2,"DECFBGAHJI","B (Feedback ranking_L1 First)","study_1 (JV and feedback_list_1)","","Somewhat true","2","Somewhat true","2","Not true","1","Not true","1","Somewhat true","2","Not true","1","Not true","1","SUPPRF09500"
"1",1692191047336,"16/08/2023 13:04:07",1692194647336,1,"16/08/2023 15:04:07",140743,17,"questionnaire-97cc",NA,31220663,9254288,NA,"complete",NA,"64dcd5b8efb53854496a7580","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1463x915","1335x753",NA,NA,0,"ARI",2,"FGEHDICJBA","","study_2 (video_feedback and feedback_list_2)","VF_1st","Somewhat true","2","Not true","1","Not true","1","Not true","1","Not true","1","Somewhat true","2","Not true","1","SUPPRF02309"
"1",1692192350714,"16/08/2023 13:25:50",1692195950714,1,"16/08/2023 15:25:50",140743,17,"questionnaire-97cc",NA,31221057,9254439,NA,"complete",NA,"64dcdc11738dec7846d76850","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1920x1080","1920x937",NA,NA,0,"ARI",2,"GHFIEJDACB","B (Feedback ranking_L1 First)","study_1 (JV and feedback_list_1)","","Somewhat true","2","Somewhat true","2","Not true","1","Not true","1","Certainly true","3","Somewhat true","2","Certainly true","3","SUPPRF89096"
"1",1692196655720,"16/08/2023 14:37:35",1692200255720,1,"16/08/2023 16:37:35",140743,17,"questionnaire-97cc",NA,31222061,9254717,NA,"complete",NA,"64dcecf2571803aaf952ef5f","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1366x768","1366x657",NA,NA,0,"ARI",2,"HIGJFAEBDC","","study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","Somewhat true","2","Somewhat true","2","Not true","1","Somewhat true","2","Somewhat true","2","Somewhat true","2","Somewhat true","2","SUPPRF01588"
"1",1692212337162,"16/08/2023 18:58:57",1692215937162,1,"16/08/2023 20:58:57",140743,17,"questionnaire-97cc",NA,31224721,9255609,NA,"complete",NA,"64dd297fdd1a9cc9afa673f8","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1920x1080","1920x963",NA,NA,0,"ARI",2,"IJHAGBFCED","A (JV first)","study_1 (JV and feedback_list_1)","","Somewhat true","2","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","SUPPRF36650"
"1",1692278624096,"17/08/2023 13:23:44",1692282224096,1,"17/08/2023 15:23:44",140743,17,"questionnaire-97cc",NA,31235943,9258380,NA,"complete",NA,"64de2cb7ebaf7c001ec7e37a","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1920x1080","1920x963",NA,NA,0,"ARI",2,"JAIBHCGDFE","","study_2 (video_feedback and feedback_list_2)","VF_1st","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Somewhat true","2","SUPPRF73191"
"1",1692359196994,"18/08/2023 11:46:36",1692362796994,1,"18/08/2023 13:46:36",140743,17,"questionnaire-97cc",NA,31245254,9261948,NA,"complete",NA,"64df66dd18f0e4168f29a35f","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 115.0.0.0","1440x900","1287x707",NA,NA,0,"ARI",2,"ABJCIDHEGF","B (Feedback ranking_L1 First)","study_1 (JV and feedback_list_1)","","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","SUPPRF05489"
"1",1692447306254,"19/08/2023 12:15:06",1692450906254,1,"19/08/2023 14:15:06",140743,17,"questionnaire-97cc",NA,31255400,9265347,NA,"complete",NA,"64e0bcd5bf3ef3ff724048a9","computer","Desktop or Laptop","Windows 10","Edge 114.0.1823.82","1366x768","1311x649",NA,NA,0,"ARI",2,"BCADJEIFHG","","study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","Somewhat true","2","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Somewhat true","2","SUPPRF88097"
"1",1692551459049,"20/08/2023 17:10:59",1692555059049,1,"20/08/2023 19:10:59",140743,17,"questionnaire-97cc",NA,31263419,9267612,NA,"complete",NA,"64e252d5b92f3bcf49791cfd","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1280x720","1280x595",NA,NA,0,"ARI",2,"DECFBGAHJI","","study_2 (video_feedback and feedback_list_2)","VF_1st","Somewhat true","2","Somewhat true","2","Not true","1","Somewhat true","2","Somewhat true","2","Somewhat true","2","Somewhat true","2","SUPPRF06732"
"1",1692606379351,"21/08/2023 08:26:19",1692609979351,1,"21/08/2023 10:26:19",140743,17,"questionnaire-97cc",NA,31265606,9268854,NA,"complete",NA,"64e32be7ed0d2f797828c1a4","computer","Desktop or Laptop","Mac OS 10.15","Firefox 114.0","1440x900","1440x787",NA,NA,0,"ARI",2,"EFDGCHBIAJ","A (JV first)","study_1 (JV and feedback_list_1)","","Certainly true","3","Somewhat true","2","Somewhat true","2","Not true","1","Not true","1","Somewhat true","2","Somewhat true","2","SUPPRF05565"
"1",1692725223800,"22/08/2023 17:27:03",1692728823800,1,"22/08/2023 19:27:03",140743,17,"questionnaire-97cc",NA,31296991,9275476,NA,"complete",NA,"64e4fc72a6b2df27331b7045","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","1440x900","1440x815",NA,NA,0,"ARI",2,"FGEHDICJBA","","study_2 (video_feedback and feedback_list_2)","VF_1st","Certainly true","3","Not true","1","Somewhat true","2","Somewhat true","2","Somewhat true","2","Not true","1","Certainly true","3","SUPPRF42249"
"1",1693056219830,"26/08/2023 13:23:39",1693059819830,1,"26/08/2023 15:23:39",140743,17,"questionnaire-97cc",NA,31376609,9292133,NA,"complete",NA,"64ea0abb4fcce2d50f284df2","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.0","820x1180","820x1073",NA,NA,0,"ARI",2,"HIGJFAEBDC","","study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","SUPPRF79831"
"1",1693068539211,"26/08/2023 16:48:59",1693072139211,1,"26/08/2023 18:48:59",140743,17,"questionnaire-97cc",NA,31377473,9293534,NA,"complete",NA,"64ea39f32f86c94c9af361b5","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x720","1280x603",NA,NA,0,"ARI",2,"IJHAGBFCED","B (Feedback ranking_L1 First)","study_1 (JV and feedback_list_1)","","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","SUPPRF14738"
"1",1693225012163,"28/08/2023 12:16:52",1693228612163,1,"28/08/2023 14:16:52",140743,17,"questionnaire-97cc",NA,31389958,9296849,NA,"complete",NA,"64ec9ceab0ce5040c12ad22a","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1366x768","1517x722",NA,NA,0,"ARI",2,"JAIBHCGDFE","B (Feedback ranking_L1 First)","study_1 (JV and feedback_list_1)","","Somewhat true","2","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","SUPPRF13138"
"1",1693245972775,"28/08/2023 18:06:12",1693249572775,1,"28/08/2023 20:06:12",140743,17,"questionnaire-97cc",NA,31394008,9297799,NA,"complete",NA,"64eceed14556d1516f0479e9","computer","Desktop or Laptop","Windows 10","Firefox 116.0","1920x1080","1920x919",NA,NA,0,"ARI",2,"ABJCIDHEGF","","study_2 (video_feedback and feedback_list_2)","VF_1st","Somewhat true","2","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","SUPPRF20104"
