"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","randomiser.lqqr","randomiser.28m8","randomiser.tf5j","Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID"
"3",1692036644883,"14/08/2023 18:10:44",1692040244883,1,"14/08/2023 20:10:44",140743,17,"task-9zlx",NA,31182968,9244459,NA,"complete",NA,"64da722cd7dae2d981f16215","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1707x830",NA,NA,0,"Exit task",3,"FGEHDICJBA","B (Feedback ranking_L1 First)","study_1 (JV and feedback_list_1)","","Spreadsheet1",NA,NA,"","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"",NA,NA,"SUPPRF02973"
"1",1692034623123,"14/08/2023 17:37:03",1692038223123,1,"14/08/2023 19:37:03",140743,17,"task-9zlx",NA,31182496,9244263,NA,"complete",NA,"64da6f1a5aac95015e309356","computer","Desktop or Laptop","Windows 10","Edge 115.0.1901.200","1366x768","1311x657",NA,NA,0,"Exit task",3,"EFDGCHBIAJ","","study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","Spreadsheet1",NA,NA,"","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"",NA,NA,"SUPPRF13522"
"2",1692034631066,"14/08/2023 17:37:11",1692038231066,1,"14/08/2023 19:37:11",140743,17,"task-9zlx",NA,31182496,9244263,NA,"complete",NA,"64da6f1a5aac95015e309356","computer","Desktop or Laptop","Windows 10","Edge 115.0.1901.200","1366x768","1311x657",NA,NA,0,"Exit task",3,"EFDGCHBIAJ","","study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","Spreadsheet1",1,1,"Screen 1","x3jytl",1,"response","none",6682.469,7982.551,7999.225,6682.469,7982.551,7999.225,1,6682.469,1316.756,0,NA,"Single Text Entry","Single Text Entry",2,"object-7",1,NA,"SUPPRF13522"
"3",1692034631070,"14/08/2023 17:37:11",1692038231070,1,"14/08/2023 19:37:11",140743,17,"task-9zlx",NA,31182496,9244263,NA,"complete",NA,"64da6f1a5aac95015e309356","computer","Desktop or Laptop","Windows 10","Edge 115.0.1901.200","1366x768","1311x657",NA,NA,0,"Exit task",3,"EFDGCHBIAJ","","study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","Spreadsheet1",NA,NA,"","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"",NA,NA,"SUPPRF13522"
"1",1692031464876,"14/08/2023 16:44:24",1692035064876,1,"14/08/2023 18:44:24",140743,17,"task-9zlx",NA,31181337,9244017,NA,"complete",NA,"64da50a5b280d5d8e5e9eb1f","computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1280x720","1280x609",NA,NA,0,"Exit task",3,"DECFBGAHJI","","study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","Spreadsheet1",NA,NA,"","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"",NA,NA,"SUPPRF53772"
"2",1692031466708,"14/08/2023 16:44:26",1692035066708,1,"14/08/2023 18:44:26",140743,17,"task-9zlx",NA,31181337,9244017,NA,"complete",NA,"64da50a5b280d5d8e5e9eb1f","computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1280x720","1280x609",NA,NA,0,"Exit task",3,"DECFBGAHJI","","study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","Spreadsheet1",1,1,"Screen 1","x3jytl",1,"response","",1849.588,1833.255,1849.588,1849.588,1833.255,1849.588,1,1849.588,0,0,NA,"Single Text Entry","Single Text Entry",2,"object-7",1,NA,"SUPPRF53772"
"3",1692031466712,"14/08/2023 16:44:26",1692035066712,1,"14/08/2023 18:44:26",140743,17,"task-9zlx",NA,31181337,9244017,NA,"complete",NA,"64da50a5b280d5d8e5e9eb1f","computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1280x720","1280x609",NA,NA,0,"Exit task",3,"DECFBGAHJI","","study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","Spreadsheet1",NA,NA,"","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"",NA,NA,"SUPPRF53772"
"1",1692028064516,"14/08/2023 15:47:44",1692031664516,1,"14/08/2023 17:47:44",140743,17,"task-9zlx",NA,31180755,9243586,NA,"complete",NA,"64da54ae60b9358d64ee4f59","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1707x1067","852x900",NA,NA,0,"Exit task",3,"BCADJEIFHG","","study_2 (video_feedback and feedback_list_2)","VF_1st","Spreadsheet1",NA,NA,"","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"",NA,NA,"SUPPRF59606"
"2",1692028067796,"14/08/2023 15:47:47",1692031667796,1,"14/08/2023 17:47:47",140743,17,"task-9zlx",NA,31180755,9243586,NA,"complete",NA,"64da54ae60b9358d64ee4f59","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1707x1067","852x900",NA,NA,0,"Exit task",3,"BCADJEIFHG","","study_2 (video_feedback and feedback_list_2)","VF_1st","Spreadsheet1",1,1,"Screen 1","x3jytl",1,"response","",3293.489,3283.425,3293.489,3293.489,3283.425,3293.489,1,3293.489,0,0,NA,"Single Text Entry","Single Text Entry",2,"object-7",1,NA,"SUPPRF59606"
"3",1692028067797,"14/08/2023 15:47:47",1692031667797,1,"14/08/2023 17:47:47",140743,17,"task-9zlx",NA,31180755,9243586,NA,"complete",NA,"64da54ae60b9358d64ee4f59","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1707x1067","852x900",NA,NA,0,"Exit task",3,"BCADJEIFHG","","study_2 (video_feedback and feedback_list_2)","VF_1st","Spreadsheet1",NA,NA,"","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"",NA,NA,"SUPPRF59606"
