"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","counterbalance.qny1","Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID_new"
1,1718715215163,"18/06/2024 12:53:35",1718718815163,1,"18/06/2024 14:53:35",177048,9,"task-xk4o",NA,38353718,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","1366x768","1242x583",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"BCADHEGF","Passed AC2","","spreadsheet_2","Spreadsheet1","Spreadsheet1",NA,"","","",NA,"info","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPSCO18638"
2,1718715219043,"18/06/2024 12:53:39",1718718819043,1,"18/06/2024 14:53:39",177048,9,"task-xk4o",NA,38353718,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","1366x768","1242x583",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"BCADHEGF","Passed AC2","","spreadsheet_2","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 1","anr7sn",1,"continue","",3603.1,3578.1,3603.1,3603.1,3578.1,3603.1,1,3603.1,0,0,NA,"Click To Continue","Continue Button",3,"object-60","Task Instructions",NA,"SUPSCO18638"
3,1718715221969,"18/06/2024 12:53:41",1718718821969,1,"18/06/2024 14:53:41",177048,9,"task-xk4o",NA,38353718,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","1366x768","1242x583",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"BCADHEGF","Passed AC2","","spreadsheet_2","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 4","spepx9",2,"continue","",2952.4,2927.5,2952.4,2952.4,2927.5,2952.4,1,2952.4,0,0,NA,"Click To Continue","Continue Button",2,"object-9","Task Instructions",NA,"SUPSCO18638"
4,1718715225606,"18/06/2024 12:53:45",1718718825606,1,"18/06/2024 14:53:45",177048,9,"task-xk4o",NA,38353718,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","1366x768","1242x583",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"BCADHEGF","Passed AC2","","spreadsheet_2","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 2","ce2tc8",3,"continue","",3664.60000002384,3650.2,3664.60000002384,3664.60000002384,3650.2,3664.60000002384,1,3664.60000002384,0,0,NA,"Click To Continue","Continue Button",3,"object-59","Task Instructions",NA,"SUPSCO18638"
5,1718715230309,"18/06/2024 12:53:50",1718718830309,1,"18/06/2024 14:53:50",177048,9,"task-xk4o",NA,38353718,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","1366x768","1242x583",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"BCADHEGF","Passed AC2","","spreadsheet_2","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 3","1qtc8v",4,"continue","",4717.90000002384,4705.1,4717.90000002384,4717.90000002384,4705.1,4717.90000002384,1,4717.90000002384,0,0,NA,"Click To Continue","Continue Button",2,"object-2983","Task Instructions",NA,"SUPSCO18638"
6,1718715233668,"18/06/2024 12:53:53",1718718833668,1,"18/06/2024 14:53:53",177048,9,"task-xk4o",NA,38353718,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","1366x768","1242x583",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"BCADHEGF","Passed AC2","","spreadsheet_2","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 12","1a4vu2",5,"continue","",3372.00000001192,3353.6,3372.00000001192,3372.00000001192,3353.6,3372.00000001192,1,3372.00000001192,0,0,NA,"Click To Continue","Continue Button",2,"object-2466","Task Instructions",NA,"SUPSCO18638"
7,1718715239564,"18/06/2024 12:53:59",1718718839564,1,"18/06/2024 14:53:59",177048,9,"task-xk4o",NA,38353718,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","1366x768","1242x583",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"BCADHEGF","Passed AC2","","spreadsheet_2","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 13","q9vwda",6,"continue","",5914.1,5905.6,5914.1,5914.1,5905.6,5914.1,1,5914.1,0,0,NA,"Click To Continue","Continue Button",2,"object-2989","Task Instructions",NA,"SUPSCO18638"
8,1718715242279,"18/06/2024 12:54:02",1718718842279,1,"18/06/2024 14:54:02",177048,9,"task-xk4o",NA,38353718,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","1366x768","1242x583",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"BCADHEGF","Passed AC2","","spreadsheet_2","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 11","oyulb7",7,"continue","",2723.5,2701.3,2723.5,2723.5,2701.3,2723.5,1,2723.5,0,0,NA,"Click To Continue","Continue Button",2,"object-52","Task Instructions",NA,"SUPSCO18638"
9,1718715245718,"18/06/2024 12:54:05",1718718845718,1,"18/06/2024 14:54:05",177048,9,"task-xk4o",NA,38353718,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","1366x768","1242x583",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"BCADHEGF","Passed AC2","","spreadsheet_2","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 5","8nvnao",8,"continue","",3461.2,3453.6,3461.2,3461.2,3453.6,3461.2,1,3461.2,0,0,NA,"Click To Continue","Continue Button",2,"object-44","Task Instructions",NA,"SUPSCO18638"
10,1718715245722,"18/06/2024 12:54:05",1718718845722,1,"18/06/2024 14:54:05",177048,9,"task-xk4o",NA,38353718,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","1366x768","1242x583",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"BCADHEGF","Passed AC2","","spreadsheet_2","Spreadsheet1","Spreadsheet1",NA,"","","",NA,"info","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPSCO18638"
1,1719224021197,"24/06/2024 10:13:41",1719227621197,1,"24/06/2024 12:13:41",177048,9,"task-xk4o",NA,38452884,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1280x800","1280x665",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"DECFBGAH","Passed AC2","","spreadsheet","Spreadsheet1","Spreadsheet1",NA,"","","",NA,"info","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPSCO91602"
2,1719224025094,"24/06/2024 10:13:45",1719227625094,1,"24/06/2024 12:13:45",177048,9,"task-xk4o",NA,38452884,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1280x800","1280x665",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"DECFBGAH","Passed AC2","","spreadsheet","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 1","anr7sn",1,"continue","",3693.20000007153,3683.3,3693.20000007153,3693.20000007153,3683.3,3693.20000007153,1,3693.20000007153,0,0,NA,"Click To Continue","Continue Button",3,"object-60","Task Instructions",NA,"SUPSCO91602"
3,1719224027882,"24/06/2024 10:13:47",1719227627882,1,"24/06/2024 12:13:47",177048,9,"task-xk4o",NA,38452884,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1280x800","1280x665",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"DECFBGAH","Passed AC2","","spreadsheet","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 4","spepx9",2,"continue","",2798.30000004768,2783.5,2798.30000004768,2798.30000004768,2783.5,2798.30000004768,1,2798.30000004768,0,0,NA,"Click To Continue","Continue Button",2,"object-9","Task Instructions",NA,"SUPSCO91602"
4,1719224036059,"24/06/2024 10:13:56",1719227636059,1,"24/06/2024 12:13:56",177048,9,"task-xk4o",NA,38452884,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1280x800","1280x665",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"DECFBGAH","Passed AC2","","spreadsheet","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 2","ce2tc8",3,"continue","",8191.70000002384,8183.8,8191.70000002384,8191.70000002384,8183.8,8191.70000002384,1,8191.70000002384,0,0,NA,"Click To Continue","Continue Button",3,"object-59","Task Instructions",NA,"SUPSCO91602"
5,1719224043685,"24/06/2024 10:14:03",1719227643685,1,"24/06/2024 12:14:03",177048,9,"task-xk4o",NA,38452884,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1280x800","1280x665",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"DECFBGAH","Passed AC2","","spreadsheet","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 3","1qtc8v",4,"continue","",7633.1,7616.5,7633.1,7633.1,7616.5,7633.1,1,7633.1,0,0,NA,"Click To Continue","Continue Button",2,"object-2983","Task Instructions",NA,"SUPSCO91602"
6,1719224048707,"24/06/2024 10:14:08",1719227648707,1,"24/06/2024 12:14:08",177048,9,"task-xk4o",NA,38452884,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1280x800","1280x665",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"DECFBGAH","Passed AC2","","spreadsheet","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 12","1a4vu2",5,"continue","",5039.70000009537,5033.5,5039.70000009537,5039.70000009537,5033.5,5039.70000009537,1,5039.70000009537,0,0,NA,"Click To Continue","Continue Button",2,"object-2466","Task Instructions",NA,"SUPSCO91602"
7,1719224053511,"24/06/2024 10:14:13",1719227653511,1,"24/06/2024 12:14:13",177048,9,"task-xk4o",NA,38452884,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1280x800","1280x665",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"DECFBGAH","Passed AC2","","spreadsheet","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 13","q9vwda",6,"continue","",4809.70000009537,4799.9,4809.70000009537,4809.70000009537,4799.9,4809.70000009537,1,4809.70000009537,0,0,NA,"Click To Continue","Continue Button",2,"object-2989","Task Instructions",NA,"SUPSCO91602"
8,1719224056691,"24/06/2024 10:14:16",1719227656691,1,"24/06/2024 12:14:16",177048,9,"task-xk4o",NA,38452884,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1280x800","1280x665",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"DECFBGAH","Passed AC2","","spreadsheet","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 11","oyulb7",7,"continue","",3189.60000004769,3183.4,3189.60000004769,3189.60000004769,3183.4,3189.60000004769,1,3189.60000004769,0,0,NA,"Click To Continue","Continue Button",2,"object-52","Task Instructions",NA,"SUPSCO91602"
9,1719224059672,"24/06/2024 10:14:19",1719227659672,1,"24/06/2024 12:14:19",177048,9,"task-xk4o",NA,38452884,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1280x800","1280x665",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"DECFBGAH","Passed AC2","","spreadsheet","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 5","8nvnao",8,"continue","",2987,2983.5,2987,2987,2983.5,2987,1,2987,0,0,NA,"Click To Continue","Continue Button",2,"object-44","Task Instructions",NA,"SUPSCO91602"
10,1719224059675,"24/06/2024 10:14:19",1719227659675,1,"24/06/2024 12:14:19",177048,9,"task-xk4o",NA,38452884,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1280x800","1280x665",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"DECFBGAH","Passed AC2","","spreadsheet","Spreadsheet1","Spreadsheet1",NA,"","","",NA,"info","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPSCO91602"
1,1719231209757,"24/06/2024 12:13:29",1719234809757,1,"24/06/2024 14:13:29",177048,9,"task-xk4o",NA,38456713,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1280x720","1280x720",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"EFDGCHBA","Passed AC2","","spreadsheet_3","Spreadsheet1","Spreadsheet1",NA,"","","",NA,"info","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPSCO79155"
2,1719231213383,"24/06/2024 12:13:33",1719234813383,1,"24/06/2024 14:13:33",177048,9,"task-xk4o",NA,38456713,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1280x720","1280x720",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"EFDGCHBA","Passed AC2","","spreadsheet_3","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 1","anr7sn",1,"continue","",3527.10000000112,3516.7,3527.10000000112,3527.10000000112,3516.7,3527.10000000112,1,3527.10000000112,0,0,NA,"Click To Continue","Continue Button",3,"object-60","Task Instructions",NA,"SUPSCO79155"
3,1719231216137,"24/06/2024 12:13:36",1719234816137,1,"24/06/2024 14:13:36",177048,9,"task-xk4o",NA,38456713,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1280x720","1280x720",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"EFDGCHBA","Passed AC2","","spreadsheet_3","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 4","spepx9",2,"continue","",2765.30000000149,2750.1,2765.30000000149,2765.30000000149,2750.1,2765.30000000149,1,2765.30000000149,0,0,NA,"Click To Continue","Continue Button",2,"object-9","Task Instructions",NA,"SUPSCO79155"
4,1719231221940,"24/06/2024 12:13:41",1719234821940,1,"24/06/2024 14:13:41",177048,9,"task-xk4o",NA,38456713,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1280x720","1280x720",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"EFDGCHBA","Passed AC2","","spreadsheet_3","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 2","ce2tc8",3,"continue","",5818.40000000075,5816.7,5818.40000000075,5818.40000000075,5816.7,5818.40000000075,1,5818.40000000075,0,0,NA,"Click To Continue","Continue Button",3,"object-59","Task Instructions",NA,"SUPSCO79155"
5,1719231229698,"24/06/2024 12:13:49",1719234829698,1,"24/06/2024 14:13:49",177048,9,"task-xk4o",NA,38456713,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1280x720","1280x720",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"EFDGCHBA","Passed AC2","","spreadsheet_3","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 3","1qtc8v",4,"continue","",7759.50000000149,7750.3,7759.50000000149,7759.50000000149,7750.3,7759.50000000149,1,7759.50000000149,0,0,NA,"Click To Continue","Continue Button",2,"object-2983","Task Instructions",NA,"SUPSCO79155"
6,1719231238726,"24/06/2024 12:13:58",1719234838726,1,"24/06/2024 14:13:58",177048,9,"task-xk4o",NA,38456713,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1280x720","1280x720",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"EFDGCHBA","Passed AC2","","spreadsheet_3","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 12","1a4vu2",5,"continue","",9036.80000000112,9033.3,9036.80000000112,9036.80000000112,9033.3,9036.80000000112,1,9036.80000000112,0,0,NA,"Click To Continue","Continue Button",2,"object-2466","Task Instructions",NA,"SUPSCO79155"
7,1719231243430,"24/06/2024 12:14:03",1719234843430,1,"24/06/2024 14:14:03",177048,9,"task-xk4o",NA,38456713,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1280x720","1280x720",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"EFDGCHBA","Passed AC2","","spreadsheet_3","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 13","q9vwda",6,"continue","",4708.3,4700,4708.3,4708.3,4700,4708.3,1,4708.3,0,0,NA,"Click To Continue","Continue Button",2,"object-2989","Task Instructions",NA,"SUPSCO79155"
8,1719231249796,"24/06/2024 12:14:09",1719234849796,1,"24/06/2024 14:14:09",177048,9,"task-xk4o",NA,38456713,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1280x720","1280x720",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"EFDGCHBA","Passed AC2","","spreadsheet_3","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 11","oyulb7",7,"continue","",6373.8,6367,6373.8,6373.8,6367,6373.8,1,6373.8,0,0,NA,"Click To Continue","Continue Button",2,"object-52","Task Instructions",NA,"SUPSCO79155"
9,1719231252307,"24/06/2024 12:14:12",1719234852307,1,"24/06/2024 14:14:12",177048,9,"task-xk4o",NA,38456713,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1280x720","1280x720",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"EFDGCHBA","Passed AC2","","spreadsheet_3","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 5","8nvnao",8,"continue","",2518.50000000112,2516.5,2518.50000000112,2518.50000000112,2516.5,2518.50000000112,1,2518.50000000112,0,0,NA,"Click To Continue","Continue Button",2,"object-44","Task Instructions",NA,"SUPSCO79155"
10,1719231252311,"24/06/2024 12:14:12",1719234852311,1,"24/06/2024 14:14:12",177048,9,"task-xk4o",NA,38456713,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1280x720","1280x720",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"EFDGCHBA","Passed AC2","","spreadsheet_3","Spreadsheet1","Spreadsheet1",NA,"","","",NA,"info","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPSCO79155"
