"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","counterbalance.qny1","Consent.Form.object.2.I.have.read.the.information.above.and.understand.I.can.email.the.researchers.with.any.questions...I.Agree.","Consent.Form.object.2.I.consent.to.the.collection.of.my.personal.data.such.as.name..date.of.birth..age..gender..sex..health.information..email.address.and.phone.number...I.Agree.","Consent.Form.object.2.I.consent.to.a.video..eye.movement.and.audio.recording.of.the.testing.session.to.take.place...I.Agree.","Consent.Form.object.2.I.understand.that.the.video.and.audio.recording.data.will.be.kept.safe.on.a.secure.university.computer.and.storing.system.to.which.access.is.highly.restricted..only.by.the.study.team..and.will.be.de.identified.and.destroyed.at.the.end.of.the.study...I.Agree.","Consent.Form.object.2.I.consent.to.the.collection.of.the.following.types.of.research.data..mental.health.questionnaires.and.performance.on.computerised.tasks...I.Agree.","Consent.Form.object.2.I.understand.that.the.lawful.basis.for.processing.my.personal.information.is..public.task...and.the.lawful.basis.for.processing.my.special.category.information.is.research.purposes...I.Agree.","Consent.Form.object.2.I.understand.that.my.personally.identifying.data.will.be.deleted.at.the.end.of.the.study...I.Agree.","Consent.Form.object.2.I.understand.that.all.personal.information.will.remain.confidential.and.that.all.efforts.will.be.made.to.ensure.I.cannot.be.identified..except.as.required.by.law...I.understand.that.my.data.will.be.stored.securely.and.pseudonymously.during.the.study.period..and.will.be.anonymised.after.the.study.is.complete...I.Agree.","Consent.Form.object.2.I.understand.that.my.participation.is.completely.voluntary.and.that.I.am.free.to.withdraw.at.any.point.without.giving.any.reason.and.without.any.penalty...I.Agree.","Consent.Form.object.2.I.understand.that.confidentiality.will.be.strictly.adhered.to.and.it.will.not.be.possible.to.identify.me.in.any.publications.or.presentations..I.understand.that.such.confidentiality.is.limited.if.evidence.of.wrongdoing.or.potential.harm.is.uncovered..In.such.cases.the.researcher.may.be.obliged.to.contact.relevant.statutory.bodies.agencies...I.Agree.","Consent.Form.object.2.I.understand.the.benefits.of.participating.as.stated.in.the.Information.Sheet..including.the.receipt.of.financial.compensation.of.Love2Shop.voucher.e.Gift.cards.at.the.rate.of..8.per.hour...I.Agree.","Consent.Form.object.2.I.understand.that.only.fully.anonymised.research.data.from.the.study.will.be.presented..published.or.archived.in.an.open.access.repository..which.might.be.used.for.future.analysis.by.other.researchers.not.connected.with.UCL..I.Agree.","Consent.Form.object.2.I.hereby.confirm.that.I.am.aged.between.14...18.years.old..speak.fluent.English..and.am.able.to.complete.testing.from.a.computer.with.a.good.internet.connection..in.a.private.space..I.Agree.","Multiple.Choice.object.12.Response","Multiple.Choice.object.12.Quantised","Text.Input.object.29.Value","Random_ID_new"
1,1732119878125,"20/11/2024 16:24:38",1732119878125,0,"20/11/2024 16:24:38",177048,9,"questionnaire-rcv8",NA,41493659,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 130.0.0.0","1440x900","1440x754",NA,NA,0,"Consent Under 18",4,"HAGBFCED","Passed AC2","","spreadsheet_3",1,1,1,1,1,1,1,1,1,1,1,1,1,"Yes",1,"SUPSCH56785","SUPSCO66456"
1,1732194235798,"21/11/2024 13:03:55",1732194235798,0,"21/11/2024 13:03:55",177048,9,"questionnaire-rcv8",NA,41513975,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 131.0.0.0","1440x900","1440x760",NA,NA,0,"Consent Under 18",4,"BCADHEGF","Passed AC2","","spreadsheet_3",1,1,1,1,1,1,1,1,1,1,1,1,1,"Yes",1,"SUPSCH69675","SUPSCO02221"
1,1732293447474,"22/11/2024 16:37:27",1732293447474,0,"22/11/2024 16:37:27",177048,9,"questionnaire-rcv8",NA,41545984,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 130.0.0.0","1680x1050","1680x842",NA,NA,0,"Consent Under 18",4,"CDBEAFHG","Passed AC2","","spreadsheet_4",1,1,1,1,1,1,1,1,1,1,1,1,1,"Yes",1,"SUPSCH54488","SUPSCO71524"
1,1732548386300,"25/11/2024 15:26:26",1732548386300,0,"25/11/2024 15:26:26",177048,9,"questionnaire-rcv8",NA,41597966,NA,"complete",NA,NA,"computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 130.0.0.0","1536x864","1536x743",NA,NA,0,"Consent Under 18",4,"EFDGCHBA","Passed AC2","","spreadsheet",1,1,1,1,1,1,1,1,1,1,1,1,1,"No",2,"SUPSCH37474","SUPSCO36211"
1,1733243513091,"03/12/2024 16:31:53",1733243513091,0,"03/12/2024 16:31:53",177048,9,"questionnaire-rcv8",NA,41776251,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 131.0.0.0","1536x864","1536x730",NA,NA,0,"Consent Under 18",4,"GHFAEBDC","Passed AC2","","spreadsheet_4",1,1,1,1,1,1,1,1,1,1,1,1,1,"No",2,"SUPSCH41006","SUPSCO64805"
1,1733243592655,"03/12/2024 16:33:12",1733243592655,0,"03/12/2024 16:33:12",177048,9,"questionnaire-rcv8",NA,41776357,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 131.0.0.0","1470x956","1470x832",NA,NA,0,"Consent Under 18",4,"HAGBFCED","Passed AC2","","spreadsheet_3",1,1,1,1,1,1,1,1,1,1,1,1,1,"Yes",1,"SUPSCH55461","SUPSCO15036"
1,1733493402589,"06/12/2024 13:56:42",1733493402589,0,"06/12/2024 13:56:42",177048,9,"questionnaire-rcv8",NA,41855194,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 131.0.0.0","1536x960","1536x826",NA,NA,0,"Consent Under 18",4,"ABHCGDFE","Passed AC2","","spreadsheet_2",1,1,1,1,1,1,1,1,1,1,1,1,1,"Yes",1,"SUPSCH01409","SUPSCO12262"
1,1732892426192,"29/11/2024 15:00:26",1732892426192,0,"29/11/2024 15:00:26",177048,9,"questionnaire-rcv8",NA,41699922,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 131.0.0.0","1920x1080","1920x911",NA,NA,0,"Consent Under 18",4,"FGEHDACB","Passed AC2","","spreadsheet_2",1,1,1,1,1,1,1,1,1,1,1,1,1,"Yes",1,"SUPSCH69585","SUPSCO98984"
1,1732120291968,"20/11/2024 16:31:31",1732120291968,0,"20/11/2024 16:31:31",177048,9,"questionnaire-rcv8",NA,41493889,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1366x768","1366x633",NA,NA,0,"Consent Under 18",4,"ABHCGDFE","Passed AC2","","spreadsheet",1,1,1,1,1,1,1,1,1,1,1,1,1,"Yes",1,"SUPSCH69845","SUPSCO70018"
1,1732031923566,"19/11/2024 15:58:43",1732031923566,0,"19/11/2024 15:58:43",177048,9,"questionnaire-rcv8",NA,41463027,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 131.0.0.0","1440x900","1200x682",NA,NA,0,"Consent Under 18",4,"EFDGCHBA","Passed AC2","","spreadsheet_2",1,1,1,1,1,1,1,1,1,1,1,1,1,"Yes",1,"SUPSCH33905","SUPSCO70172"
