"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","randomiser.lqqr","randomiser.28m8","randomiser.tf5j","branch.vlgf","Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Spreadsheet..Index","Spreadsheet..X1","Spreadsheet..X2","Spreadsheet..Display","Spreadsheet..test_response_save","Manipulation..Spreadsheet","Store..test_response_save","Random_ID"
"1",1690961236865,"02/08/2023 07:27:16",1690964836865,1,"02/08/2023 09:27:16",139282,42,"task-g4az",NA,30997042,9195426,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1200x800","1200x651",NA,NA,NA,"Feedback Phrases Task - List 2",8,"In","DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In","Feedback Phrases List 2","Feedback Phrases List 2",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"",NA,NA,"","","",NA,NA,NA,"SUPTM46030"
"2",1690961252173,"02/08/2023 07:27:32",1690964852173,1,"02/08/2023 09:27:32",139282,42,"task-g4az",NA,30997042,9195426,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1200x800","1200x651",NA,NA,NA,"Feedback Phrases Task - List 2",8,"In","DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In","Feedback Phrases List 2","Feedback Phrases List 2",1,"Instructions","Screen 3","6w7c99",1,"continue","",15318.261,15301.5,15318.261,15318.261,15301.5,15318.261,1,15318.261,0,0,NA,"Click To Continue","Continue Button",2,"object-29",NA,NA,"","","Instructions",NA,NA,NA,"SUPTM46030"
"3",1690961254692,"02/08/2023 07:27:34",1690964854692,1,"02/08/2023 09:27:34",139282,42,"task-g4az",NA,30997042,9195426,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1200x800","1200x651",NA,NA,NA,"Feedback Phrases Task - List 2",8,"In","DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In","Feedback Phrases List 2","Feedback Phrases List 2",1,"Instructions","Screen 4","4vof69",2,"continue","",2545.37299999404,2537.429,2545.37299999404,2545.37299999404,2537.429,2545.37299999404,1,2545.37299999404,0,0,NA,"Click To Continue","Continue Button",2,"object-41",NA,NA,"","","Instructions",NA,NA,NA,"SUPTM46030"
"4",1690961258196,"02/08/2023 07:27:38",1690964858196,1,"02/08/2023 09:27:38",139282,42,"task-g4az",NA,30997042,9195426,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1200x800","1200x651",NA,NA,NA,"Feedback Phrases Task - List 2",8,"In","DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In","Feedback Phrases List 2","Feedback Phrases List 2",1,"Task","Screen 1","113qg5",1,"continue","",3511.54399998808,3505.24,3511.54399998808,3511.54399998808,3505.24,3511.54399998808,1,3511.54399998808,0,0,NA,"Click To Continue","Text_left_X2",3,"object-19",NA,1,"You did what was asked of you.","You came across really well.","Task",NA,NA,NA,"SUPTM46030"
"5",1690961259960,"02/08/2023 07:27:39",1690964859960,1,"02/08/2023 09:27:39",139282,42,"task-g4az",NA,30997042,9195426,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1200x800","1200x651",NA,NA,NA,"Feedback Phrases Task - List 2",8,"In","DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In","Feedback Phrases List 2","Feedback Phrases List 2",1,"Task","Screen 3","izqege",2,"continue","",1769.177,1769.177,1769.177,1769.177,1769.177,1769.177,1,1769.177,0,0,NA,"Fixation Timing","Fixation Cross",1,"object-48",NA,1,"You did what was asked of you.","You came across really well.","Task",NA,NA,NA,"SUPTM46030"
"6",1690961265564,"02/08/2023 07:27:45",1690964865564,1,"02/08/2023 09:27:45",139282,42,"task-g4az",NA,30997042,9195426,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1200x800","1200x651",NA,NA,NA,"Feedback Phrases Task - List 2",8,"In","DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In","Feedback Phrases List 2","Feedback Phrases List 2",2,"Task","Screen 1","113qg5",1,"continue","",5605.427,5591.976,5605.427,5605.427,5591.976,5605.427,1,5605.427,0,0,NA,"Click To Continue","Text_left_X1",2,"object-18",NA,1,"You're very articulate.","That was perfect.","Task",NA,NA,NA,"SUPTM46030"
"7",1690961267321,"02/08/2023 07:27:47",1690964867321,1,"02/08/2023 09:27:47",139282,42,"task-g4az",NA,30997042,9195426,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1200x800","1200x651",NA,NA,NA,"Feedback Phrases Task - List 2",8,"In","DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In","Feedback Phrases List 2","Feedback Phrases List 2",2,"Task","Screen 3","izqege",2,"continue","",1769.192,1769.192,1769.192,1769.192,1769.192,1769.192,1,1769.192,0,0,NA,"Fixation Timing","Fixation Cross",1,"object-48",NA,1,"You're very articulate.","That was perfect.","Task",NA,NA,NA,"SUPTM46030"
"8",1690961268788,"02/08/2023 07:27:48",1690964868788,1,"02/08/2023 09:27:48",139282,42,"task-g4az",NA,30997042,9195426,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1200x800","1200x651",NA,NA,NA,"Feedback Phrases Task - List 2",8,"In","DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In","Feedback Phrases List 2","Feedback Phrases List 2",3,"Task","Screen 1","113qg5",1,"continue","",1468.55900001192,1452.19,1468.55900001192,1468.55900001192,1452.19,1468.55900001192,1,1468.55900001192,0,0,NA,"Click To Continue","Text_left_X2",3,"object-19",NA,1,"You did what was asked of you.","You appear very smart.","Task",NA,NA,NA,"SUPTM46030"
"9",1690961270542,"02/08/2023 07:27:50",1690964870542,1,"02/08/2023 09:27:50",139282,42,"task-g4az",NA,30997042,9195426,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1200x800","1200x651",NA,NA,NA,"Feedback Phrases Task - List 2",8,"In","DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In","Feedback Phrases List 2","Feedback Phrases List 2",3,"Task","Screen 3","izqege",2,"continue","",1769.487,1769.487,1769.487,1769.487,1769.487,1769.487,1,1769.487,0,0,NA,"Fixation Timing","Fixation Cross",1,"object-48",NA,1,"You did what was asked of you.","You appear very smart.","Task",NA,NA,NA,"SUPTM46030"
"10",1690961276005,"02/08/2023 07:27:56",1690964876005,1,"02/08/2023 09:27:56",139282,42,"task-g4az",NA,30997042,9195426,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1200x800","1200x651",NA,NA,NA,"Feedback Phrases Task - List 2",8,"In","DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In","Feedback Phrases List 2","Feedback Phrases List 2",4,"Task","Screen 1","113qg5",1,"continue","",5463.582,5458.001,5463.582,5463.582,5458.001,5463.582,1,5463.582,0,0,NA,"Click To Continue","Text_left_X1",2,"object-18",NA,1,"Excellent!","You seemed very in-control.","Task",NA,NA,NA,"SUPTM46030"
