"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","randomiser.lqqr","randomiser.28m8","randomiser.tf5j","branch.vlgf","Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Spreadsheet..stimulus","Spreadsheet..P","Spreadsheet..N","Manipulation..Spreadsheet","Random_ID"
"1",1691004334239,"02/08/2023 19:25:34",1691007934239,1,"02/08/2023 21:25:34",139282,42,"task-s9co",NA,31015665,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Video Feedback Task (Clone)",6,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In",1,1,NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","","","","",NA,"SUPTM61449"
"2",1691004387522,"02/08/2023 19:26:27",1691007987522,1,"02/08/2023 21:26:27",139282,42,"task-s9co",NA,31015665,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Video Feedback Task (Clone)",6,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In",1,1,1,"Neutral Feedback","Screen 1","3zrml3",1,"continue","",53050.23,53033.556,53050.23,53050.23,53033.556,53050.23,1,53050.23,0,0,NA,"Click To Continue","Continue Button",1,"object-155","Neutral Feedback","P2_N.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPTM61449"
"3",1691004387530,"02/08/2023 19:26:27",1691007987530,1,"02/08/2023 21:26:27",139282,42,"task-s9co",NA,31015665,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Video Feedback Task (Clone)",6,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In",1,1,1,"Neutral Feedback","Screen 1","3zrml3",1,"response","She retains the ability to paint an accurate picture.",39050.149,53033.556,53050.23,39050.149,53033.556,53050.23,1,39050.149,14000.081,0,NA,"Text Entry","Text Entry",4,"object-158","Neutral Feedback","P2_N.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPTM61449"
"4",1691004387531,"02/08/2023 19:26:27",1691007987531,1,"02/08/2023 21:26:27",139282,42,"task-s9co",NA,31015665,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Video Feedback Task (Clone)",6,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In",1,1,1,"Neutral Feedback","Screen 1","3zrml3",1,"response","She lists in sequence the objects in the video.",28200.103,53033.556,53050.23,28200.103,53033.556,53050.23,1,28200.103,24850.127,0,NA,"Text Entry","Text Entry",5,"object-159","Neutral Feedback","P2_N.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPTM61449"
"5",1691004388472,"02/08/2023 19:26:28",1691007988472,1,"02/08/2023 21:26:28",139282,42,"task-s9co",NA,31015665,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Video Feedback Task (Clone)",6,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In",1,1,1,"Neutral Feedback","Screen 2","vv4mhq",2,"continue","",966.665000000001,966.665000000001,966.665000000001,966.665000000001,966.665000000001,966.665000000001,1,966.665000000001,0,0,NA,"Fixation Timing","Fixation",1,"object-153","Neutral Feedback","P2_N.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPTM61449"
"6",1691004435896,"02/08/2023 19:27:15",1691008035896,1,"02/08/2023 21:27:15",139282,42,"task-s9co",NA,31015665,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Video Feedback Task (Clone)",6,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In",1,1,1,"Positive Feedback","Video","w2ir4b",1,"continue","",47425.7890000006,47416.868,47425.7890000006,47425.7890000006,47416.868,47425.7890000006,1,47425.7890000006,0,0,NA,"Click To Continue","Continue Button",1,"object-14","Positive Feedback","P5_P.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPTM61449"
"7",1691004435902,"02/08/2023 19:27:15",1691008035902,1,"02/08/2023 21:27:15",139282,42,"task-s9co",NA,31015665,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Video Feedback Task (Clone)",6,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In",1,1,1,"Positive Feedback","Video","w2ir4b",1,"response","Her speech is concise and doesn't drag on.",26800.104,47416.868,47431.9890000007,26800.104,47416.868,47431.9890000007,1,26800.104,20631.8850000008,0,NA,"Text Entry","Text Entry",4,"object-19","Positive Feedback","P5_P.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPTM61449"
"8",1691004435903,"02/08/2023 19:27:15",1691008035903,1,"02/08/2023 21:27:15",139282,42,"task-s9co",NA,31015665,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Video Feedback Task (Clone)",6,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In",1,1,1,"Positive Feedback","Video","w2ir4b",1,"response","She gives detail to paint an accurate picture.",12600.053,47416.868,47432.9890000007,12600.053,47416.868,47432.9890000007,1,12600.053,34832.9360000007,0,NA,"Text Entry","Text Entry",5,"object-20","Positive Feedback","P5_P.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPTM61449"
"9",1691004436855,"02/08/2023 19:27:16",1691008036855,1,"02/08/2023 21:27:16",139282,42,"task-s9co",NA,31015665,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Video Feedback Task (Clone)",6,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In",1,1,1,"Positive Feedback","Fixation","mtm832",2,"continue","",966.667999999991,966.667999999991,966.667999999991,966.667999999991,966.667999999991,966.667999999991,1,966.667999999991,0,0,NA,"Fixation Timing","Fixation",1,"object-65","Positive Feedback","P5_P.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPTM61449"
"10",1691004474337,"02/08/2023 19:27:54",1691008074337,1,"02/08/2023 21:27:54",139282,42,"task-s9co",NA,31015665,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Video Feedback Task (Clone)",6,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In",1,1,2,"Positive Feedback","Video","w2ir4b",1,"continue","",37483.49,37466.824,37483.49,37483.49,37466.824,37483.49,1,37483.49,0,0,NA,"Click To Continue","Continue Button",1,"object-14","Positive Feedback","P2_P.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPTM61449"
"11",1691004474347,"02/08/2023 19:27:54",1691008074347,1,"02/08/2023 21:27:54",139282,42,"task-s9co",NA,31015665,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Video Feedback Task (Clone)",6,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In",1,1,2,"Positive Feedback","Video","w2ir4b",1,"response","She offers her own input.",32366.802,37466.824,37483.49,32366.802,37466.824,37483.49,1,32366.802,5116.68799999999,0,NA,"Text Entry","Text Entry",4,"object-19","Positive Feedback","P2_P.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPTM61449"
"12",1691004474348,"02/08/2023 19:27:54",1691008074348,1,"02/08/2023 21:27:54",139282,42,"task-s9co",NA,31015665,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Video Feedback Task (Clone)",6,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In",1,1,2,"Positive Feedback","Video","w2ir4b",1,"response","She gives detail about the small things.",16033.406,37466.824,37483.49,16033.406,37466.824,37483.49,1,16033.406,21450.084,0,NA,"Text Entry","Text Entry",5,"object-20","Positive Feedback","P2_P.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPTM61449"
"13",1691004475288,"02/08/2023 19:27:55",1691008075288,1,"02/08/2023 21:27:55",139282,42,"task-s9co",NA,31015665,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Video Feedback Task (Clone)",6,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In",1,1,2,"Positive Feedback","Fixation","mtm832",2,"continue","",966.671000000002,966.671000000002,966.671000000002,966.671000000002,966.671000000002,966.671000000002,1,966.671000000002,0,0,NA,"Fixation Timing","Fixation",1,"object-65","Positive Feedback","P2_P.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPTM61449"
