"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","randomiser.lqqr","randomiser.28m8","randomiser.tf5j","branch.vlgf","Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID"
"1",1690987821420,"02/08/2023 14:50:21",1690991421420,1,"02/08/2023 16:50:21",139282,42,"questionnaire-uu2n",NA,31010121,9197908,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Edge 115.0.1901.188","1536x864","832x700",NA,NA,NA,"BIQ (Charlotte)",2,"In","GHFIEJDACB","B (Feedback ranking_L1 First)","study_1 (JV and feedback_list_1)","","In","Spreadsheet1","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPTM18638"
"2",1690987849741,"02/08/2023 14:50:49",1690991449741,1,"02/08/2023 16:50:49",139282,42,"questionnaire-uu2n",NA,31010121,9197908,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Edge 115.0.1901.188","1536x864","832x700",NA,NA,NA,"BIQ (Charlotte)",2,"In","GHFIEJDACB","B (Feedback ranking_L1 First)","study_1 (JV and feedback_list_1)","","In","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"continue","",28342.8349999821,28329.539,28342.8349999821,28342.8349999821,28329.539,28342.8349999821,1,28342.8349999821,0,0,NA,"Click To Continue","Continue Button",23,"object-48","BIQ",NA,"SUPTM18638"
"3",1690987849749,"02/08/2023 14:50:49",1690991449749,1,"02/08/2023 16:50:49",139282,42,"questionnaire-uu2n",NA,31010121,9197908,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Edge 115.0.1901.188","1536x864","832x700",NA,NA,NA,"BIQ (Charlotte)",2,"In","GHFIEJDACB","B (Feedback ranking_L1 First)","study_1 (JV and feedback_list_1)","","In","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","7",22664.153,28329.539,28345.755,22664.153,28329.539,28345.755,1,22664.153,5681.602,0,NA,"Rating Scale","Rating Scale",3,"object-5","BIQ",NA,"SUPTM18638"
"4",1690987849750,"02/08/2023 14:50:49",1690991449750,1,"02/08/2023 16:50:49",139282,42,"questionnaire-uu2n",NA,31010121,9197908,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Edge 115.0.1901.188","1536x864","832x700",NA,NA,NA,"BIQ (Charlotte)",2,"In","GHFIEJDACB","B (Feedback ranking_L1 First)","study_1 (JV and feedback_list_1)","","In","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","8",25480.017,28329.539,28345.755,25480.017,28329.539,28345.755,1,25480.017,2865.738,0,NA,"Rating Scale","Rating Scale",10,"object-18","BIQ",NA,"SUPTM18638"
"5",1690987849751,"02/08/2023 14:50:49",1690991449751,1,"02/08/2023 16:50:49",139282,42,"questionnaire-uu2n",NA,31010121,9197908,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Edge 115.0.1901.188","1536x864","832x700",NA,NA,NA,"BIQ (Charlotte)",2,"In","GHFIEJDACB","B (Feedback ranking_L1 First)","study_1 (JV and feedback_list_1)","","In","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","2",27696.343,28329.539,28345.755,27696.343,28329.539,28345.755,1,27696.343,649.412,0,NA,"Rating Scale","Rating Scale",17,"object-80","BIQ",NA,"SUPTM18638"
"6",1690987863231,"02/08/2023 14:51:03",1690991463231,1,"02/08/2023 16:51:03",139282,42,"questionnaire-uu2n",NA,31010121,9197908,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Edge 115.0.1901.188","1536x864","832x700",NA,NA,NA,"BIQ (Charlotte)",2,"In","GHFIEJDACB","B (Feedback ranking_L1 First)","study_1 (JV and feedback_list_1)","","In","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"continue","",13505.496,13498.756,13505.496,13505.496,13498.756,13505.496,1,13505.496,0,0,NA,"Click To Continue","Continue Button",22,"object-50","BIQ",NA,"SUPTM18638"
"7",1690987863237,"02/08/2023 14:51:03",1690991463237,1,"02/08/2023 16:51:03",139282,42,"questionnaire-uu2n",NA,31010121,9197908,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Edge 115.0.1901.188","1536x864","832x700",NA,NA,NA,"BIQ (Charlotte)",2,"In","GHFIEJDACB","B (Feedback ranking_L1 First)","study_1 (JV and feedback_list_1)","","In","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","1",4599.475,13498.756,13511.1959999881,4599.475,13498.756,13511.1959999881,1,4599.475,8911.72099998808,0,NA,"Rating Scale","Rating Scale",2,"object-259","BIQ",NA,"SUPTM18638"
"8",1690987863238,"02/08/2023 14:51:03",1690991463238,1,"02/08/2023 16:51:03",139282,42,"questionnaire-uu2n",NA,31010121,9197908,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Edge 115.0.1901.188","1536x864","832x700",NA,NA,NA,"BIQ (Charlotte)",2,"In","GHFIEJDACB","B (Feedback ranking_L1 First)","study_1 (JV and feedback_list_1)","","In","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","2",7282.201,13498.756,13512.496,7282.201,13498.756,13512.496,1,7282.201,6230.295,0,NA,"Rating Scale","Rating Scale",9,"object-36","BIQ",NA,"SUPTM18638"
"9",1690987863240,"02/08/2023 14:51:03",1690991463240,1,"02/08/2023 16:51:03",139282,42,"questionnaire-uu2n",NA,31010121,9197908,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Edge 115.0.1901.188","1536x864","832x700",NA,NA,NA,"BIQ (Charlotte)",2,"In","GHFIEJDACB","B (Feedback ranking_L1 First)","study_1 (JV and feedback_list_1)","","In","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","0",12714.724,13498.756,13514.396000006,12714.724,13498.756,13514.396000006,1,12714.724,799.672000005958,0,NA,"Rating Scale","Rating Scale",16,"object-86","BIQ",NA,"SUPTM18638"
"10",1690987884057,"02/08/2023 14:51:24",1690991484057,1,"02/08/2023 16:51:24",139282,42,"questionnaire-uu2n",NA,31010121,9197908,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Edge 115.0.1901.188","1536x864","832x700",NA,NA,NA,"BIQ (Charlotte)",2,"In","GHFIEJDACB","B (Feedback ranking_L1 First)","study_1 (JV and feedback_list_1)","","In","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"continue","",20832.640000006,20829.602,20832.640000006,20832.640000006,20829.602,20832.640000006,1,20832.640000006,0,0,NA,"Click To Continue","Continue Button",22,"object-73","BIQ",NA,"SUPTM18638"
