"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","randomiser.lqqr","randomiser.28m8","randomiser.tf5j","branch.vlgf","Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Spreadsheet..Index","Spreadsheet..X1","Spreadsheet..X2","Spreadsheet..Display","Spreadsheet..test_response_save","Manipulation..Spreadsheet","Store..test_response_save","Random_ID"
"141",1691006381533,"02/08/2023 19:59:41",1691009981533,1,"02/08/2023 21:59:41",139282,42,"task-lqy7",NA,31015924,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Feedback Phrases Task - List 2",8,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In","Feedback Phrases List 2","Feedback Phrases List 2",69,"Task","Screen 3","izqege",2,"continue","",1766.74399999995,1766.74399999995,1766.74399999995,1766.74399999995,1766.74399999995,1766.74399999995,1,1766.74399999995,0,0,NA,"Fixation Timing","Fixation Cross",1,"object-48",NA,1,"That was satisfactory.","I could easily picture what you were describing.","Task",NA,NA,NA,"SUPTM61449"
"142",1691006383344,"02/08/2023 19:59:43",1691009983344,1,"02/08/2023 21:59:43",139282,42,"task-lqy7",NA,31015924,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Feedback Phrases Task - List 2",8,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In","Feedback Phrases List 2","Feedback Phrases List 2",70,"Task","Screen 1","113qg5",1,"continue","",1813.64399999927,1799.95999999996,1813.64399999927,1813.64399999927,1799.95999999996,1813.64399999927,1,1813.64399999927,0,0,NA,"Click To Continue","Text_left_X1",2,"object-18",NA,1,"You did what was asked of you.","That was perfect.","Task",NA,NA,NA,"SUPTM61449"
"143",1691006385099,"02/08/2023 19:59:45",1691009985099,1,"02/08/2023 21:59:45",139282,42,"task-lqy7",NA,31015924,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Feedback Phrases Task - List 2",8,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In","Feedback Phrases List 2","Feedback Phrases List 2",70,"Task","Screen 3","izqege",2,"continue","",1766.72700000007,1766.72700000007,1766.72700000007,1766.72700000007,1766.72700000007,1766.72700000007,1,1766.72700000007,0,0,NA,"Fixation Timing","Fixation Cross",1,"object-48",NA,1,"You did what was asked of you.","That was perfect.","Task",NA,NA,NA,"SUPTM61449"
"144",1691006386593,"02/08/2023 19:59:46",1691009986593,1,"02/08/2023 21:59:46",139282,42,"task-lqy7",NA,31015924,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Feedback Phrases Task - List 2",8,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In","Feedback Phrases List 2","Feedback Phrases List 2",71,"Task","Screen 1","113qg5",1,"continue","",1495.55700000073,1483.30799999996,1495.55700000073,1495.55700000073,1483.30799999996,1495.55700000073,1,1495.55700000073,0,0,NA,"Click To Continue","Text_left_X2",3,"object-19",NA,1,"Well done!","You are really engaging when you speak.","Task",NA,NA,NA,"SUPTM61449"
"145",1691006388349,"02/08/2023 19:59:48",1691009988349,1,"02/08/2023 21:59:48",139282,42,"task-lqy7",NA,31015924,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Feedback Phrases Task - List 2",8,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In","Feedback Phrases List 2","Feedback Phrases List 2",71,"Task","Screen 3","izqege",2,"continue","",1766.71799999999,1766.71799999999,1766.71799999999,1766.71799999999,1766.71799999999,1766.71799999999,1,1766.71799999999,0,0,NA,"Fixation Timing","Fixation Cross",1,"object-48",NA,1,"Well done!","You are really engaging when you speak.","Task",NA,NA,NA,"SUPTM61449"
"146",1691006390753,"02/08/2023 19:59:50",1691009990753,1,"02/08/2023 21:59:50",139282,42,"task-lqy7",NA,31015924,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Feedback Phrases Task - List 2",8,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In","Feedback Phrases List 2","Feedback Phrases List 2",72,"Task","Screen 1","113qg5",1,"continue","",2405.73100000003,2399.92000000004,2405.73100000003,2405.73100000003,2399.92000000004,2405.73100000003,1,2405.73100000003,0,0,NA,"Click To Continue","Text_left_X2",3,"object-19",NA,1,"That was satisfactory.","You came across really well.","Task",NA,NA,NA,"SUPTM61449"
"147",1691006392515,"02/08/2023 19:59:52",1691009992515,1,"02/08/2023 21:59:52",139282,42,"task-lqy7",NA,31015924,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Feedback Phrases Task - List 2",8,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In","Feedback Phrases List 2","Feedback Phrases List 2",72,"Task","Screen 3","izqege",2,"continue","",1766.77899999998,1766.77899999998,1766.77899999998,1766.77899999998,1766.77899999998,1766.77899999998,1,1766.77899999998,0,0,NA,"Fixation Timing","Fixation Cross",1,"object-48",NA,1,"That was satisfactory.","You came across really well.","Task",NA,NA,NA,"SUPTM61449"
"148",1691006404723,"02/08/2023 20:00:04",1691010004723,1,"02/08/2023 22:00:04",139282,42,"task-lqy7",NA,31015924,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Feedback Phrases Task - List 2",8,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In","Feedback Phrases List 2","Feedback Phrases List 2",73,"Task","Screen 1","113qg5",1,"continue","",12208.532,12199.527,12208.532,12208.532,12199.527,12208.532,1,12208.532,0,0,NA,"Click To Continue","Text_left_X2",3,"object-19",NA,1,"You appeared very confident.","You came across really well.","Task",NA,NA,NA,"SUPTM61449"
"149",1691006406483,"02/08/2023 20:00:06",1691010006483,1,"02/08/2023 22:00:06",139282,42,"task-lqy7",NA,31015924,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Feedback Phrases Task - List 2",8,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In","Feedback Phrases List 2","Feedback Phrases List 2",73,"Task","Screen 3","izqege",2,"continue","",1767.22199999995,1767.22199999995,1767.22199999995,1767.22199999995,1767.22199999995,1767.22199999995,1,1767.22199999995,0,0,NA,"Fixation Timing","Fixation Cross",1,"object-48",NA,1,"You appeared very confident.","You came across really well.","Task",NA,NA,NA,"SUPTM61449"
"150",1691006417582,"02/08/2023 20:00:17",1691010017582,1,"02/08/2023 22:00:17",139282,42,"task-lqy7",NA,31015924,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Feedback Phrases Task - List 2",8,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In","Feedback Phrases List 2","Feedback Phrases List 2",74,"Task","Screen 1","113qg5",1,"continue","",11101.4829999993,11099.821,11101.4829999993,11101.4829999993,11099.821,11101.4829999993,1,11101.4829999993,0,0,NA,"Click To Continue","Text_left_X1",2,"object-18",NA,1,"You're very articulate.","You appeared very confident.","Task",NA,NA,NA,"SUPTM61449"
