"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","counterbalance.huxg","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day.Quantised","Random_ID"
"1",1709587689078,"04/03/2024 21:28:09",1709587689078,0,"04/03/2024 21:28:09",169741,4,"questionnaire-wop8",NA,35774760,10573608,NA,"complete",NA,"65e638dc6f8a1e9e62cf7935","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1440x813",NA,NA,0,"Attention Check 2 (Clone)",1,"HIGJFAEBDC","Passed AC2","","Chocking_first","1-0","1","SUPPRF16819"
"1",1709589880913,"04/03/2024 22:04:40",1709589880913,0,"04/03/2024 22:04:40",169741,4,"questionnaire-wop8",NA,35775950,10573740,NA,"complete",NA,"65e63aec8bedd849e61a5057","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1552x970","1552x970",NA,NA,0,"Attention Check 2 (Clone)",1,"IJHAGBFCED","Passed AC2","","Chocking_first","1-0","1","SUPPRF32972"
"1",1709590771847,"04/03/2024 22:19:31",1709561971847,-8,"04/03/2024 06:19:31",169741,4,"questionnaire-wop8",NA,35776509,10573850,NA,"complete",NA,"65e63e68594ffe2494956192","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1370x769","1366x768",NA,NA,0,"Attention Check 2 (Clone)",1,"ABJCIDHEGF","Passed AC2","","Chocking_first","1-0","1","SUPPRF62503"
"1",1709590570646,"04/03/2024 22:16:10",1709590570646,0,"04/03/2024 22:16:10",169741,4,"questionnaire-wop8",NA,35776415,10574007,NA,"complete",NA,"65e643f9a2536d6d8e81da80","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1280x720","1280x593",NA,NA,0,"Attention Check 2 (Clone)",1,"BCADJEIFHG","Passed AC2","","Chocking_second","1","2","SUPPRF03178"
"1",1709591102580,"04/03/2024 22:25:02",1709591102580,0,"04/03/2024 22:25:02",169741,4,"questionnaire-wop8",NA,35776636,10574077,NA,"complete",NA,"65e645e07b7ed997382e3e84","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x779",NA,NA,0,"Attention Check 2 (Clone)",1,"EFDGCHBIAJ","Passed AC2","","Chocking_first","1-0","1","SUPPRF29178"
"1",1709590887312,"04/03/2024 22:21:27",1709562087312,-8,"04/03/2024 06:21:27",169741,4,"questionnaire-wop8",NA,35776577,10574080,NA,"complete",NA,"65e645f79d302aec356d0bed","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1475x830","1475x696",NA,NA,0,"Attention Check 2 (Clone)",1,"DECFBGAHJI","Passed AC2","","Chocking_second","1-0","1","SUPPRF13270"
"1",1709592037960,"04/03/2024 22:40:37",1709574037960,-5,"04/03/2024 12:40:37",169741,4,"questionnaire-wop8",NA,35777047,10574280,NA,"complete",NA,"65e64b52f9f8081d35583afc","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1440x779",NA,NA,0,"Attention Check 2 (Clone)",1,"FGEHDICJBA","Passed AC2","","Chocking_second","1-0","1","SUPPRF37753"
"1",1709592329814,"04/03/2024 22:45:29",1709567129814,-7,"04/03/2024 08:45:29",169741,4,"questionnaire-wop8",NA,35777176,10574304,NA,"complete",NA,"65e64b2a2145f01e32079d47","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1536x864","1536x695",NA,NA,0,"Attention Check 2 (Clone)",1,"GHFIEJDACB","Passed AC2","","Chocking_first","1-0","1","SUPPRF92597"
"1",1709592883894,"04/03/2024 22:54:43",1709571283894,-6,"04/03/2024 10:54:43",169741,4,"questionnaire-wop8",NA,35777387,10574387,NA,"complete",NA,"65e64e9cb565be2330ac88b6","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1440x755",NA,NA,0,"Attention Check 2 (Clone)",1,"HIGJFAEBDC","Passed AC2","","Chocking_second","1-0","1","SUPPRF34430"
"1",1709596692158,"04/03/2024 23:58:12",1709578692158,-5,"04/03/2024 13:58:12",169741,4,"questionnaire-wop8",NA,35778443,10574687,NA,"complete",NA,"65e65a80664e178c63ea8756","computer","Desktop or Laptop","Mac OS 10.12.6","Chrome 103.0.0.0","1440x900","1440x821",NA,NA,0,"Attention Check 2 (Clone)",1,"JAIBHCGDFE","Passed AC2","","Chocking_first","1-0","1","SUPPRF59808"
"1",1709597595516,"05/03/2024 00:13:15",1709575995516,-6,"04/03/2024 12:13:15",169741,4,"questionnaire-wop8",NA,35778686,10574778,NA,"complete",NA,"65e65fcecd1bf3d6ab95810f","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1440x960","1440x825",NA,NA,0,"Attention Check 2 (Clone)",1,"BCADJEIFHG","Passed AC2","","Chocking_first","1-0","1","SUPPRF78419"
"1",1709597874695,"05/03/2024 00:17:54",1709576274695,-6,"04/03/2024 12:17:54",169741,4,"questionnaire-wop8",NA,35778744,10574783,NA,"complete",NA,"65e65f24664e178c63ea88e2","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x864","877x404",NA,NA,0,"Attention Check 2 (Clone)",1,"ABJCIDHEGF","Passed AC2","","Chocking_second","1-0","1","SUPPRF52537"
"1",1709598053923,"05/03/2024 00:20:53",1709569253923,-8,"04/03/2024 08:20:53",169741,4,"questionnaire-wop8",NA,35778787,10574802,NA,"complete",NA,"65e660eed6fc4fd464e57536","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1440x813",NA,NA,0,"Attention Check 2 (Clone)",1,"CDBEAFJGIH","Passed AC2","","Chocking_second","1-0","1","SUPPRF17352"
"1",1709599482248,"05/03/2024 00:44:42",1709577882248,-6,"04/03/2024 12:44:42",169741,4,"questionnaire-wop8",NA,35779013,10574867,NA,"complete",NA,"65e663ee0ea25196de91304e","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1512x982","1512x823",NA,NA,0,"Attention Check 2 (Clone)",1,"DECFBGAHJI","Passed AC2","","Chocking_first","1-0","1","SUPPRF97186"
"1",1709602707721,"05/03/2024 01:38:27",1709577507721,-7,"04/03/2024 11:38:27",169741,4,"questionnaire-wop8",NA,35779888,10575067,NA,"complete",NA,"65e67529e19c3d282826d353","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x1024","1536x889",NA,NA,0,"Attention Check 2 (Clone)",1,"EFDGCHBIAJ","Passed AC2","","Chocking_second","1-0","1","SUPPRF28263"
"1",1709605112253,"05/03/2024 02:18:32",1709587112253,-5,"04/03/2024 16:18:32",169741,4,"questionnaire-wop8",NA,35780564,10575130,NA,"complete",NA,"65e67bd1d1c2a29c4b6f07de","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1440x813",NA,NA,0,"Attention Check 2 (Clone)",1,"GHFIEJDACB","Passed AC2","","Chocking_first","1-0","1","SUPPRF00120"
"1",1709605140476,"05/03/2024 02:19:00",1709587140476,-5,"04/03/2024 16:19:00",169741,4,"questionnaire-wop8",NA,35780578,10575152,NA,"complete",NA,"65e67dd45a9635b1d54e63bd","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 120.0.0.0","1440x900","1385x754",NA,NA,0,"Attention Check 2 (Clone)",1,"HIGJFAEBDC","Failed AC2","Passed AC1","Chocking_second","0-2","3","SUPPRF74439"
"1",1709608106353,"05/03/2024 03:08:26",1709590106353,-5,"04/03/2024 17:08:26",169741,4,"questionnaire-wop8",NA,35782250,10575203,NA,"complete",NA,"65e680bc30346a17991412f9","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1536x1024","1536x890",NA,NA,0,"Attention Check 2 (Clone)",1,"JAIBHCGDFE","Passed AC2","","Chocking_first","1-0","1","SUPPRF18124"
"1",1709607642950,"05/03/2024 03:00:42",1709586042950,-6,"04/03/2024 15:00:42",169741,4,"questionnaire-wop8",NA,35782196,10575393,NA,"complete",NA,"65e685496786b51f9b6f0999","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 121.0.0.0","1366x768","1366x633",NA,NA,0,"Attention Check 2 (Clone)",1,"IJHAGBFCED","Passed AC2","","Chocking_second","1-0","1","SUPPRF66448"
"1",1709610868669,"05/03/2024 03:54:28",1709585668669,-7,"04/03/2024 13:54:28",169741,4,"questionnaire-wop8",NA,35783004,10575436,NA,"complete",NA,"65e68bb756a92539d1f5fc9a","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1440x788",NA,NA,0,"Attention Check 2 (Clone)",1,"ABJCIDHEGF","Passed AC2","","Chocking_first","1-0","1","SUPPRF36163"
"1",1709619585785,"05/03/2024 06:19:45",1709597985785,-6,"04/03/2024 18:19:45",169741,4,"questionnaire-wop8",NA,35783954,10575786,NA,"complete",NA,"65e6b46bf75de275fad2d819","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1710x1112","1200x689",NA,NA,0,"Attention Check 2 (Clone)",1,"CDBEAFJGIH","Passed AC2","","Chocking_second","1-0","1","SUPPRF72420"
"1",1709622118454,"05/03/2024 07:01:58",1709625718454,1,"05/03/2024 09:01:58",169741,4,"questionnaire-wop8",NA,35784232,10575824,NA,"complete",NA,"65e6bb04450757d4d44e6d9f","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1366x768","1366x599",NA,NA,0,"Attention Check 2 (Clone)",1,"DECFBGAHJI","Passed AC2","","Chocking_first","1-0","1","SUPPRF28837"
"1",1709627191963,"05/03/2024 08:26:31",1709594791963,-9,"04/03/2024 14:26:31",169741,4,"questionnaire-wop8",NA,35785088,10576032,NA,"rejected - time limit reached",NA,"65e6cf5cce0675d712f52e05","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x864","1024x498",NA,NA,0,"Attention Check 2 (Clone)",1,"EFDGCHBIAJ","Passed AC2","","Chocking_second","1-0","1","SUPPRF08667"
"1",1709632442462,"05/03/2024 09:54:02",1709632442462,0,"05/03/2024 09:54:02",169741,4,"questionnaire-wop8",NA,35786727,10576549,NA,"complete",NA,"65e6e8474cc66c4cbf831960","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1536x960","1536x791",NA,NA,0,"Attention Check 2 (Clone)",1,"GHFIEJDACB","Passed AC2","","Chocking_second","1-0","1","SUPPRF09135"
"1",1709633114772,"05/03/2024 10:05:14",1709633114772,0,"05/03/2024 10:05:14",169741,4,"questionnaire-wop8",NA,35787026,10576650,NA,"complete",NA,"65e6ebb5d263dfed41103566","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1536x864","1536x730",NA,NA,0,"Attention Check 2 (Clone)",1,"HIGJFAEBDC","Passed AC2","","Chocking_first","1-0","1","SUPPRF18536"
"1",1709640210377,"05/03/2024 12:03:30",1709640210377,0,"05/03/2024 12:03:30",169741,4,"questionnaire-wop8",NA,35791055,10577799,NA,"complete",NA,"65e706b7315a671ffac90f5e","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1280x720","1280x585",NA,NA,0,"Attention Check 2 (Clone)",1,"IJHAGBFCED","Passed AC2","","Chocking_first","1-0","1","SUPPRF68723"
