"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","counterbalance.huxg","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day.Quantised","Random_ID"
"1",1709575473750,"04/03/2024 18:04:33",1709575473750,0,"04/03/2024 18:04:33",169741,4,"questionnaire-wop8",NA,35765247,10571657,NA,"complete",NA,"65e60a883f4af7de914390c8","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x813",NA,NA,0,"Attention Check 2 (Clone)",1,"BCADJEIFHG","Passed AC2","","Chocking_second","1-0","1","SUPPRF45961"
"1",1709577496822,"04/03/2024 18:38:16",1709559496822,-5,"04/03/2024 08:38:16",169741,4,"questionnaire-wop8",NA,35768327,10572173,NA,"complete",NA,"65e6121c13c300c867dade4b","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1536x864","1536x730",NA,NA,0,"Attention Check 2 (Clone)",1,"CDBEAFJGIH","Passed AC2","","Chocking_first","1-0","1","SUPPRF85564"
"1",1709578301888,"04/03/2024 18:51:41",1709578301888,0,"04/03/2024 18:51:41",169741,4,"questionnaire-wop8",NA,35768818,10572250,NA,"complete",NA,"65e6145c5ea714f6ca7020b0","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1280x720","1280x595",NA,NA,0,"Attention Check 2 (Clone)",1,"DECFBGAHJI","Passed AC2","","Chocking_second","1-0","1","SUPPRF01010"
"1",1709578761730,"04/03/2024 18:59:21",1709578761730,0,"04/03/2024 18:59:21",169741,4,"questionnaire-wop8",NA,35769084,10572350,NA,"complete",NA,"65e61655112ede9803cb7027","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 113.0.0.0","1440x900","1440x700",NA,NA,0,"Attention Check 2 (Clone)",1,"EFDGCHBIAJ","Passed AC2","","Chocking_second","1-0","1","SUPPRF90122"
"1",1709581760730,"04/03/2024 19:49:20",1709581760730,0,"04/03/2024 19:49:20",169741,4,"questionnaire-wop8",NA,35770931,10572429,NA,"complete",NA,"65e618b72145f01e320788fb","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1366x768","1366x679",NA,NA,0,"Attention Check 2 (Clone)",1,"HIGJFAEBDC","Passed AC2","","Chocking_first","1","2","SUPPRF33311"
"1",1709580807359,"04/03/2024 19:33:27",1709559207359,-6,"04/03/2024 07:33:27",169741,4,"questionnaire-wop8",NA,35770310,10572500,NA,"complete",NA,"65e61ac1ea11151a57933935","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 121.0.0.0","1366x768","1366x599",NA,NA,0,"Attention Check 2 (Clone)",1,"FGEHDICJBA","Passed AC2","","Chocking_first","1-0","1","SUPPRF99447"
"1",1709581070549,"04/03/2024 19:37:50",1709581070549,0,"04/03/2024 19:37:50",169741,4,"questionnaire-wop8",NA,35770479,10572707,NA,"complete",NA,"65e6212196c95a694dd9bf64","computer","Desktop or Laptop","Linux x86_64","Chrome 122.0.0.0","1920x1080","1920x863",NA,NA,0,"Attention Check 2 (Clone)",1,"IJHAGBFCED","Passed AC2","","Chocking_first","1-0","1","SUPPRF68034"
"1",1709581379192,"04/03/2024 19:42:59",1709581379192,0,"04/03/2024 19:42:59",169741,4,"questionnaire-wop8",NA,35770720,10572714,NA,"complete",NA,"65e6212570d2d33db2d2c762","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1536x864","1536x695",NA,NA,0,"Attention Check 2 (Clone)",1,"JAIBHCGDFE","Passed AC2","","Chocking_second","1-0","1","SUPPRF40866"
"1",1709582862100,"04/03/2024 20:07:42",1709564862100,-5,"04/03/2024 10:07:42",169741,4,"questionnaire-wop8",NA,35771694,10572920,NA,"complete",NA,"65e627240d9a8286e779f5d0","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x953",NA,NA,0,"Attention Check 2 (Clone)",1,"BCADJEIFHG","Passed AC2","","Chocking_first","1-0","1","SUPPRF82077"
"1",1709582643317,"04/03/2024 20:04:03",1709582643317,0,"04/03/2024 20:04:03",169741,4,"questionnaire-wop8",NA,35771529,10572941,NA,"complete",NA,"65e62789fe158501e40a907f","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1920x1080","1920x919",NA,NA,0,"Attention Check 2 (Clone)",1,"CDBEAFJGIH","Failed AC2","Passed AC1","Chocking_second","0-2","3","SUPPRF89522"
"1",1709583489581,"04/03/2024 20:18:09",1709583489581,0,"04/03/2024 20:18:09",169741,4,"questionnaire-wop8",NA,35772279,10573012,NA,"complete",NA,"65e61cbd9c011620fb06f645","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1366x768","1366x651",NA,NA,0,"Attention Check 2 (Clone)",1,"DECFBGAHJI","Passed AC2","","Chocking_second","1-0","1","SUPPRF92065"
"1",1709586479291,"04/03/2024 21:07:59",1709568479291,-5,"04/03/2024 11:07:59",169741,4,"questionnaire-wop8",NA,35774130,10573500,NA,"complete",NA,"65e6357b41f59d31ba13b2b5","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1440x815",NA,NA,0,"Attention Check 2 (Clone)",1,"EFDGCHBIAJ","Passed AC2","","Chocking_second","1-0","1","SUPPRF57112"
"1",1709586837759,"04/03/2024 21:13:57",1709568837759,-5,"04/03/2024 11:13:57",169741,4,"questionnaire-wop8",NA,35774345,10573539,NA,"complete",NA,"65e636b392761b1846fc1cc2","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1920x1080","1920x911",NA,NA,0,"Attention Check 2 (Clone)",1,"FGEHDICJBA","Passed AC2","","Chocking_first","1-0","1","SUPPRF60453"
"1",1709586926457,"04/03/2024 21:15:26",1709568926457,-5,"04/03/2024 11:15:26",169741,4,"questionnaire-wop8",NA,35774385,10573564,NA,"complete",NA,"65e6378085f512aeefe14550","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","1440x900","1440x754",NA,NA,0,"Attention Check 2 (Clone)",1,"GHFIEJDACB","Passed AC2","","Chocking_second","1-0","1","SUPPRF85387"
