"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","counterbalance.huxg","Rating.Scale.object.2.Fear.of.embarrassment.causes.me.to.avoid.doing.things.or.speaking.to.people.","Rating.Scale.object.2.Fear.of.embarrassment.causes.me.to.avoid.doing.things.or.speaking.to.people..Quantised","Rating.Scale.object.2.I.avoid.activities.in.which.I.am.the.center.of.attention.","Rating.Scale.object.2.I.avoid.activities.in.which.I.am.the.center.of.attention..Quantised","Rating.Scale.object.2.Being.embarrassed.or.looking.stupid.are.among.my.worst.fears.","Rating.Scale.object.2.Being.embarrassed.or.looking.stupid.are.among.my.worst.fears..Quantised","Score..SPINScore","Random_ID"
"1",1709575154572,"04/03/2024 17:59:14",1709575154572,0,"04/03/2024 17:59:14",169741,4,"questionnaire-4h2a",NA,35764022,10571657,NA,"complete",NA,"65e60a883f4af7de914390c8","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x813",NA,NA,0,"Mini-SPIN",2,"BCADJEIFHG","Passed AC2","","Chocking_second","3","4","3","4","3","4","9","SUPPRF45961"
"1",1709577316042,"04/03/2024 18:35:16",1709559316042,-5,"04/03/2024 08:35:16",169741,4,"questionnaire-4h2a",NA,35768231,10572173,NA,"complete",NA,"65e6121c13c300c867dade4b","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1536x864","1536x730",NA,NA,0,"Mini-SPIN",2,"CDBEAFJGIH","Passed AC2","","Chocking_first","1","2","2","3","2","3","5","SUPPRF85564"
"1",1709578162803,"04/03/2024 18:49:22",1709578162803,0,"04/03/2024 18:49:22",169741,4,"questionnaire-4h2a",NA,35768708,10572250,NA,"complete",NA,"65e6145c5ea714f6ca7020b0","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1280x720","1280x595",NA,NA,0,"Mini-SPIN",2,"DECFBGAHJI","Passed AC2","","Chocking_second","0","1","0","1","0","1","0","SUPPRF01010"
"1",1709578747672,"04/03/2024 18:59:07",1709578747672,0,"04/03/2024 18:59:07",169741,4,"questionnaire-4h2a",NA,35769071,10572350,NA,"complete",NA,"65e61655112ede9803cb7027","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 113.0.0.0","1440x900","1440x700",NA,NA,0,"Mini-SPIN",2,"EFDGCHBIAJ","Passed AC2","","Chocking_second","3","4","4","5","3","4","10","SUPPRF90122"
"1",1709580043886,"04/03/2024 19:20:43",1709580043886,0,"04/03/2024 19:20:43",169741,4,"questionnaire-4h2a",NA,35769822,10572429,NA,"complete",NA,"65e618b72145f01e320788fb","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1366x768","1366x679",NA,NA,0,"Mini-SPIN",2,"HIGJFAEBDC","Passed AC2","","Chocking_first","3","4","3","4","3","4","9","SUPPRF33311"
"1",1709580306229,"04/03/2024 19:25:06",1709558706229,-6,"04/03/2024 07:25:06",169741,4,"questionnaire-4h2a",NA,35769972,10572500,NA,"complete",NA,"65e61ac1ea11151a57933935","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 121.0.0.0","1366x768","1366x599",NA,NA,0,"Mini-SPIN",2,"FGEHDICJBA","Passed AC2","","Chocking_first","0","1","0","1","0","1","0","SUPPRF99447"
"1",1709580691521,"04/03/2024 19:31:31",1709580691521,0,"04/03/2024 19:31:31",169741,4,"questionnaire-4h2a",NA,35770230,10572707,NA,"complete",NA,"65e6212196c95a694dd9bf64","computer","Desktop or Laptop","Linux x86_64","Chrome 122.0.0.0","1920x1080","1920x863",NA,NA,0,"Mini-SPIN",2,"IJHAGBFCED","Passed AC2","","Chocking_first","1","2","1","2","0","1","2","SUPPRF68034"
"1",1709580714703,"04/03/2024 19:31:54",1709580714703,0,"04/03/2024 19:31:54",169741,4,"questionnaire-4h2a",NA,35770247,10572714,NA,"complete",NA,"65e6212570d2d33db2d2c762","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1536x864","1536x695",NA,NA,0,"Mini-SPIN",2,"JAIBHCGDFE","Passed AC2","","Chocking_second","2","3","1","2","2","3","5","SUPPRF40866"
"1",1709582423792,"04/03/2024 20:00:23",1709564423792,-5,"04/03/2024 10:00:23",169741,4,"questionnaire-4h2a",NA,35771369,10572920,NA,"complete",NA,"65e627240d9a8286e779f5d0","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x953",NA,NA,0,"Mini-SPIN",2,"BCADJEIFHG","Passed AC2","","Chocking_first","2","3","1","2","3","4","6","SUPPRF82077"
"1",1709582527893,"04/03/2024 20:02:07",1709582527893,0,"04/03/2024 20:02:07",169741,4,"questionnaire-4h2a",NA,35771440,10572941,NA,"complete",NA,"65e62789fe158501e40a907f","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1920x1080","1920x919",NA,NA,0,"Mini-SPIN",2,"CDBEAFJGIH","Failed AC2","Passed AC1","Chocking_second","2","3","2","3","4","5","8","SUPPRF89522"
"1",1709583397153,"04/03/2024 20:16:37",1709583397153,0,"04/03/2024 20:16:37",169741,4,"questionnaire-4h2a",NA,35772198,10573012,NA,"complete",NA,"65e61cbd9c011620fb06f645","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1366x768","1366x651",NA,NA,0,"Mini-SPIN",2,"DECFBGAHJI","Passed AC2","","Chocking_second","3","4","4","5","2","3","9","SUPPRF92065"
"1",1709586462076,"04/03/2024 21:07:42",1709568462076,-5,"04/03/2024 11:07:42",169741,4,"questionnaire-4h2a",NA,35774121,10573500,NA,"complete",NA,"65e6357b41f59d31ba13b2b5","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1440x815",NA,NA,0,"Mini-SPIN",2,"EFDGCHBIAJ","Passed AC2","","Chocking_second","3","4","3","4","3","4","9","SUPPRF57112"
"1",1709586710481,"04/03/2024 21:11:50",1709568710481,-5,"04/03/2024 11:11:50",169741,4,"questionnaire-4h2a",NA,35774292,10573539,NA,"complete",NA,"65e636b392761b1846fc1cc2","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1920x1080","1920x911",NA,NA,0,"Mini-SPIN",2,"FGEHDICJBA","Passed AC2","","Chocking_first","1","2","1","2","0","1","2","SUPPRF60453"
"1",1709586668827,"04/03/2024 21:11:08",1709568668827,-5,"04/03/2024 11:11:08",169741,4,"questionnaire-4h2a",NA,35774265,10573564,NA,"complete",NA,"65e6378085f512aeefe14550","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","1440x900","1440x754",NA,NA,0,"Mini-SPIN",2,"GHFIEJDACB","Passed AC2","","Chocking_second","1","2","1","2","1","2","3","SUPPRF85387"
"1",1709587017874,"04/03/2024 21:16:57",1709587017874,0,"04/03/2024 21:16:57",169741,4,"questionnaire-4h2a",NA,35774434,10573608,NA,"complete",NA,"65e638dc6f8a1e9e62cf7935","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1440x813",NA,NA,0,"Mini-SPIN",2,"HIGJFAEBDC","Passed AC2","","Chocking_first","1","2","1","2","2","3","4","SUPPRF16819"
