"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","counterbalance.huxg","Rating.Scale.object.2.Fear.of.embarrassment.causes.me.to.avoid.doing.things.or.speaking.to.people.","Rating.Scale.object.2.Fear.of.embarrassment.causes.me.to.avoid.doing.things.or.speaking.to.people..Quantised","Rating.Scale.object.2.I.avoid.activities.in.which.I.am.the.center.of.attention.","Rating.Scale.object.2.I.avoid.activities.in.which.I.am.the.center.of.attention..Quantised","Rating.Scale.object.2.Being.embarrassed.or.looking.stupid.are.among.my.worst.fears.","Rating.Scale.object.2.Being.embarrassed.or.looking.stupid.are.among.my.worst.fears..Quantised","Score..SPINScore","Random_ID"
"1",1709588156847,"04/03/2024 21:35:56",1709588156847,0,"04/03/2024 21:35:56",169741,4,"questionnaire-4h2a",NA,35775069,10573740,NA,"complete",NA,"65e63aec8bedd849e61a5057","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1552x970","1552x848",NA,NA,0,"Mini-SPIN",2,"IJHAGBFCED","Passed AC2","","Chocking_first","0","1","0","1","1","2","1","SUPPRF32972"
"1",1709589013971,"04/03/2024 21:50:13",1709560213971,-8,"04/03/2024 05:50:13",169741,4,"questionnaire-4h2a",NA,35775501,10573850,NA,"complete",NA,"65e63e68594ffe2494956192","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1370x769","1366x768",NA,NA,0,"Mini-SPIN",2,"ABJCIDHEGF","Passed AC2","","Chocking_first","4","5","4","5","4","5","12","SUPPRF62503"
"1",1709590092805,"04/03/2024 22:08:12",1709590092805,0,"04/03/2024 22:08:12",169741,4,"questionnaire-4h2a",NA,35776146,10574007,NA,"complete",NA,"65e643f9a2536d6d8e81da80","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1280x720","1280x593",NA,NA,0,"Mini-SPIN",2,"BCADJEIFHG","Passed AC2","","Chocking_second","2","3","3","4","3","4","8","SUPPRF03178"
"1",1709591079112,"04/03/2024 22:24:39",1709591079112,0,"04/03/2024 22:24:39",169741,4,"questionnaire-4h2a",NA,35776625,10574077,NA,"complete",NA,"65e645e07b7ed997382e3e84","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x779",NA,NA,0,"Mini-SPIN",2,"EFDGCHBIAJ","Passed AC2","","Chocking_first","1","2","4","5","3","4","8","SUPPRF29178"
"1",1709590768536,"04/03/2024 22:19:28",1709561968536,-8,"04/03/2024 06:19:28",169741,4,"questionnaire-4h2a",NA,35776525,10574080,NA,"complete",NA,"65e645f79d302aec356d0bed","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1475x830","1475x696",NA,NA,0,"Mini-SPIN",2,"DECFBGAHJI","Passed AC2","","Chocking_second","1","2","3","4","3","4","7","SUPPRF13270"
"1",1709591984944,"04/03/2024 22:39:44",1709573984944,-5,"04/03/2024 12:39:44",169741,4,"questionnaire-4h2a",NA,35777027,10574280,NA,"complete",NA,"65e64b52f9f8081d35583afc","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1440x779",NA,NA,0,"Mini-SPIN",2,"FGEHDICJBA","Passed AC2","","Chocking_second","4","5","1","2","4","5","9","SUPPRF37753"
"1",1709592076193,"04/03/2024 22:41:16",1709566876193,-7,"04/03/2024 08:41:16",169741,4,"questionnaire-4h2a",NA,35777062,10574304,NA,"complete",NA,"65e64b2a2145f01e32079d47","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1536x864","1536x695",NA,NA,0,"Mini-SPIN",2,"GHFIEJDACB","Passed AC2","","Chocking_first","1","2","3","4","2","3","6","SUPPRF92597"
"1",1709592464058,"04/03/2024 22:47:44",1709570864058,-6,"04/03/2024 10:47:44",169741,4,"questionnaire-4h2a",NA,35777233,10574387,NA,"complete",NA,"65e64e9cb565be2330ac88b6","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1440x755",NA,NA,0,"Mini-SPIN",2,"HIGJFAEBDC","Passed AC2","","Chocking_second","4","5","4","5","4","5","12","SUPPRF34430"
"1",1709595456008,"04/03/2024 23:37:36",1709577456008,-5,"04/03/2024 13:37:36",169741,4,"questionnaire-4h2a",NA,35778147,10574687,NA,"complete",NA,"65e65a80664e178c63ea8756","computer","Desktop or Laptop","Mac OS 10.12.6","Chrome 103.0.0.0","1440x900","1440x821",NA,NA,0,"Mini-SPIN",2,"JAIBHCGDFE","Passed AC2","","Chocking_first","2","3","1","2","2","3","5","SUPPRF59808"
"1",1709597271855,"05/03/2024 00:07:51",1709575671855,-6,"04/03/2024 12:07:51",169741,4,"questionnaire-4h2a",NA,35778602,10574778,NA,"complete",NA,"65e65fcecd1bf3d6ab95810f","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1440x960","1440x825",NA,NA,0,"Mini-SPIN",2,"BCADJEIFHG","Passed AC2","","Chocking_first","2","3","2","3","3","4","7","SUPPRF78419"
"1",1709597038205,"05/03/2024 00:03:58",1709575438205,-6,"04/03/2024 12:03:58",169741,4,"questionnaire-4h2a",NA,35778526,10574783,NA,"complete",NA,"65e65f24664e178c63ea88e2","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x864","877x404",NA,NA,0,"Mini-SPIN",2,"ABJCIDHEGF","Passed AC2","","Chocking_second","1","2","1","2","3","4","5","SUPPRF52537"
"1",1709597717978,"05/03/2024 00:15:17",1709568917978,-8,"04/03/2024 08:15:17",169741,4,"questionnaire-4h2a",NA,35778720,10574802,NA,"complete",NA,"65e660eed6fc4fd464e57536","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1440x813",NA,NA,0,"Mini-SPIN",2,"CDBEAFJGIH","Passed AC2","","Chocking_second","0","1","1","2","0","1","1","SUPPRF17352"
"1",1709598872427,"05/03/2024 00:34:32",1709577272427,-6,"04/03/2024 12:34:32",169741,4,"questionnaire-4h2a",NA,35778889,10574867,NA,"complete",NA,"65e663ee0ea25196de91304e","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1512x982","1512x823",NA,NA,0,"Mini-SPIN",2,"DECFBGAHJI","Passed AC2","","Chocking_first","2","3","2","3","2","3","6","SUPPRF97186"
"1",1709602688889,"05/03/2024 01:38:08",1709577488889,-7,"04/03/2024 11:38:08",169741,4,"questionnaire-4h2a",NA,35779883,10575067,NA,"complete",NA,"65e67529e19c3d282826d353","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x1024","1536x889",NA,NA,0,"Mini-SPIN",2,"EFDGCHBIAJ","Passed AC2","","Chocking_second","2","3","1","2","0","1","3","SUPPRF28263"
"1",1709604639919,"05/03/2024 02:10:39",1709586639919,-5,"04/03/2024 16:10:39",169741,4,"questionnaire-4h2a",NA,35780445,10575130,NA,"complete",NA,"65e67bd1d1c2a29c4b6f07de","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1440x813",NA,NA,0,"Mini-SPIN",2,"GHFIEJDACB","Passed AC2","","Chocking_first","1","2","3","4","1","2","5","SUPPRF00120"
"1",1709604592989,"05/03/2024 02:09:52",1709586592989,-5,"04/03/2024 16:09:52",169741,4,"questionnaire-4h2a",NA,35780429,10575152,NA,"complete",NA,"65e67dd45a9635b1d54e63bd","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 120.0.0.0","1440x900","1385x754",NA,NA,0,"Mini-SPIN",2,"HIGJFAEBDC","Failed AC2","Passed AC1","Chocking_second","4","5","4","5","4","5","12","SUPPRF74439"
"1",1709607274202,"05/03/2024 02:54:34",1709589274202,-5,"04/03/2024 16:54:34",169741,4,"questionnaire-4h2a",NA,35782142,10575203,NA,"complete",NA,"65e680bc30346a17991412f9","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1536x1024","1536x890",NA,NA,0,"Mini-SPIN",2,"JAIBHCGDFE","Passed AC2","","Chocking_first","2","3","4","5","3","4","9","SUPPRF18124"
"1",1709606548223,"05/03/2024 02:42:28",1709584948223,-6,"04/03/2024 14:42:28",169741,4,"questionnaire-4h2a",NA,35781949,10575393,NA,"complete",NA,"65e685496786b51f9b6f0999","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 121.0.0.0","1366x768","1366x633",NA,NA,0,"Mini-SPIN",2,"IJHAGBFCED","Passed AC2","","Chocking_second","3","4","3","4","3","4","9","SUPPRF66448"
"1",1709609941837,"05/03/2024 03:39:01",1709584741837,-7,"04/03/2024 13:39:01",169741,4,"questionnaire-4h2a",NA,35782870,10575436,NA,"complete",NA,"65e68bb756a92539d1f5fc9a","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1440x788",NA,NA,0,"Mini-SPIN",2,"ABJCIDHEGF","Passed AC2","","Chocking_first","2","3","1","2","0","1","3","SUPPRF36163"
"1",1709619436288,"05/03/2024 06:17:16",1709597836288,-6,"04/03/2024 18:17:16",169741,4,"questionnaire-4h2a",NA,35783941,10575786,NA,"complete",NA,"65e6b46bf75de275fad2d819","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1710x1112","1200x689",NA,NA,0,"Mini-SPIN",2,"CDBEAFJGIH","Passed AC2","","Chocking_second","2","3","1","2","3","4","6","SUPPRF72420"
"1",1709621958348,"05/03/2024 06:59:18",1709625558348,1,"05/03/2024 08:59:18",169741,4,"questionnaire-4h2a",NA,35784216,10575824,NA,"complete",NA,"65e6bb04450757d4d44e6d9f","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1366x768","1366x599",NA,NA,0,"Mini-SPIN",2,"DECFBGAHJI","Passed AC2","","Chocking_first","1","2","2","3","2","3","5","SUPPRF28837"
"1",1709627116898,"05/03/2024 08:25:16",1709594716898,-9,"04/03/2024 14:25:16",169741,4,"questionnaire-4h2a",NA,35785067,10576032,NA,"rejected - time limit reached",NA,"65e6cf5cce0675d712f52e05","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x864","1024x498",NA,NA,0,"Mini-SPIN",2,"EFDGCHBIAJ","Passed AC2","","Chocking_second","1","2","0","1","0","1","1","SUPPRF08667"
"1",1709632098977,"05/03/2024 09:48:18",1709632098977,0,"05/03/2024 09:48:18",169741,4,"questionnaire-4h2a",NA,35786599,10576549,NA,"complete",NA,"65e6e8474cc66c4cbf831960","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1536x960","1536x791",NA,NA,0,"Mini-SPIN",2,"GHFIEJDACB","Passed AC2","","Chocking_second","0","1","2","3","1","2","3","SUPPRF09135"
"1",1709632790520,"05/03/2024 09:59:50",1709632790520,0,"05/03/2024 09:59:50",169741,4,"questionnaire-4h2a",NA,35786883,10576650,NA,"complete",NA,"65e6ebb5d263dfed41103566","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1536x864","1536x730",NA,NA,0,"Mini-SPIN",2,"HIGJFAEBDC","Passed AC2","","Chocking_first","3","4","1","2","4","5","8","SUPPRF18536"
"1",1709639474588,"05/03/2024 11:51:14",1709639474588,0,"05/03/2024 11:51:14",169741,4,"questionnaire-4h2a",NA,35790407,10577799,NA,"complete",NA,"65e706b7315a671ffac90f5e","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1280x720","1280x585",NA,NA,0,"Mini-SPIN",2,"IJHAGBFCED","Passed AC2","","Chocking_first","1","2","1","2","1","2","3","SUPPRF68723"
