"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","counterbalance.huxg","Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID"
"11",1709575378142,"04/03/2024 18:02:58",1709575378142,0,"04/03/2024 18:02:58",169741,4,"task-gjqt",NA,35764629,10571657,NA,"complete",NA,"65e60a883f4af7de914390c8","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x813",NA,NA,0,"BIQ (Charlotte)",3,"BCADJEIFHG","Passed AC2","","Chocking_second","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","1",5667.7,14082.9,14091.4999999762,5667.7,14082.9,14091.4999999762,1,5667.7,8423.79999997616,0,NA,"Rating Scale","Rating Scale",2,"object-53","BIQ",NA,"SUPPRF45961"
"12",1709575378143,"04/03/2024 18:02:58",1709575378143,0,"04/03/2024 18:02:58",169741,4,"task-gjqt",NA,35764629,10571657,NA,"complete",NA,"65e60a883f4af7de914390c8","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x813",NA,NA,0,"BIQ (Charlotte)",3,"BCADJEIFHG","Passed AC2","","Chocking_second","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","4",11017.4,14082.9,14091.9000000119,11017.4,14082.9,14091.9000000119,1,11017.4,3074.50000001192,0,NA,"Rating Scale","Rating Scale",9,"object-60","BIQ",NA,"SUPPRF45961"
"13",1709575378143,"04/03/2024 18:02:58",1709575378143,0,"04/03/2024 18:02:58",169741,4,"task-gjqt",NA,35764629,10571657,NA,"complete",NA,"65e60a883f4af7de914390c8","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x813",NA,NA,0,"BIQ (Charlotte)",3,"BCADJEIFHG","Passed AC2","","Chocking_second","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","3",13131.6,14082.9,14092.2000000238,13131.6,14082.9,14092.2000000238,1,13131.6,960.600000023842,0,NA,"Rating Scale","Rating Scale",16,"object-67","BIQ",NA,"SUPPRF45961"
"14",1709575378149,"04/03/2024 18:02:58",1709575378149,0,"04/03/2024 18:02:58",169741,4,"task-gjqt",NA,35764629,10571657,NA,"complete",NA,"65e60a883f4af7de914390c8","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x813",NA,NA,0,"BIQ (Charlotte)",3,"BCADJEIFHG","Passed AC2","","Chocking_second","Spreadsheet1",NA,"","","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF45961"
"1",1709577241115,"04/03/2024 18:34:01",1709559241115,-5,"04/03/2024 08:34:01",169741,4,"task-gjqt",NA,35768194,10572173,NA,"complete",NA,"65e6121c13c300c867dade4b","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1536x864","1536x730",NA,NA,0,"BIQ (Charlotte)",3,"CDBEAFJGIH","Passed AC2","","Chocking_first","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF85564"
"2",1709577269183,"04/03/2024 18:34:29",1709559269183,-5,"04/03/2024 08:34:29",169741,4,"task-gjqt",NA,35768194,10572173,NA,"complete",NA,"65e6121c13c300c867dade4b","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1536x864","1536x730",NA,NA,0,"BIQ (Charlotte)",3,"CDBEAFJGIH","Passed AC2","","Chocking_first","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"continue","",28091.7000003815,28064.9,28091.7000003815,28091.7000003815,28064.9,28091.7000003815,1,28091.7000003815,0,0,NA,"Click To Continue","Continue Button",23,"object-48","BIQ",NA,"SUPPRF85564"
"3",1709577269185,"04/03/2024 18:34:29",1709559269185,-5,"04/03/2024 08:34:29",169741,4,"task-gjqt",NA,35768194,10572173,NA,"complete",NA,"65e6121c13c300c867dade4b","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1536x864","1536x730",NA,NA,0,"BIQ (Charlotte)",3,"CDBEAFJGIH","Passed AC2","","Chocking_first","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","5",10999.2,28064.9,28094.4999996185,10999.2,28064.9,28094.4999996185,1,10999.2,17095.2999996185,0,NA,"Rating Scale","Rating Scale",3,"object-5","BIQ",NA,"SUPPRF85564"
"4",1709577269185,"04/03/2024 18:34:29",1709559269185,-5,"04/03/2024 08:34:29",169741,4,"task-gjqt",NA,35768194,10572173,NA,"complete",NA,"65e6121c13c300c867dade4b","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1536x864","1536x730",NA,NA,0,"BIQ (Charlotte)",3,"CDBEAFJGIH","Passed AC2","","Chocking_first","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","6",19398.8,28064.9,28094.8000007629,19398.8,28064.9,28094.8000007629,1,19398.8,8696.00000076294,0,NA,"Rating Scale","Rating Scale",10,"object-18","BIQ",NA,"SUPPRF85564"
"5",1709577269185,"04/03/2024 18:34:29",1709559269185,-5,"04/03/2024 08:34:29",169741,4,"task-gjqt",NA,35768194,10572173,NA,"complete",NA,"65e6121c13c300c867dade4b","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1536x864","1536x730",NA,NA,0,"BIQ (Charlotte)",3,"CDBEAFJGIH","Passed AC2","","Chocking_first","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","6",26498.3,28064.9,28095.2000003815,26498.3,28064.9,28095.2000003815,1,26498.3,1596.90000038147,0,NA,"Rating Scale","Rating Scale",17,"object-80","BIQ",NA,"SUPPRF85564"
"6",1709577283598,"04/03/2024 18:34:43",1709559283598,-5,"04/03/2024 08:34:43",169741,4,"task-gjqt",NA,35768194,10572173,NA,"complete",NA,"65e6121c13c300c867dade4b","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1536x864","1536x730",NA,NA,0,"BIQ (Charlotte)",3,"CDBEAFJGIH","Passed AC2","","Chocking_first","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"continue","",14442.7,14432.5,14442.7,14442.7,14432.5,14442.7,1,14442.7,0,0,NA,"Click To Continue","Continue Button",22,"object-50","BIQ",NA,"SUPPRF85564"
