"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","counterbalance.huxg","Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID"
"10",1709581330888,"04/03/2024 19:42:10",1709581330888,0,"04/03/2024 19:42:10",169741,4,"task-gjqt",NA,35770607,10572714,NA,"complete",NA,"65e6212570d2d33db2d2c762","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1536x864","1536x695",NA,NA,0,"BIQ (Charlotte)",3,"JAIBHCGDFE","Passed AC2","","Chocking_second","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"continue","",20834.9999999523,20830.3,20834.9999999523,20834.9999999523,20830.3,20834.9999999523,1,20834.9999999523,0,0,NA,"Click To Continue","Continue Button",22,"object-73","BIQ",NA,"SUPPRF40866"
"11",1709581330891,"04/03/2024 19:42:10",1709581330891,0,"04/03/2024 19:42:10",169741,4,"task-gjqt",NA,35770607,10572714,NA,"complete",NA,"65e6212570d2d33db2d2c762","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1536x864","1536x695",NA,NA,0,"BIQ (Charlotte)",3,"JAIBHCGDFE","Passed AC2","","Chocking_second","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","0",10512.4,20830.3,20837.2,10512.4,20830.3,20837.2,1,10512.4,10324.8,0,NA,"Rating Scale","Rating Scale",2,"object-53","BIQ",NA,"SUPPRF40866"
"12",1709581330891,"04/03/2024 19:42:10",1709581330891,0,"04/03/2024 19:42:10",169741,4,"task-gjqt",NA,35770607,10572714,NA,"complete",NA,"65e6212570d2d33db2d2c762","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1536x864","1536x695",NA,NA,0,"BIQ (Charlotte)",3,"JAIBHCGDFE","Passed AC2","","Chocking_second","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","0",16157.4,20830.3,20837.2,16157.4,20830.3,20837.2,1,16157.4,4679.80000000002,0,NA,"Rating Scale","Rating Scale",9,"object-60","BIQ",NA,"SUPPRF40866"
"13",1709581330892,"04/03/2024 19:42:10",1709581330892,0,"04/03/2024 19:42:10",169741,4,"task-gjqt",NA,35770607,10572714,NA,"complete",NA,"65e6212570d2d33db2d2c762","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1536x864","1536x695",NA,NA,0,"BIQ (Charlotte)",3,"JAIBHCGDFE","Passed AC2","","Chocking_second","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","0",19413.9,20830.3,20837.2,19413.9,20830.3,20837.2,1,19413.9,1423.30000000002,0,NA,"Rating Scale","Rating Scale",16,"object-67","BIQ",NA,"SUPPRF40866"
"14",1709581330894,"04/03/2024 19:42:10",1709581330894,0,"04/03/2024 19:42:10",169741,4,"task-gjqt",NA,35770607,10572714,NA,"complete",NA,"65e6212570d2d33db2d2c762","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1536x864","1536x695",NA,NA,0,"BIQ (Charlotte)",3,"JAIBHCGDFE","Passed AC2","","Chocking_second","Spreadsheet1",NA,"","","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF40866"
"1",1709582596787,"04/03/2024 20:03:16",1709564596787,-5,"04/03/2024 10:03:16",169741,4,"task-gjqt",NA,35771485,10572920,NA,"complete",NA,"65e627240d9a8286e779f5d0","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x953",NA,NA,0,"BIQ (Charlotte)",3,"BCADJEIFHG","Passed AC2","","Chocking_first","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF82077"
"2",1709582630481,"04/03/2024 20:03:50",1709564630481,-5,"04/03/2024 10:03:50",169741,4,"task-gjqt",NA,35771485,10572920,NA,"complete",NA,"65e627240d9a8286e779f5d0","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x953",NA,NA,0,"BIQ (Charlotte)",3,"BCADJEIFHG","Passed AC2","","Chocking_first","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"continue","",33704.2399999046,33702.04,33704.2399999046,33704.2399999046,33702.04,33704.2399999046,1,33704.2399999046,0,0,NA,"Click To Continue","Continue Button",23,"object-48","BIQ",NA,"SUPPRF82077"
"3",1709582630483,"04/03/2024 20:03:50",1709564630483,-5,"04/03/2024 10:03:50",169741,4,"task-gjqt",NA,35771485,10572920,NA,"complete",NA,"65e627240d9a8286e779f5d0","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x953",NA,NA,0,"BIQ (Charlotte)",3,"BCADJEIFHG","Passed AC2","","Chocking_first","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","6",11632.24,33702.04,33706.9399999523,11632.24,33702.04,33706.9399999523,1,11632.24,22074.6999999523,0,NA,"Rating Scale","Rating Scale",3,"object-5","BIQ",NA,"SUPPRF82077"
"4",1709582630484,"04/03/2024 20:03:50",1709564630484,-5,"04/03/2024 10:03:50",169741,4,"task-gjqt",NA,35771485,10572920,NA,"complete",NA,"65e627240d9a8286e779f5d0","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x953",NA,NA,0,"BIQ (Charlotte)",3,"BCADJEIFHG","Passed AC2","","Chocking_first","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","5",18125.34,33702.04,33707.4399999523,18125.34,33702.04,33707.4399999523,1,18125.34,15582.0999999523,0,NA,"Rating Scale","Rating Scale",10,"object-18","BIQ",NA,"SUPPRF82077"
"5",1709582630484,"04/03/2024 20:03:50",1709564630484,-5,"04/03/2024 10:03:50",169741,4,"task-gjqt",NA,35771485,10572920,NA,"complete",NA,"65e627240d9a8286e779f5d0","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x953",NA,NA,0,"BIQ (Charlotte)",3,"BCADJEIFHG","Passed AC2","","Chocking_first","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","4",29396.34,33702.04,33707.7399999046,29396.34,33702.04,33707.7399999046,1,29396.34,4311.39999990464,0,NA,"Rating Scale","Rating Scale",17,"object-80","BIQ",NA,"SUPPRF82077"
"6",1709582652015,"04/03/2024 20:04:12",1709564652015,-5,"04/03/2024 10:04:12",169741,4,"task-gjqt",NA,35771485,10572920,NA,"complete",NA,"65e627240d9a8286e779f5d0","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x953",NA,NA,0,"BIQ (Charlotte)",3,"BCADJEIFHG","Passed AC2","","Chocking_first","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"continue","",21536.1999999046,21535.2,21536.1999999046,21536.1999999046,21535.2,21536.1999999046,1,21536.1999999046,0,0,NA,"Click To Continue","Continue Button",22,"object-50","BIQ",NA,"SUPPRF82077"
"7",1709582652017,"04/03/2024 20:04:12",1709564652017,-5,"04/03/2024 10:04:12",169741,4,"task-gjqt",NA,35771485,10572920,NA,"complete",NA,"65e627240d9a8286e779f5d0","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x953",NA,NA,0,"BIQ (Charlotte)",3,"BCADJEIFHG","Passed AC2","","Chocking_first","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","5",4291.8,21535.2,21539.1999999046,4291.8,21535.2,21539.1999999046,1,4291.8,17247.3999999046,0,NA,"Rating Scale","Rating Scale",2,"object-259","BIQ",NA,"SUPPRF82077"
"8",1709582652018,"04/03/2024 20:04:12",1709564652018,-5,"04/03/2024 10:04:12",169741,4,"task-gjqt",NA,35771485,10572920,NA,"complete",NA,"65e627240d9a8286e779f5d0","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x953",NA,NA,0,"BIQ (Charlotte)",3,"BCADJEIFHG","Passed AC2","","Chocking_first","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","7",9798.8,21535.2,21539.6999999046,9798.8,21535.2,21539.6999999046,1,9798.8,11740.8999999046,0,NA,"Rating Scale","Rating Scale",9,"object-36","BIQ",NA,"SUPPRF82077"
"9",1709582652018,"04/03/2024 20:04:12",1709564652018,-5,"04/03/2024 10:04:12",169741,4,"task-gjqt",NA,35771485,10572920,NA,"complete",NA,"65e627240d9a8286e779f5d0","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x953",NA,NA,0,"BIQ (Charlotte)",3,"BCADJEIFHG","Passed AC2","","Chocking_first","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","4",21215.6,21535.2,21540.1999999046,21215.6,21535.2,21540.1999999046,1,21215.6,324.599999904633,0,NA,"Rating Scale","Rating Scale",16,"object-86","BIQ",NA,"SUPPRF82077"
"10",1709582750236,"04/03/2024 20:05:50",1709564750236,-5,"04/03/2024 10:05:50",169741,4,"task-gjqt",NA,35771485,10572920,NA,"complete",NA,"65e627240d9a8286e779f5d0","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x953",NA,NA,0,"BIQ (Charlotte)",3,"BCADJEIFHG","Passed AC2","","Chocking_first","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"continue","",98222.9999999046,98217.3,98222.9999999046,98222.9999999046,98217.3,98222.9999999046,1,98222.9999999046,0,0,NA,"Click To Continue","Continue Button",22,"object-73","BIQ",NA,"SUPPRF82077"
"11",1709582750239,"04/03/2024 20:05:50",1709564750239,-5,"04/03/2024 10:05:50",169741,4,"task-gjqt",NA,35771485,10572920,NA,"complete",NA,"65e627240d9a8286e779f5d0","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x953",NA,NA,0,"BIQ (Charlotte)",3,"BCADJEIFHG","Passed AC2","","Chocking_first","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","2",90390.8,98217.3,98224.3,90390.8,98217.3,98224.3,1,90390.8,7833.5,0,NA,"Rating Scale","Rating Scale",2,"object-53","BIQ",NA,"SUPPRF82077"
"12",1709582750240,"04/03/2024 20:05:50",1709564750240,-5,"04/03/2024 10:05:50",169741,4,"task-gjqt",NA,35771485,10572920,NA,"complete",NA,"65e627240d9a8286e779f5d0","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x953",NA,NA,0,"BIQ (Charlotte)",3,"BCADJEIFHG","Passed AC2","","Chocking_first","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","3",94224.3,98217.3,98224.3,94224.3,98217.3,98224.3,1,94224.3,4000,0,NA,"Rating Scale","Rating Scale",9,"object-60","BIQ",NA,"SUPPRF82077"
"13",1709582750240,"04/03/2024 20:05:50",1709564750240,-5,"04/03/2024 10:05:50",169741,4,"task-gjqt",NA,35771485,10572920,NA,"complete",NA,"65e627240d9a8286e779f5d0","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x953",NA,NA,0,"BIQ (Charlotte)",3,"BCADJEIFHG","Passed AC2","","Chocking_first","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","6",97085.3,98217.3,98224.3,97085.3,98217.3,98224.3,1,97085.3,1139,0,NA,"Rating Scale","Rating Scale",16,"object-67","BIQ",NA,"SUPPRF82077"
"14",1709582750245,"04/03/2024 20:05:50",1709564750245,-5,"04/03/2024 10:05:50",169741,4,"task-gjqt",NA,35771485,10572920,NA,"complete",NA,"65e627240d9a8286e779f5d0","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x953",NA,NA,0,"BIQ (Charlotte)",3,"BCADJEIFHG","Passed AC2","","Chocking_first","Spreadsheet1",NA,"","","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF82077"
"1",1709582487663,"04/03/2024 20:01:27",1709582487663,0,"04/03/2024 20:01:27",169741,4,"task-gjqt",NA,35771408,10572941,NA,"complete",NA,"65e62789fe158501e40a907f","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1920x1080","1920x919",NA,NA,0,"BIQ (Charlotte)",3,"CDBEAFJGIH","Failed AC2","Passed AC1","Chocking_second","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF89522"
"2",1709582501491,"04/03/2024 20:01:41",1709582501491,0,"04/03/2024 20:01:41",169741,4,"task-gjqt",NA,35771408,10572941,NA,"complete",NA,"65e62789fe158501e40a907f","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1920x1080","1920x919",NA,NA,0,"BIQ (Charlotte)",3,"CDBEAFJGIH","Failed AC2","Passed AC1","Chocking_second","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"continue","",13832.399999994,13826.4,13832.399999994,13832.399999994,13826.4,13832.399999994,1,13832.399999994,0,0,NA,"Click To Continue","Continue Button",23,"object-48","BIQ",NA,"SUPPRF89522"
"3",1709582501492,"04/03/2024 20:01:41",1709582501492,0,"04/03/2024 20:01:41",169741,4,"task-gjqt",NA,35771408,10572941,NA,"complete",NA,"65e62789fe158501e40a907f","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1920x1080","1920x919",NA,NA,0,"BIQ (Charlotte)",3,"CDBEAFJGIH","Failed AC2","Passed AC1","Chocking_second","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","0",4826.4,13826.4,13833.4,4826.4,13826.4,13833.4,1,4826.4,9007,0,NA,"Rating Scale","Rating Scale",3,"object-5","BIQ",NA,"SUPPRF89522"
"4",1709582501492,"04/03/2024 20:01:41",1709582501492,0,"04/03/2024 20:01:41",169741,4,"task-gjqt",NA,35771408,10572941,NA,"complete",NA,"65e62789fe158501e40a907f","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1920x1080","1920x919",NA,NA,0,"BIQ (Charlotte)",3,"CDBEAFJGIH","Failed AC2","Passed AC1","Chocking_second","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","0",8409.7,13826.4,13833.4,8409.7,13826.4,13833.4,1,8409.7,5423.7,0,NA,"Rating Scale","Rating Scale",10,"object-18","BIQ",NA,"SUPPRF89522"
"5",1709582501492,"04/03/2024 20:01:41",1709582501492,0,"04/03/2024 20:01:41",169741,4,"task-gjqt",NA,35771408,10572941,NA,"complete",NA,"65e62789fe158501e40a907f","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1920x1080","1920x919",NA,NA,0,"BIQ (Charlotte)",3,"CDBEAFJGIH","Failed AC2","Passed AC1","Chocking_second","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","8",11354.2,13826.4,13833.4,11354.2,13826.4,13833.4,1,11354.2,2479.2,0,NA,"Rating Scale","Rating Scale",17,"object-80","BIQ",NA,"SUPPRF89522"
"6",1709582515338,"04/03/2024 20:01:55",1709582515338,0,"04/03/2024 20:01:55",169741,4,"task-gjqt",NA,35771408,10572941,NA,"complete",NA,"65e62789fe158501e40a907f","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1920x1080","1920x919",NA,NA,0,"BIQ (Charlotte)",3,"CDBEAFJGIH","Failed AC2","Passed AC1","Chocking_second","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"continue","",13854.100000003,13847.3,13854.100000003,13854.100000003,13847.3,13854.100000003,1,13854.100000003,0,0,NA,"Click To Continue","Continue Button",22,"object-50","BIQ",NA,"SUPPRF89522"
"7",1709582515339,"04/03/2024 20:01:55",1709582515339,0,"04/03/2024 20:01:55",169741,4,"task-gjqt",NA,35771408,10572941,NA,"complete",NA,"65e62789fe158501e40a907f","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1920x1080","1920x919",NA,NA,0,"BIQ (Charlotte)",3,"CDBEAFJGIH","Failed AC2","Passed AC1","Chocking_second","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","4",5277.8,13847.3,13854.3,5277.8,13847.3,13854.3,1,5277.8,8576.5,0,NA,"Rating Scale","Rating Scale",2,"object-259","BIQ",NA,"SUPPRF89522"
"8",1709582515340,"04/03/2024 20:01:55",1709582515340,0,"04/03/2024 20:01:55",169741,4,"task-gjqt",NA,35771408,10572941,NA,"complete",NA,"65e62789fe158501e40a907f","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1920x1080","1920x919",NA,NA,0,"BIQ (Charlotte)",3,"CDBEAFJGIH","Failed AC2","Passed AC1","Chocking_second","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","8",8895.8,13847.3,13854.3,8895.8,13847.3,13854.3,1,8895.8,4958.5,0,NA,"Rating Scale","Rating Scale",9,"object-36","BIQ",NA,"SUPPRF89522"
"9",1709582515340,"04/03/2024 20:01:55",1709582515340,0,"04/03/2024 20:01:55",169741,4,"task-gjqt",NA,35771408,10572941,NA,"complete",NA,"65e62789fe158501e40a907f","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1920x1080","1920x919",NA,NA,0,"BIQ (Charlotte)",3,"CDBEAFJGIH","Failed AC2","Passed AC1","Chocking_second","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","8",12513.9,13847.3,13854.3,12513.9,13847.3,13854.3,1,12513.9,1340.4,0,NA,"Rating Scale","Rating Scale",16,"object-86","BIQ",NA,"SUPPRF89522"
"10",1709582526304,"04/03/2024 20:02:06",1709582526304,0,"04/03/2024 20:02:06",169741,4,"task-gjqt",NA,35771408,10572941,NA,"complete",NA,"65e62789fe158501e40a907f","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1920x1080","1920x919",NA,NA,0,"BIQ (Charlotte)",3,"CDBEAFJGIH","Failed AC2","Passed AC1","Chocking_second","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"continue","",10972.6,10972.2,10972.6,10972.6,10972.2,10972.6,1,10972.6,0,0,NA,"Click To Continue","Continue Button",22,"object-73","BIQ",NA,"SUPPRF89522"
"11",1709582526306,"04/03/2024 20:02:06",1709582526306,0,"04/03/2024 20:02:06",169741,4,"task-gjqt",NA,35771408,10572941,NA,"complete",NA,"65e62789fe158501e40a907f","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1920x1080","1920x919",NA,NA,0,"BIQ (Charlotte)",3,"CDBEAFJGIH","Failed AC2","Passed AC1","Chocking_second","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","0",6354.2,10972.2,10973.899999997,6354.2,10972.2,10973.899999997,1,6354.2,4619.69999999702,0,NA,"Rating Scale","Rating Scale",2,"object-53","BIQ",NA,"SUPPRF89522"
"12",1709582526306,"04/03/2024 20:02:06",1709582526306,0,"04/03/2024 20:02:06",169741,4,"task-gjqt",NA,35771408,10572941,NA,"complete",NA,"65e62789fe158501e40a907f","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1920x1080","1920x919",NA,NA,0,"BIQ (Charlotte)",3,"CDBEAFJGIH","Failed AC2","Passed AC1","Chocking_second","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","6",8576.4,10972.2,10973.9999999911,8576.4,10972.2,10973.9999999911,1,8576.4,2397.59999999106,0,NA,"Rating Scale","Rating Scale",9,"object-60","BIQ",NA,"SUPPRF89522"
"13",1709582526306,"04/03/2024 20:02:06",1709582526306,0,"04/03/2024 20:02:06",169741,4,"task-gjqt",NA,35771408,10572941,NA,"complete",NA,"65e62789fe158501e40a907f","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1920x1080","1920x919",NA,NA,0,"BIQ (Charlotte)",3,"CDBEAFJGIH","Failed AC2","Passed AC1","Chocking_second","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","8",10409.8,10972.2,10974.199999994,10409.8,10972.2,10974.199999994,1,10409.8,564.399999994042,0,NA,"Rating Scale","Rating Scale",16,"object-67","BIQ",NA,"SUPPRF89522"
"14",1709582526308,"04/03/2024 20:02:06",1709582526308,0,"04/03/2024 20:02:06",169741,4,"task-gjqt",NA,35771408,10572941,NA,"complete",NA,"65e62789fe158501e40a907f","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1920x1080","1920x919",NA,NA,0,"BIQ (Charlotte)",3,"CDBEAFJGIH","Failed AC2","Passed AC1","Chocking_second","Spreadsheet1",NA,"","","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF89522"
"1",1709583043945,"04/03/2024 20:10:43",1709583043945,0,"04/03/2024 20:10:43",169741,4,"task-gjqt",NA,35771842,10573012,NA,"complete",NA,"65e61cbd9c011620fb06f645","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1366x768","1366x651",NA,NA,0,"BIQ (Charlotte)",3,"DECFBGAHJI","Passed AC2","","Chocking_second","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF92065"
"2",1709583082739,"04/03/2024 20:11:22",1709583082739,0,"04/03/2024 20:11:22",169741,4,"task-gjqt",NA,35771842,10573012,NA,"complete",NA,"65e61cbd9c011620fb06f645","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1366x768","1366x651",NA,NA,0,"BIQ (Charlotte)",3,"DECFBGAHJI","Passed AC2","","Chocking_second","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"continue","",38806.542,38794.742,38806.542,38806.542,38794.742,38806.542,1,38806.542,0,0,NA,"Click To Continue","Continue Button",23,"object-48","BIQ",NA,"SUPPRF92065"
"3",1709583082743,"04/03/2024 20:11:22",1709583082743,0,"04/03/2024 20:11:22",169741,4,"task-gjqt",NA,35771842,10573012,NA,"complete",NA,"65e61cbd9c011620fb06f645","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1366x768","1366x651",NA,NA,0,"BIQ (Charlotte)",3,"DECFBGAHJI","Passed AC2","","Chocking_second","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","7",25981.142,38794.742,38811.442,25981.142,38794.742,38811.442,1,25981.142,12830.3,0,NA,"Rating Scale","Rating Scale",3,"object-5","BIQ",NA,"SUPPRF92065"
"4",1709583082744,"04/03/2024 20:11:22",1709583082744,0,"04/03/2024 20:11:22",169741,4,"task-gjqt",NA,35771842,10573012,NA,"complete",NA,"65e61cbd9c011620fb06f645","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1366x768","1366x651",NA,NA,0,"BIQ (Charlotte)",3,"DECFBGAHJI","Passed AC2","","Chocking_second","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","3",30565.442,38794.742,38811.442,30565.442,38794.742,38811.442,1,30565.442,8245.99999999999,0,NA,"Rating Scale","Rating Scale",10,"object-18","BIQ",NA,"SUPPRF92065"
"5",1709583082745,"04/03/2024 20:11:22",1709583082745,0,"04/03/2024 20:11:22",169741,4,"task-gjqt",NA,35771842,10573012,NA,"complete",NA,"65e61cbd9c011620fb06f645","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1366x768","1366x651",NA,NA,0,"BIQ (Charlotte)",3,"DECFBGAHJI","Passed AC2","","Chocking_second","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","2",34849.142,38794.742,38811.442,34849.142,38794.742,38811.442,1,34849.142,3962.3,0,NA,"Rating Scale","Rating Scale",17,"object-80","BIQ",NA,"SUPPRF92065"
"6",1709583104619,"04/03/2024 20:11:44",1709583104619,0,"04/03/2024 20:11:44",169741,4,"task-gjqt",NA,35771842,10573012,NA,"complete",NA,"65e61cbd9c011620fb06f645","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1366x768","1366x651",NA,NA,0,"BIQ (Charlotte)",3,"DECFBGAHJI","Passed AC2","","Chocking_second","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"continue","",21893.5,21883.4,21893.5,21893.5,21883.4,21893.5,1,21893.5,0,0,NA,"Click To Continue","Continue Button",22,"object-50","BIQ",NA,"SUPPRF92065"
"7",1709583104623,"04/03/2024 20:11:44",1709583104623,0,"04/03/2024 20:11:44",169741,4,"task-gjqt",NA,35771842,10573012,NA,"complete",NA,"65e61cbd9c011620fb06f645","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1366x768","1366x651",NA,NA,0,"BIQ (Charlotte)",3,"DECFBGAHJI","Passed AC2","","Chocking_second","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","7",7746.3,21883.4,21897.3,7746.3,21883.4,21897.3,1,7746.3,14151,0,NA,"Rating Scale","Rating Scale",2,"object-259","BIQ",NA,"SUPPRF92065"
"8",1709583104624,"04/03/2024 20:11:44",1709583104624,0,"04/03/2024 20:11:44",169741,4,"task-gjqt",NA,35771842,10573012,NA,"complete",NA,"65e61cbd9c011620fb06f645","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1366x768","1366x651",NA,NA,0,"BIQ (Charlotte)",3,"DECFBGAHJI","Passed AC2","","Chocking_second","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","0",10407,21883.4,21898.2,10407,21883.4,21898.2,1,10407,11491.2,0,NA,"Rating Scale","Rating Scale",9,"object-36","BIQ",NA,"SUPPRF92065"
"9",1709583104625,"04/03/2024 20:11:44",1709583104625,0,"04/03/2024 20:11:44",169741,4,"task-gjqt",NA,35771842,10573012,NA,"complete",NA,"65e61cbd9c011620fb06f645","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1366x768","1366x651",NA,NA,0,"BIQ (Charlotte)",3,"DECFBGAHJI","Passed AC2","","Chocking_second","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","8",18905.6,21883.4,21898.9,18905.6,21883.4,21898.9,1,18905.6,2993.29999999997,0,NA,"Rating Scale","Rating Scale",16,"object-86","BIQ",NA,"SUPPRF92065"
"10",1709583120970,"04/03/2024 20:12:00",1709583120970,0,"04/03/2024 20:12:00",169741,4,"task-gjqt",NA,35771842,10573012,NA,"complete",NA,"65e61cbd9c011620fb06f645","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1366x768","1366x651",NA,NA,0,"BIQ (Charlotte)",3,"DECFBGAHJI","Passed AC2","","Chocking_second","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"continue","",16360.1,16344,16360.1,16360.1,16344,16360.1,1,16360.1,0,0,NA,"Click To Continue","Continue Button",22,"object-73","BIQ",NA,"SUPPRF92065"
