"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Multiple.Choice.object.2.Response","Multiple.Choice.object.2.Quantised","Random_ID"
1,1711448952418,"26/03/2024 10:29:12",1711448952418,0,"26/03/2024 10:29:12",172741,4,"questionnaire-xamc",NA,36451927,NA,"complete",NA,"6602a30233c28bbe2e29631e","computer","Desktop or Laptop","Windows 10","Chrome 123.0.0.0","1366x768","1366x641",NA,NA,0,"Attention Check 1 (Clone)",1,"FGEHDICAB","Passed AC2","",1,2,"SUPPRF28922"
1,1711458738489,"26/03/2024 13:12:18",1711458738489,0,"26/03/2024 13:12:18",172741,4,"questionnaire-xamc",NA,36461727,NA,"complete",NA,"6602c9270bfcef8b81cfcfc1","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1280x720","1280x585",NA,NA,0,"Attention Check 1 (Clone)",1,"GHFIEADBC","Passed AC2","",1,2,"SUPPRF15230"
1,1711459069042,"26/03/2024 13:17:49",1711459069042,0,"26/03/2024 13:17:49",172741,4,"questionnaire-xamc",NA,36462044,NA,"complete",NA,"6602caaad4a7d0315c1ff519","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1440x815",NA,NA,0,"Attention Check 1 (Clone)",1,"HIGAFBECD","Failed AC2","Passed AC1",1,2,"SUPPRF71225"
1,1711490852180,"26/03/2024 22:07:32",1711490852180,0,"26/03/2024 22:07:32",172741,4,"questionnaire-xamc",NA,36485435,NA,"complete",NA,"660346ec51abc7fef86aea9b","computer","Desktop or Laptop","Windows 10","Chrome 123.0.0.0","1366x768","1366x641",NA,NA,0,"Attention Check 1 (Clone)",1,"BCADIEHFG","Passed AC2","",1,2,"SUPPRF36908"
1,1711491234404,"26/03/2024 22:13:54",1711473234404,-5,"26/03/2024 12:13:54",172741,4,"questionnaire-xamc",NA,36485621,NA,"complete",NA,"6603483a0fced9aa15df47c8","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 123.0.0.0","1440x900","1431x788",NA,NA,0,"Attention Check 1 (Clone)",1,"CDBEAFIGH","Passed AC2","",1,2,"SUPPRF73842"
1,1711491802863,"26/03/2024 22:23:22",1711491802863,0,"26/03/2024 22:23:22",172741,4,"questionnaire-xamc",NA,36485815,NA,"complete",NA,"66034aa4176b5e7700bfbd43","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 123.0.0.0","1470x956","1470x799",NA,NA,0,"Attention Check 1 (Clone)",1,"DECFBGAHI","Passed AC2","",1,2,"SUPPRF19080"
1,1711501280625,"27/03/2024 01:01:20",1711483280625,-5,"26/03/2024 15:01:20",172741,4,"questionnaire-xamc",NA,36487773,NA,"complete",NA,"66036ed4656160b776bfd2e6","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 123.0.0.0","1280x800","1280x579",NA,NA,0,"Attention Check 1 (Clone)",1,"EFDGCHBIA","Passed AC2","",1,2,"SUPPRF82977"
1,1711502145486,"27/03/2024 01:15:45",1711484145486,-5,"26/03/2024 15:15:45",172741,4,"questionnaire-xamc",NA,36487978,NA,"complete",NA,"660372e018d54aa27880a18e","computer","Desktop or Laptop","Windows 10","Chrome 123.0.0.0","1536x864","1536x695",NA,NA,0,"Attention Check 1 (Clone)",1,"FGEHDICAB","Passed AC2","",1,2,"SUPPRF52847"
1,1711538621217,"27/03/2024 11:23:41",1711542221217,1,"27/03/2024 13:23:41",172741,4,"questionnaire-xamc",NA,36496981,NA,"complete",NA,"6604010e8ac5f0ce300708b0","computer","Desktop or Laptop","Windows 10","Chrome 123.0.0.0","1366x768","1366x633",NA,NA,0,"Attention Check 1 (Clone)",1,"HIGAFBECD","Passed AC2","",1,2,"SUPPRF46050"
1,1711539171069,"27/03/2024 11:32:51",1711539171069,0,"27/03/2024 11:32:51",172741,4,"questionnaire-xamc",NA,36498038,NA,"complete",NA,"6604037971c64a82741bbde2","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 124.0.0.0","1440x900","1440x812",NA,NA,0,"Attention Check 1 (Clone)",1,"IAHBGCFDE","Passed AC2","",1,2,"SUPPRF86773"
1,1711541710253,"27/03/2024 12:15:10",1711541710253,0,"27/03/2024 12:15:10",172741,4,"questionnaire-xamc",NA,36503834,NA,"complete",NA,"66040d4247f16fca894020e7","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 123.0.0.0","1800x1169","1800x1004",NA,NA,0,"Attention Check 1 (Clone)",1,"ABICHDGEF","Passed AC2","",1,2,"SUPPRF24989"
