"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day.Quantised","Random_ID"
1,1711492217331,"26/03/2024 22:30:17",1711492217331,0,"26/03/2024 22:30:17",172741,4,"questionnaire-wop8",NA,36485936,NA,"complete",NA,"66034aa4176b5e7700bfbd43","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 123.0.0.0","1470x956","1470x799",NA,NA,0,"Attention Check 2 (Clone)",1,"DECFBGAHI","Passed AC2","","1-0",1,"SUPPRF19080"
1,1711501867258,"27/03/2024 01:11:07",1711483867258,-5,"26/03/2024 15:11:07",172741,4,"questionnaire-wop8",NA,36487899,NA,"complete",NA,"66036ed4656160b776bfd2e6","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 123.0.0.0","1280x800","1280x579",NA,NA,0,"Attention Check 2 (Clone)",1,"EFDGCHBIA","Passed AC2","","1-0",1,"SUPPRF82977"
1,1711502762969,"27/03/2024 01:26:02",1711484762969,-5,"26/03/2024 15:26:02",172741,4,"questionnaire-wop8",NA,36488105,NA,"complete",NA,"660372e018d54aa27880a18e","computer","Desktop or Laptop","Windows 10","Chrome 123.0.0.0","1536x864","1536x695",NA,NA,0,"Attention Check 2 (Clone)",1,"FGEHDICAB","Passed AC2","","1-0",1,"SUPPRF52847"
1,1711539851936,"27/03/2024 11:44:11",1711539851936,0,"27/03/2024 11:44:11",172741,4,"questionnaire-wop8",NA,36499887,NA,"complete",NA,"6604037971c64a82741bbde2","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 124.0.0.0","1440x900","1440x812",NA,NA,0,"Attention Check 2 (Clone)",1,"IAHBGCFDE","Passed AC2","","1-0",1,"SUPPRF86773"
1,1711540001977,"27/03/2024 11:46:41",1711543601977,1,"27/03/2024 13:46:41",172741,4,"questionnaire-wop8",NA,36500234,NA,"complete",NA,"6604010e8ac5f0ce300708b0","computer","Desktop or Laptop","Windows 10","Chrome 123.0.0.0","1366x768","1366x633",NA,NA,0,"Attention Check 2 (Clone)",1,"HIGAFBECD","Passed AC2","","1-0",1,"SUPPRF46050"
1,1711542476282,"27/03/2024 12:27:56",1711542476282,0,"27/03/2024 12:27:56",172741,4,"questionnaire-wop8",NA,36505012,NA,"complete",NA,"66040d4247f16fca894020e7","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 123.0.0.0","1800x1169","1800x1004",NA,NA,0,"Attention Check 2 (Clone)",1,"ABICHDGEF","Passed AC2","","1-0",1,"SUPPRF24989"
1,1711571874645,"27/03/2024 20:37:54",1711571874645,0,"27/03/2024 20:37:54",172741,4,"questionnaire-wop8",NA,36540717,NA,"complete",NA,"660480e4f877d52fea84d69a","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 122.0.0.0","1536x864","1536x695",NA,NA,0,"Attention Check 2 (Clone)",1,"FGEHDICAB","Passed AC2","","1-0",1,"SUPPRF42873"
1,1711573066998,"27/03/2024 20:57:46",1711573066998,0,"27/03/2024 20:57:46",172741,4,"questionnaire-wop8",NA,36541555,NA,"complete",NA,"6604848b3df49eb93cbb0da9","computer","Desktop or Laptop","Windows 10","Chrome 123.0.0.0","1536x864","1536x730",NA,NA,0,"Attention Check 2 (Clone)",1,"GHFIEADBC","Passed AC2","","1-0",1,"SUPPRF66031"
1,1711580040761,"27/03/2024 22:54:00",1711565640761,-4,"27/03/2024 14:54:00",172741,4,"questionnaire-wop8",NA,36544779,NA,"complete",NA,"66049c9ec8f740173cb8ccd9","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 123.0.0.0","1440x900","1440x813",NA,NA,0,"Attention Check 2 (Clone)",1,"HIGAFBECD","Passed AC2","","1-0",1,"SUPPRF30333"
1,1711588921098,"28/03/2024 01:22:01",1711588921098,0,"28/03/2024 01:22:01",172741,4,"questionnaire-wop8",NA,36546813,NA,"complete",NA,"6604c306731ef40aa3a101ac","computer","Desktop or Laptop","Windows 10","Chrome 123.0.0.0","1366x768","1366x599",NA,NA,0,"Attention Check 2 (Clone)",1,"IAHBGCFDE","Passed AC2","","1-0",1,"SUPPRF16639"
1,1711589698142,"28/03/2024 01:34:58",1711564498142,-7,"27/03/2024 11:34:58",172741,4,"questionnaire-wop8",NA,36546967,NA,"complete",NA,"6604c42ddbc494d0c67b03a7","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1280x800","1280x713",NA,NA,0,"Attention Check 2 (Clone)",1,"ABICHDGEF","Passed AC2","","1-0",1,"SUPPRF41963"
1,1711613657900,"28/03/2024 08:14:17",1711613657900,0,"28/03/2024 08:14:17",172741,4,"questionnaire-wop8",NA,36550474,NA,"complete",NA,"66052372cfb07e6509b8ee0d","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1920x1080","1920x953",NA,NA,0,"Attention Check 2 (Clone)",1,"BCADIEHFG","Passed AC2","","1-0",1,"SUPPRF33774"
1,1711638541531,"28/03/2024 15:09:01",1711638541531,0,"28/03/2024 15:09:01",172741,4,"questionnaire-wop8",NA,36571999,NA,"complete",NA,"6605836e4e6348ae5462556c","computer","Desktop or Laptop","Chromium OS 14816.131.0","Chrome 103.0.0.0","1300x731","1300x580",NA,NA,0,"Attention Check 2 (Clone)",1,"DECFBGAHI","Passed AC2","","1-0",1,"SUPPRF69740"
1,1711655849715,"28/03/2024 19:57:29",1711655849715,0,"28/03/2024 19:57:29",172741,4,"questionnaire-wop8",NA,36581289,NA,"complete",NA,"6605c8ecfefbf874fc1ab799","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1098x618","1373x561",NA,NA,0,"Attention Check 2 (Clone)",1,"EFDGCHBIA","Passed AC2","","1-0",1,"SUPPRF07750"
1,1711660888036,"28/03/2024 21:21:28",1711646488036,-4,"28/03/2024 13:21:28",172741,4,"questionnaire-wop8",NA,36584335,NA,"complete",NA,"6605dc5f395b11e58f227819","computer","Desktop or Laptop","Windows 10","Chrome 123.0.0.0","1920x1080","1920x911",NA,NA,0,"Attention Check 2 (Clone)",1,"FGEHDICAB","Passed AC2","","1-0",1,"SUPPRF79175"
1,1711663931718,"28/03/2024 22:12:11",1711649531718,-4,"28/03/2024 14:12:11",172741,4,"questionnaire-wop8",NA,36586455,NA,"complete",NA,"6605e26ac624b5ffb8fd71f3","computer","Desktop or Laptop","Windows 10","Chrome 123.0.0.0","1366x768","1366x633",NA,NA,0,"Attention Check 2 (Clone)",1,"HIGAFBECD","Passed AC2","","1-0",1,"SUPPRF25358"
1,1711679481737,"29/03/2024 02:31:21",1711665081737,-4,"28/03/2024 18:31:21",172741,4,"questionnaire-wop8",NA,36590638,NA,"complete",NA,"660625bb119605ef6a2d3714","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 123.0.0.0","1440x900","1436x713",NA,NA,0,"Attention Check 2 (Clone)",1,"ABICHDGEF","Passed AC2","","1-0",1,"SUPPRF99995"
1,1711686554704,"29/03/2024 04:29:14",1711668554704,-5,"28/03/2024 18:29:14",172741,4,"questionnaire-wop8",NA,36591151,NA,"complete",NA,"660637c0e4856c1012c4e944","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1536x864","1536x695",NA,NA,0,"Attention Check 2 (Clone)",1,"BCADIEHFG","Failed AC2","Passed AC1","0-2",3,"SUPPRF72262"
