"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Consent.Form.object.2.I.have.read.and.understood.the.information.sheet.and.hereby.give.my.consent.to.take.part.in.this.experiment.in.full.knowledge.that.data.is.being.recorded...I.Agree.","Consent.Form.object.2.I.have.read.the.information.above.and.understand.I.can.email.the.researchers.with.any.questions...I.Agree.","Consent.Form.object.2.I.consent.to.the.collection.of.the.following.types.of.research.data..Mental.health.questionnaires.and.performance.on.computerised.tasks..video.and.audio.recordings...I.Agree.","Consent.Form.object.2.I.understand.that.no.identifiable.personal.information.will.be.collected.and.that.my.data.will.be.stored.securely.and.anonymously...I.Agree.","Consent.Form.object.2.I.understand.that.participation.is.completely.voluntary.and.that.I.can.withdraw.at.any.point.without.giving.any.reason.and.without.any.penalty..simply.by.closing.my.browser...I.Agree.","Consent.Form.object.2.I.understand.that.confidentiality.will.be.strictly.adhered.to.and.it.will.not.be.possible.to.identify.me.in.any.publications.or.presentations...I.Agree.","Consent.Form.object.2.I.understand.the.benefits.of.participating.as.stated.in.the.Information.Sheet..including.the.receipt.of.financial.compensation...I.Agree.","Consent.Form.object.2.I.understand.that.only.fully.anonymised.research.data.from.the.study.will.be.presented..published.or.archived.in.an.open.access.repository..which.might.be.used.for.future.analysis.by.other.researchers.not.connected.with.UCL...I.Agree.","Consent.Form.object.2.I.hereby.confirm.that....a..I.understand.the.inclusion.criteria.as.detailed.in.the.Study.Description..b..I.meet.these.criteria..and.do.not.meet.any.of.the.exclusion.criteria..c..I.do.not.have.current.or.past.experiences.of.psychosis.or.neurological.conditions....I.Agree.","Consent.Form.object.2.I.confirm.that.I.have.a.good.internet.connection...I.Agree.","Consent.Form.object.2.I.consent.to.take.part.in.the.study...I.Agree.","Random_ID"
1,1711448886539,"26/03/2024 10:28:06",1711448886539,0,"26/03/2024 10:28:06",172741,4,"questionnaire-s6dh",NA,36451842,NA,"complete",NA,"6602a30233c28bbe2e29631e","computer","Desktop or Laptop","Windows 10","Chrome 123.0.0.0","1366x768","1366x641",NA,NA,0,"Consent (Clone)",7,"FGEHDICAB","Passed AC2","",1,1,1,1,1,1,1,1,1,1,1,"SUPPRF28922"
1,1711458616886,"26/03/2024 13:10:16",1711458616886,0,"26/03/2024 13:10:16",172741,4,"questionnaire-s6dh",NA,36461636,NA,"complete",NA,"6602c9270bfcef8b81cfcfc1","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1280x720","1280x585",NA,NA,0,"Consent (Clone)",7,"GHFIEADBC","Passed AC2","",1,1,1,1,1,1,1,1,1,1,1,"SUPPRF15230"
1,1711459005717,"26/03/2024 13:16:45",1711459005717,0,"26/03/2024 13:16:45",172741,4,"questionnaire-s6dh",NA,36461965,NA,"complete",NA,"6602caaad4a7d0315c1ff519","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","578x685",NA,NA,0,"Consent (Clone)",7,"HIGAFBECD","Failed AC2","Passed AC1",1,1,1,1,1,1,1,1,1,1,1,"SUPPRF71225"
1,1711490807441,"26/03/2024 22:06:47",1711490807441,0,"26/03/2024 22:06:47",172741,4,"questionnaire-s6dh",NA,36485409,NA,"complete",NA,"660346ec51abc7fef86aea9b","computer","Desktop or Laptop","Windows 10","Chrome 123.0.0.0","1366x768","1366x641",NA,NA,0,"Consent (Clone)",7,"BCADIEHFG","Passed AC2","",1,1,1,1,1,1,1,1,1,1,1,"SUPPRF36908"
1,1711491183180,"26/03/2024 22:13:03",1711473183180,-5,"26/03/2024 12:13:03",172741,4,"questionnaire-s6dh",NA,36485598,NA,"complete",NA,"6603483a0fced9aa15df47c8","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 123.0.0.0","1440x900","1431x788",NA,NA,0,"Consent (Clone)",7,"CDBEAFIGH","Passed AC2","",1,1,1,1,1,1,1,1,1,1,1,"SUPPRF73842"
1,1711491761216,"26/03/2024 22:22:41",1711491761216,0,"26/03/2024 22:22:41",172741,4,"questionnaire-s6dh",NA,36485808,NA,"complete",NA,"66034aa4176b5e7700bfbd43","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 123.0.0.0","1470x956","1470x799",NA,NA,0,"Consent (Clone)",7,"DECFBGAHI","Passed AC2","",1,1,1,1,1,1,1,1,1,1,1,"SUPPRF19080"
1,1711501031749,"27/03/2024 00:57:11",1711483031749,-5,"26/03/2024 14:57:11",172741,4,"questionnaire-s6dh",NA,36487724,NA,"complete",NA,"66036ed4656160b776bfd2e6","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 123.0.0.0","1280x800","1280x579",NA,NA,0,"Consent (Clone)",7,"EFDGCHBIA","Passed AC2","",1,1,1,1,1,1,1,1,1,1,1,"SUPPRF82977"
1,1711502073150,"27/03/2024 01:14:33",1711484073150,-5,"26/03/2024 15:14:33",172741,4,"questionnaire-s6dh",NA,36487963,NA,"complete",NA,"660372e018d54aa27880a18e","computer","Desktop or Laptop","Windows 10","Chrome 123.0.0.0","1536x864","1536x695",NA,NA,0,"Consent (Clone)",7,"FGEHDICAB","Passed AC2","",1,1,1,1,1,1,1,1,1,1,1,"SUPPRF52847"
1,1711538493545,"27/03/2024 11:21:33",1711542093545,1,"27/03/2024 13:21:33",172741,4,"questionnaire-s6dh",NA,36496835,NA,"complete",NA,"6604010e8ac5f0ce300708b0","computer","Desktop or Laptop","Windows 10","Chrome 123.0.0.0","1366x768","1366x633",NA,NA,0,"Consent (Clone)",7,"HIGAFBECD","Passed AC2","",1,1,1,1,1,1,1,1,1,1,1,"SUPPRF46050"
1,1711539123660,"27/03/2024 11:32:03",1711539123660,0,"27/03/2024 11:32:03",172741,4,"questionnaire-s6dh",NA,36497912,NA,"complete",NA,"6604037971c64a82741bbde2","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 124.0.0.0","1440x900","1440x812",NA,NA,0,"Consent (Clone)",7,"IAHBGCFDE","Passed AC2","",1,1,1,1,1,1,1,1,1,1,1,"SUPPRF86773"
