"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","randomiser.lqqr","randomiser.28m8","randomiser.tf5j","branch.vlgf","Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID"
"1",1691496603415,"08/08/2023 12:10:03",1691500203415,1,"08/08/2023 14:10:03",139282,42,"task-w8vi",NA,31101299,9218851,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1923x942","1920x941",NA,NA,NA,"Pre-Video Feedback Task (Clone)",6,"In","EFDGCHBIAJ",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In","Spreadsheet1","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPTM81666"
"2",1691496610065,"08/08/2023 12:10:10",1691500210065,1,"08/08/2023 14:10:10",139282,42,"task-w8vi",NA,31101299,9218851,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1923x942","1920x941",NA,NA,NA,"Pre-Video Feedback Task (Clone)",6,"In","EFDGCHBIAJ",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In","Spreadsheet1","Spreadsheet1",1,"Instructions","Screen 1","by7fw4",1,"continue","",6659,6654,6659,6659,6654,6659,1,6659,0,0,NA,"Click To Continue","Continue Button",2,"object-15","Instructions",NA,"SUPTM81666"
"3",1691496611359,"08/08/2023 12:10:11",1691500211359,1,"08/08/2023 14:10:11",139282,42,"task-w8vi",NA,31101299,9218851,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1923x942","1920x941",NA,NA,NA,"Pre-Video Feedback Task (Clone)",6,"In","EFDGCHBIAJ",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In","Spreadsheet1","Spreadsheet1",1,"Instructions","Screen 2","32ryug",2,"continue","",1300,1299,1300,1300,1299,1300,1,1300,0,0,NA,"Click To Continue","Continue Button",2,"object-18","Instructions",NA,"SUPTM81666"
"4",1691496614096,"08/08/2023 12:10:14",1691500214096,1,"08/08/2023 14:10:14",139282,42,"task-w8vi",NA,31101299,9218851,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1923x942","1920x941",NA,NA,NA,"Pre-Video Feedback Task (Clone)",6,"In","EFDGCHBIAJ",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In","Spreadsheet1","Spreadsheet1",1,"Instructions","Screen 6","qfz25j",3,"continue","",2737,2736,2737,2737,2736,2737,1,2737,0,0,NA,"Click To Continue","Continue Button",2,"object-44","Instructions",NA,"SUPTM81666"
"5",1691496616669,"08/08/2023 12:10:16",1691500216669,1,"08/08/2023 14:10:16",139282,42,"task-w8vi",NA,31101299,9218851,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1923x942","1920x941",NA,NA,NA,"Pre-Video Feedback Task (Clone)",6,"In","EFDGCHBIAJ",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In","Spreadsheet1","Spreadsheet1",1,"Instructions","Screen 3","oiajeu",4,"continue","",2575,2570,2575,2575,2570,2575,1,2575,0,0,NA,"Click To Continue","Continue Button",2,"object-21","Instructions",NA,"SUPTM81666"
"6",1691496621264,"08/08/2023 12:10:21",1691500221264,1,"08/08/2023 14:10:21",139282,42,"task-w8vi",NA,31101299,9218851,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1923x942","1920x941",NA,NA,NA,"Pre-Video Feedback Task (Clone)",6,"In","EFDGCHBIAJ",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In","Spreadsheet1","Spreadsheet1",1,"Instructions","Screen 4","x6yf73",5,"continue","",4599,4598,4599,4599,4598,4599,1,4599,0,0,NA,"Click To Continue","Continue Button",2,"object-24","Instructions",NA,"SUPTM81666"
"7",1691496621884,"08/08/2023 12:10:21",1691500221884,1,"08/08/2023 14:10:21",139282,42,"task-w8vi",NA,31101299,9218851,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1923x942","1920x941",NA,NA,NA,"Pre-Video Feedback Task (Clone)",6,"In","EFDGCHBIAJ",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In","Spreadsheet1","Spreadsheet1",1,"Instructions","Screen 7","rb1b6r",6,"continue","",621,618,621,621,618,621,1,621,0,0,NA,"Click To Continue","Continue Button",2,"object-49","Instructions",NA,"SUPTM81666"
"8",1691496709663,"08/08/2023 12:11:49",1691500309663,1,"08/08/2023 14:11:49",139282,42,"task-w8vi",NA,31101299,9218851,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1923x942","1920x941",NA,NA,NA,"Pre-Video Feedback Task (Clone)",6,"In","EFDGCHBIAJ",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In","Spreadsheet1","Spreadsheet1",1,"Practice run","Screen 1","ncwxmk",1,"continue","",87779,87777,87779,87779,87777,87779,1,87779,0,0,NA,"Click To Continue","Continue Button",2,"object-29","Practice run",NA,"SUPTM81666"
"9",1691496709666,"08/08/2023 12:11:49",1691500309666,1,"08/08/2023 14:11:49",139282,42,"task-w8vi",NA,31101299,9218851,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1923x942","1920x941",NA,NA,NA,"Pre-Video Feedback Task (Clone)",6,"In","EFDGCHBIAJ",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In","Spreadsheet1","Spreadsheet1",1,"Practice run","Screen 1","ncwxmk",1,"response","Described the picture using what they had seen, not a lot of interpretation.",23066,87777,87784,23066,87777,87784,1,23066,64718,0,NA,"Text Entry","Text Entry",5,"object-38","Practice run",NA,"SUPTM81666"
"10",1691496709666,"08/08/2023 12:11:49",1691500309666,1,"08/08/2023 14:11:49",139282,42,"task-w8vi",NA,31101299,9218851,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1923x942","1920x941",NA,NA,NA,"Pre-Video Feedback Task (Clone)",6,"In","EFDGCHBIAJ",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In","Spreadsheet1","Spreadsheet1",1,"Practice run","Screen 1","ncwxmk",1,"response","They gave assumptions and talked through their process.",1195,87777,87784,1195,87777,87784,1,1195,86589,0,NA,"Text Entry","Text Entry",6,"object-40","Practice run",NA,"SUPTM81666"
"11",1691496709667,"08/08/2023 12:11:49",1691500309667,1,"08/08/2023 14:11:49",139282,42,"task-w8vi",NA,31101299,9218851,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1923x942","1920x941",NA,NA,NA,"Pre-Video Feedback Task (Clone)",6,"In","EFDGCHBIAJ",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In","Spreadsheet1","Spreadsheet1",NA,"","","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPTM81666"
"1",1691097283008,"03/08/2023 21:14:43",1691100883008,1,"03/08/2023 23:14:43",139282,42,"task-w8vi",NA,31043408,9205048,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1280x720","1280x571",NA,NA,NA,"Pre-Video Feedback Task (Clone)",6,"In","JAIBHCGDFE",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In","Spreadsheet1","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPTM79155"
"2",1691097288605,"03/08/2023 21:14:48",1691100888605,1,"03/08/2023 23:14:48",139282,42,"task-w8vi",NA,31043408,9205048,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1280x720","1280x571",NA,NA,NA,"Pre-Video Feedback Task (Clone)",6,"In","JAIBHCGDFE",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In","Spreadsheet1","Spreadsheet1",1,"Instructions","Screen 1","by7fw4",1,"continue","",5618.08999999702,5601.876,5618.08999999702,5618.08999999702,5601.876,5618.08999999702,1,5618.08999999702,0,0,NA,"Click To Continue","Continue Button",2,"object-15","Instructions",NA,"SUPTM79155"
"3",1691097291379,"03/08/2023 21:14:51",1691100891379,1,"03/08/2023 23:14:51",139282,42,"task-w8vi",NA,31043408,9205048,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1280x720","1280x571",NA,NA,NA,"Pre-Video Feedback Task (Clone)",6,"In","JAIBHCGDFE",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In","Spreadsheet1","Spreadsheet1",1,"Instructions","Screen 2","32ryug",2,"continue","",2789.71399999702,2782.934,2789.71399999702,2789.71399999702,2782.934,2789.71399999702,1,2789.71399999702,0,0,NA,"Click To Continue","Continue Button",2,"object-18","Instructions",NA,"SUPTM79155"
"4",1691097297712,"03/08/2023 21:14:57",1691100897712,1,"03/08/2023 23:14:57",139282,42,"task-w8vi",NA,31043408,9205048,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1280x720","1280x571",NA,NA,NA,"Pre-Video Feedback Task (Clone)",6,"In","JAIBHCGDFE",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In","Spreadsheet1","Spreadsheet1",1,"Instructions","Screen 6","qfz25j",3,"continue","",6340.37999999851,6332.524,6340.37999999851,6340.37999999851,6332.524,6340.37999999851,1,6340.37999999851,0,0,NA,"Click To Continue","Continue Button",2,"object-44","Instructions",NA,"SUPTM79155"
"5",1691097303780,"03/08/2023 21:15:03",1691100903780,1,"03/08/2023 23:15:03",139282,42,"task-w8vi",NA,31043408,9205048,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1280x720","1280x571",NA,NA,NA,"Pre-Video Feedback Task (Clone)",6,"In","JAIBHCGDFE",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In","Spreadsheet1","Spreadsheet1",1,"Instructions","Screen 3","oiajeu",4,"continue","",6076.15600000298,6065.953,6076.15600000298,6076.15600000298,6065.953,6076.15600000298,1,6076.15600000298,0,0,NA,"Click To Continue","Continue Button",2,"object-21","Instructions",NA,"SUPTM79155"
"6",1691097319563,"03/08/2023 21:15:19",1691100919563,1,"03/08/2023 23:15:19",139282,42,"task-w8vi",NA,31043408,9205048,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1280x720","1280x571",NA,NA,NA,"Pre-Video Feedback Task (Clone)",6,"In","JAIBHCGDFE",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In","Spreadsheet1","Spreadsheet1",1,"Instructions","Screen 4","x6yf73",5,"continue","",15793.802999997,15781.395,15793.802999997,15793.802999997,15781.395,15793.802999997,1,15793.802999997,0,0,NA,"Click To Continue","Continue Button",2,"object-24","Instructions",NA,"SUPTM79155"
"7",1691097321363,"03/08/2023 21:15:21",1691100921363,1,"03/08/2023 23:15:21",139282,42,"task-w8vi",NA,31043408,9205048,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1280x720","1280x571",NA,NA,NA,"Pre-Video Feedback Task (Clone)",6,"In","JAIBHCGDFE",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In","Spreadsheet1","Spreadsheet1",1,"Instructions","Screen 7","rb1b6r",6,"continue","",1812.00799999851,1799.7,1812.00799999851,1812.00799999851,1799.7,1812.00799999851,1,1812.00799999851,0,0,NA,"Click To Continue","Continue Button",2,"object-49","Instructions",NA,"SUPTM79155"
"8",1691097421703,"03/08/2023 21:17:01",1691101021703,1,"03/08/2023 23:17:01",139282,42,"task-w8vi",NA,31043408,9205048,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1280x720","1280x571",NA,NA,NA,"Pre-Video Feedback Task (Clone)",6,"In","JAIBHCGDFE",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In","Spreadsheet1","Spreadsheet1",1,"Practice run","Screen 1","ncwxmk",1,"continue","",100346.908,100336.949,100346.908,100346.908,100336.949,100346.908,1,100346.908,0,0,NA,"Click To Continue","Continue Button",2,"object-29","Practice run",NA,"SUPTM79155"
"9",1691097421704,"03/08/2023 21:17:01",1691101021704,1,"03/08/2023 23:17:01",139282,42,"task-w8vi",NA,31043408,9205048,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1280x720","1280x571",NA,NA,NA,"Pre-Video Feedback Task (Clone)",6,"In","JAIBHCGDFE",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In","Spreadsheet1","Spreadsheet1",1,"Practice run","Screen 1","ncwxmk",1,"response","I can imagine the picture fairly OK",33412.252,100336.949,100352.807999999,33412.252,100336.949,100352.807999999,1,33412.252,66940.5559999985,0,NA,"Text Entry","Text Entry",5,"object-38","Practice run",NA,"SUPTM79155"
"10",1691097421705,"03/08/2023 21:17:01",1691101021705,1,"03/08/2023 23:17:01",139282,42,"task-w8vi",NA,31043408,9205048,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1280x720","1280x571",NA,NA,NA,"Pre-Video Feedback Task (Clone)",6,"In","JAIBHCGDFE",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In","Spreadsheet1","Spreadsheet1",1,"Practice run","Screen 1","ncwxmk",1,"response","You sound quite monotonous",91604.859,100336.949,100353.108000003,91604.859,100336.949,100353.108000003,1,91604.859,8748.24900000298,0,NA,"Text Entry","Text Entry",6,"object-40","Practice run",NA,"SUPTM79155"
"11",1691097421706,"03/08/2023 21:17:01",1691101021706,1,"03/08/2023 23:17:01",139282,42,"task-w8vi",NA,31043408,9205048,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1280x720","1280x571",NA,NA,NA,"Pre-Video Feedback Task (Clone)",6,"In","JAIBHCGDFE",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In","Spreadsheet1","Spreadsheet1",NA,"","","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPTM79155"
"1",1690980707068,"02/08/2023 12:51:47",1690984307068,1,"02/08/2023 14:51:47",139282,42,"task-w8vi",NA,31007028,9196981,NA,"complete",NA,NA,"computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 114.0.0.0","1241x697","1194x627",NA,NA,NA,"Pre-Video Feedback Task (Clone)",6,"In","FGEHDICJBA",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In","Spreadsheet1","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPTM66122"
