"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","randomiser.lqqr","randomiser.28m8","randomiser.tf5j","branch.vlgf","Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Spreadsheet..stimulus","Spreadsheet..P","Spreadsheet..N","Manipulation..Spreadsheet","Random_ID"
"1",1691496711940,"08/08/2023 12:11:51",1691500311940,1,"08/08/2023 14:11:51",139282,42,"task-f6fg",NA,31101323,9218851,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1923x942","1920x941",NA,NA,NA,"Video Feedback Task (Clone)",6,"In","EFDGCHBIAJ",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In",1,1,NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","","","","",NA,"SUPTM81666"
"2",1691496750689,"08/08/2023 12:12:30",1691500350689,1,"08/08/2023 14:12:30",139282,42,"task-f6fg",NA,31101323,9218851,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1923x942","1920x941",NA,NA,NA,"Video Feedback Task (Clone)",6,"In","EFDGCHBIAJ",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In",1,1,1,"Neutral Feedback","Screen 1","3zrml3",1,"continue","",38426,38422,38426,38426,38422,38426,1,38426,0,0,NA,"Click To Continue","Continue Button",1,"object-155","Neutral Feedback","P2_N.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPTM81666"
"3",1691496750691,"08/08/2023 12:12:30",1691500350691,1,"08/08/2023 14:12:30",139282,42,"task-f6fg",NA,31101323,9218851,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1923x942","1920x941",NA,NA,NA,"Video Feedback Task (Clone)",6,"In","EFDGCHBIAJ",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In",1,1,1,"Neutral Feedback","Screen 1","3zrml3",1,"response","Described the setting more in depth and targetted each point in detail.",19100,38422,38427,19100,38422,38427,1,19100,19327,0,NA,"Text Entry","Text Entry",4,"object-158","Neutral Feedback","P2_N.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPTM81666"
"4",1691496750691,"08/08/2023 12:12:30",1691500350691,1,"08/08/2023 14:12:30",139282,42,"task-f6fg",NA,31101323,9218851,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1923x942","1920x941",NA,NA,NA,"Video Feedback Task (Clone)",6,"In","EFDGCHBIAJ",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In",1,1,1,"Neutral Feedback","Screen 1","3zrml3",1,"response","Gave pointers about where in the picture each item is.",9952,38422,38428,9952,38422,38428,1,9952,28476,0,NA,"Text Entry","Text Entry",5,"object-159","Neutral Feedback","P2_N.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPTM81666"
"5",1691496751665,"08/08/2023 12:12:31",1691500351665,1,"08/08/2023 14:12:31",139282,42,"task-f6fg",NA,31101323,9218851,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1923x942","1920x941",NA,NA,NA,"Video Feedback Task (Clone)",6,"In","EFDGCHBIAJ",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In",1,1,1,"Neutral Feedback","Screen 2","vv4mhq",2,"continue","",979,979,979,979,979,979,1,979,0,0,NA,"Fixation Timing","Fixation",1,"object-153","Neutral Feedback","P2_N.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPTM81666"
"6",1691496797894,"08/08/2023 12:13:17",1691500397894,1,"08/08/2023 14:13:17",139282,42,"task-f6fg",NA,31101323,9218851,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1923x942","1920x941",NA,NA,NA,"Video Feedback Task (Clone)",6,"In","EFDGCHBIAJ",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In",1,1,1,"Positive Feedback","Video","w2ir4b",1,"continue","",46229,46222,46229,46229,46222,46229,1,46229,0,0,NA,"Click To Continue","Continue Button",1,"object-14","Positive Feedback","P5_P.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPTM81666"
"7",1691496797895,"08/08/2023 12:13:17",1691500397895,1,"08/08/2023 14:13:17",139282,42,"task-f6fg",NA,31101323,9218851,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1923x942","1920x941",NA,NA,NA,"Video Feedback Task (Clone)",6,"In","EFDGCHBIAJ",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In",1,1,1,"Positive Feedback","Video","w2ir4b",1,"response","Lots of detail given which was not present in previous explanations.",32484,46222,46229,32484,46222,46229,1,32484,13745,0,NA,"Text Entry","Text Entry",4,"object-19","Positive Feedback","P5_P.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPTM81666"
"8",1691496797896,"08/08/2023 12:13:17",1691500397896,1,"08/08/2023 14:13:17",139282,42,"task-f6fg",NA,31101323,9218851,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1923x942","1920x941",NA,NA,NA,"Video Feedback Task (Clone)",6,"In","EFDGCHBIAJ",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In",1,1,1,"Positive Feedback","Video","w2ir4b",1,"response","Alot more depth and imagination can be easily achieved.",12509,46222,46229,12509,46222,46229,1,12509,33720,0,NA,"Text Entry","Text Entry",5,"object-20","Positive Feedback","P5_P.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPTM81666"
"9",1691496798866,"08/08/2023 12:13:18",1691500398866,1,"08/08/2023 14:13:18",139282,42,"task-f6fg",NA,31101323,9218851,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1923x942","1920x941",NA,NA,NA,"Video Feedback Task (Clone)",6,"In","EFDGCHBIAJ",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In",1,1,1,"Positive Feedback","Fixation","mtm832",2,"continue","",980,980,980,980,980,980,1,980,0,0,NA,"Fixation Timing","Fixation",1,"object-65","Positive Feedback","P5_P.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPTM81666"
"10",1691496843964,"08/08/2023 12:14:03",1691500443964,1,"08/08/2023 14:14:03",139282,42,"task-f6fg",NA,31101323,9218851,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1923x942","1920x941",NA,NA,NA,"Video Feedback Task (Clone)",6,"In","EFDGCHBIAJ",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In",1,1,2,"Positive Feedback","Video","w2ir4b",1,"continue","",45098,45097,45098,45098,45097,45098,1,45098,0,0,NA,"Click To Continue","Continue Button",1,"object-14","Positive Feedback","P2_P.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPTM81666"
