"","Status","Custom.study.tncs.accepted.at","Started.at","Completed.at","Reviewed.at","Archived.at","Time.taken","Completion.code","Total.approvals","Fluent.languages","Mild.cognitive.impairment.dementia","Age","Sex","Ethnicity.simplified","Country.of.birth","Country.of.residence","Nationality","Language","Student.status","Employment.status","Random_ID"
"1","APPROVED","Not Applicable","2024-02-14T19:45:43.320000Z","2024-02-14T20:29:09.786000Z","2024-02-15T11:39:21.418000Z","2024-02-14T20:29:10.349199Z",2607,"C6UC3A24",328,"English","No","22","Male","White","United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED",NA
"2","APPROVED","Not Applicable","2024-02-14T19:49:21.660000Z","2024-02-14T20:32:12.728000Z","2024-02-15T11:39:21.792000Z","2024-02-14T20:32:13.144913Z",2572,"C6UC3A24",9,"Chinese, English","No","21","Female","Asian","United States","United States","China","Croatian","Yes","Full-Time","SUPPRF73357"
"3","APPROVED","Not Applicable","2024-02-14T20:01:49.806000Z","2024-02-14T21:42:29.457000Z","2024-02-15T11:39:22.044000Z","2024-02-14T21:42:30.019405Z",6040,"C6UC3A24",26,"English, Other","No","25","Female","Black","Nigeria","United Kingdom","Nigeria","English","Yes","Part-Time","SUPPRF82095"
"4","APPROVED","Not Applicable","2024-02-14T20:10:52.204000Z","2024-02-14T20:53:52.191000Z","2024-02-15T11:39:22.277000Z","2024-02-14T20:53:52.744549Z",2580,"C6UC3A24",34,"Vietnamese, English","No","22","Male","Asian","United States","United States","Vietnam","English","Yes","Unemployed (and job seeking)","SUPPRF29203"
"5","APPROVED","Not Applicable","2024-02-14T20:15:47.495000Z","2024-02-14T21:04:52.592000Z","2024-02-15T11:39:22.532000Z","2024-02-14T21:04:53.107817Z",2946,"C6UC3A24",329,"English","No","25","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Unemployed (and job seeking)","SUPPRF29384"
"6","APPROVED","Not Applicable","2024-02-14T20:33:32.065000Z","2024-02-14T22:00:09.296000Z","2024-02-15T11:39:22.755000Z","2024-02-14T22:00:11.495665Z",5198,"C6UC3A24",8,"English, German","No","23","Female","Black","Nigeria","United Kingdom","Nigeria","English","Yes","Part-Time","SUPPRF74532"
"7","APPROVED","Not Applicable","2024-02-14T20:35:34.306000Z","2024-02-14T21:56:18.050000Z","2024-02-15T11:39:22.980000Z","2024-02-14T21:56:18.532081Z",4844,"C6UC3A24",28,"English","No","22","Male","Black","Nigeria","United Kingdom","Nigeria","English","Yes","Part-Time","SUPPRF79953"
"8","APPROVED","Not Applicable","2024-02-14T20:40:03.210000Z","2024-02-14T21:30:40.603000Z","2024-02-15T11:39:23.273000Z","2024-02-14T21:30:41.068711Z",3038,"C6UC3A24",72,"English","No","23","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Other","SUPPRF11788"
"9","APPROVED","Not Applicable","2024-02-14T20:58:46.420000Z","2024-02-14T21:45:19.785000Z","2024-02-15T11:39:23.501000Z","2024-02-14T21:45:20.285082Z",2794,"C6UC3A24",514,"English","No","23","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Due to start a new job within the next month","SUPPRF92611"
"10","APPROVED","Not Applicable","2024-02-14T21:04:44.557000Z","2024-02-14T21:42:38.193000Z","2024-02-15T11:39:23.715000Z","2024-02-14T21:42:38.704635Z",2274,"C6UC3A24",347,"English, Polish, Greek","No","22","Female","White","Poland","United Kingdom","Poland","Polish","No","Full-Time","SUPPRF40465"
