"","Model","MAE","MSE","LOOIC","WAIC","R2"
"1","model 1","0.414347633671349","0.356234631164718","13435.3915403574","13100.4748859697","0.634751934965444"
"2","model 2","0.400451945747403","0.338168436007327","12984.0665638622","12654.0187313147","0.653275240243764"
"3","model 3","0.358108175404643","0.265853139634426","11646.6601551522","11260.4985949704","0.727420255247624"
"4","model 4","0.36390607628046","0.272875494241608","11819.2309680946","11424.2553339523","0.720220221315285"
"5","model 5","0.379095057139354","0.297925015925628","12408.5476780378","12004.6547842816","0.694536897672058"
"6","model 6","0.411462552481325","0.344768625887426","13178.5235330481","12833.5626073464","0.646508052632932"
"7","model 7","0.400892865853267","0.339976917524781","12977.0767780524","12639.347196344","0.651421000601926"
"8","model 8","0.342703053477729","0.24717732862186","11092.0917905536","10691.6194940085","0.746568600856214"
