"Trial.Number","Random_ID","Response_H","Response_Ax","Response_fdbk","Response_SubjPE","Response_PE","Response_certainty","Response_m_hist","Response_pred","mini_SPIN_total","Social_Anxiety"
3,"SUPPRF30408",53,60,56,-15,-15,64,71,71,4,"low"
4,"SUPPRF30408",51,67,46,14,0,69,46,32,4,"low"
5,"SUPPRF30408",51,58,58,28,29,75,29,30,4,"low"
6,"SUPPRF30408",53,53,71,8,0,66,71,63,4,"low"
7,"SUPPRF30408",54,52,75,34,29,53,46,41,4,"low"
8,"SUPPRF30408",54,61,55,-17,-16,81,71,72,4,"low"
9,"SUPPRF30408",51,50,28,0,-1,61,29,28,4,"low"
10,"SUPPRF30408",52,53,6,-11,-14,53,20,17,4,"low"
11,"SUPPRF30408",54,50,81,15,1,60,80,66,4,"low"
12,"SUPPRF30408",52,51,58,21,12,70,46,37,4,"low"
13,"SUPPRF30408",56,51,94,31,23,62,71,63,4,"low"
14,"SUPPRF30408",53,53,78,14,24,71,54,64,4,"low"
15,"SUPPRF30408",51,52,41,-21,-13,58,54,62,4,"low"
16,"SUPPRF30408",56,51,88,37,25,34,63,51,4,"low"
17,"SUPPRF30408",55,60,61,7,24,12,37,54,4,"low"
18,"SUPPRF30408",52,54,49,-2,12,66,37,51,4,"low"
19,"SUPPRF30408",50,53,62,-2,-1,77,63,64,4,"low"
20,"SUPPRF30408",53,54,22,-26,-15,67,37,48,4,"low"
21,"SUPPRF30408",52,54,45,-4,-1,67,46,49,4,"low"
22,"SUPPRF30408",52,50,16,-29,-13,50,29,45,4,"low"
23,"SUPPRF30408",51,51,29,6,0,78,29,23,4,"low"
24,"SUPPRF30408",55,52,77,13,14,80,63,64,4,"low"
25,"SUPPRF30408",49,52,46,18,17,71,29,28,4,"low"
26,"SUPPRF30408",50,49,34,-12,-12,64,46,46,4,"low"
27,"SUPPRF30408",52,52,35,14,15,70,20,21,4,"low"
28,"SUPPRF30408",51,49,24,-36,-13,61,37,60,4,"low"
29,"SUPPRF30408",54,50,37,3,0,70,37,34,4,"low"
30,"SUPPRF30408",49,52,33,-29,-13,51,46,62,4,"low"
31,"SUPPRF30408",53,51,20,2,0,65,20,18,4,"low"
32,"SUPPRF30408",52,51,54,-2,0,64,54,56,4,"low"
33,"SUPPRF30408",52,51,70,12,-1,67,71,58,4,"low"
34,"SUPPRF30408",50,51,68,1,-12,73,80,67,4,"low"
35,"SUPPRF30408",53,50,83,81,12,56,71,2,4,"low"
36,"SUPPRF30408",48,49,15,-33,-14,3,29,48,4,"low"
37,"SUPPRF30408",51,54,47,26,27,70,20,21,4,"low"
38,"SUPPRF30408",52,49,38,10,-16,45,54,28,4,"low"
39,"SUPPRF30408",49,49,80,56,0,18,80,24,4,"low"
40,"SUPPRF30408",68,50,67,-14,-13,71,80,81,4,"low"
41,"SUPPRF30408",51,52,63,0,0,75,63,63,4,"low"
42,"SUPPRF30408",51,50,47,-16,-16,81,63,63,4,"low"
43,"SUPPRF30408",50,52,66,19,12,72,54,47,4,"low"
44,"SUPPRF30408",51,47,55,-3,1,72,54,58,4,"low"
45,"SUPPRF30408",53,54,96,34,16,63,80,62,4,"low"
46,"SUPPRF30408",52,51,50,-14,-13,74,63,64,4,"low"
47,"SUPPRF30408",49,49,8,-27,-12,52,20,35,4,"low"
48,"SUPPRF30408",51,49,19,1,-1,80,20,18,4,"low"
1,"SUPPRF88256",54,78,47,24,27,70,20,23,7,"high"
2,"SUPPRF88256",65,84,75,-3,29,68,46,78,7,"high"
3,"SUPPRF88256",67,83,80,-8,0,81,80,88,7,"high"
4,"SUPPRF88256",72,83,68,-20,-12,94,80,88,7,"high"
5,"SUPPRF88256",76,93,28,11,-1,92,29,17,7,"high"
6,"SUPPRF88256",88,99,100,23,20,60,80,77,7,"high"
7,"SUPPRF88256",71,92,77,23,14,21,63,54,7,"high"
8,"SUPPRF88256",51,53,50,-20,-13,42,63,70,7,"high"
9,"SUPPRF88256",76,90,33,-35,-13,55,46,68,7,"high"
10,"SUPPRF88256",67,96,16,-33,-13,34,29,49,7,"high"
11,"SUPPRF88256",81,92,8,-32,-12,21,20,40,7,"high"
12,"SUPPRF88256",69,85,56,-19,-15,83,71,75,7,"high"
13,"SUPPRF88256",70,92,49,10,12,9,37,39,7,"high"
14,"SUPPRF88256",51,96,15,-24,-14,24,29,39,7,"high"
15,"SUPPRF88256",49,96,24,-17,-13,26,37,41,7,"high"
16,"SUPPRF88256",48,94,55,6,1,13,54,49,7,"high"
17,"SUPPRF88256",50,98,78,17,24,33,54,61,7,"high"
18,"SUPPRF88256",68,99,83,30,12,10,71,53,7,"high"
19,"SUPPRF88256",61,99,46,8,0,33,46,38,7,"high"
20,"SUPPRF88256",51,98,81,25,1,38,80,56,7,"high"
21,"SUPPRF88256",55,98,94,29,23,70,71,65,7,"high"
22,"SUPPRF88256",49,97,46,13,17,37,29,33,7,"high"
23,"SUPPRF88256",51,96,22,-25,-15,29,37,47,7,"high"
24,"SUPPRF88256",52,98,71,9,0,31,71,62,7,"high"
25,"SUPPRF88256",50,97,66,4,12,35,54,62,7,"high"
26,"SUPPRF88256",52,97,61,24,24,16,37,37,7,"high"
27,"SUPPRF88256",49,98,55,-20,-16,62,71,75,7,"high"
28,"SUPPRF88256",51,98,58,21,29,24,29,37,7,"high"
29,"SUPPRF88256",49,99,63,10,0,63,63,53,7,"high"
30,"SUPPRF88256",41,98,58,27,12,20,46,31,7,"high"
31,"SUPPRF88256",49,99,34,-38,-12,32,46,72,7,"high"
32,"SUPPRF88256",49,99,62,-3,-1,32,63,65,7,"high"
33,"SUPPRF88256",44,98,19,1,-1,53,20,18,7,"high"
34,"SUPPRF88256",42,100,37,20,0,82,37,17,7,"high"
35,"SUPPRF88256",49,97,6,-25,-14,92,20,31,7,"high"
36,"SUPPRF88256",51,99,41,-32,-13,72,54,73,7,"high"
37,"SUPPRF88256",48,97,47,-8,-16,24,63,55,7,"high"
38,"SUPPRF88256",49,100,96,35,16,32,80,61,7,"high"
39,"SUPPRF88256",47,98,20,8,0,94,20,12,7,"high"
40,"SUPPRF88256",52,99,67,-15,-13,89,80,82,7,"high"
41,"SUPPRF88256",48,98,38,-21,1,24,37,59,7,"high"
42,"SUPPRF88256",48,99,45,4,-1,6,46,41,7,"high"
43,"SUPPRF88256",59,97,54,-11,0,79,54,65,7,"high"
44,"SUPPRF88256",59,97,70,32,-1,15,71,38,7,"high"
45,"SUPPRF88256",51,96,38,-17,-16,16,54,55,7,"high"
46,"SUPPRF88256",49,96,35,30,15,96,20,5,7,"high"
47,"SUPPRF88256",63,98,88,31,25,59,63,57,7,"high"
48,"SUPPRF88256",51,97,29,-24,0,6,29,53,7,"high"
1,"SUPPRF55208",79,43,75,36,29,16,46,39,9,"high"
2,"SUPPRF55208",74,71,24,-34,-13,22,37,58,9,"high"
3,"SUPPRF55208",73,86,38,26,-16,42,54,12,9,"high"
4,"SUPPRF55208",99,99,56,20,-15,5,71,36,9,"high"
5,"SUPPRF55208",100,99,62,-10,-1,49,63,72,9,"high"
6,"SUPPRF55208",98,100,47,45,-16,1,63,2,9,"high"
7,"SUPPRF55208",98,99,35,-8,15,34,20,43,9,"high"
8,"SUPPRF55208",99,98,55,-6,-16,44,71,61,9,"high"
9,"SUPPRF55208",99,100,16,-9,-13,26,29,25,9,"high"
10,"SUPPRF55208",99,99,55,6,1,34,54,49,9,"high"
11,"SUPPRF55208",98,98,66,3,12,7,54,63,9,"high"
12,"SUPPRF55208",99,98,80,21,0,9,80,59,9,"high"
13,"SUPPRF55208",99,99,78,19,24,23,54,59,9,"high"
14,"SUPPRF55208",98,99,77,29,14,9,63,48,9,"high"
15,"SUPPRF55208",99,99,15,-7,-14,83,29,22,9,"high"
16,"SUPPRF55208",99,99,100,70,20,39,80,30,9,"high"
17,"SUPPRF55208",99,99,94,64,23,72,71,30,9,"high"
18,"SUPPRF55208",98,98,54,37,0,79,54,17,9,"high"
19,"SUPPRF55208",98,99,49,13,12,6,37,36,9,"high"
20,"SUPPRF55208",98,100,28,24,-1,93,29,4,9,"high"
21,"SUPPRF55208",98,100,81,3,1,24,80,78,9,"high"
22,"SUPPRF55208",98,100,46,21,17,92,29,25,9,"high"
23,"SUPPRF55208",98,98,22,-50,-15,44,37,72,9,"high"
24,"SUPPRF55208",99,98,29,16,0,88,29,13,9,"high"
25,"SUPPRF55208",98,98,58,13,12,10,46,45,9,"high"
26,"SUPPRF55208",99,99,34,1,-12,46,46,33,9,"high"
27,"SUPPRF55208",98,100,96,57,16,21,80,39,9,"high"
28,"SUPPRF55208",99,99,6,-67,-14,22,20,73,9,"high"
29,"SUPPRF55208",99,99,63,11,0,32,63,52,9,"high"
30,"SUPPRF55208",99,98,33,-13,-13,44,46,46,9,"high"
31,"SUPPRF55208",99,98,50,-19,-13,20,63,69,9,"high"
32,"SUPPRF55208",98,99,67,-20,-13,78,80,87,9,"high"
33,"SUPPRF55208",99,99,71,47,0,29,71,24,9,"high"
34,"SUPPRF55208",98,69,8,-16,-12,0,20,24,9,"high"
35,"SUPPRF55208",99,68,19,7,-1,96,20,12,9,"high"
36,"SUPPRF55208",99,69,45,3,-1,2,46,42,9,"high"
37,"SUPPRF55208",100,63,46,-3,0,78,46,49,9,"high"
38,"SUPPRF55208",98,49,41,-8,-13,25,54,49,9,"high"
39,"SUPPRF55208",97,45,58,39,29,32,29,19,9,"high"
40,"SUPPRF55208",99,50,20,14,0,80,20,6,9,"high"
41,"SUPPRF55208",98,44,37,-25,0,3,37,62,9,"high"
42,"SUPPRF55208",99,35,47,25,27,69,20,22,9,"high"
43,"SUPPRF55208",99,31,61,49,24,83,37,12,9,"high"
44,"SUPPRF55208",98,30,68,-14,-12,11,80,82,9,"high"
45,"SUPPRF55208",98,31,88,39,25,1,63,49,9,"high"
46,"SUPPRF55208",100,27,38,-16,1,9,37,54,9,"high"
47,"SUPPRF55208",100,20,70,41,-1,6,71,29,9,"high"
48,"SUPPRF55208",98,99,83,15,12,81,71,68,9,"high"
1,"SUPPRF59973",47,50,29,-27,0,50,29,56,2,"low"
2,"SUPPRF59973",52,52,68,27,-12,51,80,41,2,"low"
3,"SUPPRF59973",50,51,88,32,25,48,63,56,2,"low"
4,"SUPPRF59973",51,53,22,-50,-15,54,37,72,2,"low"
5,"SUPPRF59973",56,51,20,-39,0,45,20,59,2,"low"
6,"SUPPRF59973",55,48,46,-33,0,51,46,79,2,"low"
7,"SUPPRF59973",58,49,33,-23,-13,61,46,56,2,"low"
8,"SUPPRF59973",53,48,75,18,29,52,46,57,2,"low"
9,"SUPPRF59973",51,48,47,-12,-16,55,63,59,2,"low"
10,"SUPPRF59973",53,53,34,-22,-12,54,46,56,2,"low"
11,"SUPPRF59973",52,54,8,-45,-12,49,20,53,2,"low"
12,"SUPPRF59973",53,50,94,40,23,49,71,54,2,"low"
13,"SUPPRF59973",56,50,46,30,17,46,29,16,2,"low"
14,"SUPPRF59973",50,42,70,17,-1,51,71,53,2,"low"
15,"SUPPRF59973",55,51,67,16,-13,54,80,51,2,"low"
16,"SUPPRF59973",55,53,28,-26,-1,56,29,54,2,"low"
17,"SUPPRF59973",47,54,56,-2,-15,51,71,58,2,"low"
18,"SUPPRF59973",49,61,71,17,0,49,71,54,2,"low"
19,"SUPPRF59973",51,53,66,39,12,51,54,27,2,"low"
20,"SUPPRF59973",50,50,35,-20,15,51,20,55,2,"low"
21,"SUPPRF59973",54,47,41,-10,-13,50,54,51,2,"low"
22,"SUPPRF59973",52,49,100,56,20,52,80,44,2,"low"
23,"SUPPRF59973",61,52,38,-36,1,65,37,74,2,"low"
24,"SUPPRF59973",52,45,38,-12,-16,50,54,50,2,"low"
25,"SUPPRF59973",50,54,16,-37,-13,46,29,53,2,"low"
26,"SUPPRF59973",56,50,6,-41,-14,61,20,47,2,"low"
27,"SUPPRF59973",59,59,77,25,14,53,63,52,2,"low"
28,"SUPPRF59973",53,60,49,-5,12,66,37,54,2,"low"
29,"SUPPRF59973",61,53,47,-10,27,51,20,57,2,"low"
30,"SUPPRF59973",50,55,58,8,12,50,46,50,2,"low"
31,"SUPPRF59973",49,40,62,2,-1,48,63,60,2,"low"
32,"SUPPRF59973",47,52,81,27,1,47,80,54,2,"low"
33,"SUPPRF59973",52,54,55,0,1,48,54,55,2,"low"
34,"SUPPRF59973",65,72,83,39,12,54,71,44,2,"low"
35,"SUPPRF59973",56,66,37,-17,0,52,37,54,2,"low"
36,"SUPPRF59973",52,58,96,43,16,56,80,53,2,"low"
37,"SUPPRF59973",52,53,61,5,24,55,37,56,2,"low"
38,"SUPPRF59973",48,46,63,12,0,58,63,51,2,"low"
39,"SUPPRF59973",63,53,45,-6,-1,56,46,51,2,"low"
40,"SUPPRF59973",65,51,78,14,24,65,54,64,2,"low"
41,"SUPPRF59973",53,55,55,-38,-16,54,71,93,2,"low"
42,"SUPPRF59973",88,46,19,-35,-1,55,20,54,2,"low"
43,"SUPPRF59973",55,51,58,0,29,100,29,58,2,"low"
44,"SUPPRF59973",60,71,15,-38,-14,47,29,53,2,"low"
45,"SUPPRF59973",65,55,80,26,0,55,80,54,2,"low"
46,"SUPPRF59973",64,55,24,-28,-13,100,37,52,2,"low"
47,"SUPPRF59973",55,76,54,-7,0,52,54,61,2,"low"
48,"SUPPRF59973",66,62,50,-9,-13,66,63,59,2,"low"
1,"SUPPRF14988",77,68,15,-13,-14,88,29,28,9,"high"
2,"SUPPRF14988",48,48,67,-18,-13,89,80,85,9,"high"
3,"SUPPRF14988",31,42,68,-12,-12,65,80,80,9,"high"
4,"SUPPRF14988",66,59,46,25,17,56,29,21,9,"high"
5,"SUPPRF14988",19,12,6,-13,-14,45,20,19,9,"high"
6,"SUPPRF14988",93,94,100,23,20,70,80,77,9,"high"
7,"SUPPRF14988",50,49,33,-40,-13,13,46,73,9,"high"
8,"SUPPRF14988",26,25,63,-12,0,77,63,75,9,"high"
9,"SUPPRF14988",38,51,71,11,0,33,71,60,9,"high"
10,"SUPPRF14988",67,65,96,35,16,6,80,61,9,"high"
11,"SUPPRF14988",56,50,56,-9,-15,26,71,65,9,"high"
12,"SUPPRF14988",26,20,19,-38,-1,20,20,57,9,"high"
13,"SUPPRF14988",31,31,22,-11,-15,49,37,33,9,"high"
14,"SUPPRF14988",45,23,37,2,0,29,37,35,9,"high"
15,"SUPPRF14988",64,32,83,22,12,43,71,61,9,"high"
16,"SUPPRF14988",93,33,80,5,0,48,80,75,9,"high"
17,"SUPPRF14988",90,37,54,-6,0,56,54,60,9,"high"
18,"SUPPRF14988",81,25,47,-17,-16,69,63,64,9,"high"
19,"SUPPRF14988",17,17,20,-39,0,27,20,59,9,"high"
20,"SUPPRF14988",80,32,88,33,25,41,63,55,9,"high"
21,"SUPPRF14988",57,32,34,-3,-12,60,46,37,9,"high"
22,"SUPPRF14988",82,32,58,13,12,25,46,45,9,"high"
23,"SUPPRF14988",95,42,94,32,23,33,71,62,9,"high"
24,"SUPPRF14988",74,48,49,8,12,42,37,41,9,"high"
25,"SUPPRF14988",62,56,70,23,-1,50,71,47,9,"high"
26,"SUPPRF14988",75,52,81,-7,1,78,80,88,9,"high"
27,"SUPPRF14988",80,57,38,-8,1,70,37,46,9,"high"
28,"SUPPRF14988",85,38,47,27,27,60,20,20,9,"high"
29,"SUPPRF14988",38,13,38,-16,-16,70,54,54,9,"high"
30,"SUPPRF14988",86,39,28,-5,-1,25,29,33,9,"high"
31,"SUPPRF14988",12,12,8,-12,-12,81,20,20,9,"high"
32,"SUPPRF14988",72,31,78,38,24,49,54,40,9,"high"
33,"SUPPRF14988",68,52,66,11,12,68,54,55,9,"high"
34,"SUPPRF14988",75,63,29,-5,0,79,29,34,9,"high"
35,"SUPPRF14988",81,77,55,-7,1,71,54,62,9,"high"
36,"SUPPRF14988",83,77,62,5,-1,63,63,57,9,"high"
37,"SUPPRF14988",93,91,45,1,-1,87,46,44,9,"high"
38,"SUPPRF14988",97,83,75,30,29,93,46,45,9,"high"
39,"SUPPRF14988",87,79,41,-28,-13,67,54,69,9,"high"
40,"SUPPRF14988",97,73,61,18,24,74,37,43,9,"high"
41,"SUPPRF14988",86,61,24,-21,-13,49,37,45,9,"high"
42,"SUPPRF14988",94,82,58,22,29,47,29,36,9,"high"
43,"SUPPRF14988",96,71,77,20,14,44,63,57,9,"high"
44,"SUPPRF14988",98,88,35,-5,15,10,20,40,9,"high"
45,"SUPPRF14988",98,81,55,-5,-16,53,71,60,9,"high"
46,"SUPPRF14988",88,72,50,-12,-13,80,63,62,9,"high"
47,"SUPPRF14988",67,58,16,-27,-13,65,29,43,9,"high"
48,"SUPPRF14988",82,88,46,1,0,67,46,45,9,"high"
1,"SUPPRF46255",65,65,47,29,27,87,20,18,6,"high"
2,"SUPPRF46255",79,73,81,17,1,8,80,64,6,"high"
3,"SUPPRF46255",65,71,62,5,-1,14,63,57,6,"high"
4,"SUPPRF46255",58,51,77,25,14,18,63,52,6,"high"
5,"SUPPRF46255",60,55,34,-7,-12,69,46,41,6,"high"
6,"SUPPRF46255",64,58,96,21,16,88,80,75,6,"high"
7,"SUPPRF46255",64,68,58,26,29,76,29,32,6,"high"
8,"SUPPRF46255",58,57,100,37,20,6,80,63,6,"high"
9,"SUPPRF46255",62,58,55,19,1,77,54,36,6,"high"
10,"SUPPRF46255",63,64,71,14,0,28,71,57,6,"high"
11,"SUPPRF46255",46,45,8,-12,-12,84,20,20,6,"high"
12,"SUPPRF46255",55,50,38,-9,-16,45,54,47,6,"high"
13,"SUPPRF46255",55,56,38,-21,1,56,37,59,6,"high"
14,"SUPPRF46255",55,50,33,15,-13,71,46,18,6,"high"
15,"SUPPRF46255",50,48,70,46,-1,77,71,24,6,"high"
16,"SUPPRF46255",53,54,58,12,12,58,46,46,6,"high"
17,"SUPPRF46255",41,46,20,-36,0,29,20,56,6,"high"
18,"SUPPRF46255",58,51,78,25,24,14,54,53,6,"high"
19,"SUPPRF46255",49,48,61,18,24,12,37,43,6,"high"
20,"SUPPRF46255",50,48,47,-14,-16,58,63,61,6,"high"
21,"SUPPRF46255",46,45,24,-7,-13,36,37,31,6,"high"
22,"SUPPRF46255",52,52,50,8,-13,24,63,42,6,"high"
23,"SUPPRF46255",45,46,45,0,-1,22,46,45,6,"high"
24,"SUPPRF46255",57,52,29,-23,0,56,29,52,6,"high"
25,"SUPPRF46255",53,50,22,-18,-15,33,37,40,6,"high"
26,"SUPPRF46255",51,46,56,10,-15,33,71,46,6,"high"
27,"SUPPRF46255",42,45,16,-31,-13,15,29,47,6,"high"
28,"SUPPRF46255",56,60,80,3,0,75,80,77,6,"high"
29,"SUPPRF46255",49,47,37,23,0,10,37,14,6,"high"
30,"SUPPRF46255",54,52,63,4,0,58,63,59,6,"high"
31,"SUPPRF46255",49,52,41,-18,-13,63,54,59,6,"high"
32,"SUPPRF46255",49,49,67,30,-13,5,80,37,6,"high"
33,"SUPPRF46255",40,48,15,-44,-14,10,29,59,6,"high"
34,"SUPPRF46255",52,53,46,9,0,77,46,37,6,"high"
35,"SUPPRF46255",51,54,19,-29,-1,60,20,48,6,"high"
36,"SUPPRF46255",53,53,35,-8,15,47,20,43,6,"high"
37,"SUPPRF46255",51,50,28,11,-1,80,29,17,6,"high"
38,"SUPPRF46255",58,47,83,13,12,64,71,70,6,"high"
39,"SUPPRF46255",50,53,49,5,12,47,37,44,6,"high"
40,"SUPPRF46255",48,48,54,-6,0,56,54,60,6,"high"
41,"SUPPRF46255",43,40,6,-27,-14,2,20,33,6,"high"
42,"SUPPRF46255",42,32,46,31,17,66,29,15,6,"high"
43,"SUPPRF46255",50,38,94,45,23,5,71,49,6,"high"
44,"SUPPRF46255",49,44,66,9,12,79,54,57,6,"high"
45,"SUPPRF46255",50,34,55,3,-16,26,71,52,6,"high"
46,"SUPPRF46255",46,35,88,44,25,36,63,44,6,"high"
47,"SUPPRF46255",44,37,68,-15,-12,12,80,83,6,"high"
48,"SUPPRF46255",40,37,75,16,29,17,46,59,6,"high"
1,"SUPPRF73473",4,21,6,-20,-14,77,20,26,8,"high"
2,"SUPPRF73473",67,36,78,27,24,66,54,51,8,"high"
3,"SUPPRF73473",67,32,67,-17,-13,69,80,84,8,"high"
4,"SUPPRF73473",62,38,35,20,15,15,20,15,8,"high"
5,"SUPPRF73473",45,61,8,-6,-12,63,20,14,8,"high"
6,"SUPPRF73473",84,71,45,0,-1,75,46,45,8,"high"
7,"SUPPRF73473",31,47,29,-10,0,27,29,39,8,"high"
8,"SUPPRF73473",45,29,41,11,-13,28,54,30,8,"high"
9,"SUPPRF73473",50,42,19,-12,-1,28,20,31,8,"high"
10,"SUPPRF73473",83,51,83,47,12,6,71,36,8,"high"
11,"SUPPRF73473",100,63,96,71,16,23,80,25,8,"high"
12,"SUPPRF73473",59,44,46,2,0,35,46,44,8,"high"
13,"SUPPRF73473",76,90,81,42,1,26,80,39,8,"high"
14,"SUPPRF73473",49,27,63,10,0,56,63,53,8,"high"
15,"SUPPRF73473",60,54,34,-25,-12,69,46,59,8,"high"
16,"SUPPRF73473",42,59,49,12,12,5,37,37,8,"high"
17,"SUPPRF73473",80,27,71,-2,0,77,71,73,8,"high"
18,"SUPPRF73473",24,63,47,10,27,39,20,37,8,"high"
19,"SUPPRF73473",98,84,100,49,20,15,80,51,8,"high"
20,"SUPPRF73473",36,50,50,7,-13,23,63,43,8,"high"
21,"SUPPRF73473",28,56,94,48,23,25,71,46,8,"high"
22,"SUPPRF73473",25,16,58,23,12,52,46,35,8,"high"
23,"SUPPRF73473",61,29,47,-9,-16,25,63,56,8,"high"
24,"SUPPRF73473",28,22,46,14,17,67,29,32,8,"high"
25,"SUPPRF73473",31,35,56,-12,-15,71,71,68,8,"high"
26,"SUPPRF73473",38,32,15,-21,-14,34,29,36,8,"high"
27,"SUPPRF73473",30,55,75,34,29,26,46,41,8,"high"
28,"SUPPRF73473",37,41,61,19,24,25,37,42,8,"high"
29,"SUPPRF73473",25,25,16,-38,-13,17,29,54,8,"high"
30,"SUPPRF73473",23,24,54,14,0,70,54,40,8,"high"
31,"SUPPRF73473",78,24,88,52,25,34,63,36,8,"high"
32,"SUPPRF73473",21,23,58,48,29,81,29,10,8,"high"
33,"SUPPRF73473",23,19,62,17,-1,66,63,45,8,"high"
34,"SUPPRF73473",1,14,70,-3,-1,23,71,73,8,"high"
35,"SUPPRF73473",30,30,28,3,-1,40,29,25,8,"high"
36,"SUPPRF73473",3,1,77,31,14,23,63,46,8,"high"
37,"SUPPRF73473",2,1,20,5,0,17,20,15,8,"high"
38,"SUPPRF73473",3,2,37,-25,0,17,37,62,8,"high"
39,"SUPPRF73473",11,16,33,-34,-13,7,46,67,8,"high"
40,"SUPPRF73473",15,11,22,-10,-15,16,37,32,8,"high"
41,"SUPPRF73473",20,15,24,-13,-13,66,37,37,8,"high"
42,"SUPPRF73473",10,19,80,7,0,63,80,73,8,"high"
43,"SUPPRF73473",6,10,38,-14,-16,25,54,52,8,"high"
44,"SUPPRF73473",24,14,68,-6,-12,83,80,74,8,"high"
45,"SUPPRF73473",70,24,55,1,-16,22,71,54,8,"high"
46,"SUPPRF73473",78,16,55,0,1,18,54,55,8,"high"
47,"SUPPRF73473",25,19,38,4,1,21,37,34,8,"high"
48,"SUPPRF73473",2,3,66,32,12,29,54,34,8,"high"
1,"SUPPRF12889",70,71,8,-36,-12,65,20,44,2,"low"
2,"SUPPRF12889",78,80,58,35,29,68,29,23,2,"low"
3,"SUPPRF12889",68,66,41,-15,-13,68,54,56,2,"low"
4,"SUPPRF12889",67,69,67,-13,-13,92,80,80,2,"low"
5,"SUPPRF12889",61,54,38,-4,-16,53,54,42,2,"low"
6,"SUPPRF12889",67,69,24,-50,-13,63,37,74,2,"low"
7,"SUPPRF12889",70,64,29,-3,0,76,29,32,2,"low"
8,"SUPPRF12889",87,86,77,12,14,70,63,65,2,"low"
9,"SUPPRF12889",71,75,38,-15,1,53,37,53,2,"low"
10,"SUPPRF12889",94,88,94,31,23,66,71,63,2,"low"
11,"SUPPRF12889",59,57,47,34,27,30,20,13,2,"low"
12,"SUPPRF12889",72,80,19,10,-1,74,20,9,2,"low"
13,"SUPPRF12889",82,84,83,13,12,83,71,70,2,"low"
14,"SUPPRF12889",78,71,20,7,0,75,20,13,2,"low"
15,"SUPPRF12889",87,90,49,-5,12,20,37,54,2,"low"
16,"SUPPRF12889",46,87,22,-21,-15,76,37,43,2,"low"
17,"SUPPRF12889",96,91,100,15,20,66,80,85,2,"low"
18,"SUPPRF12889",92,92,50,6,-13,14,63,44,2,"low"
19,"SUPPRF12889",55,78,68,-16,-12,78,80,84,2,"low"
20,"SUPPRF12889",61,77,16,-6,-13,23,29,22,2,"low"
21,"SUPPRF12889",82,82,63,-3,0,80,63,66,2,"low"
22,"SUPPRF12889",62,95,47,-17,-16,67,63,64,2,"low"
23,"SUPPRF12889",91,93,71,-9,0,87,71,80,2,"low"
24,"SUPPRF12889",81,94,45,-3,-1,89,46,48,2,"low"
25,"SUPPRF12889",87,83,33,-18,-13,13,46,51,2,"low"
26,"SUPPRF12889",92,87,58,3,12,37,46,55,2,"low"
27,"SUPPRF12889",90,91,80,-10,0,71,80,90,2,"low"
28,"SUPPRF12889",66,94,34,-11,-12,71,46,45,2,"low"
29,"SUPPRF12889",83,94,55,14,1,68,54,41,2,"low"
30,"SUPPRF12889",81,92,70,2,-1,30,71,68,2,"low"
31,"SUPPRF12889",48,88,6,-8,-14,87,20,14,2,"low"
32,"SUPPRF12889",77,98,55,-8,-16,35,71,63,2,"low"
33,"SUPPRF12889",91,99,96,25,16,74,80,71,2,"low"
34,"SUPPRF12889",84,99,15,0,-14,88,29,15,2,"low"
35,"SUPPRF12889",100,100,75,14,29,76,46,61,2,"low"
36,"SUPPRF12889",82,99,35,31,15,35,20,4,2,"low"
37,"SUPPRF12889",94,100,61,17,24,70,37,44,2,"low"
38,"SUPPRF12889",99,98,46,24,17,84,29,22,2,"low"
39,"SUPPRF12889",100,100,88,33,25,19,63,55,2,"low"
40,"SUPPRF12889",98,99,46,-2,0,74,46,48,2,"low"
41,"SUPPRF12889",96,99,62,5,-1,83,63,57,2,"low"
42,"SUPPRF12889",98,99,81,5,1,85,80,76,2,"low"
43,"SUPPRF12889",99,99,78,27,24,84,54,51,2,"low"
44,"SUPPRF12889",97,100,66,21,12,32,54,45,2,"low"
45,"SUPPRF12889",82,90,54,8,0,10,54,46,2,"low"
46,"SUPPRF12889",53,66,56,-24,-15,91,71,80,2,"low"
47,"SUPPRF12889",94,93,28,14,-1,88,29,14,2,"low"
48,"SUPPRF12889",98,96,37,1,0,67,37,36,2,"low"
1,"SUPPRF54311",45,35,16,-12,-13,63,29,28,7,"high"
2,"SUPPRF54311",49,48,47,27,27,86,20,20,7,"high"
3,"SUPPRF54311",41,42,34,-11,-12,67,46,45,7,"high"
4,"SUPPRF54311",37,32,41,1,-13,76,54,40,7,"high"
5,"SUPPRF54311",51,51,81,13,1,84,80,68,7,"high"
6,"SUPPRF54311",48,74,37,7,0,82,37,30,7,"high"
7,"SUPPRF54311",63,71,61,19,24,95,37,42,7,"high"
8,"SUPPRF54311",52,73,94,37,23,95,71,57,7,"high"
9,"SUPPRF54311",51,75,20,-27,0,74,20,47,7,"high"
10,"SUPPRF54311",46,48,47,-1,-16,58,63,48,7,"high"
11,"SUPPRF54311",57,21,8,-4,-12,72,20,12,7,"high"
12,"SUPPRF54311",70,55,56,24,-15,61,71,32,7,"high"
13,"SUPPRF54311",50,75,62,17,-1,72,63,45,7,"high"
14,"SUPPRF54311",41,36,38,21,1,56,37,17,7,"high"
15,"SUPPRF54311",45,43,55,17,-16,44,71,38,7,"high"
16,"SUPPRF54311",49,74,80,0,0,79,80,80,7,"high"
