"Trial.Number","Random_ID","Response_H","Response_Ax","Response_fdbk","Response_SubjPE","Response_PE","Response_certainty","Response_m_hist","Response_pred","mini_SPIN_total","Social_Anxiety"
30,"SUPPRF23130",53,60,54,8,0,57,54,46,3,"low"
31,"SUPPRF23130",82,75,96,42,16,63,80,54,3,"low"
32,"SUPPRF23130",78,64,83,58,12,30,71,25,3,"low"
33,"SUPPRF23130",70,65,66,10,12,46,54,56,3,"low"
34,"SUPPRF23130",64,74,75,36,29,44,46,39,3,"low"
35,"SUPPRF23130",63,65,71,11,0,65,71,60,3,"low"
36,"SUPPRF23130",67,67,58,28,29,49,29,30,3,"low"
37,"SUPPRF23130",63,51,77,19,14,23,63,58,3,"low"
38,"SUPPRF23130",74,71,56,-3,-15,93,71,59,3,"low"
39,"SUPPRF23130",46,39,19,-20,-1,37,20,39,3,"low"
40,"SUPPRF23130",69,71,70,-7,-1,89,71,77,3,"low"
41,"SUPPRF23130",43,63,47,-18,-16,79,63,65,3,"low"
42,"SUPPRF23130",68,80,16,4,-13,79,29,12,3,"low"
43,"SUPPRF23130",27,59,37,-17,0,72,37,54,3,"low"
44,"SUPPRF23130",84,74,88,37,25,63,63,51,3,"low"
45,"SUPPRF23130",75,74,81,-1,1,88,80,82,3,"low"
46,"SUPPRF23130",45,59,46,-9,0,61,46,55,3,"low"
47,"SUPPRF23130",52,51,24,-5,-13,78,37,29,3,"low"
48,"SUPPRF23130",57,58,58,8,12,50,46,50,3,"low"
1,"SUPPRF57988",46,37,37,-13,0,44,37,50,5,"low"
2,"SUPPRF57988",48,39,88,26,25,64,63,62,5,"low"
3,"SUPPRF57988",46,38,33,-7,-13,31,46,40,5,"low"
4,"SUPPRF57988",47,41,46,-10,17,26,29,56,5,"low"
5,"SUPPRF57988",40,46,66,10,12,36,54,56,5,"low"
6,"SUPPRF57988",44,40,55,-2,-16,27,71,57,5,"low"
7,"SUPPRF57988",47,43,58,17,29,30,29,41,5,"low"
8,"SUPPRF57988",42,48,16,-33,-13,37,29,49,5,"low"
9,"SUPPRF57988",44,47,68,-14,-12,34,80,82,5,"low"
10,"SUPPRF57988",43,47,94,36,23,42,71,58,5,"low"
11,"SUPPRF57988",41,42,47,-19,-16,41,63,66,5,"low"
12,"SUPPRF57988",45,44,96,51,16,34,80,45,5,"low"
13,"SUPPRF57988",44,42,20,-22,0,37,20,42,5,"low"
14,"SUPPRF57988",43,46,56,-9,-15,41,71,65,5,"low"
15,"SUPPRF57988",43,46,54,-4,0,38,54,58,5,"low"
16,"SUPPRF57988",45,44,46,7,0,45,46,39,5,"low"
17,"SUPPRF57988",38,32,38,-6,1,41,37,44,5,"low"
18,"SUPPRF57988",37,33,75,37,29,36,46,38,5,"low"
19,"SUPPRF57988",41,41,29,-13,0,35,29,42,5,"low"
20,"SUPPRF57988",43,40,41,-18,-13,39,54,59,5,"low"
21,"SUPPRF57988",39,38,83,22,12,40,71,61,5,"low"
22,"SUPPRF57988",38,39,67,-12,-13,37,80,79,5,"low"
23,"SUPPRF57988",40,38,15,-11,-14,39,29,26,5,"low"
24,"SUPPRF57988",35,41,24,-16,-13,40,37,40,5,"low"
25,"SUPPRF57988",43,40,100,18,20,43,80,82,5,"low"
26,"SUPPRF57988",44,42,38,-17,-16,41,54,55,5,"low"
27,"SUPPRF57988",41,44,70,11,-1,33,71,59,5,"low"
28,"SUPPRF57988",39,41,77,17,14,37,63,60,5,"low"
29,"SUPPRF57988",44,41,63,2,0,40,63,61,5,"low"
30,"SUPPRF57988",40,41,55,-1,1,41,54,56,5,"low"
31,"SUPPRF57988",36,39,61,7,24,39,37,54,5,"low"
32,"SUPPRF57988",39,36,19,-4,-1,38,20,23,5,"low"
33,"SUPPRF57988",37,41,45,-19,-1,40,46,64,5,"low"
34,"SUPPRF57988",40,37,47,18,27,36,20,29,5,"low"
35,"SUPPRF57988",35,34,35,13,15,35,20,22,5,"low"
36,"SUPPRF57988",32,33,28,-17,-1,39,29,45,5,"low"
37,"SUPPRF57988",37,41,34,-4,-12,38,46,38,5,"low"
38,"SUPPRF57988",42,35,22,-21,-15,39,37,43,5,"low"
39,"SUPPRF57988",35,36,58,12,12,36,46,46,5,"low"
40,"SUPPRF57988",37,38,62,14,-1,35,63,48,5,"low"
41,"SUPPRF57988",39,40,50,-17,-13,37,63,67,5,"low"
42,"SUPPRF57988",39,38,8,-25,-12,42,20,33,5,"low"
43,"SUPPRF57988",39,39,6,-16,-14,39,20,22,5,"low"
44,"SUPPRF57988",37,42,81,8,1,38,80,73,5,"low"
45,"SUPPRF57988",38,41,49,-7,12,34,37,56,5,"low"
46,"SUPPRF57988",41,38,78,9,24,29,54,69,5,"low"
47,"SUPPRF57988",46,39,80,2,0,36,80,78,5,"low"
48,"SUPPRF57988",43,43,71,1,0,36,71,70,5,"low"
1,"SUPPRF28201",57,55,63,9,0,61,63,54,2,"low"
2,"SUPPRF28201",49,42,50,-20,-13,68,63,70,2,"low"
3,"SUPPRF28201",51,49,19,3,-1,71,20,16,2,"low"
4,"SUPPRF28201",48,47,68,-21,-12,64,80,89,2,"low"
5,"SUPPRF28201",52,49,77,29,14,32,63,48,2,"low"
6,"SUPPRF28201",52,46,56,-24,-15,51,71,80,2,"low"
7,"SUPPRF28201",56,45,24,-17,-13,23,37,41,2,"low"
8,"SUPPRF28201",41,48,8,-8,-12,38,20,16,2,"low"
9,"SUPPRF28201",51,46,46,-5,0,30,46,51,2,"low"
10,"SUPPRF28201",48,47,49,-4,12,10,37,53,2,"low"
11,"SUPPRF28201",51,49,55,-12,-16,42,71,67,2,"low"
12,"SUPPRF28201",44,42,47,-11,-16,47,63,58,2,"low"
13,"SUPPRF28201",42,49,34,-20,-12,51,46,54,2,"low"
14,"SUPPRF28201",47,41,61,13,24,21,37,48,2,"low"
15,"SUPPRF28201",40,28,29,4,0,31,29,25,2,"low"
16,"SUPPRF28201",42,39,35,10,15,39,20,25,2,"low"
17,"SUPPRF28201",45,38,67,7,-13,31,80,60,2,"low"
18,"SUPPRF28201",31,34,37,-5,0,28,37,42,2,"low"
19,"SUPPRF28201",44,48,71,3,0,30,71,68,2,"low"
20,"SUPPRF28201",42,44,62,-6,-1,40,63,68,2,"low"
21,"SUPPRF28201",49,48,83,13,12,33,71,70,2,"low"
22,"SUPPRF28201",43,39,58,20,12,19,46,38,2,"low"
23,"SUPPRF28201",37,40,66,17,12,29,54,49,2,"low"
24,"SUPPRF28201",48,49,78,19,24,49,54,59,2,"low"
25,"SUPPRF28201",39,37,33,-22,-13,44,46,55,2,"low"
26,"SUPPRF28201",42,43,81,9,1,38,80,72,2,"low"
27,"SUPPRF28201",32,36,38,-23,-16,44,54,61,2,"low"
28,"SUPPRF28201",51,37,58,39,29,7,29,19,2,"low"
29,"SUPPRF28201",65,34,96,23,16,37,80,73,2,"low"
30,"SUPPRF28201",35,43,6,-20,-14,35,20,26,2,"low"
31,"SUPPRF28201",45,43,70,-13,-1,28,71,83,2,"low"
32,"SUPPRF28201",70,46,55,0,1,37,54,55,2,"low"
33,"SUPPRF28201",42,39,16,-12,-13,34,29,28,2,"low"
34,"SUPPRF28201",47,34,46,32,17,17,29,14,2,"low"
35,"SUPPRF28201",31,33,45,2,-1,25,46,43,2,"low"
36,"SUPPRF28201",39,38,94,18,23,16,71,76,2,"low"
37,"SUPPRF28201",34,36,41,-12,-13,39,54,53,2,"low"
38,"SUPPRF28201",20,24,100,36,20,28,80,64,2,"low"
39,"SUPPRF28201",32,31,38,-2,1,20,37,40,2,"low"
40,"SUPPRF28201",29,30,88,55,25,26,63,33,2,"low"
41,"SUPPRF28201",29,30,22,-27,-15,14,37,49,2,"low"
42,"SUPPRF28201",30,30,20,-5,0,13,20,25,2,"low"
43,"SUPPRF28201",34,31,75,37,29,35,46,38,2,"low"
44,"SUPPRF28201",29,23,47,24,27,19,20,23,2,"low"
45,"SUPPRF28201",31,30,28,-21,-1,36,29,49,2,"low"
46,"SUPPRF28201",24,32,54,8,0,25,54,46,2,"low"
47,"SUPPRF28201",21,22,15,-13,-14,12,29,28,2,"low"
48,"SUPPRF28201",20,24,80,7,0,23,80,73,2,"low"
1,"SUPPRF94387",52,55,46,-4,17,60,29,50,1,"low"
2,"SUPPRF94387",52,53,58,11,12,61,46,47,1,"low"
