"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID"
1,1711130542177,"22/03/2024 18:02:22",1711130542177,0,"22/03/2024 18:02:22",172741,3,"task-gjqt",NA,36357349,NA,"complete",NA,"65fdc439d78b83735eacceca","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 118.0.0.0","1440x900","1440x783",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF61251"
2,1711130601338,"22/03/2024 18:03:21",1711130601338,0,"22/03/2024 18:03:21",172741,3,"task-gjqt",NA,36357349,NA,"complete",NA,"65fdc439d78b83735eacceca","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 118.0.0.0","1440x900","1299x672",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"continue","",59172.0199999993,59159.528,59172.0199999993,59172.0199999993,59159.528,59172.0199999993,1,59172.0199999993,0,0,NA,"Click To Continue","Continue Button",23,"object-48","BIQ",NA,"SUPPRF61251"
3,1711130684078,"22/03/2024 18:04:44",1711130684078,0,"22/03/2024 18:04:44",172741,3,"task-gjqt",NA,36357349,NA,"complete",NA,"65fdc439d78b83735eacceca","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 118.0.0.0","1440x900","810x672",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"continue","",141911.620000001,141881.803,141911.620000001,141911.620000001,141881.803,141911.620000001,1,141911.620000001,0,0,NA,"Click To Continue","Continue Button",23,"object-48","BIQ",NA,"SUPPRF61251"
4,1711130692358,"22/03/2024 18:04:52",1711130692358,0,"22/03/2024 18:04:52",172741,3,"task-gjqt",NA,36357349,NA,"complete",NA,"65fdc439d78b83735eacceca","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 118.0.0.0","1440x900","627x672",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"continue","",150192.476,150159.144,150192.476,150192.476,150159.144,150192.476,1,150192.476,0,0,NA,"Click To Continue","Continue Button",23,"object-48","BIQ",NA,"SUPPRF61251"
5,1711130715180,"22/03/2024 18:05:15",1711130715180,0,"22/03/2024 18:05:15",172741,3,"task-gjqt",NA,36357349,NA,"complete",NA,"65fdc439d78b83735eacceca","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 118.0.0.0","1440x900","616x672",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"continue","",173009.620000001,172982.729,173009.620000001,173009.620000001,172982.729,173009.620000001,1,173009.620000001,0,0,NA,"Click To Continue","Continue Button",23,"object-48","BIQ",NA,"SUPPRF61251"
6,1711130760220,"22/03/2024 18:06:00",1711130760220,0,"22/03/2024 18:06:00",172741,3,"task-gjqt",NA,36357349,NA,"complete",NA,"65fdc439d78b83735eacceca","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 118.0.0.0","1440x900","500x705",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"continue","",218042.220000002,218010.889,218042.220000002,218042.220000002,218010.889,218042.220000002,1,218042.220000002,0,0,NA,"Click To Continue","Continue Button",23,"object-48","BIQ",NA,"SUPPRF61251"
7,1711130763478,"22/03/2024 18:06:03",1711130763478,0,"22/03/2024 18:06:03",172741,3,"task-gjqt",NA,36357349,NA,"complete",NA,"65fdc439d78b83735eacceca","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 118.0.0.0","1440x900","500x705",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"continue","",221301.519999999,221277.425,221301.519999999,221301.519999999,221277.425,221301.519999999,1,221301.519999999,0,0,NA,"Click To Continue","Continue Button",23,"object-48","BIQ",NA,"SUPPRF61251"
8,1711130763485,"22/03/2024 18:06:03",1711130763485,0,"22/03/2024 18:06:03",172741,3,"task-gjqt",NA,36357349,NA,"complete",NA,"65fdc439d78b83735eacceca","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 118.0.0.0","1440x900","500x705",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","0",24705.51,221277.425,221308.519999999,24705.51,221277.425,221308.519999999,1,24705.51,196603.009999999,0,NA,"Rating Scale","Rating Scale",3,"object-5","BIQ",NA,"SUPPRF61251"
9,1711130763486,"22/03/2024 18:06:03",1711130763486,0,"22/03/2024 18:06:03",172741,3,"task-gjqt",NA,36357349,NA,"complete",NA,"65fdc439d78b83735eacceca","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 118.0.0.0","1440x900","500x705",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","0",219644.157,221277.425,221309.220000002,219644.157,221277.425,221309.220000002,1,219644.157,1665.06300000224,0,NA,"Rating Scale","Rating Scale",10,"object-18","BIQ",NA,"SUPPRF61251"
10,1711130763486,"22/03/2024 18:06:03",1711130763486,0,"22/03/2024 18:06:03",172741,3,"task-gjqt",NA,36357349,NA,"complete",NA,"65fdc439d78b83735eacceca","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 118.0.0.0","1440x900","500x705",NA,NA,0,"BIQ (Charlotte)",3,"ABJCIDHEGF","Passed AC2",NA,"Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","0",135019.878,221277.425,221309.620000001,135019.878,221277.425,221309.620000001,1,135019.878,86289.7420000008,0,NA,"Rating Scale","Rating Scale",17,"object-80","BIQ",NA,"SUPPRF61251"
