"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.ln1a","randomiser.vzsr","branch.hkzp","randomiser.ywar","randomiser.q6ah","order.ot79","randomiser.ahe2","randomiser.ckhi","randomiser.lqqr","randomiser.pobd","randomiser.8gdj","Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Spreadsheet..stimulus","Manipulation..Spreadsheet","Random_ID"
"1",1689005155459,"10/07/2023 16:05:55",1689008755459,1,"10/07/2023 18:05:55",137495,33,"task-9nhz",NA,30599811,9085338,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1536x864","1536x714",NA,NA,NA,"JV Task P3 (Updated)",4,"Anxious",132,"In",NA,2,"BCADKEJFIGH",NA,NA,"A (JV first)",NA,NA,"SS1","SS1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","","",NA,"SUPTM05489"
"2",1689005166942,"10/07/2023 16:06:06",1689008766942,1,"10/07/2023 18:06:06",137495,33,"task-9nhz",NA,30599811,9085338,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1536x864","1536x714",NA,NA,NA,"JV Task P3 (Updated)",4,"Anxious",132,"In",NA,2,"BCADKEJFIGH",NA,NA,"A (JV first)",NA,NA,"SS1","SS1",1,"J","Judginess","y8ii7g",1,"continue","",10496.4329999523,10494.261,10496.4329999523,10496.4329999523,10494.261,10496.4329999523,1,10496.4329999523,0,0,NA,"Click To Continue","Continue Button",1,"object-14","J","CFD-WF-024-003-N.jpg",NA,"SUPTM05489"
"3",1689005166944,"10/07/2023 16:06:06",1689008766944,1,"10/07/2023 18:06:06",137495,33,"task-9nhz",NA,30599811,9085338,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1536x864","1536x714",NA,NA,NA,"JV Task P3 (Updated)",4,"Anxious",132,"In",NA,2,"BCADKEJFIGH",NA,NA,"A (JV first)",NA,NA,"SS1","SS1",1,"J","Judginess","y8ii7g",1,"response","60",8978.775,10494.261,10499.133,8978.775,10494.261,10499.133,1,8978.775,1520.358,0,NA,"Slider","J",3,"object-18","J","CFD-WF-024-003-N.jpg",NA,"SUPTM05489"
"4",1689005167907,"10/07/2023 16:06:07",1689008767907,1,"10/07/2023 18:06:07",137495,33,"task-9nhz",NA,30599811,9085338,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1536x864","1536x714",NA,NA,NA,"JV Task P3 (Updated)",4,"Anxious",132,"In",NA,2,"BCADKEJFIGH",NA,NA,"A (JV first)",NA,NA,"SS1","SS1",1,"J","Fixation","w9zir9",2,"continue","",966.102999999999,966.102999999999,966.102999999999,966.102999999999,966.102999999999,966.102999999999,1,966.102999999999,0,0,NA,"Fixation Timing","Fixation",1,"object-65","J","CFD-WF-024-003-N.jpg",NA,"SUPTM05489"
"5",1689005180000,"10/07/2023 16:06:20",1689008780000,1,"10/07/2023 18:06:20",137495,33,"task-9nhz",NA,30599811,9085338,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1536x864","1536x714",NA,NA,NA,"JV Task P3 (Updated)",4,"Anxious",132,"In",NA,2,"BCADKEJFIGH",NA,NA,"A (JV first)",NA,NA,"SS1","SS1",1,"V","Valence","xyoebq",1,"continue","",12093.383,12076.733,12093.383,12093.383,12076.733,12093.383,1,12093.383,0,0,NA,"Click To Continue","Continue Button",1,"object-25","V","CFD-WF-037-029-H.jpeg",NA,"SUPTM05489"
"6",1689005180002,"10/07/2023 16:06:20",1689008780002,1,"10/07/2023 18:06:20",137495,33,"task-9nhz",NA,30599811,9085338,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1536x864","1536x714",NA,NA,NA,"JV Task P3 (Updated)",4,"Anxious",132,"In",NA,2,"BCADKEJFIGH",NA,NA,"A (JV first)",NA,NA,"SS1","SS1",1,"V","Valence","xyoebq",1,"response","70",9994.821,12076.733,12093.383,9994.821,12076.733,12093.383,1,9994.821,2098.562,0,NA,"Slider","J",3,"object-27","V","CFD-WF-037-029-H.jpeg",NA,"SUPTM05489"
"7",1689005180949,"10/07/2023 16:06:20",1689008780949,1,"10/07/2023 18:06:20",137495,33,"task-9nhz",NA,30599811,9085338,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1536x864","1536x714",NA,NA,NA,"JV Task P3 (Updated)",4,"Anxious",132,"In",NA,2,"BCADKEJFIGH",NA,NA,"A (JV first)",NA,NA,"SS1","SS1",1,"V","Fixation","68owkj",2,"continue","",966.382000000001,966.382000000001,966.382000000001,966.382000000001,966.382000000001,966.382000000001,1,966.382000000001,0,0,NA,"Fixation Timing","Fixation",1,"object-21","V","CFD-WF-037-029-H.jpeg",NA,"SUPTM05489"
"8",1689005184247,"10/07/2023 16:06:24",1689008784247,1,"10/07/2023 18:06:24",137495,33,"task-9nhz",NA,30599811,9085338,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1536x864","1536x714",NA,NA,NA,"JV Task P3 (Updated)",4,"Anxious",132,"In",NA,2,"BCADKEJFIGH",NA,NA,"A (JV first)",NA,NA,"SS1","SS1",2,"J","Judginess","y8ii7g",1,"continue","",3297.85400004768,3281.577,3297.85400004768,3297.85400004768,3281.577,3297.85400004768,1,3297.85400004768,0,0,NA,"Click To Continue","Continue Button",1,"object-14","J","CFD-MF-315-002-S.jpeg",NA,"SUPTM05489"
"9",1689005184247,"10/07/2023 16:06:24",1689008784247,1,"10/07/2023 18:06:24",137495,33,"task-9nhz",NA,30599811,9085338,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1536x864","1536x714",NA,NA,NA,"JV Task P3 (Updated)",4,"Anxious",132,"In",NA,2,"BCADKEJFIGH",NA,NA,"A (JV first)",NA,NA,"SS1","SS1",2,"J","Judginess","y8ii7g",1,"response","43",2232.127,3281.577,3298.27799999999,2232.127,3281.577,3298.27799999999,1,2232.127,1066.15099999999,0,NA,"Slider","J",3,"object-18","J","CFD-MF-315-002-S.jpeg",NA,"SUPTM05489"
"10",1689005185197,"10/07/2023 16:06:25",1689008785197,1,"10/07/2023 18:06:25",137495,33,"task-9nhz",NA,30599811,9085338,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1536x864","1536x714",NA,NA,NA,"JV Task P3 (Updated)",4,"Anxious",132,"In",NA,2,"BCADKEJFIGH",NA,NA,"A (JV first)",NA,NA,"SS1","SS1",2,"J","Fixation","w9zir9",2,"continue","",965.819,965.819,965.819,965.819,965.819,965.819,1,965.819,0,0,NA,"Fixation Timing","Fixation",1,"object-65","J","CFD-MF-315-002-S.jpeg",NA,"SUPTM05489"
