"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.ln1a","randomiser.vzsr","branch.hkzp","randomiser.ywar","randomiser.q6ah","order.ot79","randomiser.ahe2","randomiser.ckhi","randomiser.lqqr","randomiser.pobd","randomiser.8gdj","Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Spreadsheet..stimulus","Manipulation..Spreadsheet","Random_ID"
"95",1689012281193,"10/07/2023 18:04:41",1689015881193,1,"10/07/2023 20:04:41",137495,33,"task-wuat",NA,30601717,9085742,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1536x864","1536x714",NA,NA,NA,"JV Task P3 (Updated)",4,"Anxious",NA,"In",NA,NA,"EFDGCHBIAJK",NA,NA,"B (MDot First)",2,123,"SS1","SS1",20,"J","Judginess","y8ii7g",1,"continue","",1993.326,1991.061,1993.326,1993.326,1991.061,1993.326,1,1993.326,0,0,NA,"Click To Continue","Continue Button",1,"object-14","J","CFD-WM-026-001-H.jpeg",NA,"SUPTM31721"
"96",1689012281193,"10/07/2023 18:04:41",1689015881193,1,"10/07/2023 20:04:41",137495,33,"task-wuat",NA,30601717,9085742,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1536x864","1536x714",NA,NA,NA,"JV Task P3 (Updated)",4,"Anxious",NA,"In",NA,NA,"EFDGCHBIAJK",NA,NA,"B (MDot First)",2,123,"SS1","SS1",20,"J","Judginess","y8ii7g",1,"response","82",1156.101,1991.061,1993.52600004768,1156.101,1991.061,1993.52600004768,1,1156.101,837.42500004769,0,NA,"Slider","J",3,"object-18","J","CFD-WM-026-001-H.jpeg",NA,"SUPTM31721"
"97",1689012282169,"10/07/2023 18:04:42",1689015882169,1,"10/07/2023 20:04:42",137495,33,"task-wuat",NA,30601717,9085742,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1536x864","1536x714",NA,NA,NA,"JV Task P3 (Updated)",4,"Anxious",NA,"In",NA,NA,"EFDGCHBIAJK",NA,NA,"B (MDot First)",2,123,"SS1","SS1",20,"J","Fixation","w9zir9",2,"continue","",977.929999999993,977.929999999993,977.929999999993,977.929999999993,977.929999999993,977.929999999993,1,977.929999999993,0,0,NA,"Fixation Timing","Fixation",1,"object-65","J","CFD-WM-026-001-H.jpeg",NA,"SUPTM31721"
"98",1689012283897,"10/07/2023 18:04:43",1689015883897,1,"10/07/2023 20:04:43",137495,33,"task-wuat",NA,30601717,9085742,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1536x864","1536x714",NA,NA,NA,"JV Task P3 (Updated)",4,"Anxious",NA,"In",NA,NA,"EFDGCHBIAJK",NA,NA,"B (MDot First)",2,123,"SS1","SS1",21,"J","Judginess","y8ii7g",1,"continue","",1728.43500002385,1724.607,1728.43500002385,1728.43500002385,1724.607,1728.43500002385,1,1728.43500002385,0,0,NA,"Click To Continue","Continue Button",1,"object-14","J","CFD-WM-037-025-S.jpeg",NA,"SUPTM31721"
"99",1689012283901,"10/07/2023 18:04:43",1689015883901,1,"10/07/2023 20:04:43",137495,33,"task-wuat",NA,30601717,9085742,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1536x864","1536x714",NA,NA,NA,"JV Task P3 (Updated)",4,"Anxious",NA,"In",NA,NA,"EFDGCHBIAJK",NA,NA,"B (MDot First)",2,123,"SS1","SS1",21,"J","Judginess","y8ii7g",1,"response","5",1000.523,1724.607,1731.55,1000.523,1724.607,1731.55,1,1000.523,731.027000000002,0,NA,"Slider","J",3,"object-18","J","CFD-WM-037-025-S.jpeg",NA,"SUPTM31721"
"100",1689012284878,"10/07/2023 18:04:44",1689015884878,1,"10/07/2023 20:04:44",137495,33,"task-wuat",NA,30601717,9085742,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1536x864","1536x714",NA,NA,NA,"JV Task P3 (Updated)",4,"Anxious",NA,"In",NA,NA,"EFDGCHBIAJK",NA,NA,"B (MDot First)",2,123,"SS1","SS1",21,"J","Fixation","w9zir9",2,"continue","",983.627000000008,983.627000000008,983.627000000008,983.627000000008,983.627000000008,983.627000000008,1,983.627000000008,0,0,NA,"Fixation Timing","Fixation",1,"object-65","J","CFD-WM-037-025-S.jpeg",NA,"SUPTM31721"
"101",1689012287334,"10/07/2023 18:04:47",1689015887334,1,"10/07/2023 20:04:47",137495,33,"task-wuat",NA,30601717,9085742,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1536x864","1536x714",NA,NA,NA,"JV Task P3 (Updated)",4,"Anxious",NA,"In",NA,NA,"EFDGCHBIAJK",NA,NA,"B (MDot First)",2,123,"SS1","SS1",22,"J","Judginess","y8ii7g",1,"continue","",2456.52300000002,2449.58,2456.52300000002,2456.52300000002,2449.58,2456.52300000002,1,2456.52300000002,0,0,NA,"Click To Continue","Continue Button",1,"object-14","J","CFD-WM-031-003-H.jpeg",NA,"SUPTM31721"
"102",1689012287335,"10/07/2023 18:04:47",1689015887335,1,"10/07/2023 20:04:47",137495,33,"task-wuat",NA,30601717,9085742,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1536x864","1536x714",NA,NA,NA,"JV Task P3 (Updated)",4,"Anxious",NA,"In",NA,NA,"EFDGCHBIAJK",NA,NA,"B (MDot First)",2,123,"SS1","SS1",22,"J","Judginess","y8ii7g",1,"response","62",1513.159,2449.58,2456.52300000002,1513.159,2449.58,2456.52300000002,1,1513.159,943.364000000016,0,NA,"Slider","J",3,"object-18","J","CFD-WM-031-003-H.jpeg",NA,"SUPTM31721"
"103",1689012288308,"10/07/2023 18:04:48",1689015888308,1,"10/07/2023 20:04:48",137495,33,"task-wuat",NA,30601717,9085742,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1536x864","1536x714",NA,NA,NA,"JV Task P3 (Updated)",4,"Anxious",NA,"In",NA,NA,"EFDGCHBIAJK",NA,NA,"B (MDot First)",2,123,"SS1","SS1",22,"J","Fixation","w9zir9",2,"continue","",980.832999999999,980.832999999999,980.832999999999,980.832999999999,980.832999999999,980.832999999999,1,980.832999999999,0,0,NA,"Fixation Timing","Fixation",1,"object-65","J","CFD-WM-031-003-H.jpeg",NA,"SUPTM31721"
"104",1689012290750,"10/07/2023 18:04:50",1689015890750,1,"10/07/2023 20:04:50",137495,33,"task-wuat",NA,30601717,9085742,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1536x864","1536x714",NA,NA,NA,"JV Task P3 (Updated)",4,"Anxious",NA,"In",NA,NA,"EFDGCHBIAJK",NA,NA,"B (MDot First)",2,123,"SS1","SS1",13,"V","Valence","xyoebq",1,"continue","",2442.58800009536,2439.864,2442.58800009536,2442.58800009536,2439.864,2442.58800009536,1,2442.58800009536,0,0,NA,"Click To Continue","Continue Button",1,"object-25","V","CFD-WM-009-002-N.jpg",NA,"SUPTM31721"
