"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.ln1a","randomiser.vzsr","branch.hkzp","randomiser.ywar","randomiser.q6ah","order.ot79","randomiser.ahe2","randomiser.ckhi","randomiser.lqqr","randomiser.pobd","randomiser.8gdj","Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Spreadsheet..stimulus","Manipulation..Spreadsheet","Random_ID"
"1",1689025809012,"10/07/2023 21:50:09",1689029409012,1,"10/07/2023 23:50:09",137495,33,"task-o9u1",NA,30604302,9086484,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Edge 114.0.1823.67","1536x864","1147x603",NA,NA,NA,"JV Task P2",11,"Anxious",NA,"In",NA,NA,"HIGJFKEADBC",NA,NA,"B (MDot First)",2,321,"SS1","SS1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","","",NA,"SUPTM16544"
"2",1689025814635,"10/07/2023 21:50:14",1689029414635,1,"10/07/2023 23:50:14",137495,33,"task-o9u1",NA,30604302,9086484,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Edge 114.0.1823.67","1536x864","1147x603",NA,NA,NA,"JV Task P2",11,"Anxious",NA,"In",NA,NA,"HIGJFKEADBC",NA,NA,"B (MDot First)",2,321,"SS1","SS1",1,"V","Valence","xyoebq",1,"continue","",5360.53700009537,5348.829,5360.53700009537,5360.53700009537,5348.829,5360.53700009537,1,5360.53700009537,0,0,NA,"Click To Continue","Continue Button",1,"object-25","V","CFD-MF-309-002-N.jpg",NA,"SUPTM16544"
"3",1689025814636,"10/07/2023 21:50:14",1689029414636,1,"10/07/2023 23:50:14",137495,33,"task-o9u1",NA,30604302,9086484,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Edge 114.0.1823.67","1536x864","1147x603",NA,NA,NA,"JV Task P2",11,"Anxious",NA,"In",NA,NA,"HIGJFKEADBC",NA,NA,"B (MDot First)",2,321,"SS1","SS1",1,"V","Valence","xyoebq",1,"response","35",4648.924,5348.829,5361.83699980926,4648.924,5348.829,5361.83699980926,1,4648.924,712.912999809265,0,NA,"Slider","J",3,"object-27","V","CFD-MF-309-002-N.jpg",NA,"SUPTM16544"
"4",1689025815590,"10/07/2023 21:50:15",1689029415590,1,"10/07/2023 23:50:15",137495,33,"task-o9u1",NA,30604302,9086484,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Edge 114.0.1823.67","1536x864","1147x603",NA,NA,NA,"JV Task P2",11,"Anxious",NA,"In",NA,NA,"HIGJFKEADBC",NA,NA,"B (MDot First)",2,321,"SS1","SS1",1,"V","Fixation","68owkj",2,"continue","",966.534,966.534,966.534,966.534,966.534,966.534,1,966.534,0,0,NA,"Fixation Timing","Fixation",1,"object-21","V","CFD-MF-309-002-N.jpg",NA,"SUPTM16544"
"5",1689025819564,"10/07/2023 21:50:19",1689029419564,1,"10/07/2023 23:50:19",137495,33,"task-o9u1",NA,30604302,9086484,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Edge 114.0.1823.67","1536x864","1147x603",NA,NA,NA,"JV Task P2",11,"Anxious",NA,"In",NA,NA,"HIGJFKEADBC",NA,NA,"B (MDot First)",2,321,"SS1","SS1",1,"J","Judginess","y8ii7g",1,"continue","",3974.17400009537,3966.233,3974.17400009537,3974.17400009537,3966.233,3974.17400009537,1,3974.17400009537,0,0,NA,"Click To Continue","Continue Button",1,"object-14","J","CFD-IM-711-011-N.jpg",NA,"SUPTM16544"
"6",1689025819569,"10/07/2023 21:50:19",1689029419569,1,"10/07/2023 23:50:19",137495,33,"task-o9u1",NA,30604302,9086484,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Edge 114.0.1823.67","1536x864","1147x603",NA,NA,NA,"JV Task P2",11,"Anxious",NA,"In",NA,NA,"HIGJFKEADBC",NA,NA,"B (MDot First)",2,321,"SS1","SS1",1,"J","Judginess","y8ii7g",1,"response","52",1616.747,3966.233,3979.37399990463,1616.747,3966.233,3979.37399990463,1,1616.747,2362.62699990463,0,NA,"Slider","J",3,"object-18","J","CFD-IM-711-011-N.jpg",NA,"SUPTM16544"
"7",1689025820524,"10/07/2023 21:50:20",1689029420524,1,"10/07/2023 23:50:20",137495,33,"task-o9u1",NA,30604302,9086484,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Edge 114.0.1823.67","1536x864","1147x603",NA,NA,NA,"JV Task P2",11,"Anxious",NA,"In",NA,NA,"HIGJFKEADBC",NA,NA,"B (MDot First)",2,321,"SS1","SS1",1,"J","Fixation","w9zir9",2,"continue","",966.653999999999,966.653999999999,966.653999999999,966.653999999999,966.653999999999,966.653999999999,1,966.653999999999,0,0,NA,"Fixation Timing","Fixation",1,"object-65","J","CFD-IM-711-011-N.jpg",NA,"SUPTM16544"
"8",1689025822826,"10/07/2023 21:50:22",1689029422826,1,"10/07/2023 23:50:22",137495,33,"task-o9u1",NA,30604302,9086484,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Edge 114.0.1823.67","1536x864","1147x603",NA,NA,NA,"JV Task P2",11,"Anxious",NA,"In",NA,NA,"HIGJFKEADBC",NA,NA,"B (MDot First)",2,321,"SS1","SS1",2,"V","Valence","xyoebq",1,"continue","",2303.6869997139,2299.726,2303.6869997139,2303.6869997139,2299.726,2303.6869997139,1,2303.6869997139,0,0,NA,"Click To Continue","Continue Button",1,"object-25","V","CFD-WM-031-003-S.jpeg",NA,"SUPTM16544"
"9",1689025822827,"10/07/2023 21:50:22",1689029422827,1,"10/07/2023 23:50:22",137495,33,"task-o9u1",NA,30604302,9086484,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Edge 114.0.1823.67","1536x864","1147x603",NA,NA,NA,"JV Task P2",11,"Anxious",NA,"In",NA,NA,"HIGJFKEADBC",NA,NA,"B (MDot First)",2,321,"SS1","SS1",2,"V","Valence","xyoebq",1,"response","27",1533.063,2299.726,2304.387,1533.063,2299.726,2304.387,1,1533.063,771.324000000001,0,NA,"Slider","J",3,"object-27","V","CFD-WM-031-003-S.jpeg",NA,"SUPTM16544"
"10",1689025823790,"10/07/2023 21:50:23",1689029423790,1,"10/07/2023 23:50:23",137495,33,"task-o9u1",NA,30604302,9086484,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Edge 114.0.1823.67","1536x864","1147x603",NA,NA,NA,"JV Task P2",11,"Anxious",NA,"In",NA,NA,"HIGJFKEADBC",NA,NA,"B (MDot First)",2,321,"SS1","SS1",2,"V","Fixation","68owkj",2,"continue","",966.708000000001,966.708000000001,966.708000000001,966.708000000001,966.708000000001,966.708000000001,1,966.708000000001,0,0,NA,"Fixation Timing","Fixation",1,"object-21","V","CFD-WM-031-003-S.jpeg",NA,"SUPTM16544"
"11",1689025827399,"10/07/2023 21:50:27",1689029427399,1,"10/07/2023 23:50:27",137495,33,"task-o9u1",NA,30604302,9086484,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Edge 114.0.1823.67","1536x864","1147x603",NA,NA,NA,"JV Task P2",11,"Anxious",NA,"In",NA,NA,"HIGJFKEADBC",NA,NA,"B (MDot First)",2,321,"SS1","SS1",3,"V","Valence","xyoebq",1,"continue","",3610.65299980926,3599.695,3610.65299980926,3610.65299980926,3599.695,3610.65299980926,1,3610.65299980926,0,0,NA,"Click To Continue","Continue Button",1,"object-25","V","CFD-WF-036-023-H.jpeg",NA,"SUPTM16544"
