"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.ln1a","randomiser.vzsr","branch.hkzp","randomiser.ywar","randomiser.q6ah","order.ot79","randomiser.ahe2","randomiser.ckhi","randomiser.lqqr","randomiser.pobd","randomiser.8gdj","Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Spreadsheet..stimulus","Spreadsheet..P","Spreadsheet..N","Manipulation..Spreadsheet","Random_ID"
"1",1688988216460,"10/07/2023 11:23:36",1688991816460,1,"10/07/2023 13:23:36",137495,33,"task-p9mv",NA,30591175,9082357,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1366x768","1366x657",NA,NA,NA,"Video Feedback Task",13,"NonAnxious",NA,"In",NA,NA,"BCADKEJFIGH","B","B",NA,NA,NA,1,1,NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","","","","",NA,"SUPTM45532"
"2",1688988351586,"10/07/2023 11:25:51",1688991951586,1,"10/07/2023 13:25:51",137495,33,"task-p9mv",NA,30591175,9082357,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1366x768","1366x657",NA,NA,NA,"Video Feedback Task",13,"NonAnxious",NA,"In",NA,NA,"BCADKEJFIGH","B","B",NA,NA,NA,1,1,NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","","","","",NA,"SUPTM45532"
"3",1688988405669,"10/07/2023 11:26:45",1688992005669,1,"10/07/2023 13:26:45",137495,33,"task-p9mv",NA,30591175,9082357,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1366x768","1366x657",NA,NA,NA,"Video Feedback Task",13,"NonAnxious",NA,"In",NA,NA,"BCADKEJFIGH","B","B",NA,NA,NA,1,1,1,"Neutral Feedback","Screen 1","3zrml3",1,"continue","",48682.8370000477,48676.166,48682.8370000477,48682.8370000477,48676.166,48682.8370000477,1,48682.8370000477,0,0,NA,"Click To Continue","Continue Button",1,"object-155","Neutral Feedback","P2_N.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPTM45532"
"4",1688988418981,"10/07/2023 11:26:58",1688992018981,1,"10/07/2023 13:26:58",137495,33,"task-p9mv",NA,30591175,9082357,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1366x768","1366x657",NA,NA,NA,"Video Feedback Task",13,"NonAnxious",NA,"In",NA,NA,"BCADKEJFIGH","B","B",NA,NA,NA,1,1,1,"Neutral Feedback","Screen 1","3zrml3",1,"continue","",62000.0369999762,61991.079,62000.0369999762,62000.0369999762,61991.079,62000.0369999762,1,62000.0369999762,0,0,NA,"Click To Continue","Continue Button",1,"object-155","Neutral Feedback","P2_N.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPTM45532"
"5",1688988419000,"10/07/2023 11:26:59",1688992019000,1,"10/07/2023 13:26:59",137495,33,"task-p9mv",NA,30591175,9082357,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1366x768","1366x657",NA,NA,NA,"Video Feedback Task",13,"NonAnxious",NA,"In",NA,NA,"BCADKEJFIGH","B","B",NA,NA,NA,1,1,1,"Neutral Feedback","Screen 1","3zrml3",1,"response","Higher than usual",52442.42,61991.079,62007.743,52442.42,61991.079,62007.743,1,52442.42,9565.32299999998,0,NA,"Text Entry","Text Entry",4,"object-158","Neutral Feedback","P2_N.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPTM45532"
"6",1688988419001,"10/07/2023 11:26:59",1688992019001,1,"10/07/2023 13:26:59",137495,33,"task-p9mv",NA,30591175,9082357,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1366x768","1366x657",NA,NA,NA,"Video Feedback Task",13,"NonAnxious",NA,"In",NA,NA,"BCADKEJFIGH","B","B",NA,NA,NA,1,1,1,"Neutral Feedback","Screen 1","3zrml3",1,"response","Astonishing",31345.511,61991.079,62007.743,31345.511,61991.079,62007.743,1,31345.511,30662.232,0,NA,"Text Entry","Text Entry",5,"object-159","Neutral Feedback","P2_N.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPTM45532"
"7",1688988419938,"10/07/2023 11:26:59",1688992019938,1,"10/07/2023 13:26:59",137495,33,"task-p9mv",NA,30591175,9082357,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1366x768","1366x657",NA,NA,NA,"Video Feedback Task",13,"NonAnxious",NA,"In",NA,NA,"BCADKEJFIGH","B","B",NA,NA,NA,1,1,1,"Neutral Feedback","Screen 2","vv4mhq",2,"continue","",966.425000000003,966.425000000003,966.425000000003,966.425000000003,966.425000000003,966.425000000003,1,966.425000000003,0,0,NA,"Fixation Timing","Fixation",1,"object-153","Neutral Feedback","P2_N.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPTM45532"
"8",1688988439852,"10/07/2023 11:27:19",1688992039852,1,"10/07/2023 13:27:19",137495,33,"task-p9mv",NA,30591175,9082357,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1366x768","1366x657",NA,NA,NA,"Video Feedback Task",13,"NonAnxious",NA,"In",NA,NA,"BCADKEJFIGH","B","B",NA,NA,NA,1,1,1,"Positive Feedback","Video","w2ir4b",1,"continue","",19913.697,19897.104,19913.697,19913.697,19897.104,19913.697,1,19913.697,0,0,NA,"Click To Continue","Continue Button",1,"object-14","Positive Feedback","P5_P.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPTM45532"
"9",1688988439862,"10/07/2023 11:27:19",1688992039862,1,"10/07/2023 13:27:19",137495,33,"task-p9mv",NA,30591175,9082357,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1366x768","1366x657",NA,NA,NA,"Video Feedback Task",13,"NonAnxious",NA,"In",NA,NA,"BCADKEJFIGH","B","B",NA,NA,NA,1,1,1,"Positive Feedback","Video","w2ir4b",1,"response","Favourable",13664.68,19897.104,19913.697,13664.68,19897.104,19913.697,1,13664.68,6249.01700000001,0,NA,"Text Entry","Text Entry",4,"object-19","Positive Feedback","P5_P.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPTM45532"
"10",1688988439864,"10/07/2023 11:27:19",1688992039864,1,"10/07/2023 13:27:19",137495,33,"task-p9mv",NA,30591175,9082357,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1366x768","1366x657",NA,NA,NA,"Video Feedback Task",13,"NonAnxious",NA,"In",NA,NA,"BCADKEJFIGH","B","B",NA,NA,NA,1,1,1,"Positive Feedback","Video","w2ir4b",1,"response","Great job",5265.84300000001,19897.104,19913.697,5265.84300000001,19897.104,19913.697,1,5265.84300000001,14647.854,0,NA,"Text Entry","Text Entry",5,"object-20","Positive Feedback","P5_P.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPTM45532"
