"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.ln1a","randomiser.vzsr","branch.hkzp","randomiser.ywar","randomiser.q6ah","order.ot79","randomiser.ahe2","randomiser.ckhi","randomiser.lqqr","randomiser.pobd","randomiser.8gdj","Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Spreadsheet..stimulus","Manipulation..Spreadsheet","Random_ID"
"1",1688989288655,"10/07/2023 11:41:28",1688974888655,-4,"10/07/2023 03:41:28",137495,33,"task-284e",NA,30591537,9082638,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1280x1024","1280x881",NA,NA,NA,"JV Task P3 (Updated)",4,"Anxious",321,"In",NA,1,"FGEHDICJBKA",NA,NA,"A (JV first)",NA,NA,"SS1","SS1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","","",NA,"SUPTM12782"
"2",1688989307535,"10/07/2023 11:41:47",1688974907535,-4,"10/07/2023 03:41:47",137495,33,"task-284e",NA,30591537,9082638,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1280x1024","1280x881",NA,NA,NA,"JV Task P3 (Updated)",4,"Anxious",321,"In",NA,1,"FGEHDICJBKA",NA,NA,"A (JV first)",NA,NA,"SS1","SS1",1,"V","Valence","xyoebq",1,"continue","",7345.86599995232,7330.942,7345.86599995232,7345.86599995232,7330.942,7345.86599995232,1,7345.86599995232,0,0,NA,"Click To Continue","Continue Button",1,"object-25","V","CFD-WM-035-032-S.jpeg",NA,"SUPTM12782"
"3",1688989307542,"10/07/2023 11:41:47",1688974907542,-4,"10/07/2023 03:41:47",137495,33,"task-284e",NA,30591537,9082638,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1280x1024","1280x881",NA,NA,NA,"JV Task P3 (Updated)",4,"Anxious",321,"In",NA,1,"FGEHDICJBKA",NA,NA,"A (JV first)",NA,NA,"SS1","SS1",1,"V","Valence","xyoebq",1,"response","31",4415.176,7330.942,7347.54899999999,4415.176,7330.942,7347.54899999999,1,4415.176,2932.37299999999,0,NA,"Slider","J",3,"object-27","V","CFD-WM-035-032-S.jpeg",NA,"SUPTM12782"
"4",1688989308486,"10/07/2023 11:41:48",1688974908486,-4,"10/07/2023 03:41:48",137495,33,"task-284e",NA,30591537,9082638,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1280x1024","1280x881",NA,NA,NA,"JV Task P3 (Updated)",4,"Anxious",321,"In",NA,1,"FGEHDICJBKA",NA,NA,"A (JV first)",NA,NA,"SS1","SS1",1,"V","Fixation","68owkj",2,"continue","",966.289000000004,966.289000000004,966.289000000004,966.289000000004,966.289000000004,966.289000000004,1,966.289000000004,0,0,NA,"Fixation Timing","Fixation",1,"object-21","V","CFD-WM-035-032-S.jpeg",NA,"SUPTM12782"
"5",1688989362237,"10/07/2023 11:42:42",1688974962237,-4,"10/07/2023 03:42:42",137495,33,"task-284e",NA,30591537,9082638,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1280x1024","1280x881",NA,NA,NA,"JV Task P3 (Updated)",4,"Anxious",321,"In",NA,1,"FGEHDICJBKA",NA,NA,"A (JV first)",NA,NA,"SS1","SS1",1,"J","Judginess","y8ii7g",1,"continue","",12532.222,12529.135,12532.222,12532.222,12529.135,12532.222,1,12532.222,0,0,NA,"Click To Continue","Continue Button",1,"object-14","J","CFD-MF-309-002-S.jpeg",NA,"SUPTM12782"
"6",1688989362243,"10/07/2023 11:42:42",1688974962243,-4,"10/07/2023 03:42:42",137495,33,"task-284e",NA,30591537,9082638,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1280x1024","1280x881",NA,NA,NA,"JV Task P3 (Updated)",4,"Anxious",321,"In",NA,1,"FGEHDICJBKA",NA,NA,"A (JV first)",NA,NA,"SS1","SS1",1,"J","Judginess","y8ii7g",1,"response","44",11346.237,12529.135,12538.4220000477,11346.237,12529.135,12538.4220000477,1,11346.237,1192.18500004768,0,NA,"Slider","J",3,"object-18","J","CFD-MF-309-002-S.jpeg",NA,"SUPTM12782"
"7",1688989363201,"10/07/2023 11:42:43",1688974963201,-4,"10/07/2023 03:42:43",137495,33,"task-284e",NA,30591537,9082638,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1280x1024","1280x881",NA,NA,NA,"JV Task P3 (Updated)",4,"Anxious",321,"In",NA,1,"FGEHDICJBKA",NA,NA,"A (JV first)",NA,NA,"SS1","SS1",1,"J","Fixation","w9zir9",2,"continue","",966.388000000006,966.388000000006,966.388000000006,966.388000000006,966.388000000006,966.388000000006,1,966.388000000006,0,0,NA,"Fixation Timing","Fixation",1,"object-65","J","CFD-MF-309-002-S.jpeg",NA,"SUPTM12782"
"8",1688989373686,"10/07/2023 11:42:53",1688974973686,-4,"10/07/2023 03:42:53",137495,33,"task-284e",NA,30591537,9082638,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1280x1024","1280x881",NA,NA,NA,"JV Task P3 (Updated)",4,"Anxious",321,"In",NA,1,"FGEHDICJBKA",NA,NA,"A (JV first)",NA,NA,"SS1","SS1",2,"J","Judginess","y8ii7g",1,"continue","",7486.33199990464,7480.85000000001,7486.33199990464,7486.33199990464,7480.85000000001,7486.33199990464,1,7486.33199990464,0,0,NA,"Click To Continue","Continue Button",1,"object-14","J","CFD-IM-711-011-N.jpg",NA,"SUPTM12782"
"9",1688989373691,"10/07/2023 11:42:53",1688974973691,-4,"10/07/2023 03:42:53",137495,33,"task-284e",NA,30591537,9082638,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1280x1024","1280x881",NA,NA,NA,"JV Task P3 (Updated)",4,"Anxious",321,"In",NA,1,"FGEHDICJBKA",NA,NA,"A (JV first)",NA,NA,"SS1","SS1",2,"J","Judginess","y8ii7g",1,"response","46",4998.357,7480.85000000001,7491.33199990464,4998.357,7480.85000000001,7491.33199990464,1,4998.357,2492.97499990463,0,NA,"Slider","J",3,"object-18","J","CFD-IM-711-011-N.jpg",NA,"SUPTM12782"
"10",1688989374647,"10/07/2023 11:42:54",1688974974647,-4,"10/07/2023 03:42:54",137495,33,"task-284e",NA,30591537,9082638,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1280x1024","1280x881",NA,NA,NA,"JV Task P3 (Updated)",4,"Anxious",321,"In",NA,1,"FGEHDICJBKA",NA,NA,"A (JV first)",NA,NA,"SS1","SS1",2,"J","Fixation","w9zir9",2,"continue","",966.395999999993,966.395999999993,966.395999999993,966.395999999993,966.395999999993,966.395999999993,1,966.395999999993,0,0,NA,"Fixation Timing","Fixation",1,"object-65","J","CFD-IM-711-011-N.jpg",NA,"SUPTM12782"
"11",1688989378797,"10/07/2023 11:42:58",1688974978797,-4,"10/07/2023 03:42:58",137495,33,"task-284e",NA,30591537,9082638,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1280x1024","1280x881",NA,NA,NA,"JV Task P3 (Updated)",4,"Anxious",321,"In",NA,1,"FGEHDICJBKA",NA,NA,"A (JV first)",NA,NA,"SS1","SS1",2,"V","Valence","xyoebq",1,"continue","",4150.88600009537,4148.59700000001,4150.88600009537,4150.88600009537,4148.59700000001,4150.88600009537,1,4150.88600009537,0,0,NA,"Click To Continue","Continue Button",1,"object-25","V","CFD-AF-233-190-N.jpg",NA,"SUPTM12782"
"12",1688989378798,"10/07/2023 11:42:58",1688974978798,-4,"10/07/2023 03:42:58",137495,33,"task-284e",NA,30591537,9082638,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1280x1024","1280x881",NA,NA,NA,"JV Task P3 (Updated)",4,"Anxious",321,"In",NA,1,"FGEHDICJBKA",NA,NA,"A (JV first)",NA,NA,"SS1","SS1",2,"V","Valence","xyoebq",1,"response","53",2882.348,4148.59700000001,4152.08599990464,2882.348,4148.59700000001,4152.08599990464,1,2882.348,1269.73799990464,0,NA,"Slider","J",3,"object-27","V","CFD-AF-233-190-N.jpg",NA,"SUPTM12782"
"13",1688989379762,"10/07/2023 11:42:59",1688974979762,-4,"10/07/2023 03:42:59",137495,33,"task-284e",NA,30591537,9082638,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1280x1024","1280x881",NA,NA,NA,"JV Task P3 (Updated)",4,"Anxious",321,"In",NA,1,"FGEHDICJBKA",NA,NA,"A (JV first)",NA,NA,"SS1","SS1",2,"V","Fixation","68owkj",2,"continue","",966.32699999999,966.32699999999,966.32699999999,966.32699999999,966.32699999999,966.32699999999,1,966.32699999999,0,0,NA,"Fixation Timing","Fixation",1,"object-21","V","CFD-AF-233-190-N.jpg",NA,"SUPTM12782"
