"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.ln1a","randomiser.vzsr","branch.hkzp","randomiser.ywar","randomiser.q6ah","order.ot79","randomiser.ahe2","randomiser.ckhi","randomiser.lqqr","randomiser.pobd","randomiser.8gdj","Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID"
"1",1689019796480,"10/07/2023 20:09:56",1689023396480,1,"10/07/2023 22:09:56",137495,33,"task-46yg",NA,30603308,9086165,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1041x586","1157x651",NA,NA,NA,"Break Task",2,"Anxious",NA,"In",NA,NA,"GHFIEJDKCAB",NA,NA,"B (MDot First)",1,213,"Spreadsheet1","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPTM84507"
"2",1689019856465,"10/07/2023 20:10:56",1689023456465,1,"10/07/2023 22:10:56",137495,33,"task-46yg",NA,30603308,9086165,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1041x586","1157x651",NA,NA,NA,"Break Task",2,"Anxious",NA,"In",NA,NA,"GHFIEJDKCAB",NA,NA,"B (MDot First)",1,213,"Spreadsheet1","Spreadsheet1",1,"Break","Screen 1","v8shfr",1,"timedOut","",59998.3039999999,59992.425,59998.3039999999,59998.3039999999,59992.425,59998.3039999999,1,59998.3039999999,0,0,NA,"Time Limit","screen",0,"screen","Break",NA,"SUPTM84507"
"3",1689019856468,"10/07/2023 20:10:56",1689023456468,1,"10/07/2023 22:10:56",137495,33,"task-46yg",NA,30603308,9086165,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1041x586","1157x651",NA,NA,NA,"Break Task",2,"Anxious",NA,"In",NA,NA,"GHFIEJDKCAB",NA,NA,"B (MDot First)",1,213,"Spreadsheet1","Spreadsheet1",NA,"","","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPTM84507"
"1",1689006988113,"10/07/2023 16:36:28",1689010588113,1,"10/07/2023 18:36:28",137495,33,"task-46yg",NA,30600264,9085468,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1280x720","1280x720",NA,NA,NA,"Break Task",2,"Anxious",NA,"In",NA,NA,"CDBEAFKGJHI",NA,NA,"B (MDot First)",2,213,"Spreadsheet1","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPTM50909"
"2",1689006992959,"10/07/2023 16:36:32",1689010592959,1,"10/07/2023 18:36:32",137495,33,"task-46yg",NA,30600264,9085468,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1280x720","1280x720",NA,NA,NA,"Break Task",2,"Anxious",NA,"In",NA,NA,"CDBEAFKGJHI",NA,NA,"B (MDot First)",2,213,"Spreadsheet1","Spreadsheet1",1,"Break","Screen 1","v8shfr",1,"continue","",4854.57700014305,4845.97,4854.57700014305,4854.57700014305,4845.97,4854.57700014305,1,4854.57700014305,0,0,NA,"Click To Continue","Continue Button",2,"object-4","Break",NA,"SUPTM50909"
"3",1689006992960,"10/07/2023 16:36:32",1689010592960,1,"10/07/2023 18:36:32",137495,33,"task-46yg",NA,30600264,9085468,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1280x720","1280x720",NA,NA,NA,"Break Task",2,"Anxious",NA,"In",NA,NA,"CDBEAFKGJHI",NA,NA,"B (MDot First)",2,213,"Spreadsheet1","Spreadsheet1",NA,"","","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPTM50909"
