"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.ln1a","randomiser.vzsr","branch.hkzp","randomiser.ywar","randomiser.q6ah","order.ot79","randomiser.ahe2","randomiser.ckhi","randomiser.lqqr","randomiser.pobd","randomiser.8gdj","Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Spreadsheet..stimulus","Spreadsheet..P","Spreadsheet..N","Manipulation..Spreadsheet","Random_ID"
"19",1689013884159,"10/07/2023 18:31:24",1689017484159,1,"10/07/2023 20:31:24",137495,33,"task-175m",NA,30601956,9085792,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1707x960","1707x809",NA,NA,NA,"Video Feedback Task",13,"NonAnxious",NA,"In","B",NA,"FGEHDICJBKA","A",NA,NA,NA,NA,1,1,3,"Positive Feedback","Video","w2ir4b",1,"response","the person adds some good additional commentary beyond just saying what she can see",195251.724,215850.084,215866.896,195251.724,215850.084,215866.896,1,195251.724,20615.1719999999,0,NA,"Text Entry","Text Entry",4,"object-19","Positive Feedback","P1_P.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPTM34679"
"20",1689013884159,"10/07/2023 18:31:24",1689017484159,1,"10/07/2023 20:31:24",137495,33,"task-175m",NA,30601956,9085792,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1707x960","1707x809",NA,NA,NA,"Video Feedback Task",13,"NonAnxious",NA,"In","B",NA,"FGEHDICJBKA","A",NA,NA,NA,NA,1,1,3,"Positive Feedback","Video","w2ir4b",1,"response","the person gives an effective description of the scene",182619.043,215850.084,215866.896,182619.043,215850.084,215866.896,1,182619.043,33247.8529999999,0,NA,"Text Entry","Text Entry",5,"object-20","Positive Feedback","P1_P.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPTM34679"
"21",1689013885109,"10/07/2023 18:31:25",1689017485109,1,"10/07/2023 20:31:25",137495,33,"task-175m",NA,30601956,9085792,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1707x960","1707x809",NA,NA,NA,"Video Feedback Task",13,"NonAnxious",NA,"In","B",NA,"FGEHDICJBKA","A",NA,NA,NA,NA,1,1,3,"Positive Feedback","Fixation","mtm832",2,"continue","",966.466000000015,966.466000000015,966.466000000015,966.466000000015,966.466000000015,966.466000000015,1,966.466000000015,0,0,NA,"Fixation Timing","Fixation",1,"object-65","Positive Feedback","P1_P.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPTM34679"
"22",1689013934216,"10/07/2023 18:32:14",1689017534216,1,"10/07/2023 20:32:14",137495,33,"task-175m",NA,30601956,9085792,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1707x960","1707x809",NA,NA,NA,"Video Feedback Task",13,"NonAnxious",NA,"In","B",NA,"FGEHDICJBKA","A",NA,NA,NA,NA,1,1,3,"Neutral Feedback","Screen 1","3zrml3",1,"continue","",49108.037999857,49096.41,49108.037999857,49108.037999857,49096.41,49108.037999857,1,49108.037999857,0,0,NA,"Click To Continue","Continue Button",1,"object-155","Neutral Feedback","P4_N.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPTM34679"
"23",1689013934219,"10/07/2023 18:32:14",1689017534219,1,"10/07/2023 20:32:14",137495,33,"task-175m",NA,30601956,9085792,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1707x960","1707x809",NA,NA,NA,"Video Feedback Task",13,"NonAnxious",NA,"In","B",NA,"FGEHDICJBKA","A",NA,NA,NA,NA,1,1,3,"Neutral Feedback","Screen 1","3zrml3",1,"response","the person has a neutral demeanor ",38030.507,49096.41,49110.8379998093,38030.507,49096.41,49110.8379998093,1,38030.507,11080.3309998093,0,NA,"Text Entry","Text Entry",4,"object-158","Neutral Feedback","P4_N.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPTM34679"
"24",1689013934219,"10/07/2023 18:32:14",1689017534219,1,"10/07/2023 20:32:14",137495,33,"task-175m",NA,30601956,9085792,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1707x960","1707x809",NA,NA,NA,"Video Feedback Task",13,"NonAnxious",NA,"In","B",NA,"FGEHDICJBKA","A",NA,NA,NA,NA,1,1,3,"Neutral Feedback","Screen 1","3zrml3",1,"response","the person gives a fairly bland but effective description of the scene",19965.228,49096.41,49111.4379999524,19965.228,49096.41,49111.4379999524,1,19965.228,29146.2099999523,0,NA,"Text Entry","Text Entry",5,"object-159","Neutral Feedback","P4_N.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPTM34679"
"25",1689013935171,"10/07/2023 18:32:15",1689017535171,1,"10/07/2023 20:32:15",137495,33,"task-175m",NA,30601956,9085792,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1707x960","1707x809",NA,NA,NA,"Video Feedback Task",13,"NonAnxious",NA,"In","B",NA,"FGEHDICJBKA","A",NA,NA,NA,NA,1,1,3,"Neutral Feedback","Screen 2","vv4mhq",2,"continue","",966.542999999947,966.542999999947,966.542999999947,966.542999999947,966.542999999947,966.542999999947,1,966.542999999947,0,0,NA,"Fixation Timing","Fixation",1,"object-153","Neutral Feedback","P4_N.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPTM34679"
"26",1689013970005,"10/07/2023 18:32:50",1689017570005,1,"10/07/2023 20:32:50",137495,33,"task-175m",NA,30601956,9085792,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1707x960","1707x809",NA,NA,NA,"Video Feedback Task",13,"NonAnxious",NA,"In","B",NA,"FGEHDICJBKA","A",NA,NA,NA,NA,1,1,4,"Positive Feedback","Video","w2ir4b",1,"continue","",34834.6850000001,34830.8430000001,34834.6850000001,34834.6850000001,34830.8430000001,34834.6850000001,1,34834.6850000001,0,0,NA,"Click To Continue","Continue Button",1,"object-14","Positive Feedback","P3_P.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPTM34679"
"27",1689013970009,"10/07/2023 18:32:50",1689017570009,1,"10/07/2023 20:32:50",137495,33,"task-175m",NA,30601956,9085792,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1707x960","1707x809",NA,NA,NA,"Video Feedback Task",13,"NonAnxious",NA,"In","B",NA,"FGEHDICJBKA","A",NA,NA,NA,NA,1,1,4,"Positive Feedback","Video","w2ir4b",1,"response","the person describes the scene in an interesting way",20748.5430000001,34830.8430000001,34838.084999857,20748.5430000001,34830.8430000001,34838.084999857,1,20748.5430000001,14089.5419998569,0,NA,"Text Entry","Text Entry",4,"object-19","Positive Feedback","P3_P.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPTM34679"
"28",1689013970009,"10/07/2023 18:32:50",1689017570009,1,"10/07/2023 20:32:50",137495,33,"task-175m",NA,30601956,9085792,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1707x960","1707x809",NA,NA,NA,"Video Feedback Task",13,"NonAnxious",NA,"In","B",NA,"FGEHDICJBKA","A",NA,NA,NA,NA,1,1,4,"Positive Feedback","Video","w2ir4b",1,"response","the person gives a lot of extra description ",6816.24600000004,34830.8430000001,34838.584999857,6816.24600000004,34830.8430000001,34838.584999857,1,6816.24600000004,28022.338999857,0,NA,"Text Entry","Text Entry",5,"object-20","Positive Feedback","P3_P.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPTM34679"
