"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.ln1a","randomiser.vzsr","branch.hkzp","randomiser.ywar","randomiser.q6ah","order.ot79","randomiser.ahe2","randomiser.ckhi","randomiser.lqqr","randomiser.pobd","randomiser.8gdj","Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID"
"1",1688985629371,"10/07/2023 10:40:29",1688989229371,1,"10/07/2023 12:40:29",137495,33,"questionnaire-uu2n",NA,30590154,9082357,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1366x768","1366x657",NA,NA,NA,"BIQ (Charlotte)",2,"NonAnxious",NA,"In","",NA,"BCADKEJFIGH","B","B","",NA,NA,"Spreadsheet1","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPTM45532"
"2",1688985953872,"10/07/2023 10:45:53",1688989553872,1,"10/07/2023 12:45:53",137495,33,"questionnaire-uu2n",NA,30590154,9082357,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1366x768","1366x657",NA,NA,NA,"BIQ (Charlotte)",2,"NonAnxious",NA,"In","",NA,"BCADKEJFIGH","B","B","",NA,NA,"Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"continue","",331329.300000072,331318.76,331329.300000072,331329.300000072,331318.76,331329.300000072,1,331329.300000072,0,0,NA,"Click To Continue","Continue Button",23,"object-48","BIQ",NA,"SUPTM45532"
"3",1688985953879,"10/07/2023 10:45:53",1688989553879,1,"10/07/2023 12:45:53",137495,33,"questionnaire-uu2n",NA,30590154,9082357,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1366x768","1366x657",NA,NA,NA,"BIQ (Charlotte)",2,"NonAnxious",NA,"In","",NA,"BCADKEJFIGH","B","B","",NA,NA,"Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","7",87888.235,331318.76,331335.442,87888.235,331318.76,331335.442,1,87888.235,243447.207,0,NA,"Rating Scale","Rating Scale",3,"object-5","BIQ",NA,"SUPTM45532"
"4",1688985953880,"10/07/2023 10:45:53",1688989553880,1,"10/07/2023 12:45:53",137495,33,"questionnaire-uu2n",NA,30590154,9082357,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1366x768","1366x657",NA,NA,NA,"BIQ (Charlotte)",2,"NonAnxious",NA,"In","",NA,"BCADKEJFIGH","B","B","",NA,NA,"Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","8",96753.401,331318.76,331335.442,96753.401,331318.76,331335.442,1,96753.401,234582.041,0,NA,"Rating Scale","Rating Scale",10,"object-18","BIQ",NA,"SUPTM45532"
"5",1688985953880,"10/07/2023 10:45:53",1688989553880,1,"10/07/2023 12:45:53",137495,33,"questionnaire-uu2n",NA,30590154,9082357,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1366x768","1366x657",NA,NA,NA,"BIQ (Charlotte)",2,"NonAnxious",NA,"In","",NA,"BCADKEJFIGH","B","B","",NA,NA,"Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","0",102469.217,331318.76,331335.442,102469.217,331318.76,331335.442,1,102469.217,228866.225,0,NA,"Rating Scale","Rating Scale",17,"object-80","BIQ",NA,"SUPTM45532"
"6",1688985979989,"10/07/2023 10:46:19",1688989579989,1,"10/07/2023 12:46:19",137495,33,"questionnaire-uu2n",NA,30590154,9082357,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1366x768","1366x657",NA,NA,NA,"BIQ (Charlotte)",2,"NonAnxious",NA,"In","",NA,"BCADKEJFIGH","B","B","",NA,NA,"Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"continue","",26139.4400000477,26129.728,26139.4400000477,26139.4400000477,26129.728,26139.4400000477,1,26139.4400000477,0,0,NA,"Click To Continue","Continue Button",22,"object-50","BIQ",NA,"SUPTM45532"
"7",1688985979997,"10/07/2023 10:46:19",1688989579997,1,"10/07/2023 12:46:19",137495,33,"questionnaire-uu2n",NA,30590154,9082357,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1366x768","1366x657",NA,NA,NA,"BIQ (Charlotte)",2,"NonAnxious",NA,"In","",NA,"BCADKEJFIGH","B","B","",NA,NA,"Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","2",18114.061,26129.728,26145.5400000715,18114.061,26129.728,26145.5400000715,1,18114.061,8031.47900007153,0,NA,"Rating Scale","Rating Scale",2,"object-259","BIQ",NA,"SUPTM45532"
"8",1688985979999,"10/07/2023 10:46:19",1688989579999,1,"10/07/2023 12:46:19",137495,33,"questionnaire-uu2n",NA,30590154,9082357,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1366x768","1366x657",NA,NA,NA,"BIQ (Charlotte)",2,"NonAnxious",NA,"In","",NA,"BCADKEJFIGH","B","B","",NA,NA,"Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","1",23163.345,26129.728,26146.498,23163.345,26129.728,26146.498,1,23163.345,2983.15300000005,0,NA,"Rating Scale","Rating Scale",9,"object-36","BIQ",NA,"SUPTM45532"
"9",1688985980001,"10/07/2023 10:46:20",1688989580001,1,"10/07/2023 12:46:20",137495,33,"questionnaire-uu2n",NA,30590154,9082357,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1366x768","1366x657",NA,NA,NA,"BIQ (Charlotte)",2,"NonAnxious",NA,"In","",NA,"BCADKEJFIGH","B","B","",NA,NA,"Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","3",25012.99,26129.728,26146.498,25012.99,26129.728,26146.498,1,25012.99,1133.50800000003,0,NA,"Rating Scale","Rating Scale",16,"object-86","BIQ",NA,"SUPTM45532"
"10",1688985996307,"10/07/2023 10:46:36",1688989596307,1,"10/07/2023 12:46:36",137495,33,"questionnaire-uu2n",NA,30590154,9082357,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1366x768","1366x657",NA,NA,NA,"BIQ (Charlotte)",2,"NonAnxious",NA,"In","",NA,"BCADKEJFIGH","B","B","",NA,NA,"Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"continue","",16327.9119999761,16314.039,16327.9119999761,16327.9119999761,16314.039,16327.9119999761,1,16327.9119999761,0,0,NA,"Click To Continue","Continue Button",22,"object-73","BIQ",NA,"SUPTM45532"
