"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.ln1a","randomiser.vzsr","branch.hkzp","randomiser.ywar","randomiser.q6ah","order.ot79","randomiser.ahe2","randomiser.ckhi","randomiser.lqqr","randomiser.pobd","randomiser.8gdj","Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID"
"1",1689013108306,"10/07/2023 18:18:28",1689016708306,1,"10/07/2023 20:18:28",137495,33,"task-kbbk",NA,30601934,9085792,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1707x960","1707x809",NA,NA,NA,"Pre-Video Feedback Task",4,"NonAnxious",NA,"In","B",NA,"FGEHDICJBKA","A",NA,NA,NA,NA,"Spreadsheet1","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPTM34679"
"2",1689013118521,"10/07/2023 18:18:38",1689016718521,1,"10/07/2023 20:18:38",137495,33,"task-kbbk",NA,30601934,9085792,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1707x960","1707x809",NA,NA,NA,"Pre-Video Feedback Task",4,"NonAnxious",NA,"In","B",NA,"FGEHDICJBKA","A",NA,NA,NA,NA,"Spreadsheet1","Spreadsheet1",1,"Instructions","Screen 1","by7fw4",1,"continue","",10219.492,10215.907,10219.492,10219.492,10215.907,10219.492,1,10219.492,0,0,NA,"Click To Continue","Continue Button",2,"object-15","Instructions",NA,"SUPTM34679"
"3",1689013121021,"10/07/2023 18:18:41",1689016721021,1,"10/07/2023 20:18:41",137495,33,"task-kbbk",NA,30601934,9085792,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1707x960","1707x809",NA,NA,NA,"Pre-Video Feedback Task",4,"NonAnxious",NA,"In","B",NA,"FGEHDICJBKA","A",NA,NA,NA,NA,"Spreadsheet1","Spreadsheet1",1,"Instructions","Screen 2","32ryug",2,"continue","",2504.18500014305,2500.293,2504.18500014305,2504.18500014305,2500.293,2504.18500014305,1,2504.18500014305,0,0,NA,"Click To Continue","Continue Button",2,"object-18","Instructions",NA,"SUPTM34679"
"4",1689013127234,"10/07/2023 18:18:47",1689016727234,1,"10/07/2023 20:18:47",137495,33,"task-kbbk",NA,30601934,9085792,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1707x960","1707x809",NA,NA,NA,"Pre-Video Feedback Task",4,"NonAnxious",NA,"In","B",NA,"FGEHDICJBKA","A",NA,NA,NA,NA,"Spreadsheet1","Spreadsheet1",1,"Instructions","Screen 6","qfz25j",3,"continue","",6218.292,6215.742,6218.292,6218.292,6215.742,6218.292,1,6218.292,0,0,NA,"Click To Continue","Continue Button",2,"object-44","Instructions",NA,"SUPTM34679"
"5",1689013128515,"10/07/2023 18:18:48",1689016728515,1,"10/07/2023 20:18:48",137495,33,"task-kbbk",NA,30601934,9085792,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1707x960","1707x809",NA,NA,NA,"Pre-Video Feedback Task",4,"NonAnxious",NA,"In","B",NA,"FGEHDICJBKA","A",NA,NA,NA,NA,"Spreadsheet1","Spreadsheet1",1,"Instructions","Screen 3","oiajeu",4,"continue","",1283.22,1266.56,1283.22,1283.22,1266.56,1283.22,1,1283.22,0,0,NA,"Click To Continue","Continue Button",2,"object-21","Instructions",NA,"SUPTM34679"
"6",1689013129413,"10/07/2023 18:18:49",1689016729413,1,"10/07/2023 20:18:49",137495,33,"task-kbbk",NA,30601934,9085792,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1707x960","1707x809",NA,NA,NA,"Pre-Video Feedback Task",4,"NonAnxious",NA,"In","B",NA,"FGEHDICJBKA","A",NA,NA,NA,NA,"Spreadsheet1","Spreadsheet1",1,"Instructions","Screen 4","x6yf73",5,"continue","",914.990000000002,900.004000000001,914.990000000002,914.990000000002,900.004000000001,914.990000000002,1,914.990000000002,0,0,NA,"Click To Continue","Continue Button",2,"object-24","Instructions",NA,"SUPTM34679"
"7",1689013217990,"10/07/2023 18:20:17",1689016817990,1,"10/07/2023 20:20:17",137495,33,"task-kbbk",NA,30601934,9085792,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1707x960","1707x809",NA,NA,NA,"Pre-Video Feedback Task",4,"NonAnxious",NA,"In","B",NA,"FGEHDICJBKA","A",NA,NA,NA,NA,"Spreadsheet1","Spreadsheet1",1,"Practice run","Screen 1","ncwxmk",1,"continue","",88587.7859999523,88576.802,88587.7859999523,88587.7859999523,88576.802,88587.7859999523,1,88587.7859999523,0,0,NA,"Click To Continue","Continue Button",2,"object-29","Practice run",NA,"SUPTM34679"
"8",1689013217993,"10/07/2023 18:20:17",1689016817993,1,"10/07/2023 20:20:17",137495,33,"task-kbbk",NA,30601934,9085792,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1707x960","1707x809",NA,NA,NA,"Pre-Video Feedback Task",4,"NonAnxious",NA,"In","B",NA,"FGEHDICJBKA","A",NA,NA,NA,NA,"Spreadsheet1","Spreadsheet1",1,"Practice run","Screen 1","ncwxmk",1,"response","the video gives a relatively objective description of the picture ",35947.869,88576.802,88593.3860000954,35947.869,88576.802,88593.3860000954,1,35947.869,52645.5170000954,0,NA,"Text Entry","Text Entry",5,"object-38","Practice run",NA,"SUPTM34679"
"9",1689013217993,"10/07/2023 18:20:17",1689016817993,1,"10/07/2023 20:20:17",137495,33,"task-kbbk",NA,30601934,9085792,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1707x960","1707x809",NA,NA,NA,"Pre-Video Feedback Task",4,"NonAnxious",NA,"In","B",NA,"FGEHDICJBKA","A",NA,NA,NA,NA,"Spreadsheet1","Spreadsheet1",1,"Practice run","Screen 1","ncwxmk",1,"response","the woman in the video does not demonstrate a great deal of emotion",71694.82,88576.802,88593.481,71694.82,88576.802,88593.481,1,71694.82,16898.661,0,NA,"Text Entry","Text Entry",6,"object-40","Practice run",NA,"SUPTM34679"
"10",1689013217995,"10/07/2023 18:20:17",1689016817995,1,"10/07/2023 20:20:17",137495,33,"task-kbbk",NA,30601934,9085792,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1707x960","1707x809",NA,NA,NA,"Pre-Video Feedback Task",4,"NonAnxious",NA,"In","B",NA,"FGEHDICJBKA","A",NA,NA,NA,NA,"Spreadsheet1","Spreadsheet1",NA,"","","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPTM34679"
