"","Submission.id","Status","Started.at","Completed.at","Reviewed.at","Archived.at","Time.taken","Completion.code","Total.approvals","Current.uk.area.of.residence","Fluent.languages","Age","Sex","Ethnicity.simplified","Country.of.birth","Country.of.residence","Nationality","Language","Student.status","Employment.status","Custom.study.tncs.accepted.at","Random_ID"
"89","64da6f1a5aac95015e309356","APPROVED","2023-08-14T18:14:55.869000Z","2023-08-14T18:36:56.060000Z","2023-08-15T16:40:34.805000Z","2023-08-14T18:36:56.975000Z",1321,"C18Q2QU1",407,"DATA_EXPIRED","DATA_EXPIRED","DATA_EXPIRED","DATA_EXPIRED","DATA_EXPIRED","DATA_EXPIRED","DATA_EXPIRED","DATA_EXPIRED","DATA_EXPIRED","DATA_EXPIRED","DATA_EXPIRED","Not Applicable","SUPPRF13522"
"90","64da722cd7dae2d981f16215","APPROVED","2023-08-14T18:31:07.586000Z","2023-08-14T19:10:47.859000Z","2023-08-15T16:40:36.917000Z","2023-08-14T19:12:42.564000Z",2381,"C18Q2QU1",1097,"Yorkshire and the Humber, England (East Riding, North Lincolnshire and Yorkshire)","English","26","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","Not Applicable","SUPPRF02973"
"91","64db3028111b0ff40205a905","APPROVED","2023-08-15T07:58:58.705000Z","2023-08-15T08:53:52.357000Z","2023-08-15T16:40:38.619000Z","2023-08-15T08:53:53.373000Z",3294,"C18Q2QU1",996,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)","Italian, French, English","24","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","Not Applicable","SUPPRF66474"
"92","64db3ff30b0051af402a25df","APPROVED","2023-08-15T09:05:59.318000Z","2023-08-15T09:48:53.295000Z","2023-08-15T16:40:40.722000Z","2023-08-15T09:48:54.448000Z",2574,"C18Q2QU1",431,"North East, England    (Tees Valley, Durham, Northumberland and Tyne and Wear)","English","23","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Not in paid work (e.g. homemaker', 'retired or disabled)","Not Applicable","SUPPRF09311"
"93","64db50e8d7831bdd4833328b","APPROVED","2023-08-15T10:18:35.475000Z","2023-08-15T10:51:01.242000Z","2023-08-15T16:40:43.048000Z","2023-08-15T10:51:01.892000Z",1946,"C18Q2QU1",644,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)","English","25","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","Not Applicable","SUPPRF42960"
"94","64db6ece74bc187ddeca4ef7","APPROVED","2023-08-15T12:25:54.790000Z","2023-08-15T13:14:00.583000Z","2023-08-15T16:40:44.893000Z","2023-08-15T13:14:01.368000Z",2886,"C18Q2QU1",1019,"Yorkshire and the Humber, England (East Riding, North Lincolnshire and Yorkshire)","English","25","Female","White","United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED","Not Applicable","SUPPRF50626"
"95","64db7694cf9ebb92b4a19732","APPROVED","2023-08-15T12:59:15.417000Z","2023-08-15T13:36:44.019000Z","2023-08-15T16:40:48.327000Z","2023-08-15T13:36:44.829000Z",2249,"C18Q2QU1",1146,"London, England ","English","25","Male","Asian","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","Not Applicable","SUPPRF66122"
"96","64dbf4ff504719270ed3ce00","APPROVED","2023-08-15T21:58:31.055000Z","2023-08-15T22:32:52.822000Z","2023-08-17T16:41:13.034000Z","2023-08-15T22:32:53.965000Z",2062,"C18Q2QU1",184,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)","English","22","Female","White","United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED","Not Applicable","SUPPRF08258"
"97","64dc7ddf7404cae9c3a1d3e9","APPROVED","2023-08-16T07:44:34.026000Z","2023-08-16T09:15:13.967000Z","2023-08-17T16:41:15.471000Z","2023-08-16T09:15:14.781000Z",5440,"C18Q2QU1",372,"Scotland","English","25","Male","White","United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED","Not Applicable","SUPPRF09500"
"98","64dcd5b8efb53854496a7580","APPROVED","2023-08-16T13:57:17.894000Z","2023-08-16T14:34:39.173000Z","2023-08-17T16:41:17.753000Z","2023-08-16T14:34:39.861000Z",2242,"C18Q2QU1",1253,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)","Chinese, English","24","Male","Asian","Hong Kong","United Kingdom","Hong Kong","English","DATA_EXPIRED","DATA_EXPIRED","Not Applicable","SUPPRF02309"
"99","64dcdc11738dec7846d76850","APPROVED","2023-08-16T14:24:22.131000Z","2023-08-16T14:55:55.326000Z","2023-08-17T16:41:18.774000Z","2023-08-16T14:56:06.561000Z",1894,"C18Q2QU1",261,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)","English","20","Male","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Part-Time","Not Applicable","SUPPRF89096"
