"","Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","randomiser.lqqr","randomiser.28m8","randomiser.tf5j","Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Spreadsheet..Index","Spreadsheet..X1","Spreadsheet..X2","Spreadsheet..Display","Spreadsheet..test_response_save","Manipulation..Spreadsheet","Store..test_response_save","Random_ID"
"1589",84,1692198377261,"16/08/2023 15:06:17",1692201977261,1,"16/08/2023 17:06:17",140743,17,"task-5vg1",NA,31222297,NA,"complete",NA,"64dcecf2571803aaf952ef5f","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1366x768","1366x657",NA,NA,0,"Feedback Phrases Task - List 2 (Clone with new randomisation)",4,"HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","Feedback Phrases List 2",41,"Task","Screen 1","113qg5",1,"response","I could easily picture what you were describing.",165683.795000191,165670.943,165683.795000191,165683.795000191,165670.943,165683.795000191,1,165683.795000191,0,0,NA,"Click Response","Text_left_X1",2,"object-18",NA,1,"I could easily picture what you were describing.","You appear very smart.","Task",NA,NA,NA,"SUPPRF01588"
"1590",85,1692198379015,"16/08/2023 15:06:19",1692201979015,1,"16/08/2023 17:06:19",140743,17,"task-5vg1",NA,31222297,NA,"complete",NA,"64dcecf2571803aaf952ef5f","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1366x768","1366x657",NA,NA,0,"Feedback Phrases Task - List 2 (Clone with new randomisation)",4,"HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","Feedback Phrases List 2",41,"Task","Screen 3","izqege",2,"continue","",1766.47700000001,1766.47700000001,1766.47700000001,1766.47700000001,1766.47700000001,1766.47700000001,1,1766.47700000001,0,0,NA,"Fixation Timing","Fixation Cross",1,"object-48",NA,1,"I could easily picture what you were describing.","You appear very smart.","Task",NA,NA,NA,"SUPPRF01588"
"1591",86,1692198385743,"16/08/2023 15:06:25",1692201985743,1,"16/08/2023 17:06:25",140743,17,"task-5vg1",NA,31222297,NA,"complete",NA,"64dcecf2571803aaf952ef5f","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1366x768","1366x657",NA,NA,0,"Feedback Phrases Task - List 2 (Clone with new randomisation)",4,"HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","Feedback Phrases List 2",42,"Task","Screen 1","113qg5",1,"response","You seemed very in-control.",6728.7750000477,6715.96400000004,6728.7750000477,6728.7750000477,6715.96400000004,6728.7750000477,1,6728.7750000477,0,0,NA,"Click Response","Text_left_X1",2,"object-18",NA,1,"You seemed very in-control.","Your description was very insightful.","Task",NA,NA,NA,"SUPPRF01588"
"1592",87,1692198387498,"16/08/2023 15:06:27",1692201987498,1,"16/08/2023 17:06:27",140743,17,"task-5vg1",NA,31222297,NA,"complete",NA,"64dcecf2571803aaf952ef5f","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1366x768","1366x657",NA,NA,0,"Feedback Phrases Task - List 2 (Clone with new randomisation)",4,"HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","Feedback Phrases List 2",42,"Task","Screen 3","izqege",2,"continue","",1766.478,1766.478,1766.478,1766.478,1766.478,1766.478,1,1766.478,0,0,NA,"Fixation Timing","Fixation Cross",1,"object-48",NA,1,"You seemed very in-control.","Your description was very insightful.","Task",NA,NA,NA,"SUPPRF01588"
"1593",88,1692198391136,"16/08/2023 15:06:31",1692201991136,1,"16/08/2023 17:06:31",140743,17,"task-5vg1",NA,31222297,NA,"complete",NA,"64dcecf2571803aaf952ef5f","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1366x768","1366x657",NA,NA,0,"Feedback Phrases Task - List 2 (Clone with new randomisation)",4,"HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","Feedback Phrases List 2",43,"Task","Screen 1","113qg5",1,"response","You're very articulate.",3639.23300014302,3632.83999999997,3639.23300014302,3639.23300014302,3632.83999999997,3639.23300014302,1,3639.23300014302,0,0,NA,"Click Response","Text_right_X2",3,"object-19",NA,1,"You appeared very confident.","You're very articulate.","Task",NA,NA,NA,"SUPPRF01588"
"1594",89,1692198392897,"16/08/2023 15:06:32",1692201992897,1,"16/08/2023 17:06:32",140743,17,"task-5vg1",NA,31222297,NA,"complete",NA,"64dcecf2571803aaf952ef5f","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1366x768","1366x657",NA,NA,0,"Feedback Phrases Task - List 2 (Clone with new randomisation)",4,"HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","Feedback Phrases List 2",43,"Task","Screen 3","izqege",2,"continue","",1766.59399999998,1766.59399999998,1766.59399999998,1766.59399999998,1766.59399999998,1766.59399999998,1,1766.59399999998,0,0,NA,"Fixation Timing","Fixation Cross",1,"object-48",NA,1,"You appeared very confident.","You're very articulate.","Task",NA,NA,NA,"SUPPRF01588"
"1595",90,1692198408328,"16/08/2023 15:06:48",1692202008328,1,"16/08/2023 17:06:48",140743,17,"task-5vg1",NA,31222297,NA,"complete",NA,"64dcecf2571803aaf952ef5f","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1366x768","1366x657",NA,NA,0,"Feedback Phrases Task - List 2 (Clone with new randomisation)",4,"HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","Feedback Phrases List 2",44,"Task","Screen 1","113qg5",1,"response","That was perfect.",15431.721,15415.054,15431.721,15431.721,15415.054,15431.721,1,15431.721,0,0,NA,"Click Response","Text_left_X1",2,"object-18",NA,1,"That was perfect.","You appear very smart.","Task",NA,NA,NA,"SUPPRF01588"
"1596",91,1692198410079,"16/08/2023 15:06:50",1692202010079,1,"16/08/2023 17:06:50",140743,17,"task-5vg1",NA,31222297,NA,"complete",NA,"64dcecf2571803aaf952ef5f","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1366x768","1366x657",NA,NA,0,"Feedback Phrases Task - List 2 (Clone with new randomisation)",4,"HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","Feedback Phrases List 2",44,"Task","Screen 3","izqege",2,"continue","",1766.478,1766.478,1766.478,1766.478,1766.478,1766.478,1,1766.478,0,0,NA,"Fixation Timing","Fixation Cross",1,"object-48",NA,1,"That was perfect.","You appear very smart.","Task",NA,NA,NA,"SUPPRF01588"
"1597",92,1692198414275,"16/08/2023 15:06:54",1692202014275,1,"16/08/2023 17:06:54",140743,17,"task-5vg1",NA,31222297,NA,"complete",NA,"64dcecf2571803aaf952ef5f","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1366x768","1366x657",NA,NA,0,"Feedback Phrases Task - List 2 (Clone with new randomisation)",4,"HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","Feedback Phrases List 2",45,"Task","Screen 1","113qg5",1,"response","Your description was very insightful.",4197.46700019075,4182.79300000001,4197.46700019075,4197.46700019075,4182.79300000001,4197.46700019075,1,4197.46700019075,0,0,NA,"Click Response","Text_left_X1",2,"object-18",NA,1,"Your description was very insightful.","You appear very smart.","Task",NA,NA,NA,"SUPPRF01588"
"1598",93,1692198416028,"16/08/2023 15:06:56",1692202016028,1,"16/08/2023 17:06:56",140743,17,"task-5vg1",NA,31222297,NA,"complete",NA,"64dcecf2571803aaf952ef5f","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1366x768","1366x657",NA,NA,0,"Feedback Phrases Task - List 2 (Clone with new randomisation)",4,"HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","Feedback Phrases List 2",45,"Task","Screen 3","izqege",2,"continue","",1766.56800000003,1766.56800000003,1766.56800000003,1766.56800000003,1766.56800000003,1766.56800000003,1,1766.56800000003,0,0,NA,"Fixation Timing","Fixation Cross",1,"object-48",NA,1,"Your description was very insightful.","You appear very smart.","Task",NA,NA,NA,"SUPPRF01588"
