"","Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","randomiser.lqqr","randomiser.28m8","randomiser.tf5j","Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Spreadsheet..stimulus","Spreadsheet..P","Spreadsheet..N","Manipulation..Spreadsheet","Random_ID"
"1",1,1692005872045,"14/08/2023 09:37:52",1692009472045,1,"14/08/2023 11:37:52",140743,17,"task-s9co",NA,31172521,NA,"complete",NA,"64da000bb77c30175cda1703","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.6","810x1080","1080x707",NA,NA,0,"Video Feedback Task (Clone)",6,"DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st",1,NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","","","","",NA,"SUPPRF20908"
"2",2,1692005922991,"14/08/2023 09:38:42",1692009522991,1,"14/08/2023 11:38:42",140743,17,"task-s9co",NA,31172521,NA,"complete",NA,"64da000bb77c30175cda1703","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.6","810x1080","1080x707",NA,NA,0,"Video Feedback Task (Clone)",6,"DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st",1,1,"Neutral Feedback","Screen 1","3zrml3",1,"continue","",50948,50931,50948,50948,50931,50948,1,50948,0,0,NA,"Click To Continue","Continue Button",1,"object-155","Neutral Feedback","P2_N.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPPRF20908"
"3",3,1692005923006,"14/08/2023 09:38:43",1692009523006,1,"14/08/2023 11:38:43",140743,17,"task-s9co",NA,31172521,NA,"complete",NA,"64da000bb77c30175cda1703","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.6","810x1080","1080x707",NA,NA,0,"Video Feedback Task (Clone)",6,"DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st",1,1,"Neutral Feedback","Screen 1","3zrml3",1,"response","You gave some detail about their clothing.",39040,50931,50948,39040,50931,50948,1,39040,11908,0,NA,"Text Entry","Text Entry",4,"object-158","Neutral Feedback","P2_N.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPPRF20908"
"4",4,1692005923006,"14/08/2023 09:38:43",1692009523006,1,"14/08/2023 11:38:43",140743,17,"task-s9co",NA,31172521,NA,"complete",NA,"64da000bb77c30175cda1703","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.6","810x1080","1080x707",NA,NA,0,"Video Feedback Task (Clone)",6,"DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st",1,1,"Neutral Feedback","Screen 1","3zrml3",1,"response","You gave some feautures of the room.",26139,50931,50948,26139,50931,50948,1,26139,24809,0,NA,"Text Entry","Text Entry",5,"object-159","Neutral Feedback","P2_N.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPPRF20908"
"5",5,1692005923850,"14/08/2023 09:38:43",1692009523850,1,"14/08/2023 11:38:43",140743,17,"task-s9co",NA,31172521,NA,"complete",NA,"64da000bb77c30175cda1703","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.6","810x1080","1080x707",NA,NA,0,"Video Feedback Task (Clone)",6,"DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st",1,1,"Neutral Feedback","Screen 2","vv4mhq",2,"continue","",883,883,883,883,883,883,1,883,0,0,NA,"Fixation Timing","Fixation",1,"object-153","Neutral Feedback","P2_N.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPPRF20908"
"6",6,1692005990949,"14/08/2023 09:39:50",1692009590949,1,"14/08/2023 11:39:50",140743,17,"task-s9co",NA,31172521,NA,"complete",NA,"64da000bb77c30175cda1703","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.6","810x1080","1080x314",NA,NA,0,"Video Feedback Task (Clone)",6,"DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st",1,1,"Positive Feedback","Video","w2ir4b",1,"continue","",67095,67078,67095,67095,67078,67095,1,67095,0,0,NA,"Click To Continue","Continue Button",1,"object-14","Positive Feedback","P5_P.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPPRF20908"
"7",7,1692005990967,"14/08/2023 09:39:50",1692009590967,1,"14/08/2023 11:39:50",140743,17,"task-s9co",NA,31172521,NA,"complete",NA,"64da000bb77c30175cda1703","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.6","810x1080","1080x314",NA,NA,0,"Video Feedback Task (Clone)",6,"DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st",1,1,"Positive Feedback","Video","w2ir4b",1,"response","You definitely knew what the people in the picture were doing.",51672,67078,67095,51672,67078,67095,1,51672,15423,0,NA,"Text Entry","Text Entry",4,"object-19","Positive Feedback","P5_P.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPPRF20908"
"8",8,1692005990968,"14/08/2023 09:39:50",1692009590968,1,"14/08/2023 11:39:50",140743,17,"task-s9co",NA,31172521,NA,"complete",NA,"64da000bb77c30175cda1703","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.6","810x1080","1080x314",NA,NA,0,"Video Feedback Task (Clone)",6,"DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st",1,1,"Positive Feedback","Video","w2ir4b",1,"response","You were very confident in describing the room in detail.",30721,67078,67095,30721,67078,67095,1,30721,36374,0,NA,"Text Entry","Text Entry",5,"object-20","Positive Feedback","P5_P.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPPRF20908"
"9",9,1692005991807,"14/08/2023 09:39:51",1692009591807,1,"14/08/2023 11:39:51",140743,17,"task-s9co",NA,31172521,NA,"complete",NA,"64da000bb77c30175cda1703","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.6","810x1080","1080x314",NA,NA,0,"Video Feedback Task (Clone)",6,"DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st",1,1,"Positive Feedback","Fixation","mtm832",2,"continue","",883,883,883,883,883,883,1,883,0,0,NA,"Fixation Timing","Fixation",1,"object-65","Positive Feedback","P5_P.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPPRF20908"
"10",10,1692006062523,"14/08/2023 09:41:02",1692009662523,1,"14/08/2023 11:41:02",140743,17,"task-s9co",NA,31172521,NA,"complete",NA,"64da000bb77c30175cda1703","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.6","810x1080","1080x707",NA,NA,0,"Video Feedback Task (Clone)",6,"DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st",1,2,"Positive Feedback","Video","w2ir4b",1,"continue","",70709,70693,70709,70709,70693,70709,1,70709,0,0,NA,"Click To Continue","Continue Button",1,"object-14","Positive Feedback","P2_P.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPPRF20908"
"11",11,1692006062537,"14/08/2023 09:41:02",1692009662537,1,"14/08/2023 11:41:02",140743,17,"task-s9co",NA,31172521,NA,"complete",NA,"64da000bb77c30175cda1703","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.6","810x1080","1080x707",NA,NA,0,"Video Feedback Task (Clone)",6,"DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st",1,2,"Positive Feedback","Video","w2ir4b",1,"response","You seemed confident in these assumptions.",61984,70693,70709,61984,70693,70709,1,61984,8725,0,NA,"Text Entry","Text Entry",4,"object-19","Positive Feedback","P2_P.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPPRF20908"
"12",12,1692006062537,"14/08/2023 09:41:02",1692009662537,1,"14/08/2023 11:41:02",140743,17,"task-s9co",NA,31172521,NA,"complete",NA,"64da000bb77c30175cda1703","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.6","810x1080","1080x707",NA,NA,0,"Video Feedback Task (Clone)",6,"DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st",1,2,"Positive Feedback","Video","w2ir4b",1,"response","You made very reasonable assumptions using different aspects of the picture.",37144,70693,70709,37144,70693,70709,1,37144,33565,0,NA,"Text Entry","Text Entry",5,"object-20","Positive Feedback","P2_P.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPPRF20908"
"13",13,1692006063465,"14/08/2023 09:41:03",1692009663465,1,"14/08/2023 11:41:03",140743,17,"task-s9co",NA,31172521,NA,"complete",NA,"64da000bb77c30175cda1703","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.6","810x1080","1080x707",NA,NA,0,"Video Feedback Task (Clone)",6,"DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st",1,2,"Positive Feedback","Fixation","mtm832",2,"continue","",967,967,967,967,967,967,1,967,0,0,NA,"Fixation Timing","Fixation",1,"object-65","Positive Feedback","P2_P.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPPRF20908"
"14",14,1692006126734,"14/08/2023 09:42:06",1692009726734,1,"14/08/2023 11:42:06",140743,17,"task-s9co",NA,31172521,NA,"complete",NA,"64da000bb77c30175cda1703","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.6","810x1080","1080x707",NA,NA,0,"Video Feedback Task (Clone)",6,"DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st",1,2,"Neutral Feedback","Screen 1","3zrml3",1,"continue","",63263,63246,63263,63263,63246,63263,1,63263,0,0,NA,"Click To Continue","Continue Button",1,"object-155","Neutral Feedback","P3_N.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPPRF20908"
"15",15,1692006126752,"14/08/2023 09:42:06",1692009726752,1,"14/08/2023 11:42:06",140743,17,"task-s9co",NA,31172521,NA,"complete",NA,"64da000bb77c30175cda1703","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.6","810x1080","1080x707",NA,NA,0,"Video Feedback Task (Clone)",6,"DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st",1,2,"Neutral Feedback","Screen 1","3zrml3",1,"response","You mentioned the detail of many fruit but did not name any.",46574,63246,63263,46574,63246,63263,1,46574,16689,0,NA,"Text Entry","Text Entry",4,"object-158","Neutral Feedback","P3_N.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPPRF20908"
"16",16,1692006126752,"14/08/2023 09:42:06",1692009726752,1,"14/08/2023 11:42:06",140743,17,"task-s9co",NA,31172521,NA,"complete",NA,"64da000bb77c30175cda1703","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.6","810x1080","1080x707",NA,NA,0,"Video Feedback Task (Clone)",6,"DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st",1,2,"Neutral Feedback","Screen 1","3zrml3",1,"response","You did okay as you repeated the same descriptions.",30990,63246,63263,30990,63246,63263,1,30990,32273,0,NA,"Text Entry","Text Entry",5,"object-159","Neutral Feedback","P3_N.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPPRF20908"
"17",17,1692006127676,"14/08/2023 09:42:07",1692009727676,1,"14/08/2023 11:42:07",140743,17,"task-s9co",NA,31172521,NA,"complete",NA,"64da000bb77c30175cda1703","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.6","810x1080","1080x707",NA,NA,0,"Video Feedback Task (Clone)",6,"DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st",1,2,"Neutral Feedback","Screen 2","vv4mhq",2,"continue","",966,966,966,966,966,966,1,966,0,0,NA,"Fixation Timing","Fixation",1,"object-153","Neutral Feedback","P3_N.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPPRF20908"
"18",18,1692006212321,"14/08/2023 09:43:32",1692009812321,1,"14/08/2023 11:43:32",140743,17,"task-s9co",NA,31172521,NA,"complete",NA,"64da000bb77c30175cda1703","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.6","810x1080","1080x707",NA,NA,0,"Video Feedback Task (Clone)",6,"DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st",1,3,"Positive Feedback","Video","w2ir4b",1,"continue","",84639,84622,84639,84639,84622,84639,1,84639,0,0,NA,"Click To Continue","Continue Button",1,"object-14","Positive Feedback","P1_P.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPPRF20908"
"19",19,1692006212342,"14/08/2023 09:43:32",1692009812342,1,"14/08/2023 11:43:32",140743,17,"task-s9co",NA,31172521,NA,"complete",NA,"64da000bb77c30175cda1703","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.6","810x1080","1080x707",NA,NA,0,"Video Feedback Task (Clone)",6,"DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st",1,3,"Positive Feedback","Video","w2ir4b",1,"response","You described small details, such as items on the desk, well.",60101,84622,84639,60101,84622,84639,1,60101,24538,0,NA,"Text Entry","Text Entry",4,"object-19","Positive Feedback","P1_P.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPPRF20908"
"20",20,1692006212343,"14/08/2023 09:43:32",1692009812343,1,"14/08/2023 11:43:32",140743,17,"task-s9co",NA,31172521,NA,"complete",NA,"64da000bb77c30175cda1703","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.6","810x1080","1080x707",NA,NA,0,"Video Feedback Task (Clone)",6,"DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st",1,3,"Positive Feedback","Video","w2ir4b",1,"response","You described the group of people well.",49489,84622,84639,49489,84622,84639,1,49489,35150,0,NA,"Text Entry","Text Entry",5,"object-20","Positive Feedback","P1_P.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPPRF20908"
"21",21,1692006213178,"14/08/2023 09:43:33",1692009813178,1,"14/08/2023 11:43:33",140743,17,"task-s9co",NA,31172521,NA,"complete",NA,"64da000bb77c30175cda1703","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.6","810x1080","1080x707",NA,NA,0,"Video Feedback Task (Clone)",6,"DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st",1,3,"Positive Feedback","Fixation","mtm832",2,"continue","",883,883,883,883,883,883,1,883,0,0,NA,"Fixation Timing","Fixation",1,"object-65","Positive Feedback","P1_P.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPPRF20908"
"22",22,1692006279806,"14/08/2023 09:44:39",1692009879806,1,"14/08/2023 11:44:39",140743,17,"task-s9co",NA,31172521,NA,"complete",NA,"64da000bb77c30175cda1703","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.6","810x1080","1080x707",NA,NA,0,"Video Feedback Task (Clone)",6,"DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st",1,3,"Neutral Feedback","Screen 1","3zrml3",1,"continue","",66612,66595,66612,66612,66595,66612,1,66612,0,0,NA,"Click To Continue","Continue Button",1,"object-155","Neutral Feedback","P4_N.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPPRF20908"
"23",23,1692006279835,"14/08/2023 09:44:39",1692009879835,1,"14/08/2023 11:44:39",140743,17,"task-s9co",NA,31172521,NA,"complete",NA,"64da000bb77c30175cda1703","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.6","810x1080","1080x707",NA,NA,0,"Video Feedback Task (Clone)",6,"DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st",1,3,"Neutral Feedback","Screen 1","3zrml3",1,"response","You gave a very bland description of the screen as a whole.",49489,66595,66612,49489,66595,66612,1,49489,17123,0,NA,"Text Entry","Text Entry",4,"object-158","Neutral Feedback","P4_N.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPPRF20908"
"24",24,1692006279835,"14/08/2023 09:44:39",1692009879835,1,"14/08/2023 11:44:39",140743,17,"task-s9co",NA,31172521,NA,"complete",NA,"64da000bb77c30175cda1703","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.6","810x1080","1080x707",NA,NA,0,"Video Feedback Task (Clone)",6,"DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st",1,3,"Neutral Feedback","Screen 1","3zrml3",1,"response","Your description of the peoples actions were limited.",12712,66595,66612,12712,66595,66612,1,12712,53900,0,NA,"Text Entry","Text Entry",5,"object-159","Neutral Feedback","P4_N.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPPRF20908"
"25",25,1692006280654,"14/08/2023 09:44:40",1692009880654,1,"14/08/2023 11:44:40",140743,17,"task-s9co",NA,31172521,NA,"complete",NA,"64da000bb77c30175cda1703","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.6","810x1080","1080x707",NA,NA,0,"Video Feedback Task (Clone)",6,"DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st",1,3,"Neutral Feedback","Screen 2","vv4mhq",2,"continue","",883,883,883,883,883,883,1,883,0,0,NA,"Fixation Timing","Fixation",1,"object-153","Neutral Feedback","P4_N.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPPRF20908"
"26",26,1692006339619,"14/08/2023 09:45:39",1692009939619,1,"14/08/2023 11:45:39",140743,17,"task-s9co",NA,31172521,NA,"complete",NA,"64da000bb77c30175cda1703","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.6","810x1080","1080x314",NA,NA,0,"Video Feedback Task (Clone)",6,"DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st",1,4,"Positive Feedback","Video","w2ir4b",1,"continue","",58966,58948,58966,58966,58948,58966,1,58966,0,0,NA,"Click To Continue","Continue Button",1,"object-14","Positive Feedback","P3_P.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPPRF20908"
"27",27,1692006339625,"14/08/2023 09:45:39",1692009939625,1,"14/08/2023 11:45:39",140743,17,"task-s9co",NA,31172521,NA,"complete",NA,"64da000bb77c30175cda1703","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.6","810x1080","1080x314",NA,NA,0,"Video Feedback Task (Clone)",6,"DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st",1,4,"Positive Feedback","Video","w2ir4b",1,"response","Your description of the happy Christmas scene was very detailed.",43724,58948,58966,43724,58948,58966,1,43724,15242,0,NA,"Text Entry","Text Entry",4,"object-19","Positive Feedback","P3_P.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPPRF20908"
"28",28,1692006339626,"14/08/2023 09:45:39",1692009939626,1,"14/08/2023 11:45:39",140743,17,"task-s9co",NA,31172521,NA,"complete",NA,"64da000bb77c30175cda1703","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.6","810x1080","1080x314",NA,NA,0,"Video Feedback Task (Clone)",6,"DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st",1,4,"Positive Feedback","Video","w2ir4b",1,"response","You were clearly confident in your description as you did not stutter or seem unsure in any way.",11368,58948,58966,11368,58948,58966,1,11368,47598,0,NA,"Text Entry","Text Entry",5,"object-20","Positive Feedback","P3_P.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPPRF20908"
"29",29,1692006340565,"14/08/2023 09:45:40",1692009940565,1,"14/08/2023 11:45:40",140743,17,"task-s9co",NA,31172521,NA,"complete",NA,"64da000bb77c30175cda1703","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.6","810x1080","1080x314",NA,NA,0,"Video Feedback Task (Clone)",6,"DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st",1,4,"Positive Feedback","Fixation","mtm832",2,"continue","",965,965,965,965,965,965,1,965,0,0,NA,"Fixation Timing","Fixation",1,"object-65","Positive Feedback","P3_P.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPPRF20908"
"30",30,1692006391933,"14/08/2023 09:46:31",1692009991933,1,"14/08/2023 11:46:31",140743,17,"task-s9co",NA,31172521,NA,"complete",NA,"64da000bb77c30175cda1703","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.6","810x1080","1080x707",NA,NA,0,"Video Feedback Task (Clone)",6,"DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st",1,4,"Neutral Feedback","Screen 1","3zrml3",1,"continue","",51367,51350,51367,51367,51350,51367,1,51367,0,0,NA,"Click To Continue","Continue Button",1,"object-155","Neutral Feedback","P5_N.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPPRF20908"
"31",31,1692006391937,"14/08/2023 09:46:31",1692009991937,1,"14/08/2023 11:46:31",140743,17,"task-s9co",NA,31172521,NA,"complete",NA,"64da000bb77c30175cda1703","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.6","810x1080","1080x707",NA,NA,0,"Video Feedback Task (Clone)",6,"DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st",1,4,"Neutral Feedback","Screen 1","3zrml3",1,"response","Your overall description was okay.",41775,51350,51367,41775,51350,51367,1,41775,9592,0,NA,"Text Entry","Text Entry",4,"object-158","Neutral Feedback","P5_N.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPPRF20908"
"32",32,1692006391937,"14/08/2023 09:46:31",1692009991937,1,"14/08/2023 11:46:31",140743,17,"task-s9co",NA,31172521,NA,"complete",NA,"64da000bb77c30175cda1703","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.6","810x1080","1080x707",NA,NA,0,"Video Feedback Task (Clone)",6,"DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st",1,4,"Neutral Feedback","Screen 1","3zrml3",1,"response","You did alright, but seemed uncertain at times.",17367,51350,51367,17367,51350,51367,1,17367,34000,0,NA,"Text Entry","Text Entry",5,"object-159","Neutral Feedback","P5_N.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPPRF20908"
"33",33,1692006392880,"14/08/2023 09:46:32",1692009992880,1,"14/08/2023 11:46:32",140743,17,"task-s9co",NA,31172521,NA,"complete",NA,"64da000bb77c30175cda1703","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.6","810x1080","1080x707",NA,NA,0,"Video Feedback Task (Clone)",6,"DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st",1,4,"Neutral Feedback","Screen 2","vv4mhq",2,"continue","",967,967,967,967,967,967,1,967,0,0,NA,"Fixation Timing","Fixation",1,"object-153","Neutral Feedback","P5_N.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPPRF20908"
"34",34,1692006476122,"14/08/2023 09:47:56",1692010076122,1,"14/08/2023 11:47:56",140743,17,"task-s9co",NA,31172521,NA,"complete",NA,"64da000bb77c30175cda1703","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.6","810x1080","1080x707",NA,NA,0,"Video Feedback Task (Clone)",6,"DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st",1,5,"Neutral Feedback","Screen 1","3zrml3",1,"continue","",83239,83222,83239,83239,83222,83239,1,83239,0,0,NA,"Click To Continue","Continue Button",1,"object-155","Neutral Feedback","P1_N.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPPRF20908"
"35",35,1692006476129,"14/08/2023 09:47:56",1692010076129,1,"14/08/2023 11:47:56",140743,17,"task-s9co",NA,31172521,NA,"complete",NA,"64da000bb77c30175cda1703","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.6","810x1080","1080x707",NA,NA,0,"Video Feedback Task (Clone)",6,"DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st",1,5,"Neutral Feedback","Screen 1","3zrml3",1,"response","Your attempt was mediocre.",51173,83222,83239,51173,83222,83239,1,51173,32066,0,NA,"Text Entry","Text Entry",4,"object-158","Neutral Feedback","P1_N.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPPRF20908"
"36",36,1692006476130,"14/08/2023 09:47:56",1692010076130,1,"14/08/2023 11:47:56",140743,17,"task-s9co",NA,31172521,NA,"complete",NA,"64da000bb77c30175cda1703","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.6","810x1080","1080x707",NA,NA,0,"Video Feedback Task (Clone)",6,"DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st",1,5,"Neutral Feedback","Screen 1","3zrml3",1,"response","Your description was very broad.",21764,83222,83239,21764,83222,83239,1,21764,61475,0,NA,"Text Entry","Text Entry",5,"object-159","Neutral Feedback","P1_N.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPPRF20908"
"37",37,1692006477065,"14/08/2023 09:47:57",1692010077065,1,"14/08/2023 11:47:57",140743,17,"task-s9co",NA,31172521,NA,"complete",NA,"64da000bb77c30175cda1703","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.6","810x1080","1080x707",NA,NA,0,"Video Feedback Task (Clone)",6,"DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st",1,5,"Neutral Feedback","Screen 2","vv4mhq",2,"continue","",966,966,966,966,966,966,1,966,0,0,NA,"Fixation Timing","Fixation",1,"object-153","Neutral Feedback","P1_N.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPPRF20908"
