"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","counterbalance.qny1","Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID_new"
"1",1714567102090,"01/05/2024 12:38:22",1714570702090,1,"01/05/2024 14:38:22",177048,7,"task-vy7n",NA,37380449,11023113,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 124.0.0.0","1920x1080","1920x991",NA,NA,0,"BIQ-A",3,"ABHCGDFE","Passed AC2",NA,"spreadsheet_4","Spreadsheet1","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPSCO24387"
"2",1714567130985,"01/05/2024 12:38:50",1714570730985,1,"01/05/2024 14:38:50",177048,7,"task-vy7n",NA,37380449,11023113,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 124.0.0.0","1920x1080","1920x991",NA,NA,0,"BIQ-A",3,"ABHCGDFE","Passed AC2",NA,"spreadsheet_4","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"continue","",28901.6,28895.6,28901.6,28901.6,28895.6,28901.6,1,28901.6,0,0,NA,"Click To Continue","Continue Button",23,"object-48","BIQ",NA,"SUPSCO24387"
"3",1714567130985,"01/05/2024 12:38:50",1714570730985,1,"01/05/2024 14:38:50",177048,7,"task-vy7n",NA,37380449,11023113,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 124.0.0.0","1920x1080","1920x991",NA,NA,0,"BIQ-A",3,"ABHCGDFE","Passed AC2",NA,"spreadsheet_4","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","4",10078.4,28895.6,28901.6,10078.4,28895.6,28901.6,1,10078.4,18823.2,0,NA,"Rating Scale","Rating Scale",3,"object-5","BIQ",NA,"SUPSCO24387"
"4",1714567130986,"01/05/2024 12:38:50",1714570730986,1,"01/05/2024 14:38:50",177048,7,"task-vy7n",NA,37380449,11023113,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 124.0.0.0","1920x1080","1920x991",NA,NA,0,"BIQ-A",3,"ABHCGDFE","Passed AC2",NA,"spreadsheet_4","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","5",18629.4,28895.6,28901.6,18629.4,28895.6,28901.6,1,18629.4,10272.2,0,NA,"Rating Scale","Rating Scale",10,"object-18","BIQ",NA,"SUPSCO24387"
"5",1714567130986,"01/05/2024 12:38:50",1714570730986,1,"01/05/2024 14:38:50",177048,7,"task-vy7n",NA,37380449,11023113,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 124.0.0.0","1920x1080","1920x991",NA,NA,0,"BIQ-A",3,"ABHCGDFE","Passed AC2",NA,"spreadsheet_4","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","3",27998.7,28895.6,28901.6,27998.7,28895.6,28901.6,1,27998.7,902.900000000001,0,NA,"Rating Scale","Rating Scale",17,"object-80","BIQ",NA,"SUPSCO24387"
"6",1714567151755,"01/05/2024 12:39:11",1714570751755,1,"01/05/2024 14:39:11",177048,7,"task-vy7n",NA,37380449,11023113,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 124.0.0.0","1920x1080","1920x991",NA,NA,0,"BIQ-A",3,"ABHCGDFE","Passed AC2",NA,"spreadsheet_4","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"continue","",20779.0000000002,20774.7,20779.0000000002,20779.0000000002,20774.7,20779.0000000002,1,20779.0000000002,0,0,NA,"Click To Continue","Continue Button",22,"object-50","BIQ",NA,"SUPSCO24387"
"7",1714567151756,"01/05/2024 12:39:11",1714570751756,1,"01/05/2024 14:39:11",177048,7,"task-vy7n",NA,37380449,11023113,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 124.0.0.0","1920x1080","1920x991",NA,NA,0,"BIQ-A",3,"ABHCGDFE","Passed AC2",NA,"spreadsheet_4","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","8",4672.5,20774.7,20780.2000000004,4672.5,20774.7,20780.2000000004,1,4672.5,16107.7000000004,0,NA,"Rating Scale","Rating Scale",2,"object-259","BIQ",NA,"SUPSCO24387"
"8",1714567151756,"01/05/2024 12:39:11",1714570751756,1,"01/05/2024 14:39:11",177048,7,"task-vy7n",NA,37380449,11023113,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 124.0.0.0","1920x1080","1920x991",NA,NA,0,"BIQ-A",3,"ABHCGDFE","Passed AC2",NA,"spreadsheet_4","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","5",8169.3,20774.7,20780.4000000001,8169.3,20774.7,20780.4000000001,1,8169.3,12611.1000000001,0,NA,"Rating Scale","Rating Scale",9,"object-36","BIQ",NA,"SUPSCO24387"
"9",1714567151757,"01/05/2024 12:39:11",1714570751757,1,"01/05/2024 14:39:11",177048,7,"task-vy7n",NA,37380449,11023113,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 124.0.0.0","1920x1080","1920x991",NA,NA,0,"BIQ-A",3,"ABHCGDFE","Passed AC2",NA,"spreadsheet_4","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","3",19599,20774.7,20780.5000000002,19599,20774.7,20780.5000000002,1,19599,1181.50000000019,0,NA,"Rating Scale","Rating Scale",16,"object-86","BIQ",NA,"SUPSCO24387"
"10",1714567164516,"01/05/2024 12:39:24",1714570764516,1,"01/05/2024 14:39:24",177048,7,"task-vy7n",NA,37380449,11023113,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 124.0.0.0","1920x1080","1920x991",NA,NA,0,"BIQ-A",3,"ABHCGDFE","Passed AC2",NA,"spreadsheet_4","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"continue","",12765.4000000003,12763,12765.4000000003,12765.4000000003,12763,12765.4000000003,1,12765.4000000003,0,0,NA,"Click To Continue","Continue Button",22,"object-73","BIQ",NA,"SUPSCO24387"
