"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","counterbalance.vu6m","Consent.Form.object.2.I.have.read.and.understood.the.information.sheet.and.hereby.give.my.consent.to.take.part.in.this.experiment.in.full.knowledge.that.data.is.being.recorded...I.Agree.","Consent.Form.object.2.I.have.read.the.information.above.and.understand.I.can.email.the.researchers.with.any.questions...I.Agree.","Consent.Form.object.2.I.consent.to.the.collection.of.the.following.types.of.research.data..Mental.health.questionnaires.and.performance.on.computerised.tasks..video.and.audio.recordings...I.Agree.","Consent.Form.object.2.I.understand.that.no.identifiable.personal.information.will.be.collected.and.that.my.data.will.be.stored.securely.and.anonymously...I.Agree.","Consent.Form.object.2.I.understand.that.participation.is.completely.voluntary.and.that.I.can.withdraw.at.any.point.without.giving.any.reason.and.without.any.penalty..simply.by.closing.my.browser...I.Agree.","Consent.Form.object.2.I.understand.that.confidentiality.will.be.strictly.adhered.to.and.it.will.not.be.possible.to.identify.me.in.any.publications.or.presentations...I.Agree.","Consent.Form.object.2.I.understand.the.benefits.of.participating.as.stated.in.the.Information.Sheet..including.the.receipt.of.financial.compensation...I.Agree.","Consent.Form.object.2.I.understand.that.only.fully.anonymised.research.data.from.the.study.will.be.presented..published.or.archived.in.an.open.access.repository..which.might.be.used.for.future.analysis.by.other.researchers.not.connected.with.UCL...I.Agree.","Consent.Form.object.2.I.hereby.confirm.that....a..I.understand.the.inclusion.criteria.as.detailed.in.the.Study.Description..b..I.meet.these.criteria..and.do.not.meet.any.of.the.exclusion.criteria..c..I.do.not.have.current.or.past.experiences.of.psychosis.or.neurological.conditions....I.Agree.","Consent.Form.object.2.I.confirm.that.I.have.a.good.internet.connection...I.Agree.","Consent.Form.object.2.I.consent.to.take.part.in.the.study...I.Agree.","Random_ID"
"1",1708970761633,"26/02/2024 18:06:01",1708970761633,0,"26/02/2024 18:06:01",167771,4,"questionnaire-s6dh",NA,35522110,10494310,NA,"complete",NA,"65dcd2fef102ce9273e60afb","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x864","1536x730",NA,NA,0,"Consent (Clone)",7,"ABJCIDHEGF","Passed AC2","","Chocking_second","1","1","1","1","1","1","1","1","1","1","1","SUPPRF94580"
"1",1708970841131,"26/02/2024 18:07:21",1708970841131,0,"26/02/2024 18:07:21",167771,4,"questionnaire-s6dh",NA,35522178,10494334,NA,"complete",NA,"65dcd343038df1ca26649274","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1536x864","1536x730",NA,NA,0,"Consent (Clone)",7,"BCADJEIFHG","Passed AC2","","Chocking_first","1","1","1","1","1","1","1","1","1","1","1","SUPPRF91296"
"1",1708970763933,"26/02/2024 18:06:03",1708970763933,0,"26/02/2024 18:06:03",167771,4,"questionnaire-s6dh",NA,35522289,10494361,NA,"complete",NA,"65dcd3eed5e1a6a3349a3356","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1366x768","1366x641",NA,NA,0,"Consent (Clone)",7,"CDBEAFJGIH","Passed AC2","","Chocking_second","1","1","1","1","1","1","1","1","1","1","1","SUPPRF77316"
"1",1708971344527,"26/02/2024 18:15:44",1708953344527,-5,"26/02/2024 08:15:44",167771,4,"questionnaire-s6dh",NA,35522529,10494421,NA,"complete",NA,"65dcce30f40fd5cad9b7b120","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1440x673",NA,NA,0,"Consent (Clone)",7,"DECFBGAHJI","Passed AC2","","Chocking_first","1","1","1","1","1","1","1","1","1","1","1","SUPPRF56143"
"1",1708974808047,"26/02/2024 19:13:28",1708956808047,-5,"26/02/2024 09:13:28",167771,4,"questionnaire-s6dh",NA,35524315,10494908,NA,"complete",NA,"65dce2bedf550398cbe21df9","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 120.0.0.0","1440x900","1058x722",NA,NA,0,"Consent (Clone)",7,"EFDGCHBIAJ","Passed AC2","","Chocking_first","1","1","1","1","1","1","1","1","1","1","1","SUPPRF59156"
"1",1708976360393,"26/02/2024 19:39:20",1708947560393,-8,"26/02/2024 03:39:20",167771,4,"questionnaire-s6dh",NA,35525168,10495197,NA,"complete",NA,"65dce8d9cab7e37ca604a9ef","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1426x692",NA,NA,0,"Consent (Clone)",7,"GHFIEJDACB","Passed AC2","","Chocking_second","1","1","1","1","1","1","1","1","1","1","1","SUPPRF87285"
"1",1708977076691,"26/02/2024 19:51:16",1708977076691,0,"26/02/2024 19:51:16",167771,4,"questionnaire-s6dh",NA,35525586,10495308,NA,"complete",NA,"65dceba002a94d3dfdc24511","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x710",NA,NA,0,"Consent (Clone)",7,"HIGJFAEBDC","Passed AC2","","Chocking_second","1","1","1","1","1","1","1","1","1","1","1","SUPPRF00201"
"1",1708977182405,"26/02/2024 19:53:02",1708959182405,-5,"26/02/2024 09:53:02",167771,4,"questionnaire-s6dh",NA,35525625,10495316,NA,"complete",NA,"65dcec09d5e1a6a3349a3837","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1280x800","1243x690",NA,NA,0,"Consent (Clone)",7,"IJHAGBFCED","Passed AC2","","Chocking_second","1","1","1","1","1","1","1","1","1","1","1","SUPPRF64585"
"1",1708977674057,"26/02/2024 20:01:14",1708959674057,-5,"26/02/2024 10:01:14",167771,4,"questionnaire-s6dh",NA,35525816,10495365,NA,"complete",NA,"65dced46926eb51a950e86da","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1504x1003","1036x840",NA,NA,0,"Consent (Clone)",7,"JAIBHCGDFE","Passed AC2","","Chocking_first","1","1","1","1","1","1","1","1","1","1","1","SUPPRF09191"
"1",1708977797073,"26/02/2024 20:03:17",1708977797073,0,"26/02/2024 20:03:17",167771,4,"questionnaire-s6dh",NA,35525850,10495375,NA,"complete",NA,"65dce39a39457860b3e43fc8","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1710x1107","1710x948",NA,NA,0,"Consent (Clone)",7,"ABJCIDHEGF","Passed AC2","","Chocking_first","1","1","1","1","1","1","1","1","1","1","1","SUPPRF01454"
