"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","counterbalance.vu6m","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day.Quantised","Random_ID"
"1",1708981732699,"26/02/2024 21:08:52",1708981732699,0,"26/02/2024 21:08:52",167771,4,"questionnaire-wop8",NA,35528131,10495919,NA,"complete",NA,"65dcfb58aef7f9381901d3c3","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1280x960","1280x791",NA,NA,0,"Attention Check 2 (Clone)",1,"EFDGCHBIAJ","Passed AC2","","Chocking_first","1-0","1","SUPPRF99214"
"1",1708983822424,"26/02/2024 21:43:42",1708962222424,-6,"26/02/2024 09:43:42",167771,4,"questionnaire-wop8",NA,35529250,10496251,NA,"complete",NA,"65dd02562d7bf320aeba16bb","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1920x1080","1920x945",NA,NA,0,"Attention Check 2 (Clone)",1,"GHFIEJDACB","Passed AC2","","Chocking_second","1-0","1","SUPPRF17025"
"1",1708984137199,"26/02/2024 21:48:57",1708955337199,-8,"26/02/2024 05:48:57",167771,4,"questionnaire-wop8",NA,35529416,10496308,NA,"complete",NA,"65dd051932ebb761548f9e6d","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1280x800","1280x665",NA,NA,0,"Attention Check 2 (Clone)",1,"HIGJFAEBDC","Passed AC2","","Chocking_second","1-0","1","SUPPRF43564"
"1",1708984934509,"26/02/2024 22:02:14",1708984934509,0,"26/02/2024 22:02:14",167771,4,"questionnaire-wop8",NA,35529931,10496373,NA,"complete",NA,"65dd072b8ea0c743b5880b74","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1536x864","1229x594",NA,NA,0,"Attention Check 2 (Clone)",1,"IJHAGBFCED","Passed AC2","","Chocking_first","1-0","1","SUPPRF73359"
"1",1708985426434,"26/02/2024 22:10:26",1708956626434,-8,"26/02/2024 06:10:26",167771,4,"questionnaire-wop8",NA,35530309,10496414,NA,"complete",NA,"65dd0866bc7a541c53287a37","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 120.0.0.0","1440x900","1440x779",NA,NA,0,"Attention Check 2 (Clone)",1,"JAIBHCGDFE","Failed AC2","Passed AC1","Chocking_second","0-2","3","SUPPRF00089"
"1",1708986495847,"26/02/2024 22:28:15",1708986495847,0,"26/02/2024 22:28:15",167771,4,"questionnaire-wop8",NA,35530965,10496638,NA,"complete",NA,"65dd0b41d48b7c8e7ab8d617","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x864","1536x703",NA,NA,0,"Attention Check 2 (Clone)",1,"ABJCIDHEGF","Passed AC2","","Chocking_first","1-0","1","SUPPRF47490"
"1",1708987837968,"26/02/2024 22:50:37",1708987837968,0,"26/02/2024 22:50:37",167771,4,"questionnaire-wop8",NA,35531690,10497107,NA,"complete",NA,"65dd128f14235118bfba143b","computer","Desktop or Laptop","Mac OS 10.12.5","Chrome 103.0.0.0","1440x900","1440x733",NA,NA,0,"Attention Check 2 (Clone)",1,"BCADJEIFHG","Passed AC2","","Chocking_second","1-0","1","SUPPRF92592"
"1",1708988550067,"26/02/2024 23:02:30",1708970550067,-5,"26/02/2024 13:02:30",167771,4,"questionnaire-wop8",NA,35532018,10497206,NA,"complete",NA,"65dd15a4b19c2e0e7e317336","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1440x756",NA,NA,0,"Attention Check 2 (Clone)",1,"CDBEAFJGIH","Passed AC2","","Chocking_first","1-0","1","SUPPRF58118"
"1",1708990183545,"26/02/2024 23:29:43",1708968583545,-6,"26/02/2024 11:29:43",167771,4,"questionnaire-wop8",NA,35532610,10497399,NA,"complete",NA,"65dd1ca0f449c4ea1954aa2e","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x864","1536x730",NA,NA,0,"Attention Check 2 (Clone)",1,"EFDGCHBIAJ","Passed AC2","","Chocking_first","1-0","1","SUPPRF18750"
"1",1708990272383,"26/02/2024 23:31:12",1708961472383,-8,"26/02/2024 07:31:12",167771,4,"questionnaire-wop8",NA,35532677,10497384,NA,"complete",NA,"65dd1bfd63f7579fba93854f","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1280x720","1280x598",NA,NA,0,"Attention Check 2 (Clone)",1,"DECFBGAHJI","Passed AC2","","Chocking_second","1-0","1","SUPPRF08836"
"1",1708991487132,"26/02/2024 23:51:27",1708969887132,-6,"26/02/2024 11:51:27",167771,4,"questionnaire-wop8",NA,35533295,10497564,NA,"complete",NA,"65dd20e33fc2d138bc97fc5b","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1440x657",NA,NA,0,"Attention Check 2 (Clone)",1,"GHFIEJDACB","Passed AC2","","Chocking_first","1-0","1","SUPPRF28471"
"1",1708991530084,"26/02/2024 23:52:10",1708973530084,-5,"26/02/2024 13:52:10",167771,4,"questionnaire-wop8",NA,35533318,10497582,NA,"complete",NA,"65dd211d9bf636d07f0a3a6e","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x813",NA,NA,0,"Attention Check 2 (Clone)",1,"FGEHDICJBA","Passed AC2","","Chocking_second","1-0","1","SUPPRF54273"
"1",1708991535447,"26/02/2024 23:52:15",1708966335447,-7,"26/02/2024 09:52:15",167771,4,"questionnaire-wop8",NA,35533321,10497599,NA,"complete",NA,"65dd2215187f1e33aa011703","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1457x685",NA,NA,0,"Attention Check 2 (Clone)",1,"HIGJFAEBDC","Passed AC2","","Chocking_second","1-0","1","SUPPRF35623"
