"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","counterbalance.vu6m","Multiple.Choice.Grid.object.2.Easily.annoyed.by.others","Multiple.Choice.Grid.object.2.Easily.annoyed.by.others.Quantised","Multiple.Choice.Grid.object.2.Often.lose.temper","Multiple.Choice.Grid.object.2.Often.lose.temper.Quantised","Multiple.Choice.Grid.object.2.Stay.angry.for.a.long.time","Multiple.Choice.Grid.object.2.Stay.angry.for.a.long.time.Quantised","Multiple.Choice.Grid.object.2.Angry.most.of.the.time","Multiple.Choice.Grid.object.2.Angry.most.of.the.time.Quantised","Multiple.Choice.Grid.object.2.Get.angry.frequently","Multiple.Choice.Grid.object.2.Get.angry.frequently.Quantised","Multiple.Choice.Grid.object.2.Lose.temper.easily","Multiple.Choice.Grid.object.2.Lose.temper.easily.Quantised","Multiple.Choice.Grid.object.2.Overall..irritability.causes.me.problems","Multiple.Choice.Grid.object.2.Overall..irritability.causes.me.problems.Quantised","Random_ID"
"1",1708971177232,"26/02/2024 18:12:57",1708971177232,0,"26/02/2024 18:12:57",167771,4,"questionnaire-97cc",NA,35522411,10494310,NA,"complete",NA,"65dcd2fef102ce9273e60afb","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x864","1536x730",NA,NA,0,"ARI",2,"ABJCIDHEGF","Passed AC2","","Chocking_second","Somewhat true","2","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","SUPPRF94580"
"1",1708971357176,"26/02/2024 18:15:57",1708971357176,0,"26/02/2024 18:15:57",167771,4,"questionnaire-97cc",NA,35522535,10494334,NA,"complete",NA,"65dcd343038df1ca26649274","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1536x864","1536x730",NA,NA,0,"ARI",2,"BCADJEIFHG","Passed AC2","","Chocking_first","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","SUPPRF91296"
"1",1708971274500,"26/02/2024 18:14:34",1708971274500,0,"26/02/2024 18:14:34",167771,4,"questionnaire-97cc",NA,35522644,10494361,NA,"complete",NA,"65dcd3eed5e1a6a3349a3356","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1366x768","1366x641",NA,NA,0,"ARI",2,"CDBEAFJGIH","Passed AC2","","Chocking_second","Certainly true","3","Certainly true","3","Certainly true","3","Certainly true","3","Certainly true","3","Certainly true","3","Certainly true","3","SUPPRF77316"
"1",1708972337210,"26/02/2024 18:32:17",1708954337210,-5,"26/02/2024 08:32:17",167771,4,"questionnaire-97cc",NA,35523094,10494421,NA,"complete",NA,"65dcce30f40fd5cad9b7b120","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1440x673",NA,NA,0,"ARI",2,"DECFBGAHJI","Passed AC2","","Chocking_first","Somewhat true","2","Certainly true","3","Certainly true","3","Certainly true","3","Certainly true","3","Certainly true","3","Certainly true","3","SUPPRF56143"
"1",1708975508575,"26/02/2024 19:25:08",1708957508575,-5,"26/02/2024 09:25:08",167771,4,"questionnaire-97cc",NA,35524737,10494908,NA,"complete",NA,"65dce2bedf550398cbe21df9","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 120.0.0.0","1440x900","1058x722",NA,NA,0,"ARI",2,"EFDGCHBIAJ","Passed AC2","","Chocking_first","Somewhat true","2","Not true","1","Somewhat true","2","Not true","1","Somewhat true","2","Not true","1","Somewhat true","2","SUPPRF59156"
"1",1708976525911,"26/02/2024 19:42:05",1708947725911,-8,"26/02/2024 03:42:05",167771,4,"questionnaire-97cc",NA,35525236,10495197,NA,"complete",NA,"65dce8d9cab7e37ca604a9ef","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1426x692",NA,NA,0,"ARI",2,"GHFIEJDACB","Passed AC2","","Chocking_second","Somewhat true","2","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","SUPPRF87285"
"1",1708977146216,"26/02/2024 19:52:26",1708977146216,0,"26/02/2024 19:52:26",167771,4,"questionnaire-97cc",NA,35525620,10495308,NA,"complete",NA,"65dceba002a94d3dfdc24511","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x813",NA,NA,0,"ARI",2,"HIGJFAEBDC","Passed AC2","","Chocking_second","Somewhat true","2","Somewhat true","2","Not true","1","Not true","1","Not true","1","Somewhat true","2","Not true","1","SUPPRF00201"
"1",1708977375774,"26/02/2024 19:56:15",1708959375774,-5,"26/02/2024 09:56:15",167771,4,"questionnaire-97cc",NA,35525705,10495316,NA,"complete",NA,"65dcec09d5e1a6a3349a3837","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1280x800","1243x690",NA,NA,0,"ARI",2,"IJHAGBFCED","Passed AC2","","Chocking_second","Somewhat true","2","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","SUPPRF64585"
"1",1708977894541,"26/02/2024 20:04:54",1708959894541,-5,"26/02/2024 10:04:54",167771,4,"questionnaire-97cc",NA,35525943,10495365,NA,"complete",NA,"65dced46926eb51a950e86da","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1504x1003","1504x868",NA,NA,0,"ARI",2,"JAIBHCGDFE","Passed AC2","","Chocking_first","Somewhat true","2","Certainly true","3","Somewhat true","2","Somewhat true","2","Somewhat true","2","Somewhat true","2","Certainly true","3","SUPPRF09191"
"1",1708978147101,"26/02/2024 20:09:07",1708978147101,0,"26/02/2024 20:09:07",167771,4,"questionnaire-97cc",NA,35526053,10495375,NA,"complete",NA,"65dce39a39457860b3e43fc8","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1710x1107","1710x948",NA,NA,0,"ARI",2,"ABJCIDHEGF","Passed AC2","","Chocking_first","Somewhat true","2","Somewhat true","2","Somewhat true","2","Not true","1","Not true","1","Not true","1","Somewhat true","2","SUPPRF01454"
