"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","counterbalance.qny1","Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID_new"
"8",1718715242279,"18/06/2024 12:54:02",1718718842279,1,"18/06/2024 14:54:02",177048,9,"task-xk4o",NA,38353718,11273152,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","1366x768","1242x583",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"BCADHEGF","Passed AC2",NA,"spreadsheet_2","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 11","oyulb7",7,"continue","",2723.5,2701.3,2723.5,2723.5,2701.3,2723.5,1,2723.5,0,0,NA,"Click To Continue","Continue Button",2,"object-52","Task Instructions",NA,"SUPSCO18638"
"9",1718715245718,"18/06/2024 12:54:05",1718718845718,1,"18/06/2024 14:54:05",177048,9,"task-xk4o",NA,38353718,11273152,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","1366x768","1242x583",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"BCADHEGF","Passed AC2",NA,"spreadsheet_2","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 5","8nvnao",8,"continue","",3461.2,3453.6,3461.2,3461.2,3453.6,3461.2,1,3461.2,0,0,NA,"Click To Continue","Continue Button",2,"object-44","Task Instructions",NA,"SUPSCO18638"
"10",1718715245722,"18/06/2024 12:54:05",1718718845722,1,"18/06/2024 14:54:05",177048,9,"task-xk4o",NA,38353718,11273152,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","1366x768","1242x583",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"BCADHEGF","Passed AC2",NA,"spreadsheet_2","Spreadsheet1","Spreadsheet1",NA,"","","",NA,"info","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPSCO18638"
"1",1718725566912,"18/06/2024 15:46:06",1718729166912,1,"18/06/2024 17:46:06",177048,9,"task-xk4o",NA,38358529,11274425,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","1280x720","1280x585",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"CDBEAFHG","Passed AC2",NA,"spreadsheet_4","Spreadsheet1","Spreadsheet1",NA,"","","",NA,"info","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPSCO61449"
"2",1718725571505,"18/06/2024 15:46:11",1718729171505,1,"18/06/2024 17:46:11",177048,9,"task-xk4o",NA,38358529,11274425,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","1280x720","1280x585",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"CDBEAFHG","Passed AC2",NA,"spreadsheet_4","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 1","anr7sn",1,"continue","",4506.70000019073,4499.9,4506.70000019073,4506.70000019073,4499.9,4506.70000019073,1,4506.70000019073,0,0,NA,"Click To Continue","Continue Button",3,"object-60","Task Instructions",NA,"SUPSCO61449"
"3",1718725575031,"18/06/2024 15:46:15",1718729175031,1,"18/06/2024 17:46:15",177048,9,"task-xk4o",NA,38358529,11274425,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","1280x720","1280x585",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"CDBEAFHG","Passed AC2",NA,"spreadsheet_4","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 4","spepx9",2,"continue","",3532.10000014305,3516.3,3532.10000014305,3532.10000014305,3516.3,3532.10000014305,1,3532.10000014305,0,0,NA,"Click To Continue","Continue Button",2,"object-9","Task Instructions",NA,"SUPSCO61449"
"4",1718725587989,"18/06/2024 15:46:27",1718729187989,1,"18/06/2024 17:46:27",177048,9,"task-xk4o",NA,38358529,11274425,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","1280x720","1280x585",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"CDBEAFHG","Passed AC2",NA,"spreadsheet_4","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 2","ce2tc8",3,"continue","",12973.8000001431,12966.1,12973.8000001431,12973.8000001431,12966.1,12973.8000001431,1,12973.8000001431,0,0,NA,"Click To Continue","Continue Button",3,"object-59","Task Instructions",NA,"SUPSCO61449"
"5",1718725595923,"18/06/2024 15:46:35",1718729195923,1,"18/06/2024 17:46:35",177048,9,"task-xk4o",NA,38358529,11274425,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","1280x720","1280x585",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"CDBEAFHG","Passed AC2",NA,"spreadsheet_4","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 3","1qtc8v",4,"continue","",7942.1,7932.7,7942.1,7942.1,7932.7,7942.1,1,7942.1,0,0,NA,"Click To Continue","Continue Button",2,"object-2983","Task Instructions",NA,"SUPSCO61449"
"6",1718725604317,"18/06/2024 15:46:44",1718729204317,1,"18/06/2024 17:46:44",177048,9,"task-xk4o",NA,38358529,11274425,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","1280x720","1280x585",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"CDBEAFHG","Passed AC2",NA,"spreadsheet_4","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 12","1a4vu2",5,"continue","",8403.4,8399.3,8403.4,8403.4,8399.3,8403.4,1,8403.4,0,0,NA,"Click To Continue","Continue Button",2,"object-2466","Task Instructions",NA,"SUPSCO61449"
"7",1718725609775,"18/06/2024 15:46:49",1718729209775,1,"18/06/2024 17:46:49",177048,9,"task-xk4o",NA,38358529,11274425,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","1280x720","1280x585",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"CDBEAFHG","Passed AC2",NA,"spreadsheet_4","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 13","q9vwda",6,"continue","",5462.1,5450,5462.1,5462.1,5450,5462.1,1,5462.1,0,0,NA,"Click To Continue","Continue Button",2,"object-2989","Task Instructions",NA,"SUPSCO61449"
"8",1718725613676,"18/06/2024 15:46:53",1718729213676,1,"18/06/2024 17:46:53",177048,9,"task-xk4o",NA,38358529,11274425,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","1280x720","1280x585",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"CDBEAFHG","Passed AC2",NA,"spreadsheet_4","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 11","oyulb7",7,"continue","",3913.6,3899.6,3913.6,3913.6,3899.6,3913.6,1,3913.6,0,0,NA,"Click To Continue","Continue Button",2,"object-52","Task Instructions",NA,"SUPSCO61449"
"9",1718725616626,"18/06/2024 15:46:56",1718729216626,1,"18/06/2024 17:46:56",177048,9,"task-xk4o",NA,38358529,11274425,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","1280x720","1280x585",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"CDBEAFHG","Passed AC2",NA,"spreadsheet_4","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 5","8nvnao",8,"continue","",2963.90000009537,2949.9,2963.90000009537,2963.90000009537,2949.9,2963.90000009537,1,2963.90000009537,0,0,NA,"Click To Continue","Continue Button",2,"object-44","Task Instructions",NA,"SUPSCO61449"
