"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","counterbalance.qny1","Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID_new"
"11",1719231019234,"24/06/2024 12:10:19",1719234619234,1,"24/06/2024 14:10:19",177048,9,"task-vy7n",NA,38456619,11304199,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1280x720","1280x720",NA,NA,0,"BIQ-A",3,"EFDGCHBA","Passed AC2","","spreadsheet_3","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","1",6016.70000000001,12367,12382.4000000008,6016.70000000001,12367,12382.4000000008,1,6016.70000000001,6365.70000000074,0,NA,"Rating Scale","Rating Scale",2,"object-53","BIQ",NA,"SUPSCO79155"
"12",1719231019235,"24/06/2024 12:10:19",1719234619235,1,"24/06/2024 14:10:19",177048,9,"task-vy7n",NA,38456619,11304199,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1280x720","1280x720",NA,NA,0,"BIQ-A",3,"EFDGCHBA","Passed AC2","","spreadsheet_3","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","2",8783.5,12367,12382.9000000008,8783.5,12367,12382.9000000008,1,8783.5,3599.40000000075,0,NA,"Rating Scale","Rating Scale",9,"object-60","BIQ",NA,"SUPSCO79155"
"13",1719231019236,"24/06/2024 12:10:19",1719234619236,1,"24/06/2024 14:10:19",177048,9,"task-vy7n",NA,38456619,11304199,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1280x720","1280x720",NA,NA,0,"BIQ-A",3,"EFDGCHBA","Passed AC2","","spreadsheet_3","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","4",11416.9,12367,12383.5000000004,11416.9,12367,12383.5000000004,1,11416.9,966.60000000037,0,NA,"Rating Scale","Rating Scale",16,"object-67","BIQ",NA,"SUPSCO79155"
"14",1719231019240,"24/06/2024 12:10:19",1719234619240,1,"24/06/2024 14:10:19",177048,9,"task-vy7n",NA,38456619,11304199,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1280x720","1280x720",NA,NA,0,"BIQ-A",3,"EFDGCHBA","Passed AC2","","spreadsheet_3","Spreadsheet1","Spreadsheet1",NA,"","","",NA,"info","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPSCO79155"
"1",1719416291972,"26/06/2024 15:38:11",1719419891972,1,"26/06/2024 17:38:11",177048,9,"task-vy7n",NA,38523528,11319143,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","2560x1440","2560x1271",NA,NA,0,"BIQ-A",3,"CDBEAFHG","Passed AC2","","spreadsheet_4","Spreadsheet1","Spreadsheet1",NA,"","","",NA,"info","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPSCO81666"
"2",1719416322127,"26/06/2024 15:38:42",1719419922127,1,"26/06/2024 17:38:42",177048,9,"task-vy7n",NA,38523528,11319143,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","2560x1440","2560x1271",NA,NA,0,"BIQ-A",3,"CDBEAFHG","Passed AC2","","spreadsheet_4","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"continue","",30165.6999999523,30158.2,30165.6999999523,30165.6999999523,30158.2,30165.6999999523,1,30165.6999999523,0,0,NA,"Click To Continue","Continue Button",23,"object-48","BIQ",NA,"SUPSCO81666"
"3",1719416322128,"26/06/2024 15:38:42",1719419922128,1,"26/06/2024 17:38:42",177048,9,"task-vy7n",NA,38523528,11319143,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","2560x1440","2560x1271",NA,NA,0,"BIQ-A",3,"CDBEAFHG","Passed AC2","","spreadsheet_4","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","1",11459.5,30158.2,30168.7999999762,11459.5,30158.2,30168.7999999762,1,11459.5,18709.2999999762,0,NA,"Rating Scale","Rating Scale",3,"object-5","BIQ",NA,"SUPSCO81666"
"4",1719416322128,"26/06/2024 15:38:42",1719419922128,1,"26/06/2024 17:38:42",177048,9,"task-vy7n",NA,38523528,11319143,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","2560x1440","2560x1271",NA,NA,0,"BIQ-A",3,"CDBEAFHG","Passed AC2","","spreadsheet_4","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","6",24003.2,30158.2,30168.9999999046,24003.2,30158.2,30168.9999999046,1,24003.2,6165.79999990463,0,NA,"Rating Scale","Rating Scale",10,"object-18","BIQ",NA,"SUPSCO81666"
"5",1719416322128,"26/06/2024 15:38:42",1719419922128,1,"26/06/2024 17:38:42",177048,9,"task-vy7n",NA,38523528,11319143,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","2560x1440","2560x1271",NA,NA,0,"BIQ-A",3,"CDBEAFHG","Passed AC2","","spreadsheet_4","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","6",28556.9,30158.2,30168.9999999046,28556.9,30158.2,30168.9999999046,1,28556.9,1612.09999990463,0,NA,"Rating Scale","Rating Scale",17,"object-80","BIQ",NA,"SUPSCO81666"
"6",1719416340860,"26/06/2024 15:39:00",1719419940860,1,"26/06/2024 17:39:00",177048,9,"task-vy7n",NA,38523528,11319143,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","2560x1440","2560x1271",NA,NA,0,"BIQ-A",3,"CDBEAFHG","Passed AC2","","spreadsheet_4","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"continue","",18742.5999999762,18732.2,18742.5999999762,18742.5999999762,18732.2,18742.5999999762,1,18742.5999999762,0,0,NA,"Click To Continue","Continue Button",22,"object-50","BIQ",NA,"SUPSCO81666"
