"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","counterbalance.qny1","Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID_new"
"2",1732120209977,"20/11/2024 16:30:09",1732120209977,0,"20/11/2024 16:30:09",177048,9,"task-vy7n",NA,41493826,12111313,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 131.0.0.0","1280x720","1280x585",NA,NA,0,"BIQ-A",3,"GHFAEBDC","Passed AC2","","spreadsheet_5","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"continue","",63823.952,63813.052,63823.952,63823.952,63813.052,63823.952,1,63823.952,0,0,NA,"Click To Continue","Continue Button",23,"object-48","BIQ",NA,"SUPSCO80310"
"3",1732120209980,"20/11/2024 16:30:09",1732120209980,0,"20/11/2024 16:30:09",177048,9,"task-vy7n",NA,41493826,12111313,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 131.0.0.0","1280x720","1280x585",NA,NA,0,"BIQ-A",3,"GHFAEBDC","Passed AC2","","spreadsheet_5","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","2",25611.252,63813.052,63827.652,25611.252,63813.052,63827.652,1,25611.252,38216.4,0,NA,"Rating Scale","Rating Scale",3,"object-5","BIQ",NA,"SUPSCO80310"
"4",1732120209980,"20/11/2024 16:30:09",1732120209980,0,"20/11/2024 16:30:09",177048,9,"task-vy7n",NA,41493826,12111313,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 131.0.0.0","1280x720","1280x585",NA,NA,0,"BIQ-A",3,"GHFAEBDC","Passed AC2","","spreadsheet_5","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","4",37967.552,63813.052,63828.0520000001,37967.552,63813.052,63828.0520000001,1,37967.552,25860.5000000001,0,NA,"Rating Scale","Rating Scale",10,"object-18","BIQ",NA,"SUPSCO80310"
"5",1732120209981,"20/11/2024 16:30:09",1732120209981,0,"20/11/2024 16:30:09",177048,9,"task-vy7n",NA,41493826,12111313,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 131.0.0.0","1280x720","1280x585",NA,NA,0,"BIQ-A",3,"GHFAEBDC","Passed AC2","","spreadsheet_5","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","3",59949.552,63813.052,63828.3520000002,59949.552,63813.052,63828.3520000002,1,59949.552,3878.80000000018,0,NA,"Rating Scale","Rating Scale",17,"object-80","BIQ",NA,"SUPSCO80310"
"6",1732120271933,"20/11/2024 16:31:11",1732120271933,0,"20/11/2024 16:31:11",177048,9,"task-vy7n",NA,41493826,12111313,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 131.0.0.0","1280x720","1280x585",NA,NA,0,"BIQ-A",3,"GHFAEBDC","Passed AC2","","spreadsheet_5","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"continue","",61966,61949.2,61966,61966,61949.2,61966,1,61966,0,0,NA,"Click To Continue","Continue Button",22,"object-50","BIQ",NA,"SUPSCO80310"
"7",1732120271936,"20/11/2024 16:31:11",1732120271936,0,"20/11/2024 16:31:11",177048,9,"task-vy7n",NA,41493826,12111313,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 131.0.0.0","1280x720","1280x585",NA,NA,0,"BIQ-A",3,"GHFAEBDC","Passed AC2","","spreadsheet_5","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","6",23347.3,61949.2,61966,23347.3,61949.2,61966,1,23347.3,38618.7,0,NA,"Rating Scale","Rating Scale",2,"object-259","BIQ",NA,"SUPSCO80310"
"8",1732120271936,"20/11/2024 16:31:11",1732120271936,0,"20/11/2024 16:31:11",177048,9,"task-vy7n",NA,41493826,12111313,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 131.0.0.0","1280x720","1280x585",NA,NA,0,"BIQ-A",3,"GHFAEBDC","Passed AC2","","spreadsheet_5","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","4",35287.6,61949.2,61966,35287.6,61949.2,61966,1,35287.6,26678.4,0,NA,"Rating Scale","Rating Scale",9,"object-36","BIQ",NA,"SUPSCO80310"
"9",1732120271937,"20/11/2024 16:31:11",1732120271937,0,"20/11/2024 16:31:11",177048,9,"task-vy7n",NA,41493826,12111313,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 131.0.0.0","1280x720","1280x585",NA,NA,0,"BIQ-A",3,"GHFAEBDC","Passed AC2","","spreadsheet_5","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","3",56170.6,61949.2,61966,56170.6,61949.2,61966,1,56170.6,5795.40000000001,0,NA,"Rating Scale","Rating Scale",16,"object-86","BIQ",NA,"SUPSCO80310"
"10",1732120315092,"20/11/2024 16:31:55",1732120315092,0,"20/11/2024 16:31:55",177048,9,"task-vy7n",NA,41493826,12111313,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 131.0.0.0","1280x720","1280x585",NA,NA,0,"BIQ-A",3,"GHFAEBDC","Passed AC2","","spreadsheet_5","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"continue","",43176.7,43164.4,43176.7,43176.7,43164.4,43176.7,1,43176.7,0,0,NA,"Click To Continue","Continue Button",22,"object-73","BIQ",NA,"SUPSCO80310"
"11",1732120315095,"20/11/2024 16:31:55",1732120315095,0,"20/11/2024 16:31:55",177048,9,"task-vy7n",NA,41493826,12111313,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 131.0.0.0","1280x720","1280x585",NA,NA,0,"BIQ-A",3,"GHFAEBDC","Passed AC2","","spreadsheet_5","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","2",21149.3,43164.4,43180.6000000002,21149.3,43164.4,43180.6000000002,1,21149.3,22031.3000000002,0,NA,"Rating Scale","Rating Scale",2,"object-53","BIQ",NA,"SUPSCO80310"
"12",1732120315096,"20/11/2024 16:31:55",1732120315096,0,"20/11/2024 16:31:55",177048,9,"task-vy7n",NA,41493826,12111313,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 131.0.0.0","1280x720","1280x585",NA,NA,0,"BIQ-A",3,"GHFAEBDC","Passed AC2","","spreadsheet_5","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","2",27110.8,43164.4,43180.9,27110.8,43164.4,43180.9,1,27110.8,16070.1,0,NA,"Rating Scale","Rating Scale",9,"object-60","BIQ",NA,"SUPSCO80310"
"13",1732120315096,"20/11/2024 16:31:55",1732120315096,0,"20/11/2024 16:31:55",177048,9,"task-vy7n",NA,41493826,12111313,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 131.0.0.0","1280x720","1280x585",NA,NA,0,"BIQ-A",3,"GHFAEBDC","Passed AC2","","spreadsheet_5","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","3",41832.2,43164.4,43180.9,41832.2,43164.4,43180.9,1,41832.2,1348.70000000001,0,NA,"Rating Scale","Rating Scale",16,"object-67","BIQ",NA,"SUPSCO80310"
"14",1732120315097,"20/11/2024 16:31:55",1732120315097,0,"20/11/2024 16:31:55",177048,9,"task-vy7n",NA,41493826,12111313,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 131.0.0.0","1280x720","1280x585",NA,NA,0,"BIQ-A",3,"GHFAEBDC","Passed AC2","","spreadsheet_5","Spreadsheet1","Spreadsheet1",NA,"","","",NA,"info","END",NA,NA,168882,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPSCO80310"
"1",1732120344273,"20/11/2024 16:32:24",1732120344273,0,"20/11/2024 16:32:24",177048,9,"task-vy7n",NA,41493915,12111307,NA,"complete",NA,NA,"computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 130.0.0.0","1616x909","1616x741",NA,NA,0,"BIQ-A",3,"FGEHDACB","Passed AC2","","spreadsheet_4","Spreadsheet1","Spreadsheet1",NA,"","","",NA,"info","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPSCO79674"
"2",1732120489355,"20/11/2024 16:34:49",1732120489355,0,"20/11/2024 16:34:49",177048,9,"task-vy7n",NA,41493915,12111307,NA,"complete",NA,NA,"computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 130.0.0.0","1616x909","1616x741",NA,NA,0,"BIQ-A",3,"FGEHDACB","Passed AC2","","spreadsheet_4","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"continue","",145109.964,145093.364,145109.964,145109.964,145093.364,145109.964,1,145109.964,0,0,NA,"Click To Continue","Continue Button",23,"object-48","BIQ",NA,"SUPSCO79674"
"3",1732120489360,"20/11/2024 16:34:49",1732120489360,0,"20/11/2024 16:34:49",177048,9,"task-vy7n",NA,41493915,12111307,NA,"complete",NA,NA,"computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 130.0.0.0","1616x909","1616x741",NA,NA,0,"BIQ-A",3,"FGEHDACB","Passed AC2","","spreadsheet_4","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","7",58257.064,145093.364,145109.964,58257.064,145093.364,145109.964,1,58257.064,86852.9,0,NA,"Rating Scale","Rating Scale",3,"object-5","BIQ",NA,"SUPSCO79674"
"4",1732120489361,"20/11/2024 16:34:49",1732120489361,0,"20/11/2024 16:34:49",177048,9,"task-vy7n",NA,41493915,12111307,NA,"complete",NA,NA,"computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 130.0.0.0","1616x909","1616x741",NA,NA,0,"BIQ-A",3,"FGEHDACB","Passed AC2","","spreadsheet_4","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","8",120897.264,145093.364,145109.964,120897.264,145093.364,145109.964,1,120897.264,24212.7,0,NA,"Rating Scale","Rating Scale",10,"object-18","BIQ",NA,"SUPSCO79674"
"5",1732120489362,"20/11/2024 16:34:49",1732120489362,0,"20/11/2024 16:34:49",177048,9,"task-vy7n",NA,41493915,12111307,NA,"complete",NA,NA,"computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 130.0.0.0","1616x909","1616x741",NA,NA,0,"BIQ-A",3,"FGEHDACB","Passed AC2","","spreadsheet_4","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","0",143010.364,145093.364,145109.964,143010.364,145093.364,145109.964,1,143010.364,2099.59999999998,0,NA,"Rating Scale","Rating Scale",17,"object-80","BIQ",NA,"SUPSCO79674"
"6",1732120554117,"20/11/2024 16:35:54",1732120554117,0,"20/11/2024 16:35:54",177048,9,"task-vy7n",NA,41493915,12111307,NA,"complete",NA,NA,"computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 130.0.0.0","1616x909","1616x741",NA,NA,0,"BIQ-A",3,"FGEHDACB","Passed AC2","","spreadsheet_4","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"continue","",64781.8000000001,64773.1,64781.8000000001,64781.8000000001,64773.1,64781.8000000001,1,64781.8000000001,0,0,NA,"Click To Continue","Continue Button",22,"object-50","BIQ",NA,"SUPSCO79674"
"7",1732120554122,"20/11/2024 16:35:54",1732120554122,0,"20/11/2024 16:35:54",177048,9,"task-vy7n",NA,41493915,12111307,NA,"complete",NA,NA,"computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 130.0.0.0","1616x909","1616x741",NA,NA,0,"BIQ-A",3,"FGEHDACB","Passed AC2","","spreadsheet_4","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","8",20163.4,64773.1,64786.4000000002,20163.4,64773.1,64786.4000000002,1,20163.4,44623.0000000002,0,NA,"Rating Scale","Rating Scale",2,"object-259","BIQ",NA,"SUPSCO79674"
"8",1732120554122,"20/11/2024 16:35:54",1732120554122,0,"20/11/2024 16:35:54",177048,9,"task-vy7n",NA,41493915,12111307,NA,"complete",NA,NA,"computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 130.0.0.0","1616x909","1616x741",NA,NA,0,"BIQ-A",3,"FGEHDACB","Passed AC2","","spreadsheet_4","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","1",38910.4,64773.1,64787.0000000003,38910.4,64773.1,64787.0000000003,1,38910.4,25876.6000000003,0,NA,"Rating Scale","Rating Scale",9,"object-36","BIQ",NA,"SUPSCO79674"
"9",1732120554123,"20/11/2024 16:35:54",1732120554123,0,"20/11/2024 16:35:54",177048,9,"task-vy7n",NA,41493915,12111307,NA,"complete",NA,NA,"computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 130.0.0.0","1616x909","1616x741",NA,NA,0,"BIQ-A",3,"FGEHDACB","Passed AC2","","spreadsheet_4","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","0",63090.1,64773.1,64787.4000000002,63090.1,64773.1,64787.4000000002,1,63090.1,1697.30000000019,0,NA,"Rating Scale","Rating Scale",16,"object-86","BIQ",NA,"SUPSCO79674"
"10",1732120592500,"20/11/2024 16:36:32",1732120592500,0,"20/11/2024 16:36:32",177048,9,"task-vy7n",NA,41493915,12111307,NA,"complete",NA,NA,"computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 130.0.0.0","1616x909","1616x741",NA,NA,0,"BIQ-A",3,"FGEHDACB","Passed AC2","","spreadsheet_4","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"continue","",38391.3000000002,38377.2,38391.3000000002,38391.3000000002,38377.2,38391.3000000002,1,38391.3000000002,0,0,NA,"Click To Continue","Continue Button",22,"object-73","BIQ",NA,"SUPSCO79674"
"11",1732120592504,"20/11/2024 16:36:32",1732120592504,0,"20/11/2024 16:36:32",177048,9,"task-vy7n",NA,41493915,12111307,NA,"complete",NA,NA,"computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 130.0.0.0","1616x909","1616x741",NA,NA,0,"BIQ-A",3,"FGEHDACB","Passed AC2","","spreadsheet_4","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","0",25046,38377.2,38393.8,25046,38377.2,38393.8,1,25046,13347.8,0,NA,"Rating Scale","Rating Scale",2,"object-53","BIQ",NA,"SUPSCO79674"
"12",1732120592506,"20/11/2024 16:36:32",1732120592506,0,"20/11/2024 16:36:32",177048,9,"task-vy7n",NA,41493915,12111307,NA,"complete",NA,NA,"computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 130.0.0.0","1616x909","1616x741",NA,NA,0,"BIQ-A",3,"FGEHDACB","Passed AC2","","spreadsheet_4","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","0",30261.9,38377.2,38393.8,30261.9,38377.2,38393.8,1,30261.9,8131.90000000002,0,NA,"Rating Scale","Rating Scale",9,"object-60","BIQ",NA,"SUPSCO79674"
"13",1732120592507,"20/11/2024 16:36:32",1732120592507,0,"20/11/2024 16:36:32",177048,9,"task-vy7n",NA,41493915,12111307,NA,"complete",NA,NA,"computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 130.0.0.0","1616x909","1616x741",NA,NA,0,"BIQ-A",3,"FGEHDACB","Passed AC2","","spreadsheet_4","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","0",35794.3,38377.2,38393.8,35794.3,38377.2,38393.8,1,35794.3,2599.5,0,NA,"Rating Scale","Rating Scale",16,"object-67","BIQ",NA,"SUPSCO79674"
"14",1732120592511,"20/11/2024 16:36:32",1732120592511,0,"20/11/2024 16:36:32",177048,9,"task-vy7n",NA,41493915,12111307,NA,"complete",NA,NA,"computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 130.0.0.0","1616x909","1616x741",NA,NA,0,"BIQ-A",3,"FGEHDACB","Passed AC2","","spreadsheet_4","Spreadsheet1","Spreadsheet1",NA,"","","",NA,"info","END",NA,NA,247992,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPSCO79674"
"1",1732294305752,"22/11/2024 16:51:45",1732294305752,0,"22/11/2024 16:51:45",177048,9,"task-vy7n",NA,41546467,12126113,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 131.0.0.0","1710x1107","1710x981",NA,NA,0,"BIQ-A",3,"DECFBGAH","Passed AC2","","spreadsheet_5","Spreadsheet1","Spreadsheet1",NA,"","","",NA,"info","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPSCO98743"
"2",1732294352022,"22/11/2024 16:52:32",1732294352022,0,"22/11/2024 16:52:32",177048,9,"task-vy7n",NA,41546467,12126113,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 131.0.0.0","1710x1107","1710x981",NA,NA,0,"BIQ-A",3,"DECFBGAH","Passed AC2","","spreadsheet_5","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"continue","",47088.6,47072.3,47088.6,47088.6,47072.3,47088.6,1,47088.6,0,0,NA,"Click To Continue","Continue Button",23,"object-48","BIQ",NA,"SUPSCO98743"
"3",1732294352025,"22/11/2024 16:52:32",1732294352025,0,"22/11/2024 16:52:32",177048,9,"task-vy7n",NA,41546467,12126113,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 131.0.0.0","1710x1107","1710x981",NA,NA,0,"BIQ-A",3,"DECFBGAH","Passed AC2","","spreadsheet_5","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","4",32106.1,47072.3,47088.6,32106.1,47072.3,47088.6,1,32106.1,14982.5,0,NA,"Rating Scale","Rating Scale",3,"object-5","BIQ",NA,"SUPSCO98743"
"4",1732294352026,"22/11/2024 16:52:32",1732294352026,0,"22/11/2024 16:52:32",177048,9,"task-vy7n",NA,41546467,12126113,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 131.0.0.0","1710x1107","1710x981",NA,NA,0,"BIQ-A",3,"DECFBGAH","Passed AC2","","spreadsheet_5","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","1",39506,47072.3,47088.6,39506,47072.3,47088.6,1,39506,7582.60000000001,0,NA,"Rating Scale","Rating Scale",10,"object-18","BIQ",NA,"SUPSCO98743"
"5",1732294352026,"22/11/2024 16:52:32",1732294352026,0,"22/11/2024 16:52:32",177048,9,"task-vy7n",NA,41546467,12126113,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 131.0.0.0","1710x1107","1710x981",NA,NA,0,"BIQ-A",3,"DECFBGAH","Passed AC2","","spreadsheet_5","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","1",44156,47072.3,47088.6,44156,47072.3,47088.6,1,44156,2932.60000000001,0,NA,"Rating Scale","Rating Scale",17,"object-80","BIQ",NA,"SUPSCO98743"
"6",1732294390983,"22/11/2024 16:53:10",1732294390983,0,"22/11/2024 16:53:10",177048,9,"task-vy7n",NA,41546467,12126113,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 131.0.0.0","1710x1107","1710x981",NA,NA,0,"BIQ-A",3,"DECFBGAH","Passed AC2","","spreadsheet_5","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"continue","",38980.900000003,38966.9,38980.900000003,38980.900000003,38966.9,38980.900000003,1,38980.900000003,0,0,NA,"Click To Continue","Continue Button",22,"object-50","BIQ",NA,"SUPSCO98743"
"7",1732294390986,"22/11/2024 16:53:10",1732294390986,0,"22/11/2024 16:53:10",177048,9,"task-vy7n",NA,41546467,12126113,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 131.0.0.0","1710x1107","1710x981",NA,NA,0,"BIQ-A",3,"DECFBGAH","Passed AC2","","spreadsheet_5","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","6",17083.6,38966.9,38983.7,17083.6,38966.9,38983.7,1,17083.6,21900.1,0,NA,"Rating Scale","Rating Scale",2,"object-259","BIQ",NA,"SUPSCO98743"
"8",1732294390986,"22/11/2024 16:53:10",1732294390986,0,"22/11/2024 16:53:10",177048,9,"task-vy7n",NA,41546467,12126113,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 131.0.0.0","1710x1107","1710x981",NA,NA,0,"BIQ-A",3,"DECFBGAH","Passed AC2","","spreadsheet_5","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","6",20449.5,38966.9,38983.7,20449.5,38966.9,38983.7,1,20449.5,18534.2,0,NA,"Rating Scale","Rating Scale",9,"object-36","BIQ",NA,"SUPSCO98743"
"9",1732294390987,"22/11/2024 16:53:10",1732294390987,0,"22/11/2024 16:53:10",177048,9,"task-vy7n",NA,41546467,12126113,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 131.0.0.0","1710x1107","1710x981",NA,NA,0,"BIQ-A",3,"DECFBGAH","Passed AC2","","spreadsheet_5","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","4",37433.5,38966.9,38983.7,37433.5,38966.9,38983.7,1,37433.5,1550.2,0,NA,"Rating Scale","Rating Scale",16,"object-86","BIQ",NA,"SUPSCO98743"
"10",1732294434049,"22/11/2024 16:53:54",1732294434049,0,"22/11/2024 16:53:54",177048,9,"task-vy7n",NA,41546467,12126113,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 131.0.0.0","1710x1107","1710x981",NA,NA,0,"BIQ-A",3,"DECFBGAH","Passed AC2","","spreadsheet_5","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"continue","",43080.500000003,43066.3,43080.500000003,43080.500000003,43066.3,43080.500000003,1,43080.500000003,0,0,NA,"Click To Continue","Continue Button",22,"object-73","BIQ",NA,"SUPSCO98743"
"11",1732294434052,"22/11/2024 16:53:54",1732294434052,0,"22/11/2024 16:53:54",177048,9,"task-vy7n",NA,41546467,12126113,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 131.0.0.0","1710x1107","1710x981",NA,NA,0,"BIQ-A",3,"DECFBGAH","Passed AC2","","spreadsheet_5","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","0",33916.4,43066.3,43083,33916.4,43066.3,43083,1,33916.4,9166.59999999999,0,NA,"Rating Scale","Rating Scale",2,"object-53","BIQ",NA,"SUPSCO98743"
"12",1732294434052,"22/11/2024 16:53:54",1732294434052,0,"22/11/2024 16:53:54",177048,9,"task-vy7n",NA,41546467,12126113,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 131.0.0.0","1710x1107","1710x981",NA,NA,0,"BIQ-A",3,"DECFBGAH","Passed AC2","","spreadsheet_5","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","2",35766.4,43066.3,43083,35766.4,43066.3,43083,1,35766.4,7316.59999999999,0,NA,"Rating Scale","Rating Scale",9,"object-60","BIQ",NA,"SUPSCO98743"
"13",1732294434052,"22/11/2024 16:53:54",1732294434052,0,"22/11/2024 16:53:54",177048,9,"task-vy7n",NA,41546467,12126113,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 131.0.0.0","1710x1107","1710x981",NA,NA,0,"BIQ-A",3,"DECFBGAH","Passed AC2","","spreadsheet_5","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","7",38849.8,43066.3,43083,38849.8,43066.3,43083,1,38849.8,4233.2,0,NA,"Rating Scale","Rating Scale",16,"object-67","BIQ",NA,"SUPSCO98743"
"14",1732294434058,"22/11/2024 16:53:54",1732294434058,0,"22/11/2024 16:53:54",177048,9,"task-vy7n",NA,41546467,12126113,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 131.0.0.0","1710x1107","1710x981",NA,NA,0,"BIQ-A",3,"DECFBGAH","Passed AC2","","spreadsheet_5","Spreadsheet1","Spreadsheet1",NA,"","","",NA,"info","END",NA,NA,128261,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPSCO98743"
"1",1732548806986,"25/11/2024 15:33:26",1732548806986,0,"25/11/2024 15:33:26",177048,9,"task-vy7n",NA,41598216,12140738,NA,"complete",NA,NA,"computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 130.0.0.0","1536x864","1536x743",NA,NA,0,"BIQ-A",3,"EFDGCHBA","Passed AC2","","spreadsheet","Spreadsheet1","Spreadsheet1",NA,"","","",NA,"info","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPSCO36211"
"2",1732548852151,"25/11/2024 15:34:12",1732548852151,0,"25/11/2024 15:34:12",177048,9,"task-vy7n",NA,41598216,12140738,NA,"complete",NA,NA,"computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 130.0.0.0","1536x864","1536x743",NA,NA,0,"BIQ-A",3,"EFDGCHBA","Passed AC2","","spreadsheet","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"continue","",45188.692,45178.392,45188.692,45188.692,45178.392,45188.692,1,45188.692,0,0,NA,"Click To Continue","Continue Button",23,"object-48","BIQ",NA,"SUPSCO36211"
"3",1732548852175,"25/11/2024 15:34:12",1732548852175,0,"25/11/2024 15:34:12",177048,9,"task-vy7n",NA,41598216,12140738,NA,"complete",NA,NA,"computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 130.0.0.0","1536x864","1536x743",NA,NA,0,"BIQ-A",3,"EFDGCHBA","Passed AC2","","spreadsheet","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","3",9291.092,45178.392,45195.092,9291.092,45178.392,45195.092,1,9291.092,35904,0,NA,"Rating Scale","Rating Scale",3,"object-5","BIQ",NA,"SUPSCO36211"
