"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","counterbalance.qny1","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day.Quantised","Random_ID_new"
"1",1719231198008,"24/06/2024 12:13:18",1719234798008,1,"24/06/2024 14:13:18",177048,9,"questionnaire-wop8",NA,38456711,11304199,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1280x720","1280x720",NA,NA,0,"Attention Check 2 (Clone)",1,"EFDGCHBA","Passed AC2","","spreadsheet_3","1-0","1","SUPSCO79155"
"1",1719416366369,"26/06/2024 15:39:26",1719419966369,1,"26/06/2024 17:39:26",177048,9,"questionnaire-wop8",NA,38523567,11319143,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","2560x1440","2560x1271",NA,NA,0,"Attention Check 2 (Clone)",1,"CDBEAFHG","Passed AC2","","spreadsheet_4","1-0","1","SUPSCO81666"
"1",1719848482760,"01/07/2024 15:41:22",1719852082760,1,"01/07/2024 17:41:22",177048,9,"questionnaire-wop8",NA,38655626,11345091,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1920x1080","1920x911",NA,NA,0,"Attention Check 2 (Clone)",1,"FGEHDACB","Passed AC2","","spreadsheet_2","1-0","1","SUPSCO15998"
"1",1721643702907,"22/07/2024 10:21:42",1721647302907,1,"22/07/2024 12:21:42",177048,9,"questionnaire-wop8",NA,39121407,11474933,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 125.0.0.0","2048x1152","2048x1065",NA,NA,0,"Attention Check 2 (Clone)",1,"EFDGCHBA","Passed AC2","","spreadsheet_3","1","2","SUPSCO14619"
"1",1721835968956,"24/07/2024 15:46:08",1721839568956,1,"24/07/2024 17:46:08",177048,9,"questionnaire-wop8",NA,39183544,11494997,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 127.0.0.0","3460x1442","3460x1320",NA,NA,0,"Attention Check 2 (Clone)",1,"ABHCGDFE","Passed AC2","","spreadsheet_4","1-0","1","SUPSCO05489"
"1",1725464907557,"04/09/2024 15:48:27",1725468507557,1,"04/09/2024 17:48:27",177048,9,"questionnaire-wop8",NA,39879826,11661282,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 128.0.0.0","1280x720","1280x551",NA,NA,0,"Attention Check 2 (Clone)",1,"HAGBFCED","Passed AC2","","spreadsheet","1","2","SUPSCO18538"
"1",1727883440093,"02/10/2024 15:37:20",1727887040093,1,"02/10/2024 17:37:20",177048,9,"questionnaire-wop8",NA,40406038,11790142,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1536x864","1536x864",NA,NA,0,"Attention Check 2 (Clone)",1,"ABHCGDFE","Passed AC2","","spreadsheet_2","1-0","1","SUPSCO24909"
"1",1731939418126,"18/11/2024 14:16:58",1731939418126,0,"18/11/2024 14:16:58",177048,9,"questionnaire-wop8",NA,41421168,12091316,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 131.0.0.0","1366x768","1366x589",NA,NA,0,"Attention Check 2 (Clone)",1,"CDBEAFHG","Passed AC2","","spreadsheet_5","1","2","SUPSCO42721"
"1",1732121233921,"20/11/2024 16:47:13",1732121233921,0,"20/11/2024 16:47:13",177048,9,"questionnaire-wop8",NA,41494356,12111320,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 130.0.0.0","1440x900","1440x754",NA,NA,0,"Attention Check 2 (Clone)",1,"HAGBFCED","Passed AC2","","spreadsheet_3","1-0","1","SUPSCO66456"
"1",1732121230416,"20/11/2024 16:47:10",1732121230416,0,"20/11/2024 16:47:10",177048,9,"questionnaire-wop8",NA,41494358,12111313,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 131.0.0.0","1280x720","1280x585",NA,NA,0,"Attention Check 2 (Clone)",1,"GHFAEBDC","Passed AC2","","spreadsheet_5","1-0","1","SUPSCO80310"
"1",1732195149770,"21/11/2024 13:19:09",1732195149770,0,"21/11/2024 13:19:09",177048,9,"questionnaire-wop8",NA,41514814,12117064,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 131.0.0.0","1440x900","1440x812",NA,NA,0,"Attention Check 2 (Clone)",1,"BCADHEGF","Passed AC2","","spreadsheet_3","1-0","1","SUPSCO02221"
"1",1732294279971,"22/11/2024 16:51:19",1732294279971,0,"22/11/2024 16:51:19",177048,9,"questionnaire-wop8",NA,41546453,12126204,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 130.0.0.0","1680x1050","1680x928",NA,NA,0,"Attention Check 2 (Clone)",1,"CDBEAFHG","Passed AC2","","spreadsheet_4","1","2","SUPSCO71524"
"1",1732294435677,"22/11/2024 16:53:55",1732294435677,0,"22/11/2024 16:53:55",177048,9,"questionnaire-wop8",NA,41546535,12126113,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 131.0.0.0","1710x1107","1710x981",NA,NA,0,"Attention Check 2 (Clone)",1,"DECFBGAH","Passed AC2","","spreadsheet_5","1-0","1","SUPSCO98743"
"1",1733494013042,"06/12/2024 14:06:53",1733494013042,0,"06/12/2024 14:06:53",177048,9,"questionnaire-wop8",NA,41855524,12225007,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 131.0.0.0","1536x960","1536x960",NA,NA,0,"Attention Check 2 (Clone)",1,"ABHCGDFE","Passed AC2","","spreadsheet_2","1-0","1","SUPSCO12262"
"1",1718631580267,"17/06/2024 13:39:40",1718635180267,1,"17/06/2024 15:39:40",177048,9,"questionnaire-wop8",NA,38331558,11266455,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1280x720","1280x585",NA,NA,0,"Attention Check 2 (Clone)",1,"ABHCGDFE","Passed AC2","","spreadsheet_5","1","2","SUPSCO66122"
"1",1718715204587,"18/06/2024 12:53:24",1718718804587,1,"18/06/2024 14:53:24",177048,9,"questionnaire-wop8",NA,38353715,11273152,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","1366x768","1242x583",NA,NA,0,"Attention Check 2 (Clone)",1,"BCADHEGF","Passed AC2","","spreadsheet_2","1-0","1","SUPSCO18638"
"1",1718725547336,"18/06/2024 15:45:47",1718729147336,1,"18/06/2024 17:45:47",177048,9,"questionnaire-wop8",NA,38358505,11274425,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","1280x720","1280x585",NA,NA,0,"Attention Check 2 (Clone)",1,"CDBEAFHG","Passed AC2","","spreadsheet_4","1-0","1","SUPSCO61449"
"1",1719224012550,"24/06/2024 10:13:32",1719227612550,1,"24/06/2024 12:13:32",177048,9,"questionnaire-wop8",NA,38452878,11302443,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1280x800","1280x665",NA,NA,0,"Attention Check 2 (Clone)",1,"DECFBGAH","Passed AC2","","spreadsheet","1-0","1","SUPSCO91602"
"1",1719244017079,"24/06/2024 15:46:57",1719247617079,1,"24/06/2024 17:46:57",177048,9,"questionnaire-wop8",NA,38461916,11306131,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1920x1080","1920x953",NA,NA,0,"Attention Check 2 (Clone)",1,"FGEHDACB","Passed AC2","","spreadsheet","1-0","1","SUPSCO01588"
"1",1719328555029,"25/06/2024 15:15:55",1719332155029,1,"25/06/2024 17:15:55",177048,9,"questionnaire-wop8",NA,38487702,11312573,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1920x1080","1920x989",NA,NA,0,"Attention Check 2 (Clone)",1,"GHFAEBDC","Passed AC2","","spreadsheet_5","1-0","1","SUPSCO20104"
"1",1719397700611,"26/06/2024 10:28:20",1719401300611,1,"26/06/2024 12:28:20",177048,9,"questionnaire-wop8",NA,38507131,11316812,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 126.0.0.0","1440x900","1440x725",NA,NA,0,"Attention Check 2 (Clone)",1,"HAGBFCED","Passed AC2","","spreadsheet_2","1-0","1","SUPSCO65569"
"1",1719414910966,"26/06/2024 15:15:10",1719418510966,1,"26/06/2024 17:15:10",177048,9,"questionnaire-wop8",NA,38522925,11318958,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1920x1080","1920x911",NA,NA,0,"Attention Check 2 (Clone)",1,"ABHCGDFE","Passed AC2","","spreadsheet_4","1-0","1","SUPSCO83190"
"1",1719416316003,"26/06/2024 15:38:36",1719419916003,1,"26/06/2024 17:38:36",177048,9,"questionnaire-wop8",NA,38523538,11319146,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","2560x1440","2560x1440",NA,NA,0,"Attention Check 2 (Clone)",1,"BCADHEGF","Passed AC2","","spreadsheet_3","1-0","1","SUPSCO41800"
"1",1719571147037,"28/06/2024 10:39:07",1719574747037,1,"28/06/2024 12:39:07",177048,9,"questionnaire-wop8",NA,38562332,11330297,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1366x768","1366x641",NA,NA,0,"Attention Check 2 (Clone)",1,"EFDGCHBA","Passed AC2","","spreadsheet","1-0","1","SUPSCO12782"
"1",1719927117476,"02/07/2024 13:31:57",1719930717476,1,"02/07/2024 15:31:57",177048,9,"questionnaire-wop8",NA,38688527,11357255,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1366x768","1366x641",NA,NA,0,"Attention Check 2 (Clone)",1,"GHFAEBDC","Passed AC2","","spreadsheet_3","1-0","1","SUPSCO50909"
"1",1720098919527,"04/07/2024 13:15:19",1720102519527,1,"04/07/2024 15:15:19",177048,9,"questionnaire-wop8",NA,38753358,11372330,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1536x864","1536x738",NA,NA,0,"Attention Check 2 (Clone)",1,"HAGBFCED","Passed AC2","","spreadsheet_5","1-0","1","SUPSCO05151"
"1",1720626449324,"10/07/2024 15:47:29",1720630049324,1,"10/07/2024 17:47:29",177048,9,"questionnaire-wop8",NA,38876954,11404343,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1920x1080","1920x963",NA,NA,0,"Attention Check 2 (Clone)",1,"ABHCGDFE","Passed AC2","","spreadsheet_4","1-0","1","SUPSCO31721"
"1",1720779693867,"12/07/2024 10:21:33",1720783293867,1,"12/07/2024 12:21:33",177048,9,"questionnaire-wop8",NA,38934732,11415867,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 125.0.0.0","1470x956","1470x799",NA,NA,0,"Attention Check 2 (Clone)",1,"BCADHEGF","Passed AC2","","spreadsheet","1-0","1","SUPSCO34679"
"1",1721058036762,"15/07/2024 15:40:36",1721061636762,1,"15/07/2024 17:40:36",177048,9,"questionnaire-wop8",NA,38979118,11428727,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 126.0.0.0","1440x900","1440x813",NA,NA,0,"Attention Check 2 (Clone)",1,"CDBEAFHG","Passed AC2","","spreadsheet_3","1","2","SUPSCO16544"
"1",1721308885687,"18/07/2024 13:21:25",1721312485687,1,"18/07/2024 15:21:25",177048,9,"questionnaire-wop8",NA,39055108,11454198,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1536x1024","1536x889",NA,NA,0,"Attention Check 2 (Clone)",1,"DECFBGAH","Passed AC2","","spreadsheet_2","1-0","1","SUPSCO96648"
"1",1721816574709,"24/07/2024 10:22:54",1721820174709,1,"24/07/2024 12:22:54",177048,9,"questionnaire-wop8",NA,39164885,11491771,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 127.0.0.0","1280x720","1280x585",NA,NA,0,"Attention Check 2 (Clone)",1,"FGEHDACB","Passed AC2","","spreadsheet_2","1-0","1","SUPSCO14738"
"1",1721817681727,"24/07/2024 10:41:21",1721821281727,1,"24/07/2024 12:41:21",177048,9,"questionnaire-wop8",NA,39168875,11492002,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1920x1080","1920x953",NA,NA,0,"Attention Check 2 (Clone)",1,"GHFAEBDC","Passed AC2","","spreadsheet","1-0","1","SUPSCO45532"
