"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.ln1a","randomiser.vzsr","branch.hkzp","randomiser.ywar","randomiser.q6ah","order.ot79","randomiser.ahe2","randomiser.ckhi","randomiser.lqqr","randomiser.pobd","randomiser.8gdj","Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Spreadsheet..stimulus","Manipulation..Spreadsheet","Random_ID"
"1",1689025202044,"10/07/2023 21:40:02",1689028802044,1,"10/07/2023 23:40:02",137495,33,"task-atm6",NA,30604225,9086484,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Edge 114.0.1823.67","1536x864","1147x603",NA,NA,NA,"JV Task P3 (Updated)",4,"Anxious",NA,"In",NA,NA,"HIGJFKEADBC",NA,NA,"B (MDot First)",2,321,"SS1","SS1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","","",NA,"SUPTM16544"
"2",1689025211212,"10/07/2023 21:40:11",1689028811212,1,"10/07/2023 23:40:11",137495,33,"task-atm6",NA,30604225,9086484,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Edge 114.0.1823.67","1536x864","1147x603",NA,NA,NA,"JV Task P3 (Updated)",4,"Anxious",NA,"In",NA,NA,"HIGJFKEADBC",NA,NA,"B (MDot First)",2,321,"SS1","SS1",1,"V","Valence","xyoebq",1,"continue","",9075.066,9066.026,9075.066,9075.066,9066.026,9075.066,1,9075.066,0,0,NA,"Click To Continue","Continue Button",1,"object-25","V","CFD-AF-211-066-N.jpg",NA,"SUPTM16544"
"3",1689025211212,"10/07/2023 21:40:11",1689028811212,1,"10/07/2023 23:40:11",137495,33,"task-atm6",NA,30604225,9086484,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Edge 114.0.1823.67","1536x864","1147x603",NA,NA,NA,"JV Task P3 (Updated)",4,"Anxious",NA,"In",NA,NA,"HIGJFKEADBC",NA,NA,"B (MDot First)",2,321,"SS1","SS1",1,"V","Valence","xyoebq",1,"response","49",4266.486,9066.026,9075.8659997139,4266.486,9066.026,9075.8659997139,1,4266.486,4809.3799997139,0,NA,"Slider","J",3,"object-27","V","CFD-AF-211-066-N.jpg",NA,"SUPTM16544"
"4",1689025212169,"10/07/2023 21:40:12",1689028812169,1,"10/07/2023 23:40:12",137495,33,"task-atm6",NA,30604225,9086484,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Edge 114.0.1823.67","1536x864","1147x603",NA,NA,NA,"JV Task P3 (Updated)",4,"Anxious",NA,"In",NA,NA,"HIGJFKEADBC",NA,NA,"B (MDot First)",2,321,"SS1","SS1",1,"V","Fixation","68owkj",2,"continue","",966.137000000001,966.137000000001,966.137000000001,966.137000000001,966.137000000001,966.137000000001,1,966.137000000001,0,0,NA,"Fixation Timing","Fixation",1,"object-21","V","CFD-AF-211-066-N.jpg",NA,"SUPTM16544"
"5",1689025217073,"10/07/2023 21:40:17",1689028817073,1,"10/07/2023 23:40:17",137495,33,"task-atm6",NA,30604225,9086484,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Edge 114.0.1823.67","1536x864","1147x603",NA,NA,NA,"JV Task P3 (Updated)",4,"Anxious",NA,"In",NA,NA,"HIGJFKEADBC",NA,NA,"B (MDot First)",2,321,"SS1","SS1",1,"J","Judginess","y8ii7g",1,"continue","",4904.10299980927,4899.458,4904.10299980927,4904.10299980927,4899.458,4904.10299980927,1,4904.10299980927,0,0,NA,"Click To Continue","Continue Button",1,"object-14","J","CFD-WF-037-029-H.jpeg",NA,"SUPTM16544"
"6",1689025217073,"10/07/2023 21:40:17",1689028817073,1,"10/07/2023 23:40:17",137495,33,"task-atm6",NA,30604225,9086484,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Edge 114.0.1823.67","1536x864","1147x603",NA,NA,NA,"JV Task P3 (Updated)",4,"Anxious",NA,"In",NA,NA,"HIGJFKEADBC",NA,NA,"B (MDot First)",2,321,"SS1","SS1",1,"J","Judginess","y8ii7g",1,"response","71",2983.373,4899.458,4904.30299961853,2983.373,4899.458,4904.30299961853,1,2983.373,1920.92999961853,0,NA,"Slider","J",3,"object-18","J","CFD-WF-037-029-H.jpeg",NA,"SUPTM16544"
"7",1689025218036,"10/07/2023 21:40:18",1689028818036,1,"10/07/2023 23:40:18",137495,33,"task-atm6",NA,30604225,9086484,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Edge 114.0.1823.67","1536x864","1147x603",NA,NA,NA,"JV Task P3 (Updated)",4,"Anxious",NA,"In",NA,NA,"HIGJFKEADBC",NA,NA,"B (MDot First)",2,321,"SS1","SS1",1,"J","Fixation","w9zir9",2,"continue","",966.523000000001,966.523000000001,966.523000000001,966.523000000001,966.523000000001,966.523000000001,1,966.523000000001,0,0,NA,"Fixation Timing","Fixation",1,"object-65","J","CFD-WF-037-029-H.jpeg",NA,"SUPTM16544"
"8",1689025224075,"10/07/2023 21:40:24",1689028824075,1,"10/07/2023 23:40:24",137495,33,"task-atm6",NA,30604225,9086484,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Edge 114.0.1823.67","1536x864","1147x603",NA,NA,NA,"JV Task P3 (Updated)",4,"Anxious",NA,"In",NA,NA,"HIGJFKEADBC",NA,NA,"B (MDot First)",2,321,"SS1","SS1",2,"V","Valence","xyoebq",1,"continue","",6039.922,6032.982,6039.922,6039.922,6032.982,6039.922,1,6039.922,0,0,NA,"Click To Continue","Continue Button",1,"object-25","V","CFD-IF-734-108-N.jpg",NA,"SUPTM16544"
"9",1689025224076,"10/07/2023 21:40:24",1689028824076,1,"10/07/2023 23:40:24",137495,33,"task-atm6",NA,30604225,9086484,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Edge 114.0.1823.67","1536x864","1147x603",NA,NA,NA,"JV Task P3 (Updated)",4,"Anxious",NA,"In",NA,NA,"HIGJFKEADBC",NA,NA,"B (MDot First)",2,321,"SS1","SS1",2,"V","Valence","xyoebq",1,"response","60",4149.534,6032.982,6041.922,4149.534,6032.982,6041.922,1,4149.534,1892.388,0,NA,"Slider","J",3,"object-27","V","CFD-IF-734-108-N.jpg",NA,"SUPTM16544"
"10",1689025225036,"10/07/2023 21:40:25",1689028825036,1,"10/07/2023 23:40:25",137495,33,"task-atm6",NA,30604225,9086484,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Edge 114.0.1823.67","1536x864","1147x603",NA,NA,NA,"JV Task P3 (Updated)",4,"Anxious",NA,"In",NA,NA,"HIGJFKEADBC",NA,NA,"B (MDot First)",2,321,"SS1","SS1",2,"V","Fixation","68owkj",2,"continue","",966.402999999998,966.402999999998,966.402999999998,966.402999999998,966.402999999998,966.402999999998,1,966.402999999998,0,0,NA,"Fixation Timing","Fixation",1,"object-21","V","CFD-IF-734-108-N.jpg",NA,"SUPTM16544"
