"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.ln1a","randomiser.vzsr","branch.hkzp","randomiser.ywar","randomiser.q6ah","order.ot79","randomiser.ahe2","randomiser.ckhi","randomiser.lqqr","randomiser.pobd","randomiser.8gdj","Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID"
"1",1688987948238,"10/07/2023 11:19:08",1688991548238,1,"10/07/2023 13:19:08",137495,33,"task-1qly",NA,30591099,9082357,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1366x768","1366x657",NA,NA,NA,"Pre-Video Feedback Task",4,"NonAnxious",NA,"In",NA,NA,"BCADKEJFIGH","B","B",NA,NA,NA,"Spreadsheet1","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPTM45532"
"2",1688987960366,"10/07/2023 11:19:20",1688991560366,1,"10/07/2023 13:19:20",137495,33,"task-1qly",NA,30591099,9082357,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1366x768","1366x657",NA,NA,NA,"Pre-Video Feedback Task",4,"NonAnxious",NA,"In",NA,NA,"BCADKEJFIGH","B","B",NA,NA,NA,"Spreadsheet1","Spreadsheet1",1,"Instructions","Screen 1","by7fw4",1,"continue","",12159.6470000715,12148.305,12159.6470000715,12159.6470000715,12148.305,12159.6470000715,1,12159.6470000715,0,0,NA,"Click To Continue","Continue Button",2,"object-15","Instructions",NA,"SUPTM45532"
"3",1688987981426,"10/07/2023 11:19:41",1688991581426,1,"10/07/2023 13:19:41",137495,33,"task-1qly",NA,30591099,9082357,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1366x768","1366x657",NA,NA,NA,"Pre-Video Feedback Task",4,"NonAnxious",NA,"In",NA,NA,"BCADKEJFIGH","B","B",NA,NA,NA,"Spreadsheet1","Spreadsheet1",1,"Instructions","Screen 2","32ryug",2,"continue","",21071.9420000954,21063.571,21071.9420000954,21071.9420000954,21063.571,21071.9420000954,1,21071.9420000954,0,0,NA,"Click To Continue","Continue Button",2,"object-18","Instructions",NA,"SUPTM45532"
"4",1688987986783,"10/07/2023 11:19:46",1688991586783,1,"10/07/2023 13:19:46",137495,33,"task-1qly",NA,30591099,9082357,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1366x768","1366x657",NA,NA,NA,"Pre-Video Feedback Task",4,"NonAnxious",NA,"In",NA,NA,"BCADKEJFIGH","B","B",NA,NA,NA,"Spreadsheet1","Spreadsheet1",1,"Instructions","Screen 6","qfz25j",3,"continue","",5365.17100004768,5349.128,5365.17100004768,5365.17100004768,5349.128,5365.17100004768,1,5365.17100004768,0,0,NA,"Click To Continue","Continue Button",2,"object-44","Instructions",NA,"SUPTM45532"
"5",1688987991968,"10/07/2023 11:19:51",1688991591968,1,"10/07/2023 13:19:51",137495,33,"task-1qly",NA,30591099,9082357,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1366x768","1366x657",NA,NA,NA,"Pre-Video Feedback Task",4,"NonAnxious",NA,"In",NA,NA,"BCADKEJFIGH","B","B",NA,NA,NA,"Spreadsheet1","Spreadsheet1",1,"Instructions","Screen 3","oiajeu",4,"continue","",5200.843,5199.249,5200.843,5200.843,5199.249,5200.843,1,5200.843,0,0,NA,"Click To Continue","Continue Button",2,"object-21","Instructions",NA,"SUPTM45532"
"6",1688988005302,"10/07/2023 11:20:05",1688991605302,1,"10/07/2023 13:20:05",137495,33,"task-1qly",NA,30591099,9082357,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1366x768","1366x657",NA,NA,NA,"Pre-Video Feedback Task",4,"NonAnxious",NA,"In",NA,NA,"BCADKEJFIGH","B","B",NA,NA,NA,"Spreadsheet1","Spreadsheet1",1,"Instructions","Screen 4","x6yf73",5,"continue","",13331.508,13314.858,13331.508,13331.508,13314.858,13331.508,1,13331.508,0,0,NA,"Click To Continue","Continue Button",2,"object-24","Instructions",NA,"SUPTM45532"
"7",1688988032681,"10/07/2023 11:20:32",1688991632681,1,"10/07/2023 13:20:32",137495,33,"task-1qly",NA,30591099,9082357,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1366x768","1366x657",NA,NA,NA,"Pre-Video Feedback Task",4,"NonAnxious",NA,"In",NA,NA,"BCADKEJFIGH","B","B",NA,NA,NA,"Spreadsheet1","Spreadsheet1",1,"Practice run","Screen 1","ncwxmk",1,"continue","",27377.1360000954,27362.639,27377.1360000954,27377.1360000954,27362.639,27377.1360000954,1,27377.1360000954,0,0,NA,"Click To Continue","Continue Button",2,"object-29","Practice run",NA,"SUPTM45532"
"8",1688988092181,"10/07/2023 11:21:32",1688991692181,1,"10/07/2023 13:21:32",137495,33,"task-1qly",NA,30591099,9082357,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1366x768","1366x657",NA,NA,NA,"Pre-Video Feedback Task",4,"NonAnxious",NA,"In",NA,NA,"BCADKEJFIGH","B","B",NA,NA,NA,"Spreadsheet1","Spreadsheet1",1,"Practice run","Screen 1","ncwxmk",1,"continue","",86898.4360000477,86887.273,86898.4360000477,86898.4360000477,86887.273,86898.4360000477,1,86898.4360000477,0,0,NA,"Click To Continue","Continue Button",2,"object-29","Practice run",NA,"SUPTM45532"
"9",1688988092200,"10/07/2023 11:21:32",1688991692200,1,"10/07/2023 13:21:32",137495,33,"task-1qly",NA,30591099,9082357,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1366x768","1366x657",NA,NA,NA,"Pre-Video Feedback Task",4,"NonAnxious",NA,"In",NA,NA,"BCADKEJFIGH","B","B",NA,NA,NA,"Spreadsheet1","Spreadsheet1",1,"Practice run","Screen 1","ncwxmk",1,"response","Nothing to see here",21780.116,86887.273,86903.905,21780.116,86887.273,86903.905,1,21780.116,65123.789,0,NA,"Text Entry","Text Entry",5,"object-38","Practice run",NA,"SUPTM45532"
"10",1688988092201,"10/07/2023 11:21:32",1688991692201,1,"10/07/2023 13:21:32",137495,33,"task-1qly",NA,30591099,9082357,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1366x768","1366x657",NA,NA,NA,"Pre-Video Feedback Task",4,"NonAnxious",NA,"In",NA,NA,"BCADKEJFIGH","B","B",NA,NA,NA,"Spreadsheet1","Spreadsheet1",1,"Practice run","Screen 1","ncwxmk",1,"response","Showing me pictures",79721.575,86887.273,86903.905,79721.575,86887.273,86903.905,1,79721.575,7182.33000000002,0,NA,"Text Entry","Text Entry",6,"object-40","Practice run",NA,"SUPTM45532"
"11",1688988092206,"10/07/2023 11:21:32",1688991692206,1,"10/07/2023 13:21:32",137495,33,"task-1qly",NA,30591099,9082357,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1366x768","1366x657",NA,NA,NA,"Pre-Video Feedback Task",4,"NonAnxious",NA,"In",NA,NA,"BCADKEJFIGH","B","B",NA,NA,NA,"Spreadsheet1","Spreadsheet1",NA,"","","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPTM45532"
"1",1688995632393,"10/07/2023 13:27:12",1688981232393,-4,"10/07/2023 05:27:12",137495,33,"task-1qly",NA,30594266,9083342,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1920x1080","1920x927",NA,NA,NA,"Pre-Video Feedback Task",4,"NonAnxious",NA,"In",NA,NA,"HIGJFKEADBC","B","B",NA,NA,NA,"Spreadsheet1","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPTM14619"
"2",1688995647594,"10/07/2023 13:27:27",1688981247594,-4,"10/07/2023 05:27:27",137495,33,"task-1qly",NA,30594266,9083342,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1920x1080","1920x927",NA,NA,NA,"Pre-Video Feedback Task",4,"NonAnxious",NA,"In",NA,NA,"HIGJFKEADBC","B","B",NA,NA,NA,"Spreadsheet1","Spreadsheet1",1,"Instructions","Screen 1","by7fw4",1,"continue","",15213.6919999955,15200.778,15213.6919999955,15213.6919999955,15200.778,15213.6919999955,1,15213.6919999955,0,0,NA,"Click To Continue","Continue Button",2,"object-15","Instructions",NA,"SUPTM14619"
