"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.ln1a","randomiser.vzsr","branch.hkzp","randomiser.ywar","randomiser.q6ah","order.ot79","randomiser.ahe2","randomiser.ckhi","randomiser.lqqr","randomiser.pobd","randomiser.8gdj","Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Spreadsheet..stimulus","Manipulation..Spreadsheet","Random_ID"
"1",1688990955755,"10/07/2023 12:09:15",1688976555755,-4,"10/07/2023 04:09:15",137495,33,"task-k4y6",NA,30592039,9082638,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1280x1024","1280x881",NA,NA,NA,"JV Task P2",11,"Anxious",321,"In",NA,1,"FGEHDICJBKA",NA,NA,"A (JV first)",NA,NA,"SS1","SS1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","","",NA,"SUPTM12782"
"2",1688990960000,"10/07/2023 12:09:20",1688976560000,-4,"10/07/2023 04:09:20",137495,33,"task-k4y6",NA,30592039,9082638,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1280x1024","1280x881",NA,NA,NA,"JV Task P2",11,"Anxious",321,"In",NA,1,"FGEHDICJBKA",NA,NA,"A (JV first)",NA,NA,"SS1","SS1",1,"V","Valence","xyoebq",1,"continue","",3262.61,3249.014,3262.61,3262.61,3249.014,3262.61,1,3262.61,0,0,NA,"Click To Continue","Continue Button",1,"object-25","V","CFD-WM-034-030-H.jpeg",NA,"SUPTM12782"
"3",1688990960002,"10/07/2023 12:09:20",1688976560002,-4,"10/07/2023 04:09:20",137495,33,"task-k4y6",NA,30592039,9082638,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1280x1024","1280x881",NA,NA,NA,"JV Task P2",11,"Anxious",321,"In",NA,1,"FGEHDICJBKA",NA,NA,"A (JV first)",NA,NA,"SS1","SS1",1,"V","Valence","xyoebq",1,"response","59",2199.368,3249.014,3265.20999990463,2199.368,3249.014,3265.20999990463,1,2199.368,1065.84199990463,0,NA,"Slider","J",3,"object-27","V","CFD-WM-034-030-H.jpeg",NA,"SUPTM12782"
"4",1688990960953,"10/07/2023 12:09:20",1688976560953,-4,"10/07/2023 04:09:20",137495,33,"task-k4y6",NA,30592039,9082638,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1280x1024","1280x881",NA,NA,NA,"JV Task P2",11,"Anxious",321,"In",NA,1,"FGEHDICJBKA",NA,NA,"A (JV first)",NA,NA,"SS1","SS1",1,"V","Fixation","68owkj",2,"continue","",966.35,966.35,966.35,966.35,966.35,966.35,1,966.35,0,0,NA,"Fixation Timing","Fixation",1,"object-21","V","CFD-WM-034-030-H.jpeg",NA,"SUPTM12782"
"5",1688990964510,"10/07/2023 12:09:24",1688976564510,-4,"10/07/2023 04:09:24",137495,33,"task-k4y6",NA,30592039,9082638,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1280x1024","1280x881",NA,NA,NA,"JV Task P2",11,"Anxious",321,"In",NA,1,"FGEHDICJBKA",NA,NA,"A (JV first)",NA,NA,"SS1","SS1",1,"J","Judginess","y8ii7g",1,"continue","",3558.54599995232,3548.79,3558.54599995232,3558.54599995232,3548.79,3558.54599995232,1,3558.54599995232,0,0,NA,"Click To Continue","Continue Button",1,"object-14","J","CFD-IF-693-172-H.jpeg",NA,"SUPTM12782"
"6",1688990964511,"10/07/2023 12:09:24",1688976564511,-4,"10/07/2023 04:09:24",137495,33,"task-k4y6",NA,30592039,9082638,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1280x1024","1280x881",NA,NA,NA,"JV Task P2",11,"Anxious",321,"In",NA,1,"FGEHDICJBKA",NA,NA,"A (JV first)",NA,NA,"SS1","SS1",1,"J","Judginess","y8ii7g",1,"response","63",2599.13,3548.79,3559.746,2599.13,3548.79,3559.746,1,2599.13,960.616,0,NA,"Slider","J",3,"object-18","J","CFD-IF-693-172-H.jpeg",NA,"SUPTM12782"
"7",1688990965467,"10/07/2023 12:09:25",1688976565467,-4,"10/07/2023 04:09:25",137495,33,"task-k4y6",NA,30592039,9082638,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1280x1024","1280x881",NA,NA,NA,"JV Task P2",11,"Anxious",321,"In",NA,1,"FGEHDICJBKA",NA,NA,"A (JV first)",NA,NA,"SS1","SS1",1,"J","Fixation","w9zir9",2,"continue","",966.371000000001,966.371000000001,966.371000000001,966.371000000001,966.371000000001,966.371000000001,1,966.371000000001,0,0,NA,"Fixation Timing","Fixation",1,"object-65","J","CFD-IF-693-172-H.jpeg",NA,"SUPTM12782"
"8",1688990967550,"10/07/2023 12:09:27",1688976567550,-4,"10/07/2023 04:09:27",137495,33,"task-k4y6",NA,30592039,9082638,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1280x1024","1280x881",NA,NA,NA,"JV Task P2",11,"Anxious",321,"In",NA,1,"FGEHDICJBKA",NA,NA,"A (JV first)",NA,NA,"SS1","SS1",2,"J","Judginess","y8ii7g",1,"continue","",2082.67,2065.989,2082.67,2082.67,2065.989,2082.67,1,2082.67,0,0,NA,"Click To Continue","Continue Button",1,"object-14","J","CFD-WM-009-002-H.jpeg",NA,"SUPTM12782"
"9",1688990967559,"10/07/2023 12:09:27",1688976567559,-4,"10/07/2023 04:09:27",137495,33,"task-k4y6",NA,30592039,9082638,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1280x1024","1280x881",NA,NA,NA,"JV Task P2",11,"Anxious",321,"In",NA,1,"FGEHDICJBKA",NA,NA,"A (JV first)",NA,NA,"SS1","SS1",2,"J","Judginess","y8ii7g",1,"response","66",1616.127,2065.989,2082.67,1616.127,2065.989,2082.67,1,1616.127,466.543000000001,0,NA,"Slider","J",3,"object-18","J","CFD-WM-009-002-H.jpeg",NA,"SUPTM12782"
"10",1688990968500,"10/07/2023 12:09:28",1688976568500,-4,"10/07/2023 04:09:28",137495,33,"task-k4y6",NA,30592039,9082638,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1280x1024","1280x881",NA,NA,NA,"JV Task P2",11,"Anxious",321,"In",NA,1,"FGEHDICJBKA",NA,NA,"A (JV first)",NA,NA,"SS1","SS1",2,"J","Fixation","w9zir9",2,"continue","",966.349,966.349,966.349,966.349,966.349,966.349,1,966.349,0,0,NA,"Fixation Timing","Fixation",1,"object-65","J","CFD-WM-009-002-H.jpeg",NA,"SUPTM12782"
