"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.ln1a","randomiser.vzsr","branch.hkzp","randomiser.ywar","randomiser.q6ah","order.ot79","randomiser.ahe2","randomiser.ckhi","randomiser.lqqr","randomiser.pobd","randomiser.8gdj","Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Spreadsheet..stimulus","Manipulation..Spreadsheet","Random_ID"
"183",1689002956297,"10/07/2023 15:29:16",1688988556297,-4,"10/07/2023 07:29:16",137495,33,"task-hr3w",NA,30599061,9084322,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1370x703","1366x699",NA,NA,NA,"JV Task P2",11,"Anxious",NA,"In",NA,NA,"IJHKGAFBECD",NA,NA,"B (MDot First)",1,231,"SS1","SS1",31,"V","Valence","xyoebq",1,"continue","",2794,2761,2794,2794,2761,2794,1,2794,0,0,NA,"Click To Continue","Continue Button",1,"object-25","V","CFD-MM-313-002-N.jpg",NA,"SUPTM96648"
"184",1689002956299,"10/07/2023 15:29:16",1688988556299,-4,"10/07/2023 07:29:16",137495,33,"task-hr3w",NA,30599061,9084322,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1370x703","1366x699",NA,NA,NA,"JV Task P2",11,"Anxious",NA,"In",NA,NA,"IJHKGAFBECD",NA,NA,"B (MDot First)",1,231,"SS1","SS1",31,"V","Valence","xyoebq",1,"response","73",1530,2761,2796,1530,2761,2796,1,1530,1266,0,NA,"Slider","J",3,"object-27","V","CFD-MM-313-002-N.jpg",NA,"SUPTM96648"
"185",1689002957167,"10/07/2023 15:29:17",1688988557167,-4,"10/07/2023 07:29:17",137495,33,"task-hr3w",NA,30599061,9084322,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1370x703","1366x699",NA,NA,NA,"JV Task P2",11,"Anxious",NA,"In",NA,NA,"IJHKGAFBECD",NA,NA,"B (MDot First)",1,231,"SS1","SS1",31,"V","Fixation","68owkj",2,"continue","",899,899,899,899,899,899,1,899,0,0,NA,"Fixation Timing","Fixation",1,"object-21","V","CFD-MM-313-002-N.jpg",NA,"SUPTM96648"
"186",1689002960027,"10/07/2023 15:29:20",1688988560027,-4,"10/07/2023 07:29:20",137495,33,"task-hr3w",NA,30599061,9084322,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1370x703","1366x699",NA,NA,NA,"JV Task P2",11,"Anxious",NA,"In",NA,NA,"IJHKGAFBECD",NA,NA,"B (MDot First)",1,231,"SS1","SS1",31,"J","Judginess","y8ii7g",1,"continue","",2860,2811,2860,2860,2811,2860,1,2860,0,0,NA,"Click To Continue","Continue Button",1,"object-14","J","CFD-WM-025-002-H.jpeg",NA,"SUPTM96648"
"187",1689002960029,"10/07/2023 15:29:20",1688988560029,-4,"10/07/2023 07:29:20",137495,33,"task-hr3w",NA,30599061,9084322,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1370x703","1366x699",NA,NA,NA,"JV Task P2",11,"Anxious",NA,"In",NA,NA,"IJHKGAFBECD",NA,NA,"B (MDot First)",1,231,"SS1","SS1",31,"J","Judginess","y8ii7g",1,"response","72",1530,2811,2860,1530,2811,2860,1,1530,1330,0,NA,"Slider","J",3,"object-18","J","CFD-WM-025-002-H.jpeg",NA,"SUPTM96648"
"188",1689002960907,"10/07/2023 15:29:20",1688988560907,-4,"10/07/2023 07:29:20",137495,33,"task-hr3w",NA,30599061,9084322,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1370x703","1366x699",NA,NA,NA,"JV Task P2",11,"Anxious",NA,"In",NA,NA,"IJHKGAFBECD",NA,NA,"B (MDot First)",1,231,"SS1","SS1",31,"J","Fixation","w9zir9",2,"continue","",931,931,931,931,931,931,1,931,0,0,NA,"Fixation Timing","Fixation",1,"object-65","J","CFD-WM-025-002-H.jpeg",NA,"SUPTM96648"
"189",1689002963621,"10/07/2023 15:29:23",1688988563621,-4,"10/07/2023 07:29:23",137495,33,"task-hr3w",NA,30599061,9084322,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1370x703","1366x699",NA,NA,NA,"JV Task P2",11,"Anxious",NA,"In",NA,NA,"IJHKGAFBECD",NA,NA,"B (MDot First)",1,231,"SS1","SS1",32,"J","Judginess","y8ii7g",1,"continue","",2715,2695,2715,2715,2695,2715,1,2715,0,0,NA,"Click To Continue","Continue Button",1,"object-14","J","CFD-WM-025-002-S.jpeg",NA,"SUPTM96648"
"190",1689002963636,"10/07/2023 15:29:23",1688988563636,-4,"10/07/2023 07:29:23",137495,33,"task-hr3w",NA,30599061,9084322,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1370x703","1366x699",NA,NA,NA,"JV Task P2",11,"Anxious",NA,"In",NA,NA,"IJHKGAFBECD",NA,NA,"B (MDot First)",1,231,"SS1","SS1",32,"J","Judginess","y8ii7g",1,"response","38",1714,2695,2730,1714,2695,2730,1,1714,1016,0,NA,"Slider","J",3,"object-18","J","CFD-WM-025-002-S.jpeg",NA,"SUPTM96648"
"191",1689002964468,"10/07/2023 15:29:24",1688988564468,-4,"10/07/2023 07:29:24",137495,33,"task-hr3w",NA,30599061,9084322,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1370x703","1366x699",NA,NA,NA,"JV Task P2",11,"Anxious",NA,"In",NA,NA,"IJHKGAFBECD",NA,NA,"B (MDot First)",1,231,"SS1","SS1",32,"J","Fixation","w9zir9",2,"continue","",865,865,865,865,865,865,1,865,0,0,NA,"Fixation Timing","Fixation",1,"object-65","J","CFD-WM-025-002-S.jpeg",NA,"SUPTM96648"
"192",1689002984556,"10/07/2023 15:29:44",1688988584556,-4,"10/07/2023 07:29:44",137495,33,"task-hr3w",NA,30599061,9084322,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1370x703","1366x699",NA,NA,NA,"JV Task P2",11,"Anxious",NA,"In",NA,NA,"IJHKGAFBECD",NA,NA,"B (MDot First)",1,231,"SS1","SS1",33,"J","Judginess","y8ii7g",1,"continue","",4453,4441,4453,4453,4441,4453,1,4453,0,0,NA,"Click To Continue","Continue Button",1,"object-14","J","CFD-MF-309-002-N.jpg",NA,"SUPTM96648"
