"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.ln1a","randomiser.vzsr","branch.hkzp","randomiser.ywar","randomiser.q6ah","order.ot79","randomiser.ahe2","randomiser.ckhi","randomiser.lqqr","randomiser.pobd","randomiser.8gdj","Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID"
"3",1688990727134,"10/07/2023 12:05:27",1688976327134,-4,"10/07/2023 04:05:27",137495,33,"task-essk",NA,30591941,9082545,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 113.0.0.0","1920x1080","1920x969",NA,NA,NA,"WelcomePilot1",2,"Anxious",NA,"In",NA,NA,"EFDGCHBIAJK",NA,NA,"B (MDot First)",1,123,"Spreadsheet1","Spreadsheet1",1,"Welcome","Screen 2","cnboqy",2,"continue","",5660.03699999851,5651.674,5660.03699999851,5660.03699999851,5651.674,5660.03699999851,1,5660.03699999851,0,0,NA,"Click To Continue","Continue Button",2,"object-8","Welcome",NA,"SUPTM14738"
"4",1688990731526,"10/07/2023 12:05:31",1688976331526,-4,"10/07/2023 04:05:31",137495,33,"task-essk",NA,30591941,9082545,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 113.0.0.0","1920x1080","1920x969",NA,NA,NA,"WelcomePilot1",2,"Anxious",NA,"In",NA,NA,"EFDGCHBIAJK",NA,NA,"B (MDot First)",1,123,"Spreadsheet1","Spreadsheet1",1,"Welcome","Screen 3","2wy2ix",3,"continue","",4400.06299999404,4384.685,4400.06299999404,4400.06299999404,4384.685,4400.06299999404,1,4400.06299999404,0,0,NA,"Click To Continue","Continue Button",2,"object-12","Welcome",NA,"SUPTM14738"
"5",1688990731528,"10/07/2023 12:05:31",1688976331528,-4,"10/07/2023 04:05:31",137495,33,"task-essk",NA,30591941,9082545,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 113.0.0.0","1920x1080","1920x969",NA,NA,NA,"WelcomePilot1",2,"Anxious",NA,"In",NA,NA,"EFDGCHBIAJK",NA,NA,"B (MDot First)",1,123,"Spreadsheet1","Spreadsheet1",NA,"","","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPTM14738"
"1",1689019291645,"10/07/2023 20:01:31",1689022891645,1,"10/07/2023 22:01:31",137495,33,"task-essk",NA,30603185,9086165,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1041x586","1157x651",NA,NA,NA,"WelcomePilot1",2,"Anxious",NA,"In",NA,NA,"GHFIEJDKCAB",NA,NA,"B (MDot First)",1,213,"Spreadsheet1","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPTM84507"
"2",1689019318316,"10/07/2023 20:01:58",1689022918316,1,"10/07/2023 22:01:58",137495,33,"task-essk",NA,30603185,9086165,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1041x586","1157x651",NA,NA,NA,"WelcomePilot1",2,"Anxious",NA,"In",NA,NA,"GHFIEJDKCAB",NA,NA,"B (MDot First)",1,213,"Spreadsheet1","Spreadsheet1",1,"Welcome","Screen 1","r7cy9o",1,"continue","",26701.0119999996,26696.781,26701.0119999996,26701.0119999996,26696.781,26701.0119999996,1,26701.0119999996,0,0,NA,"Click To Continue","Continue Button",2,"object-4","Welcome",NA,"SUPTM84507"
"3",1689019318527,"10/07/2023 20:01:58",1689022918527,1,"10/07/2023 22:01:58",137495,33,"task-essk",NA,30603185,9086165,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1041x586","1157x651",NA,NA,NA,"WelcomePilot1",2,"Anxious",NA,"In",NA,NA,"GHFIEJDKCAB",NA,NA,"B (MDot First)",1,213,"Spreadsheet1","Spreadsheet1",1,"Welcome","Screen 2","cnboqy",2,"continue","",215.530999999908,199.805,215.530999999908,215.530999999908,199.805,215.530999999908,1,215.530999999908,0,0,NA,"Click To Continue","Continue Button",2,"object-8","Welcome",NA,"SUPTM84507"
"4",1689019321079,"10/07/2023 20:02:01",1689022921079,1,"10/07/2023 22:02:01",137495,33,"task-essk",NA,30603185,9086165,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1041x586","1157x651",NA,NA,NA,"WelcomePilot1",2,"Anxious",NA,"In",NA,NA,"GHFIEJDKCAB",NA,NA,"B (MDot First)",1,213,"Spreadsheet1","Spreadsheet1",1,"Welcome","Screen 3","2wy2ix",3,"continue","",2566.377,2549.696,2566.377,2566.377,2549.696,2566.377,1,2566.377,0,0,NA,"Click To Continue","Continue Button",2,"object-12","Welcome",NA,"SUPTM84507"
"5",1689019321081,"10/07/2023 20:02:01",1689022921081,1,"10/07/2023 22:02:01",137495,33,"task-essk",NA,30603185,9086165,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1041x586","1157x651",NA,NA,NA,"WelcomePilot1",2,"Anxious",NA,"In",NA,NA,"GHFIEJDKCAB",NA,NA,"B (MDot First)",1,213,"Spreadsheet1","Spreadsheet1",NA,"","","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPTM84507"
"1",1689011103232,"10/07/2023 17:45:03",1689014703232,1,"10/07/2023 19:45:03",137495,33,"task-essk",NA,30601388,9085742,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1536x864","1536x714",NA,NA,NA,"WelcomePilot1",2,"Anxious",NA,"In",NA,NA,"EFDGCHBIAJK",NA,NA,"B (MDot First)",2,123,"Spreadsheet1","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPTM31721"
"2",1689011107208,"10/07/2023 17:45:07",1689014707208,1,"10/07/2023 19:45:07",137495,33,"task-essk",NA,30601388,9085742,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1536x864","1536x714",NA,NA,NA,"WelcomePilot1",2,"Anxious",NA,"In",NA,NA,"EFDGCHBIAJK",NA,NA,"B (MDot First)",2,123,"Spreadsheet1","Spreadsheet1",1,"Welcome","Screen 1","r7cy9o",1,"continue","",4972.30000007153,4967.052,4972.30000007153,4972.30000007153,4967.052,4972.30000007153,1,4972.30000007153,0,0,NA,"Click To Continue","Continue Button",2,"object-4","Welcome",NA,"SUPTM31721"
"3",1689011111774,"10/07/2023 17:45:11",1689014711774,1,"10/07/2023 19:45:11",137495,33,"task-essk",NA,30601388,9085742,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1536x864","1536x714",NA,NA,NA,"WelcomePilot1",2,"Anxious",NA,"In",NA,NA,"EFDGCHBIAJK",NA,NA,"B (MDot First)",2,123,"Spreadsheet1","Spreadsheet1",1,"Welcome","Screen 2","cnboqy",2,"continue","",4569.758,4562.801,4569.758,4569.758,4562.801,4569.758,1,4569.758,0,0,NA,"Click To Continue","Continue Button",2,"object-8","Welcome",NA,"SUPTM31721"
"4",1689011114741,"10/07/2023 17:45:14",1689014714741,1,"10/07/2023 19:45:14",137495,33,"task-essk",NA,30601388,9085742,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1536x864","1536x714",NA,NA,NA,"WelcomePilot1",2,"Anxious",NA,"In",NA,NA,"EFDGCHBIAJK",NA,NA,"B (MDot First)",2,123,"Spreadsheet1","Spreadsheet1",1,"Welcome","Screen 3","2wy2ix",3,"continue","",2975.24700002384,2972.494,2975.24700002384,2975.24700002384,2972.494,2975.24700002384,1,2975.24700002384,0,0,NA,"Click To Continue","Continue Button",2,"object-12","Welcome",NA,"SUPTM31721"
"5",1689011114743,"10/07/2023 17:45:14",1689014714743,1,"10/07/2023 19:45:14",137495,33,"task-essk",NA,30601388,9085742,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1536x864","1536x714",NA,NA,NA,"WelcomePilot1",2,"Anxious",NA,"In",NA,NA,"EFDGCHBIAJK",NA,NA,"B (MDot First)",2,123,"Spreadsheet1","Spreadsheet1",NA,"","","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPTM31721"
