"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID"
"1",1709922212879,"08/03/2024 18:23:32",1709922212879,0,"08/03/2024 18:23:32",170281,5,"task-msu8",NA,35909211,10612676,NA,"complete",NA,"65eb54d246acd454e8d845b7","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1536x864","1536x730",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone)",10,"BCADJEIFHG","Passed AC2",NA,"Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF16178"
"2",1709922217406,"08/03/2024 18:23:37",1709922217406,0,"08/03/2024 18:23:37",170281,5,"task-msu8",NA,35909211,10612676,NA,"complete",NA,"65eb54d246acd454e8d845b7","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1536x864","1536x730",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone)",10,"BCADJEIFHG","Passed AC2",NA,"Spreadsheet1",1,"Task Instructions","Screen 1","anr7sn",1,"continue","",4333.7,4316.8,4333.7,4333.7,4316.8,4333.7,1,4333.7,0,0,NA,"Click To Continue","Continue Button",3,"object-60","Task Instructions",NA,"SUPPRF16178"
"3",1709922221611,"08/03/2024 18:23:41",1709922221611,0,"08/03/2024 18:23:41",170281,5,"task-msu8",NA,35909211,10612676,NA,"complete",NA,"65eb54d246acd454e8d845b7","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1536x864","1536x730",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone)",10,"BCADJEIFHG","Passed AC2",NA,"Spreadsheet1",1,"Task Instructions","Screen 4","spepx9",2,"continue","",4222.2000002861,4216.4,4222.2000002861,4222.2000002861,4216.4,4222.2000002861,1,4222.2000002861,0,0,NA,"Click To Continue","Continue Button",2,"object-9","Task Instructions",NA,"SUPPRF16178"
"4",1709922231803,"08/03/2024 18:23:51",1709922231803,0,"08/03/2024 18:23:51",170281,5,"task-msu8",NA,35909211,10612676,NA,"complete",NA,"65eb54d246acd454e8d845b7","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1536x864","1536x730",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone)",10,"BCADJEIFHG","Passed AC2",NA,"Spreadsheet1",1,"Task Instructions","Screen 2","ce2tc8",3,"continue","",10198.6,10183.2,10198.6,10198.6,10183.2,10198.6,1,10198.6,0,0,NA,"Click To Continue","Continue Button",3,"object-59","Task Instructions",NA,"SUPPRF16178"
"5",1709922244035,"08/03/2024 18:24:04",1709922244035,0,"08/03/2024 18:24:04",170281,5,"task-msu8",NA,35909211,10612676,NA,"complete",NA,"65eb54d246acd454e8d845b7","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1536x864","1536x730",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone)",10,"BCADJEIFHG","Passed AC2",NA,"Spreadsheet1",1,"Task Instructions","Screen 3","1qtc8v",4,"continue","",12246.9,12233.8,12246.9,12246.9,12233.8,12246.9,1,12246.9,0,0,NA,"Click To Continue","Continue Button",2,"object-2983","Task Instructions",NA,"SUPPRF16178"
"6",1709922257191,"08/03/2024 18:24:17",1709922257191,0,"08/03/2024 18:24:17",170281,5,"task-msu8",NA,35909211,10612676,NA,"complete",NA,"65eb54d246acd454e8d845b7","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1536x864","1536x730",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone)",10,"BCADJEIFHG","Passed AC2",NA,"Spreadsheet1",1,"Task Instructions","Screen 12","1a4vu2",5,"continue","",13169.2000003815,13165.8,13169.2000003815,13169.2000003815,13165.8,13169.2000003815,1,13169.2000003815,0,0,NA,"Click To Continue","Continue Button",2,"object-2466","Task Instructions",NA,"SUPPRF16178"
"7",1709922262013,"08/03/2024 18:24:22",1709922262013,0,"08/03/2024 18:24:22",170281,5,"task-msu8",NA,35909211,10612676,NA,"complete",NA,"65eb54d246acd454e8d845b7","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1536x864","1536x730",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone)",10,"BCADJEIFHG","Passed AC2",NA,"Spreadsheet1",1,"Task Instructions","Screen 13","q9vwda",6,"continue","",4825.40000038147,4816.7,4825.40000038147,4825.40000038147,4816.7,4825.40000038147,1,4825.40000038147,0,0,NA,"Click To Continue","Continue Button",2,"object-2989","Task Instructions",NA,"SUPPRF16178"
"8",1709922264624,"08/03/2024 18:24:24",1709922264624,0,"08/03/2024 18:24:24",170281,5,"task-msu8",NA,35909211,10612676,NA,"complete",NA,"65eb54d246acd454e8d845b7","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1536x864","1536x730",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone)",10,"BCADJEIFHG","Passed AC2",NA,"Spreadsheet1",1,"Task Instructions","Screen 11","oyulb7",7,"continue","",2620.1,2616.5,2620.1,2620.1,2616.5,2620.1,1,2620.1,0,0,NA,"Click To Continue","Continue Button",2,"object-52","Task Instructions",NA,"SUPPRF16178"
"9",1709922266960,"08/03/2024 18:24:26",1709922266960,0,"08/03/2024 18:24:26",170281,5,"task-msu8",NA,35909211,10612676,NA,"complete",NA,"65eb54d246acd454e8d845b7","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1536x864","1536x730",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone)",10,"BCADJEIFHG","Passed AC2",NA,"Spreadsheet1",1,"Task Instructions","Screen 5","8nvnao",8,"continue","",2339.1,2333.4,2339.1,2339.1,2333.4,2339.1,1,2339.1,0,0,NA,"Click To Continue","Continue Button",2,"object-44","Task Instructions",NA,"SUPPRF16178"
"10",1709922266962,"08/03/2024 18:24:26",1709922266962,0,"08/03/2024 18:24:26",170281,5,"task-msu8",NA,35909211,10612676,NA,"complete",NA,"65eb54d246acd454e8d845b7","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1536x864","1536x730",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone)",10,"BCADJEIFHG","Passed AC2",NA,"Spreadsheet1",NA,"","","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF16178"
