"","pilot_nr","mean_mini_SPIN","se_mini_SPIN","mean_CESD","se_CESD","mean_age","se_age","percentage_women","proportion_women","se_percentage_women","std_error","beta","modality","PE_size","high_SA_perc"
"1",6,7.45,0.08199481150451,25.1,0.366037314975017,21.75,0.463822788301058,65,0.65,10.67,0.0377880493574372,-0.06,"text","normal PE",75
"2",6,7.45,0.08199481150451,25.1,0.366037314975017,21.75,0.463822788301058,65,0.65,10.67,0.0188857681048585,-0.05,"text","normal PE",75
"3",6,7.45,0.08199481150451,25.1,0.366037314975017,21.75,0.463822788301058,65,0.65,10.67,0.0188857681048585,-0.05,"text","normal PE",75
"4",6,7.45,0.08199481150451,25.1,0.366037314975017,21.75,0.463822788301058,65,0.65,10.67,0.0188857681048585,-0.05,"text","normal PE",75
"5",7,6.14308768154922,0.0705463606049277,21.2943125345113,0.321983037754848,22.3783783783784,0.351639983086013,51.35,0.513513513513513,8.22,0.0349156093463521,-0.09,"text","bigger pos PE",51.28
"6",7,6.14308768154922,0.0705463606049277,21.2943125345113,0.321983037754848,22.3783783783784,0.351639983086013,51.35,0.513513513513513,8.22,0.0155202029959658,-0.08,"text","bigger pos PE",51.28
"7",7,6.14308768154922,0.0705463606049277,21.2943125345113,0.321983037754848,22.3783783783784,0.351639983086013,51.35,0.513513513513513,8.22,0.0155202029959658,-0.08,"text","bigger pos PE",51.28
"8",7,6.14308768154922,0.0705463606049277,21.2943125345113,0.321983037754848,22.3783783783784,0.351639983086013,51.35,0.513513513513513,8.22,0.0155202029959658,-0.08,"text","bigger pos PE",51.28
"9",8,5.75414078674948,0.0760101214105267,17.8773291925465,0.268284251301954,22.2439024390244,0.345317965537593,48.78,0.48780487804878,7.81,0.0225253731432631,-0.02,"text","biggest pos PE",41.46
"10",8,5.75414078674948,0.0760101214105267,17.8773291925465,0.268284251301954,22.2439024390244,0.345317965537593,48.78,0.48780487804878,7.81,0.0116892171771787,-0.03,"text","biggest pos PE",41.46
"11",8,5.75414078674948,0.0760101214105267,17.8773291925465,0.268284251301954,22.2439024390244,0.345317965537593,48.78,0.48780487804878,7.81,0.0116892171771787,-0.03,"text","biggest pos PE",41.46
"12",8,5.75414078674948,0.0760101214105267,17.8773291925465,0.268284251301954,22.2439024390244,0.345317965537593,48.78,0.48780487804878,7.81,0.0116892171771787,-0.03,"text","biggest pos PE",41.46
"13",9,5.45017182130584,0.0812474194109504,18.3951890034365,0.29279782613578,22.0526315789474,0.269205058143581,57.89,0.578947368421053,8.01,0.0290766486348459,-0.07,"text","bigger pos PE",40.54
