"","pilot_nr","mean_mini_SPIN","se_mini_SPIN","mean_CESD","se_CESD","mean_age","se_age","percentage_women","proportion_women","se_percentage_women","std_error","beta","modality","PE_size","high_SA_perc"
"1",6,7.45,0.08199481150451,25.1,0.366037314975017,21.75,0.463822788301058,65,0.65,10.67,0.0351538638810146,0.09,"text","normal PE",75
"2",7,6.14308768154922,0.0705463606049277,21.2943125345113,0.321983037754848,22.3783783783784,0.351639983086013,51.35,0.513513513513513,8.22,0.049880120686748,0.2,"text","bigger pos PE",51.28
"3",8,5.75414078674948,0.0760101214105267,17.8773291925465,0.268284251301954,22.2439024390244,0.345317965537593,48.78,0.48780487804878,7.81,0.0361775955332692,0.1,"text","biggest pos PE",41.46
"4",9,5.45017182130584,0.0812474194109504,18.3951890034365,0.29279782613578,22.0526315789474,0.269205058143581,57.89,0.578947368421053,8.01,0.043996122518414,0.21,"text","bigger pos PE",40.54
"5",10,5.02564102564103,0.0787893671699593,19.3076923076923,0.29065175990501,22.8717948717949,0.320634254998418,61.54,0.615384615384615,7.79,0.0336469055206224,0.12,"video + audio","bigger pos PE",33.33
"6",11,7.85714285714286,0.0770818860251251,25.5555555555555,0.357052755687187,22.5357142857143,0.33127197084826,64.29,0.642857142857143,9.06,0.0583637796583492,0.29,"video + audio","bigger pos PE",67.86
"7",12,5.16,0.0904736862661673,21.32,0.397802135215887,22.44,0.383318840305735,48,0.48,9.99,0.0426714614082932,0.23,"video + audio","bigger pos PE",40
"8",13,5.76216216216216,0.0860399083790355,17.4756756756757,0.345651497409545,22.3636363636364,0.463122540165948,59.09,0.590909090909091,10.48,0.0517983841201851,0.22,"video + audio","biggest pos & neg PE",35.48
"9",14,5.56730273336772,0.0642367613298482,21.677153171738,0.243829031783977,22.74,0.278201219205357,66,0.66,6.7,0.0430928943115056,0.15,"video + audio","bigger pos PE",34.15
"10",15,5.86206896551724,0.0925398840024666,21.2758620689655,0.308686358606908,22.8620689655172,0.363765670293833,58.62,0.586206896551724,9.15,0.0601292363083733,0.25,"video + audio","bigger pos PE",41.38
"11",16,5.57191489361702,0.0673712749362476,16.9514893617021,0.280609022760588,22.74,0.278201219205357,66,0.66,6.7,0.0464976945217268,0.27,"video + audio","bigger pos PE",42.86
"12",18,5.9644513137558,0.0727667740802207,21.2797527047913,0.330013595211069,22.2051282051282,0.322731859511433,53.85,0.538461538461538,7.98,0.0455695781753447,0.18,"video + audio","bigger pos PE",43.59
"13",19,7.25,0.0751496682760546,25.875,0.286675955006239,22.375,0.296750564339644,70,0.7,7.25,0.0358528065427829,0.16,"video + audio","bigger pos PE",65
"14",20,6.16171617161716,0.0863288583944986,22.4950495049505,0.293648615354021,23.0526315789474,0.289570654907527,73.68,0.736842105263158,7.14,0.0447927840102487,0.14,"video + audio","bigger pos PE",52.63
"15",21,5.70343275182892,0.0765978724125352,22.5306696679797,0.337147710609122,23.75,0.411877235523957,50,0.5,17.68,0.0463541894829516,0.27,"video + audio","bigger pos PE",48.65
"16",22,5.525,0.0712772442267129,22.375,0.24595145515076,22.925,0.2566737428262,57.5,0.575,7.82,0.0463372027057314,0.23,"video + audio","bigger pos PE",37.5
