"","Status","Started.at","Completed.at","Reviewed.at","Archived.at","Time.taken","Completion.code","Total.approvals","Fluent.languages","Mild.cognitive.impairment.dementia","Age","Sex","Ethnicity.simplified","Country.of.birth","Country.of.residence","Nationality","Language","Student.status","Employment.status","Random_ID"
"20","APPROVED","2023-11-06T17:42:25.927000Z","2023-11-06T18:35:43.881000Z","2023-11-08T10:38:05.038000Z","2023-11-06T18:35:44.424106Z",3198,"C6UC3A24",167,"English","No","23","Prefer not to say","White","United States","United States","United States","English","No","DATA_EXPIRED","SUPPRF73117"
"21","APPROVED","2023-11-06T17:47:02.776000Z","2023-11-06T18:40:52.461000Z","2023-11-08T10:38:05.231000Z","2023-11-06T18:40:52.925466Z",3230,"C6UC3A24",51,"English, Malayalam","No","20","Female","Asian","India","United Kingdom","United Kingdom","English","Yes","Unemployed (and job seeking)","SUPPRF15709"
"22","APPROVED","2023-11-06T17:46:46.842000Z","2023-11-06T18:36:31.676000Z","2023-11-08T10:38:05.423000Z","2023-11-06T18:36:32.220993Z",2985,"C6UC3A24",126,"English, Spanish","No","19","Male","Mixed","Honduras","United Kingdom","United Kingdom","English","Yes","Other","SUPPRF94497"
"23","APPROVED","2023-11-06T17:48:03.019000Z","2023-11-06T18:37:57.995000Z","2023-11-08T10:38:05.622000Z","2023-11-06T18:37:58.532149Z",2995,"C6UC3A24",1039,"English","No","23","Female","Asian","Malaysia","United Kingdom","Malaysia","English","DATA_EXPIRED","DATA_EXPIRED","SUPPRF54475"
"24","APPROVED","2023-11-06T17:49:37.360000Z","2023-11-06T18:41:28.526000Z","2023-11-08T10:38:05.818000Z","2023-11-06T18:41:29.267316Z",3112,"C6UC3A24",871,"Bulgarian, English","No","23","Female","White","Bulgaria","United Kingdom","Bulgaria","Bulgarian","No","Full-Time","SUPPRF43675"
"25","APPROVED","2023-11-06T17:48:54.344000Z","2023-11-06T18:44:53.857000Z","2023-11-08T10:38:06.017000Z","2023-11-06T18:44:54.267058Z",3360,"C6UC3A24",244,"English, Swahili","No","24","Male","Mixed","United Kingdom","United Kingdom","United Kingdom","English","No","Unemployed (and job seeking)","SUPPRF78720"
"26","APPROVED","2023-11-06T17:50:32.817000Z","2023-11-06T18:33:02.685000Z","2023-11-08T10:38:06.202000Z","2023-11-06T18:33:03.193878Z",2550,"C6UC3A24",153,"English","No","23","Male","Mixed","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","SUPPRF91978"
"27","APPROVED","2023-11-06T17:54:31.206000Z","2023-11-06T18:32:27.490000Z","2023-11-08T10:38:06.390000Z","2023-11-06T18:32:27.960551Z",2277,"C6UC3A24",926,"English, French","No","22","Male","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Not in paid work (e.g. homemaker', 'retired or disabled)","SUPPRF75922"
"28","APPROVED","2023-11-06T17:55:27.963000Z","2023-11-06T18:36:41.584000Z","2023-11-08T10:38:06.582000Z","2023-11-06T18:36:42.045868Z",2474,"C6UC3A24",169,"English","No","21","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Other","SUPPRF43222"
"29","APPROVED","2023-11-06T17:59:43.156000Z","2023-11-06T18:59:56.652000Z","2023-11-08T10:38:06.766000Z","2023-11-06T18:59:57.433671Z",3614,"C6UC3A24",171,"English","No","20","Male","Black","Zimbabwe","United Kingdom","United Kingdom","English","No","Full-Time","SUPPRF28694"
"30","APPROVED","2023-11-06T18:00:41.503000Z","2023-11-06T19:01:42.204000Z","2023-11-08T10:38:06.979000Z","2023-11-06T19:01:42.700681Z",3661,"C6UC3A24",168,"English","No","21","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","SUPPRF90079"
"31","APPROVED","2023-11-06T18:10:30.255000Z","2023-11-06T19:22:52.735000Z","2023-11-08T10:38:07.173000Z","2023-11-06T19:22:53.188765Z",4343,"C6UC3A24",5,"English, Hindi","No","23","Female","Asian","India","United Kingdom","India","Hindi","No","Full-Time","SUPPRF04190"
"32","APPROVED","2023-11-06T18:11:53.172000Z","2023-11-06T19:23:50.334000Z","2023-11-08T10:38:07.312000Z","2023-11-06T19:23:50.894486Z",4318,"C6UC3A24",230,"English","No","23","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","SUPPRF17949"
"33","APPROVED","2023-11-06T18:19:25.308000Z","2023-11-06T19:50:57.954000Z","2023-11-08T10:39:07.037000Z","2023-11-06T19:50:58.430217Z",5493,"NOCODE",137,"Punjabi, Urdu, English","No","24","Female","Asian","United Kingdom","United Kingdom","United Kingdom","English","Yes","Unemployed (and job seeking)","SUPPRF66080"
"34","APPROVED","2023-11-06T18:34:04.056000Z","2023-11-06T20:31:12.487000Z","2023-11-08T10:38:07.520000Z","2023-11-06T20:31:13.091114Z",7029,"NOCODE",1225,"English","No","23","Male","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Full-Time","SUPPRF93511"
"35","APPROVED","2023-11-06T19:25:59.172000Z","2023-11-06T21:09:02.358000Z","2023-11-08T10:38:07.711000Z","2023-11-06T21:09:02.824725Z",6184,"C6UC3A24",671,"English","No","23","Male","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Full-Time","SUPPRF61804"
"36","APPROVED","2023-11-06T19:36:40.434000Z","2023-11-06T20:09:56.919000Z","2023-11-08T10:38:07.901000Z","2023-11-06T20:09:57.373562Z",1997,"C6UC3A24",503,"Bengali, English, Hindi","No","22","Male","Asian","Bangladesh","United Kingdom","Italy","Bengali","Yes","Part-Time","SUPPRF62253"
"37","APPROVED","2023-11-06T19:45:22.893000Z","2023-11-06T21:15:12.596000Z","2023-11-08T10:38:08.110000Z","2023-11-06T21:15:13.228873Z",5390,"C6UC3A24",323,"English, Spanish","No","21","Female","Other","Mexico","United States","Mexico","Spanish","No","Not in paid work (e.g. homemaker', 'retired or disabled)","SUPPRF87016"
"38","APPROVED","2023-11-06T19:46:31.598000Z","2023-11-06T20:42:57.624000Z","2023-11-08T10:38:08.308000Z","2023-11-06T20:42:58.239324Z",3387,"C6UC3A24",429,"English","No","23","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Part-Time","SUPPRF67813"
