"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","counterbalance.vu6m","Multiple.Choice.object.2.Response","Multiple.Choice.object.2.Quantised","Random_ID"
"1",1708970825638,"26/02/2024 18:07:05",1708970825638,0,"26/02/2024 18:07:05",167771,4,"questionnaire-xamc",NA,35522165,10494310,NA,"complete",NA,"65dcd2fef102ce9273e60afb","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x864","1536x730",NA,NA,0,"Attention Check 1 (Clone)",1,"ABJCIDHEGF","Passed AC2","","Chocking_second","1","2","SUPPRF94580"
"1",1708970909464,"26/02/2024 18:08:29",1708970909464,0,"26/02/2024 18:08:29",167771,4,"questionnaire-xamc",NA,35522227,10494334,NA,"complete",NA,"65dcd343038df1ca26649274","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1536x864","1536x730",NA,NA,0,"Attention Check 1 (Clone)",1,"BCADJEIFHG","Passed AC2","","Chocking_first","1","2","SUPPRF91296"
"1",1708970822807,"26/02/2024 18:07:02",1708970822807,0,"26/02/2024 18:07:02",167771,4,"questionnaire-xamc",NA,35522319,10494361,NA,"complete",NA,"65dcd3eed5e1a6a3349a3356","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1366x768","1366x641",NA,NA,0,"Attention Check 1 (Clone)",1,"CDBEAFJGIH","Passed AC2","","Chocking_second","1","2","SUPPRF77316"
"1",1708971473565,"26/02/2024 18:17:53",1708953473565,-5,"26/02/2024 08:17:53",167771,4,"questionnaire-xamc",NA,35522619,10494421,NA,"complete",NA,"65dcce30f40fd5cad9b7b120","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1440x673",NA,NA,0,"Attention Check 1 (Clone)",1,"DECFBGAHJI","Passed AC2","","Chocking_first","1","2","SUPPRF56143"
"1",1708974876888,"26/02/2024 19:14:36",1708956876888,-5,"26/02/2024 09:14:36",167771,4,"questionnaire-xamc",NA,35524358,10494908,NA,"complete",NA,"65dce2bedf550398cbe21df9","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 120.0.0.0","1440x900","1058x722",NA,NA,0,"Attention Check 1 (Clone)",1,"EFDGCHBIAJ","Passed AC2","","Chocking_first","1","2","SUPPRF59156"
"1",1708976434781,"26/02/2024 19:40:34",1708947634781,-8,"26/02/2024 03:40:34",167771,4,"questionnaire-xamc",NA,35525196,10495197,NA,"complete",NA,"65dce8d9cab7e37ca604a9ef","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1426x692",NA,NA,0,"Attention Check 1 (Clone)",1,"GHFIEJDACB","Passed AC2","","Chocking_second","1","2","SUPPRF87285"
"1",1708977133832,"26/02/2024 19:52:13",1708977133832,0,"26/02/2024 19:52:13",167771,4,"questionnaire-xamc",NA,35525615,10495308,NA,"complete",NA,"65dceba002a94d3dfdc24511","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x813",NA,NA,0,"Attention Check 1 (Clone)",1,"HIGJFAEBDC","Passed AC2","","Chocking_second","1","2","SUPPRF00201"
"1",1708977244049,"26/02/2024 19:54:04",1708959244049,-5,"26/02/2024 09:54:04",167771,4,"questionnaire-xamc",NA,35525655,10495316,NA,"complete",NA,"65dcec09d5e1a6a3349a3837","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1280x800","1243x690",NA,NA,0,"Attention Check 1 (Clone)",1,"IJHAGBFCED","Passed AC2","","Chocking_second","1","2","SUPPRF64585"
"1",1708977753987,"26/02/2024 20:02:33",1708959753987,-5,"26/02/2024 10:02:33",167771,4,"questionnaire-xamc",NA,35525849,10495365,NA,"complete",NA,"65dced46926eb51a950e86da","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1504x1003","1504x868",NA,NA,0,"Attention Check 1 (Clone)",1,"JAIBHCGDFE","Passed AC2","","Chocking_first","1","2","SUPPRF09191"
"1",1708977863698,"26/02/2024 20:04:23",1708977863698,0,"26/02/2024 20:04:23",167771,4,"questionnaire-xamc",NA,35525892,10495375,NA,"complete",NA,"65dce39a39457860b3e43fc8","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1710x1107","1710x948",NA,NA,0,"Attention Check 1 (Clone)",1,"ABJCIDHEGF","Passed AC2","","Chocking_first","1","2","SUPPRF01454"
"1",1708978656709,"26/02/2024 20:17:36",1708957056709,-6,"26/02/2024 08:17:36",167771,4,"questionnaire-xamc",NA,35526356,10495518,NA,"complete",NA,"65dcf1725c4c8090ce3cb245","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1536x864","1536x695",NA,NA,0,"Attention Check 1 (Clone)",1,"BCADJEIFHG","Passed AC2","","Chocking_second","1","2","SUPPRF78484"
"1",1708979313499,"26/02/2024 20:28:33",1708961313499,-5,"26/02/2024 10:28:33",167771,4,"questionnaire-xamc",NA,35526727,10495617,NA,"complete",NA,"65dcf42ea8c82b9660fc4668","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x700",NA,NA,0,"Attention Check 1 (Clone)",1,"CDBEAFJGIH","Passed AC2","","Chocking_first","1","2","SUPPRF59092"
"1",1708980154436,"26/02/2024 20:42:34",1708962154436,-5,"26/02/2024 10:42:34",167771,4,"questionnaire-xamc",NA,35527201,10495743,NA,"complete",NA,"65dcf76135721b0e6bbcce5f","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1536x864","1536x730",NA,NA,0,"Attention Check 1 (Clone)",1,"DECFBGAHJI","Failed AC2","Passed AC1","Chocking_second","1","2","SUPPRF05723"
"1",1708981168522,"26/02/2024 20:59:28",1708981168522,0,"26/02/2024 20:59:28",167771,4,"questionnaire-xamc",NA,35527814,10495919,NA,"complete",NA,"65dcfb58aef7f9381901d3c3","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1280x960","1280x791",NA,NA,0,"Attention Check 1 (Clone)",1,"EFDGCHBIAJ","Passed AC2","","Chocking_first","1","2","SUPPRF99214"
"1",1708983378403,"26/02/2024 21:36:18",1708961778403,-6,"26/02/2024 09:36:18",167771,4,"questionnaire-xamc",NA,35528999,10496251,NA,"complete",NA,"65dd02562d7bf320aeba16bb","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1920x1080","1920x945",NA,NA,0,"Attention Check 1 (Clone)",1,"GHFIEJDACB","Passed AC2","","Chocking_second","1","2","SUPPRF17025"
"1",1708983657968,"26/02/2024 21:40:57",1708954857968,-8,"26/02/2024 05:40:57",167771,4,"questionnaire-xamc",NA,35529150,10496308,NA,"complete",NA,"65dd051932ebb761548f9e6d","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1280x800","1280x665",NA,NA,0,"Attention Check 1 (Clone)",1,"HIGJFAEBDC","Passed AC2","","Chocking_second","1","2","SUPPRF43564"
"1",1708984333418,"26/02/2024 21:52:13",1708984333418,0,"26/02/2024 21:52:13",167771,4,"questionnaire-xamc",NA,35529505,10496373,NA,"complete",NA,"65dd072b8ea0c743b5880b74","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1536x864","1229x594",NA,NA,0,"Attention Check 1 (Clone)",1,"IJHAGBFCED","Passed AC2","","Chocking_first","1","2","SUPPRF73359"
"1",1708984616911,"26/02/2024 21:56:56",1708955816911,-8,"26/02/2024 05:56:56",167771,4,"questionnaire-xamc",NA,35529664,10496414,NA,"complete",NA,"65dd0866bc7a541c53287a37","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 120.0.0.0","1440x900","1440x779",NA,NA,0,"Attention Check 1 (Clone)",1,"JAIBHCGDFE","Failed AC2","Passed AC1","Chocking_second","1","2","SUPPRF00089"
"1",1708985279447,"26/02/2024 22:07:59",1708985279447,0,"26/02/2024 22:07:59",167771,4,"questionnaire-xamc",NA,35530222,10496638,NA,"complete",NA,"65dd0b41d48b7c8e7ab8d617","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x864","1536x703",NA,NA,0,"Attention Check 1 (Clone)",1,"ABJCIDHEGF","Passed AC2","","Chocking_first","1","2","SUPPRF47490"
