"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Multiple.Choice.object.2.Response","Multiple.Choice.object.2.Quantised","Random_ID"
1,1717682752735,"06/06/2024 14:05:52",1717686352735,1,"06/06/2024 16:05:52",180921,1,"questionnaire-xamc",NA,38089155,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","1920x1080","1920x919",NA,NA,0,"Attention Check 1 (Clone)",1,"GHFIEADBC","Passed AC2",NA,1,2,"SUPPRF63538"
1,1717682882853,"06/06/2024 14:08:02",1717686482853,1,"06/06/2024 16:08:02",180921,1,"questionnaire-xamc",NA,38089207,NA,"complete",NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 124.0.0.0","1440x900","1440x737",NA,NA,0,"Attention Check 1 (Clone)",1,"HIGAFBECD","Passed AC2",NA,1,2,"SUPPRF20931"
1,1717683075530,"06/06/2024 14:11:15",1717686675530,1,"06/06/2024 16:11:15",180921,1,"questionnaire-xamc",NA,38089315,NA,"complete",NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 125.0.0.0","1440x900","1440x684",NA,NA,0,"Attention Check 1 (Clone)",1,"IAHBGCFDE","Passed AC2",NA,1,2,"SUPPRF81844"
1,1717683092708,"06/06/2024 14:11:32",1717665092708,-5,"06/06/2024 04:11:32",180921,1,"questionnaire-xamc",NA,38089324,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","1536x864","1536x738",NA,NA,0,"Attention Check 1 (Clone)",1,"ABICHDGEF","Passed AC2",NA,1,2,"SUPPRF65174"
1,1717683355993,"06/06/2024 14:15:55",1717686955993,1,"06/06/2024 16:15:55",180921,1,"questionnaire-xamc",NA,38089486,NA,"complete",NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 125.0.0.0","1512x982","1512x857",NA,NA,0,"Attention Check 1 (Clone)",1,"BCADIEHFG","Passed AC2",NA,1,2,"SUPPRF09024"
1,1717683426571,"06/06/2024 14:17:06",1717687026571,1,"06/06/2024 16:17:06",180921,1,"questionnaire-xamc",NA,38089532,NA,"complete",NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 125.0.0.0","1792x1120","1792x999",NA,NA,0,"Attention Check 1 (Clone)",1,"CDBEAFIGH","Passed AC2",NA,1,2,"SUPPRF51926"
1,1717683432627,"06/06/2024 14:17:12",1717687032627,1,"06/06/2024 16:17:12",180921,1,"questionnaire-xamc",NA,38089539,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","1536x864","1536x730",NA,NA,0,"Attention Check 1 (Clone)",1,"DECFBGAHI","Passed AC2",NA,1,2,"SUPPRF57187"
1,1717683665664,"06/06/2024 14:21:05",1717665665664,-5,"06/06/2024 04:21:05",180921,1,"questionnaire-xamc",NA,38089688,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","1536x960","1536x872",NA,NA,0,"Attention Check 1 (Clone)",1,"EFDGCHBIA","Passed AC2",NA,1,2,"SUPPRF49113"
1,1717683716033,"06/06/2024 14:21:56",1717687316033,1,"06/06/2024 16:21:56",180921,1,"questionnaire-xamc",NA,38089733,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","1280x720","1280x551",NA,NA,0,"Attention Check 1 (Clone)",1,"FGEHDICAB","Passed AC2",NA,1,2,"SUPPRF87249"
1,1717683865151,"06/06/2024 14:24:25",1717687465151,1,"06/06/2024 16:24:25",180921,1,"questionnaire-xamc",NA,38089843,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","1536x864","1536x730",NA,NA,0,"Attention Check 1 (Clone)",1,"GHFIEADBC","Passed AC2",NA,1,2,"SUPPRF20639"
1,1717684410928,"06/06/2024 14:33:30",1717713210928,8,"07/06/2024 06:33:30",180921,1,"questionnaire-xamc",NA,38090101,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","1707x1067","1707x932",NA,NA,0,"Attention Check 1 (Clone)",1,"HIGAFBECD","Passed AC2",NA,1,2,"SUPPRF70264"
1,1717687696219,"06/06/2024 15:28:16",1717691296219,1,"06/06/2024 17:28:16",180921,1,"questionnaire-xamc",NA,38092564,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","1920x1080","1920x959",NA,NA,0,"Attention Check 1 (Clone)",1,"BCADIEHFG","Passed AC2",NA,1,2,"SUPPRF69092"
1,1717687909038,"06/06/2024 15:31:49",1717691509038,1,"06/06/2024 17:31:49",180921,1,"questionnaire-xamc",NA,38092743,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","1280x720","1280x593",NA,NA,0,"Attention Check 1 (Clone)",1,"CDBEAFIGH","Passed AC2",NA,1,2,"SUPPRF36238"
1,1717691186919,"06/06/2024 16:26:26",1717694786919,1,"06/06/2024 18:26:26",180921,1,"questionnaire-xamc",NA,38095420,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","1600x900","1600x773",NA,NA,0,"Attention Check 1 (Clone)",1,"DECFBGAHI","Passed AC2",NA,1,2,"SUPPRF74270"
1,1717691659114,"06/06/2024 16:34:19",1717695259114,1,"06/06/2024 18:34:19",180921,1,"questionnaire-xamc",NA,38095641,NA,"complete",NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 124.0.0.0","1440x900","1440x745",NA,NA,0,"Attention Check 1 (Clone)",1,"EFDGCHBIA","Passed AC2",NA,1,2,"SUPPRF86700"
