"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID"
1,1717679923735,"06/06/2024 13:18:43",1717683523735,1,"06/06/2024 15:18:43",180921,1,"task-7hcp",NA,38087968,NA,"complete",NA,"computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 124.0.0.0","1366x768","1366x647",NA,NA,0,"BIQ (Charlotte)",5,"ABICHDGEF","Passed AC2",NA,"Spreadsheet1","Spreadsheet1",NA,"","","",NA,"info","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF73571"
2,1717679963258,"06/06/2024 13:19:23",1717683563258,1,"06/06/2024 15:19:23",180921,1,"task-7hcp",NA,38087968,NA,"complete",NA,"computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 124.0.0.0","1366x768","1366x647",NA,NA,0,"BIQ (Charlotte)",5,"ABICHDGEF","Passed AC2",NA,"Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"continue","",39544.072,39510.772,39544.072,39544.072,39510.772,39544.072,1,39544.072,0,0,NA,"Click To Continue","Continue Button",16,"object-48","BIQ",NA,"SUPPRF73571"
3,1717679963262,"06/06/2024 13:19:23",1717683563262,1,"06/06/2024 15:19:23",180921,1,"task-7hcp",NA,38087968,NA,"complete",NA,"computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 124.0.0.0","1366x768","1366x647",NA,NA,0,"BIQ (Charlotte)",5,"ABICHDGEF","Passed AC2",NA,"Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","4",12890.972,39510.772,39544.072,12890.972,39510.772,39544.072,1,12890.972,26653.1,0,NA,"Rating Scale","Rating Scale",3,"object-5","BIQ",NA,"SUPPRF73571"
4,1717679963262,"06/06/2024 13:19:23",1717683563262,1,"06/06/2024 15:19:23",180921,1,"task-7hcp",NA,38087968,NA,"complete",NA,"computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 124.0.0.0","1366x768","1366x647",NA,NA,0,"BIQ (Charlotte)",5,"ABICHDGEF","Passed AC2",NA,"Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","4",27969.172,39510.772,39544.072,27969.172,39510.772,39544.072,1,27969.172,11574.9,0,NA,"Rating Scale","Rating Scale",10,"object-18","BIQ",NA,"SUPPRF73571"
5,1717679981856,"06/06/2024 13:19:41",1717683581856,1,"06/06/2024 15:19:41",180921,1,"task-7hcp",NA,38087968,NA,"complete",NA,"computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 124.0.0.0","1366x768","1366x647",NA,NA,0,"BIQ (Charlotte)",5,"ABICHDGEF","Passed AC2",NA,"Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 2","svpz34",2,"continue","",18640.000000006,18612.8,18640.000000006,18640.000000006,18612.8,18640.000000006,1,18640.000000006,0,0,NA,"Click To Continue","Continue Button",7,"object-1017","BIQ",NA,"SUPPRF73571"
6,1717679981864,"06/06/2024 13:19:41",1717683581864,1,"06/06/2024 15:19:41",180921,1,"task-7hcp",NA,38087968,NA,"complete",NA,"computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 124.0.0.0","1366x768","1366x647",NA,NA,0,"BIQ (Charlotte)",5,"ABICHDGEF","Passed AC2",NA,"Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 2","svpz34",2,"response","3",5902.5,18612.8,18646.1,5902.5,18612.8,18646.1,1,5902.5,12743.6,0,NA,"Rating Scale","Rating Scale",8,"object-118","BIQ",NA,"SUPPRF73571"
7,1717679981866,"06/06/2024 13:19:41",1717683581866,1,"06/06/2024 15:19:41",180921,1,"task-7hcp",NA,38087968,NA,"complete",NA,"computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 124.0.0.0","1366x768","1366x647",NA,NA,0,"BIQ (Charlotte)",5,"ABICHDGEF","Passed AC2",NA,"Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 2","svpz34",2,"response","7",17045,18612.8,18646.1,17045,18612.8,18646.1,1,17045,1601.09999999999,0,NA,"Rating Scale","Rating Scale",10,"object-121","BIQ",NA,"SUPPRF73571"
8,1717680000188,"06/06/2024 13:20:00",1717683600188,1,"06/06/2024 15:20:00",180921,1,"task-7hcp",NA,38087968,NA,"complete",NA,"computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 124.0.0.0","1366x768","1366x647",NA,NA,0,"BIQ (Charlotte)",5,"ABICHDGEF","Passed AC2",NA,"Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 3","o21mwi",3,"continue","",18358.6000000119,18345.9,18358.6000000119,18358.6000000119,18345.9,18358.6000000119,1,18358.6000000119,0,0,NA,"Click To Continue","Continue Button",15,"object-50","BIQ",NA,"SUPPRF73571"
9,1717680000195,"06/06/2024 13:20:00",1717683600195,1,"06/06/2024 15:20:00",180921,1,"task-7hcp",NA,38087968,NA,"complete",NA,"computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 124.0.0.0","1366x768","1366x647",NA,NA,0,"BIQ (Charlotte)",5,"ABICHDGEF","Passed AC2",NA,"Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 3","o21mwi",3,"response","2",8906.2,18345.9,18366.3,8906.2,18345.9,18366.3,1,8906.2,9460.10000000001,0,NA,"Rating Scale","Rating Scale",2,"object-36","BIQ",NA,"SUPPRF73571"
10,1717680000198,"06/06/2024 13:20:00",1717683600198,1,"06/06/2024 15:20:00",180921,1,"task-7hcp",NA,38087968,NA,"complete",NA,"computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 124.0.0.0","1366x768","1366x647",NA,NA,0,"BIQ (Charlotte)",5,"ABICHDGEF","Passed AC2",NA,"Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 3","o21mwi",3,"response","2",13208.5,18345.9,18368.4000000089,13208.5,18345.9,18368.4000000089,1,13208.5,5159.90000000894,0,NA,"Rating Scale","Rating Scale",9,"object-86","BIQ",NA,"SUPPRF73571"
11,1717680019126,"06/06/2024 13:20:19",1717683619126,1,"06/06/2024 15:20:19",180921,1,"task-7hcp",NA,38087968,NA,"complete",NA,"computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 124.0.0.0","1366x768","1366x647",NA,NA,0,"BIQ (Charlotte)",5,"ABICHDGEF","Passed AC2",NA,"Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 4","iz3the",4,"continue","",18950.100000003,18945.8,18950.100000003,18950.100000003,18945.8,18950.100000003,1,18950.100000003,0,0,NA,"Click To Continue","Continue Button",22,"object-73","BIQ",NA,"SUPPRF73571"
